Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
1	Cadherin Binding (GO:0045296)	17/319	4.57193006667071e-06	0.00148587727166798	0	0	4.0018436309827	49.2049689358295	MACF1;SWAP70;CTNND1;PTPRJ;ANK3;CNN3;TJP1;CDH4;EHD4;FMNL2;CDH2;ABI1;CDH13;PKP4;STXBP6;EZR;SPTAN1
2	Receptor Tyrosine Kinase Binding (GO:0030971)	6/59	0.000208627118334272	0.0297323215214052	0	0	7.83563646027106	66.4067214209125	GRB14;ANGPT1;IRS1;NRG1;ALKAL1;GAS6
3	Sequence-Specific Double-Stranded DNA Binding (GO:1990837)	23/715	0.000324072474356975	0.0297323215214052	0	0	2.36742006018488	19.0211391743661	DLX1;NFIX;THRB;EPAS1;ZBTB20;PAX6;ZIC4;RORB;MEIS2;RUNX2;RUNX1;SOX2;NCOR1;NFIB;ZIC3;PRDM16;SIX3;ZIC1;OTX2;TCF4;SP8;HES1;TEAD1
4	Chemorepellent Activity (GO:0045499)	4/24	0.000365936264878833	0.0297323215214052	0	0	13.7692307692308	108.95663053177	SEMA5B;SEMA6D;NRG1;SEMA3E
5	Insulin-Like Growth Factor I Binding (GO:0031994)	3/12	0.000602407518436615	0.0378789146513577	0	0	22.8815331010453	169.656875344036	IGFBP3;IGFBP2;LRP2
6	Protein Tyrosine Kinase Activator Activity (GO:0030296)	4/29	0.000772647215823206	0.0378789146513577	0	0	11.0125874125874	78.9127654350282	NRG1;ALKAL1;GAS6;HBEGF
7	Sequence-Specific DNA Binding (GO:0043565)	22/717	0.000815853546336934	0.0378789146513577	0	0	2.245946526361	15.971544948856	DLX1;NFIX;THRB;EPAS1;ZBTB20;PAX6;ZIC4;RORB;MEIS2;RUNX2;POU3F3;SOX2;NFIB;ZIC3;PRDM16;SIX3;ZIC1;OTX2;TCF4;SP8;HES1;TEAD1
8	GTPase Activator Activity (GO:0005096)	10/211	0.0010606719933101	0.043089799728223	0	0	3.46641791044776	23.7409853733236	PREX2;VAV3;SIPA1L1;RALGAPA1;RGS16;AGAP1;SRGAP3;ASAP2;IQGAP2;PLCB1
9	Insulin-Like Growth Factor Binding (GO:0005520)	3/15	0.00120636587574057	0.0435632121795204	0	0	17.1585365853659	115.307816901446	IGFBP3;IGFBP2;LRP2
10	Actin Binding (GO:0003779)	9/183	0.00144731527153205	0.0437276502501328	0	0	3.59602405203092	23.5109669856515	MACF1;SHROOM2;TLN2;EZR;IQGAP2;SPTAN1;NCALD;PDLIM7;SYNE1
11	Protein Tyrosine Kinase Binding (GO:1990782)	6/85	0.0014800127776968	0.0437276502501328	0	0	5.24986628632555	34.2065776889404	GRB14;ANGPT1;NEDD9;NRG1;ALKAL1;GAS6
12	Protein Heterodimerization Activity (GO:0046982)	9/190	0.00187326766295104	0.0507343325382574	0	0	3.4557126285366	21.7021205236218	TENM3;RALGAPA1;EPAS1;ITGA3;PDGFA;TCF4;ATP1A1;ATP1B1;NPAS3
13	Receptor Ligand Activity (GO:0048018)	12/319	0.00252203541549313	0.0598585906084886	0	0	2.72814191643428	16.3216246309325	BMP4;SEMA5B;EDN1;TGFB2;METRN;SEMA6D;PDGFA;NRG1;SEMA3E;ALKAL1;GAS6;HBEGF
14	Fibroblast Growth Factor Binding (GO:0017134)	3/20	0.00286486949283676	0.0598585906084886	0	0	12.1088337774134	70.900036853757	SCN5A;FGFR2;FGFR1
15	Insulin-Like Growth Factor II Binding (GO:0031995)	2/6	0.00302421114077483	0.0598585906084886	0	0	34.2118055555556	198.466276315855	IGFBP3;IGFBP2
16	Acid-Amino Acid Ligase Activity (GO:0016881)	2/6	0.00302421114077483	0.0598585906084886	0	0	34.2118055555556	198.466276315855	GCLC;GCLM
17	Double-Stranded DNA Binding (GO:0003690)	19/650	0.00313106473952094	0.0598585906084886	0	0	2.11987649195034	12.2240179843837	DLX1;NFIX;THRB;EPAS1;ZBTB20;PAX6;ZIC4;RORB;MEIS2;RUNX2;NFIB;ZIC3;SIX3;ZIC1;OTX2;TCF4;SP8;HES1;TEAD1
18	GTPase Regulator Activity (GO:0030695)	14/424	0.00375256176685644	0.0647987744214515	0	0	2.38776952986921	13.3364486355243	VAV3;DOCK3;RALGAPA1;DENND1A;SWAP70;RGS16;DOCK7;AGAP1;ASAP2;IQGAP2;PREX2;SIPA1L1;SRGAP3;PLCB1
19	Semaphorin Receptor Binding (GO:0030215)	3/22	0.00378823604310024	0.0647987744214515	0	0	10.8331193838254	60.4039006309431	SEMA5B;SEMA6D;SEMA3E
20	High Voltage-Gated Calcium Channel Activity (GO:0008331)	3/23	0.00431020665369294	0.0700408581225103	0	0	10.2909407665505	56.0523815579922	CACNB2;CACNB4;SCN5A
21	Transmembrane Receptor Protein Tyrosine Kinase Activity (GO:0004714)	4/50	0.0059068279920718	0.0914151951153969	0	0	5.97871693523867	30.6806607017558	MERTK;MET;FGFR2;FGFR1
22	RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)	29/1225	0.00652004171305413	0.0916797910098177	0	0	1.71999256781865	8.65650674397692	DLX1;NFIX;THRB;EPAS1;GLIS3;RORB;NPAS3;SOX2;STOX2;ZIC2;SALL3;ZIC3;NACC2;PRDM16;SIX3;ZIC1;OTX2;HIVEP2;TEAD1;PAX6;ZIC4;MEIS2;RUNX2;POU3F3;RUNX1;NFIB;LHX2;TCF4;SP8
23	RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)	27/1122	0.00696394065280606	0.0916797910098177	0	0	1.74524714828897	8.66865965251602	DLX1;NFIX;THRB;EPAS1;GLIS3;RORB;SOX2;ZIC2;SALL3;ZIC3;NACC2;PRDM16;SIX3;ZIC1;OTX2;HES1;HIVEP2;TEAD1;PAX6;ZIC4;MEIS2;RUNX2;POU3F3;RUNX1;NFIB;TCF4;SP8
24	Amino Acid:Monoatomic Cation Symporter Activity (GO:0005416)	2/9	0.00705229161613982	0.0916797910098177	0	0	19.546626984127	96.8418607836311	SLC6A6;SLC38A1
25	Calcium:Sodium Antiporter Activity (GO:0005432)	2/9	0.00705229161613982	0.0916797910098177	0	0	19.546626984127	96.8418607836311	SLC24A3;SLC8A1
26	Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)	26/1098	0.00977465468149394	0.122183183518674	0	0	1.71227668475803	7.92435228743119	DLX1;NFIX;THRB;EPAS1;GLIS3;RORB;SOX2;ZIC2;SALL3;ZIC3;NACC2;PRDM16;SIX3;ZIC1;OTX2;HIVEP2;TEAD1;PAX6;ZIC4;MEIS2;RUNX2;POU3F3;RUNX1;NFIB;TCF4;SP8
27	Organic Acid:Sodium Symporter Activity (GO:0005343)	2/11	0.0105702754243405	0.127234796774469	0	0	15.2013888888889	69.1619022592831	SLC6A6;SLC38A1
28	Transmembrane Receptor Protein Tyrosine Kinase Activator Activity (GO:0030297)	2/12	0.0125638556512842	0.140363648401492	0	0	13.6805555555556	59.8788502590038	NRG1;HBEGF
29	Platelet-Derived Growth Factor Receptor Binding (GO:0005161)	2/12	0.0125638556512842	0.140363648401492	0	0	13.6805555555556	59.8788502590038	PDGFA;PTPRJ
30	Transcription Coactivator Binding (GO:0001223)	3/34	0.01295664446783	0.140363648401492	0	0	6.63560750814881	28.8393225864697	THRB;EPAS1;TRERF1
31	Transcription Coregulator Binding (GO:0001221)	5/99	0.0146608480185691	0.148899237688592	0	0	3.66106756252333	15.4591314052888	THRB;EPAS1;SIX3;PAX6;TRERF1
32	Histone Deacetylase Binding (GO:0042826)	5/99	0.0146608480185691	0.148899237688592	0	0	3.66106756252333	15.4591314052888	NIPBL;NCOR1;CCND1;NACC2;HES1
33	Alanine Transmembrane Transporter Activity (GO:0022858)	2/14	0.016995979309772	0.167384644717451	0	0	11.3993055555556	46.4496448973408	SLC6A6;SLC38A1
34	Metal Ion Binding (GO:0046872)	14/521	0.0203588384454344	0.194606543963711	0	0	1.92123317039705	7.48174332996188	KCNIP1;IGFBP3;PDE2A;NRG1;LRP2;SLC8A1;NCALD;CDH4;GCLC;CDH2;SYT11;CDH13;APOE;ADGRL3
35	Hexose Transmembrane Transporter Activity (GO:0015149)	2/16	0.0219903418807909	0.204196031750201	0	0	9.76984126984127	37.292968433894	SLC2A3;SLC5A3
36	Voltage-Gated Monoatomic Cation Channel Activity (GO:0022843)	4/76	0.0246037105875075	0.210647607045033	0	0	3.81468531468531	14.1328674457555	CACNB2;CACNB4;KCND3;KCNQ5
37	Cadherin Binding Involved In Cell-Cell Adhesion (GO:0098641)	2/17	0.0246871068226879	0.210647607045033	0	0	9.11805555555556	33.7502470521973	STXBP6;CNN3
38	Phosphoric Diester Hydrolase Activity (GO:0008081)	3/44	0.0258062498605038	0.210647607045033	0	0	5.01461714965582	18.3391498105213	PLCB4;MPPED2;PLCB1
39	Small GTPase Binding (GO:0031267)	7/199	0.0263706970112272	0.210647607045033	0	0	2.51446554770318	9.14134414286637	CDKL5;DOCK3;CDC42EP3;DOCK7;SRGAP3;IQGAP2;BICD2
40	Nucleoside Monophosphate Kinase Activity (GO:0050145)	2/18	0.027511124716412	0.210647607045033	0	0	8.54774305555556	30.7134496459098	CASK;AK5
41	Amino Acid:Sodium Symporter Activity (GO:0005283)	2/18	0.027511124716412	0.210647607045033	0	0	8.54774305555556	30.7134496459098	SLC6A6;SLC38A1
42	Ankyrin Binding (GO:0030506)	2/18	0.027511124716412	0.210647607045033	0	0	8.54774305555556	30.7134496459098	SCN5A;SLC8A1
43	Amyloid-Beta Binding (GO:0001540)	4/79	0.0278702987782658	0.210647607045033	0	0	3.66153846153846	13.1090169949932	CST3;TGFB2;APOE;GRIA4
44	Voltage-Gated Calcium Channel Activity (GO:0005245)	3/47	0.0306163737192306	0.225144638442245	0	0	4.67199873297434	16.2876169378544	CACNB2;CACNB4;SCN5A
45	DNA-binding Transcription Activator Activity, RNA Polymerase II-specific (GO:0001228)	10/348	0.0311738730150801	0.225144638442245	0	0	2.0469146238377	7.09905799933107	EPAS1;NFIB;ZIC3;PRDM16;SIX3;GLIS3;OTX2;TCF4;MEIS2;RUNX1
46	Protein Homodimerization Activity (GO:0042803)	16/662	0.0326023339852105	0.230342577069422	0	0	1.72326049128833	5.89936067809994	TGFB2;GSTM1;TENM3;CADM1;APLP2;PDE2A;PDGFA;POU3F3;SYNE1;NACC2;HES1;APOE;SRGAP3;FGFR2;ABCG2;FGFR1
47	Phosphatidylinositol Phospholipase C Activity (GO:0004435)	2/20	0.0335240932960321	0.231815538749158	0	0	7.59722222222222	25.7962988888257	PLCB4;PLCB1
48	Lysine-Acetylated Histone Binding (GO:0070577)	2/23	0.0433952402886259	0.282069061876068	0	0	6.5109126984127	20.4273734054636	ZMYND8;MLLT3
49	Acetylation-Dependent Protein Binding (GO:0140033)	2/23	0.0433952402886259	0.282069061876068	0	0	6.5109126984127	20.4273734054636	ZMYND8;MLLT3
50	Phospholipase C Activity (GO:0004629)	2/23	0.0433952402886259	0.282069061876068	0	0	6.5109126984127	20.4273734054636	PLCB4;PLCB1
51	GTPase Binding (GO:0051020)	7/225	0.0462620853612133	0.293107540811945	0	0	2.21162511751548	6.79728061141186	CDKL5;DOCK3;CDC42EP3;DOCK7;SRGAP3;IQGAP2;BICD2
52	Glucose Transmembrane Transporter Activity (GO:0005355)	2/24	0.0468972065299111	0.293107540811945	0	0	6.21464646464646	19.0155576499482	SLC2A3;SLC5A3
53	MHC Class II Protein Complex Binding (GO:0023026)	2/25	0.0504987485936228	0.30392765357273	0	0	5.94414251207729	17.7480606770049	CD81;ATP1B1
54	Ferrous Iron Binding (GO:0008198)	2/25	0.0504987485936228	0.30392765357273	0	0	5.94414251207729	17.7480606770049	FTH1;F3
55	DNA-binding Transcription Factor Binding (GO:0140297)	8/282	0.0539613369110713	0.31433176125948	0	0	2.01232075374023	5.87494523015901	SPEN;BEX1;NCOR1;EPAS1;ZMYND8;PRDM16;HES1;CD34
56	Carboxylic Acid Transmembrane Transporter Activity (GO:0046943)	3/59	0.0541617804016335	0.31433176125948	0	0	3.6686162269786	10.6968770075707	SLC6A6;SLC38A1;PDPN
57	Protein Tyrosine Kinase Activity (GO:0004713)	4/99	0.056012411491859	0.319369012892179	0	0	2.88774383511226	8.32300324158933	MERTK;MET;FGFR2;FGFR1
58	Glutathione Transferase Activity (GO:0004364)	2/28	0.0618652239822094	0.320856745756431	0	0	5.25747863247863	14.6304961173468	GSTM1;MGST1
59	Calcium Ion Binding (GO:0005509)	9/346	0.0660680105856773	0.320856745756431	0	0	1.84120933081301	5.00269574874545	CDH4;CDH2;KCNIP1;SYT11;CDH13;LRP2;SLC8A1;NCALD;ADGRL3
60	pre-mRNA Binding (GO:0036002)	2/30	0.0698768981760342	0.320856745756431	0	0	4.88144841269841	12.9896327463446	CELF2;RBM20
61	Protein Kinase Binding (GO:0019901)	12/511	0.0700029930138257	0.320856745756431	0	0	1.66182725162555	4.41915974473926	ACTA2;TPX2;SPRED1;CCND1;NBEA;IRS1;NEDD9;PTPRJ;PAX6;PTPRK;SCN5A;EZR
62	3-hydroxyacyl-CoA Dehydrogenase Activity (GO:0003857)	1/5	0.070434332303681	0.320856745756431	0	0	17.0467128027682	45.2261983626946	HSD17B12
63	Lactate Dehydrogenase Activity (GO:0004457)	1/5	0.070434332303681	0.320856745756431	0	0	17.0467128027682	45.2261983626946	LDHB
64	P-type Sodium Transporter Activity (GO:0008554)	1/5	0.070434332303681	0.320856745756431	0	0	17.0467128027682	45.2261983626946	ATP1A1
65	P-type Sodium:Potassium-Exchanging Transporter Activity (GO:0005391)	1/5	0.070434332303681	0.320856745756431	0	0	17.0467128027682	45.2261983626946	ATP1A1
66	Oxidoreductase Activity, Acting On Metal Ions, Oxygen As Acceptor (GO:0016724)	1/5	0.070434332303681	0.320856745756431	0	0	17.0467128027682	45.2261983626946	FTH1
67	Phosphatidylcholine-Sterol O-acyltransferase Activator Activity (GO:0060228)	1/5	0.070434332303681	0.320856745756431	0	0	17.0467128027682	45.2261983626946	APOE
68	Chromo Shadow Domain Binding (GO:0070087)	1/5	0.070434332303681	0.320856745756431	0	0	17.0467128027682	45.2261983626946	NIPBL
69	Ferroxidase Activity (GO:0004322)	1/5	0.070434332303681	0.320856745756431	0	0	17.0467128027682	45.2261983626946	FTH1
70	Kinase Binding (GO:0019900)	11/460	0.0729297422190049	0.320856745756431	0	0	1.69130125887077	4.42826429730854	ACTA2;TPX2;SPRED1;CCND1;NBEA;WWC1;PTPRJ;PAX6;PTPRK;SCN5A;TTC28
71	Guanyl-Nucleotide Exchange Factor Activity (GO:0005085)	6/203	0.0758532921721188	0.320856745756431	0	0	2.09262172016873	5.39677551231985	PREX2;VAV3;DOCK3;DENND1A;SWAP70;DOCK7
72	Protein Serine/Threonine Kinase Inhibitor Activity (GO:0030291)	2/32	0.0782053501384339	0.320856745756431	0	0	4.55555555555556	11.6094562138694	SPRED1;PKIG
73	Phosphatase Binding (GO:0019902)	4/112	0.0801904541374274	0.320856745756431	0	0	2.53846153846154	6.40542894600651	SPRED1;ITGA1;MET;SYTL2
74	Sphingosine N-acyltransferase Activity (GO:0050291)	1/6	0.0839163796593742	0.320856745756431	0	0	13.636678200692	33.7907947816595	CERS4
75	Sphingosine-1-Phosphate Phosphatase Activity (GO:0042392)	1/6	0.0839163796593742	0.320856745756431	0	0	13.636678200692	33.7907947816595	PLPP3
76	Gamma-Aminobutyric Acid Transmembrane Transporter Activity (GO:0015185)	1/6	0.0839163796593742	0.320856745756431	0	0	13.636678200692	33.7907947816595	SLC6A6
77	Glucose:Sodium Symporter Activity (GO:0005412)	1/6	0.0839163796593742	0.320856745756431	0	0	13.636678200692	33.7907947816595	SLC5A3
78	Symporter Activity (GO:0015293)	1/6	0.0839163796593742	0.320856745756431	0	0	13.636678200692	33.7907947816595	SLC4A4
79	MHC Class II Protein Binding (GO:0042289)	1/6	0.0839163796593742	0.320856745756431	0	0	13.636678200692	33.7907947816595	CD81
80	P-type Potassium Transmembrane Transporter Activity (GO:0008556)	1/6	0.0839163796593742	0.320856745756431	0	0	13.636678200692	33.7907947816595	ATP1A1
81	Monosaccharide Transmembrane Transporter Activity (GO:0015145)	1/6	0.0839163796593742	0.320856745756431	0	0	13.636678200692	33.7907947816595	SLC5A3
82	Nitric-Oxide Synthase Binding (GO:0050998)	1/6	0.0839163796593742	0.320856745756431	0	0	13.636678200692	33.7907947816595	SCN5A
83	Adenylate Kinase Activity (GO:0004017)	1/6	0.0839163796593742	0.320856745756431	0	0	13.636678200692	33.7907947816595	AK5
84	Cell-Matrix Adhesion Mediator Activity (GO:0098634)	1/6	0.0839163796593742	0.320856745756431	0	0	13.636678200692	33.7907947816595	ITGA1
85	Serine-Type Exopeptidase Activity (GO:0070008)	1/6	0.0839163796593742	0.320856745756431	0	0	13.636678200692	33.7907947816595	CPD
86	Solute:Sodium Symporter Activity (GO:0015370)	2/34	0.0868258431522514	0.328120918889322	0	0	4.27039930555556	10.4362194828652	SLC4A4;SLC5A3
87	Histone H3 Methyltransferase Activity (GO:0140938)	2/36	0.0957147936236398	0.329665730065437	0	0	4.0187908496732	9.42962015572972	SETBP1;PRDM16
88	Phosphatidylinositol-3,4,5-Trisphosphate Binding (GO:0005547)	2/36	0.0957147936236398	0.329665730065437	0	0	4.0187908496732	9.42962015572972	MYO10;IQGAP2
89	Fructose Transmembrane Transporter Activity (GO:0005353)	1/7	0.0972035552199295	0.329665730065437	0	0	11.363321799308	26.4873121288186	SLC2A3
90	3',5'-cyclic-GMP Phosphodiesterase Activity (GO:0047555)	1/7	0.0972035552199295	0.329665730065437	0	0	11.363321799308	26.4873121288186	PDE2A
91	Urate Transmembrane Transporter Activity (GO:0015143)	1/7	0.0972035552199295	0.329665730065437	0	0	11.363321799308	26.4873121288186	ABCG2
92	Interleukin-17 Receptor Activity (GO:0030368)	1/7	0.0972035552199295	0.329665730065437	0	0	11.363321799308	26.4873121288186	IL17RC
93	Armadillo Repeat Domain Binding (GO:0070016)	1/7	0.0972035552199295	0.329665730065437	0	0	11.363321799308	26.4873121288186	CTNNBIP1
94	Calcium:Monoatomic Cation Antiporter Activity (GO:0015368)	1/7	0.0972035552199295	0.329665730065437	0	0	11.363321799308	26.4873121288186	SLC8A1
95	Dehydroascorbic Acid Transmembrane Transporter Activity (GO:0033300)	1/7	0.0972035552199295	0.329665730065437	0	0	11.363321799308	26.4873121288186	SLC2A3
96	Protein Tyrosine Phosphatase Activity (GO:0004725)	3/76	0.0983048278554164	0.329665730065437	0	0	2.81184668989547	6.52259054570799	EYA1;PTPRJ;PTPRK
97	Sodium Channel Activity (GO:0005272)	2/37	0.100252874585758	0.329665730065437	0	0	3.90376984126984	8.97890306160754	SHROOM2;SCN5A
98	Sulfotransferase Activity (GO:0008146)	2/38	0.10484972552658	0.329665730065437	0	0	3.79513888888889	8.55890022005208	WSCD2;HS6ST1
99	Transcription Regulatory Region Nucleic Acid Binding (GO:0001067)	6/224	0.108287606611972	0.329665730065437	0	0	1.88900374725417	4.19918839752832	SOX2;NCOR1;PRDM16;ZBTB20;PAX6;RUNX1
100	DNA Binding (GO:0003677)	17/846	0.110039279527959	0.329665730065437	0	0	1.41826287905902	3.12998972096098	THRB;EPAS1;APLP2;CHD7;PAX6;ZIC4;MEIS2;POU3F3;SOX2;ZIC2;NFIB;ZIC3;PRDM16;TCF4;HES1;HIVEP2;TEAD1
101	Guanylate Kinase Activity (GO:0004385)	1/8	0.110298665499475	0.329665730065437	0	0	9.73949579831933	21.4713364742011	CASK
102	Type II Transforming Growth Factor Beta Receptor Binding (GO:0005114)	1/8	0.110298665499475	0.329665730065437	0	0	9.73949579831933	21.4713364742011	TGFB2
103	L-glutamine Transmembrane Transporter Activity (GO:0015186)	1/8	0.110298665499475	0.329665730065437	0	0	9.73949579831933	21.4713364742011	SLC38A1
104	cAMP-dependent Protein Kinase Inhibitor Activity (GO:0004862)	1/8	0.110298665499475	0.329665730065437	0	0	9.73949579831933	21.4713364742011	PKIG
105	pre-mRNA Intronic Binding (GO:0097157)	1/8	0.110298665499475	0.329665730065437	0	0	9.73949579831933	21.4713364742011	RBM20
106	RNA Polymerase II-specific DNA-binding Transcription Factor Binding (GO:0061629)	6/228	0.115166633839206	0.329665730065437	0	0	1.85458698134754	4.00845832531939	SPEN;BEX1;NCOR1;EPAS1;HES1;CD34
107	Cytokine Activity (GO:0005125)	5/178	0.117549499692349	0.329665730065437	0	0	1.98123922523071	4.24162665710255	BMP4;TGFB2;EDN1;NRG1;ALKAL1
108	Neutral L-amino Acid Transmembrane Transporter Activity (GO:0015175)	2/41	0.118966779684983	0.329665730065437	0	0	3.50267094017094	7.45687464891748	SLC6A6;SLC38A1
109	Glutathione Binding (GO:0043295)	1/9	0.123204476945544	0.329665730065437	0	0	8.52162629757786	17.8435175808195	GSTM1
110	Glycine Transmembrane Transporter Activity (GO:0015187)	1/9	0.123204476945544	0.329665730065437	0	0	8.52162629757786	17.8435175808195	SLC38A1
111	Histone H3K9 Methyltransferase Activity (GO:0046974)	1/9	0.123204476945544	0.329665730065437	0	0	8.52162629757786	17.8435175808195	PRDM16
112	Voltage-Gated Chloride Channel Activity (GO:0005247)	1/9	0.123204476945544	0.329665730065437	0	0	8.52162629757786	17.8435175808195	CLCN5
