Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Regulation Of Cell Migration (GO:0030334)	64/434	4.26488678386801e-11	1.6027444533776e-07	0	0	2.75723411723412	65.837292465098	ITGB1;SEMA5B;PLXND1;ZMYND8;SERPINE1;TNC;ARID4A;MIA3;PTPRJ;ARID4B;MYLK;AMOT;IGF1R;PPP3CA;SIN3B;DPYSL3;ACVR1;EPHA4;EDN1;SEMA6D;APLP2;ACTN4;RHOC;TIAM1;TMEFF2;SFRP1;RAP2B;CDH11;CLDN19;HBEGF;MACF1;CEMIP;SF3B3;NOTCH1;SEMA3C;PDGFA;PIK3R3;NEDD9;NEXN;SEMA3E;THBS1;EGFR;PPM1F;CORO1C;DDRGK1;PODXL;PDPN;GCNT2;PLXNA2;HAS2;SRGAP3;HSPA5;CAV1;SULF1;SORL1;PTK2;TJP1;DAB2;CXCL12;TRIP6;PLXNB2;F2RL1;AMOTL2;BCAR1
Positive Regulation Of Cell Migration (GO:0030335)	44/272	2.73970128996268e-09	5.14789872383987e-06	0	0	3.04715192235909	60.0758706311208	ITGB1;SEMA5B;CEMIP;NOTCH1;SEMA3C;SEMA3A;PDGFA;PIK3R3;NEDD9;MIA3;SEMA3E;THBS1;EGFR;PPM1F;MYLK;IGF1R;PPP3CA;DDRGK1;PODXL;PDPN;GCNT2;CCN4;HAS2;ACVR1;EPHA4;EDN1;TGFB2;HSPA5;PRKCE;SEMA6D;CAV1;DAB2IP;ACTN4;RHOC;PTK2;TJP1;TIAM1;DAB2;CXCL12;AGO2;TRIP6;F2RL1;BCAR1;HBEGF
Axon Guidance (GO:0007411)	30/149	5.63844111247747e-09	7.06308723356345e-06	0	0	3.95685944689061	75.1552359118841	CYFIP2;SEMA5B;TRIO;NOTCH1;PLXND1;SEMA3C;SEMA3A;PTPRM;NEXN;SEMA3E;EFNA5;EFNB2;ALCAM;KIF5C;KIF5B;BOC;PLXNA2;OTX2;NEO1;VASP;EPHA4;RYK;SEMA6D;WNT5A;PTK2;ENAH;CXCL12;PALLD;NFIB;PLXNB2
Positive Regulation Of Cell Motility (GO:2000147)	37/221	1.95766634942049e-08	1.83922753528055e-05	0	0	3.16380214080777	56.1540951952923	ITGB1;SEMA5B;CEMIP;NOTCH1;SEMA3C;PDGFA;PIK3R3;NEDD9;SEMA3E;THBS1;EGFR;PPM1F;MYLK;IGF1R;PPP3CA;DDRGK1;PODXL;PDPN;GCNT2;HAS2;ACVR1;EPHA4;EDN1;HSPA5;SEMA6D;CAV1;ACTN4;RHOC;PTK2;TJP1;TIAM1;DAB2;CXCL12;TRIP6;F2RL1;BCAR1;HBEGF
Regulation Of Intracellular Signal Transduction (GO:1902531)	43/297	1.14203112657732e-07	8.58350594735516e-05	0	0	2.66705835877658	42.6336940679669	ARHGAP11A;TRIO;DOCK3;PAK1IP1;WWC2;ARAF;HSPB1;ARHGEF10L;STK4;EGFR;AURKA;AKAP12;FGD3;PREX1;FGD4;SPRED1;LBH;RACGAP1;TMEM127;PTPMT1;ITGAV;KMT5A;SRGAP3;FBXO9;LYN;VAV3;WWTR1;PDPK1;SWAP70;PDE2A;WNT5A;DAB2IP;ARHGAP26;VAV2;HIPK2;NFKBIA;TIAM1;ARHGAP31;F2RL1;RHOU;UBE2V1;EZR;DIPK2A
Protein Modification Process (GO:0036211)	79/711	1.57182526055073e-07	9.84486554858274e-05	0	0	1.99002192982456	31.1754012093952	CHRM3;APP;CCNT1;MAST2;ARAF;JADE1;PTPRM;PLOD2;PTPRJ;PLAT;TRIOBP;LOXL1;GOLGA2;PPP3CA;RB1CC1;NEK2;MACROD2;JAK2;LARGE1;JAK1;ACVR1;BRD2;EPHA4;CDKL5;PDPK1;PRKCE;FBXO2;CSNK2A2;PPP2R5A;CSNK1E;PPP2R5C;LOX;INCENP;PEAK1;CSNK2B;PIGK;BIRC6;GAS6;B4GALT5;CTDP1;RPN2;PPM1L;CDCA8;GLRX;STK4;PPM1E;THBS1;PPM1F;AURKA;UGCG;GRK5;MAN2A1;GCNT2;MAP3K20;MARK3;MAP4K3;LYN;UVRAG;EGLN3;METAP1D;TGFB2;RYK;NEK6;BRAF;PTPN11;EIF2AK4;PTPN12;HIPK3;DCLK1;PTK2;HIPK2;MAPK10;PTPRA;COPS2;CPE;TAF7;STT3B;TAF3;FGFR1
Axonogenesis (GO:0007409)	31/188	3.84042280437014e-07	0.000180826726755057	0	0	3.09541272598597	45.7270253080009	CYFIP2;APP;SEMA5B;TRIO;NOTCH1;SEMA3C;SEMA3A;SSNA1;NEXN;SEMA3E;EFNA5;EFNB2;KIF5C;KIF5B;BOC;OTX2;NEO1;VASP;EPHA4;RYK;APLP2;SEMA6D;WNT5A;PTK2;PAX2;ENAH;CXCL12;PALLD;MAP1B;PARD3;B4GALT5
Neuron Projection Guidance (GO:0097485)	24/124	3.99618577379406e-07	0.000180826726755057	0	0	3.75183263598326	55.274832157426	CYFIP2;VASP;SEMA5B;EPHA4;TRIO;NOTCH1;SEMA3C;RYK;SEMA6D;SEMA3A;WNT5A;NEXN;SEMA3E;EFNA5;PTK2;EFNB2;ENAH;CXCL12;KIF5C;PALLD;KIF5B;BOC;OTX2;NEO1
Endocytosis (GO:0006897)	31/189	4.33060282276613e-07	0.000180826726755057	0	0	3.07565635255509	45.0657129960737	ITGB1;APP;HIP1;DENND1A;INPPL1;LDLRAD3;LRP2;RAB22A;TM9SF4;CORO1C;CYTH2;PDLIM7;ANXA3;CAV1;M6PR;CSNK1E;MERTK;HSPG2;SORL1;DAB2;SNX18;EHD4;BIN1;RHOJ;PPT1;RIN3;RHOU;GAS6;STEAP2;MET;PICALM
Regulation Of Focal Adhesion Assembly (GO:0051893)	15/54	4.96382092708391e-07	0.000186540390439813	0	0	5.98709430104779	86.9081810598005	MACF1;PTPRJ;EFNA5;THBS1;PPM1F;PTK2;CORO1C;SFRP1;PEAK1;PTPRA;TLN1;PHLDB2;GPM6B;S100A10;LIMS1
