Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Translation (GO:0006412)	53/234	9.76330515753605e-16	3.69541100212739e-12	0	0	4.30435011563154	148.770093031174	RPLP0;RPL10A;RPL7;MRPL33;RPS15;RPS14;MRPL42;EEF2K;RPL36;RACK1;RPLP2;RPL38;RPS11;RPS13;MRPS28;EIF5A;TSFM;RPL21;MRPS24;MRPS23;RPS6;RPL13A;MRPL48;QRSL1;MRPL52;EEF1A1;RPL24;RPL27;RPL26;RPL28;UBA52;MRPL17;MRPL58;MRPL12;MRPL57;MRPL10;MRPL54;MRPL11;MRPL55;EIF4EBP2;IARS2;IGF2BP3;RPL15;RPL17;RPL19;RWDD1;RPL41;MRPL27;EEF2;RPS26;DRG1;RPS24;FARSB
Cytoplasmic Translation (GO:0002181)	29/93	6.26066171955392e-13	1.18483023042558e-09	0	0	6.57755261106781	184.824757762398	EIF4A1;RPLP0;RPL10A;RPL7;RPS15;RPS14;RACK1;RPL36;RPLP2;RPL38;RPL15;RPS11;RPL17;RPS13;RPL19;RWDD1;EIF2B3;RPL41;RPL21;RPS6;RPL13A;RPS26;EIF3I;RPL24;RPL27;RPL26;RPL28;UBA52;RPS24
Macromolecule Biosynthetic Process (GO:0009059)	39/183	4.38609467803557e-11	5.53378945212154e-08	0	0	3.9452736318408	94.0947634422618	RPLP0;RPL10A;MRPL12;MRPL10;RPL7;MRPL11;MRPL55;RPS15;RPS14;MRPL42;EEF2K;POLD2;RPL36;EIF4EBP2;RPLP2;RPL38;IGF2BP3;RPL15;RPS11;RPL17;RPS13;RPL19;EIF5A;TSFM;RPL41;RPL21;RPS6;MRPL27;RPL13A;EEF2;EEF1A1;RPS26;MRPL52;RPL24;RPL27;RPL26;RPL28;RPS24;FARSB
Peptide Biosynthetic Process (GO:0043043)	35/158	1.40555039322398e-10	1.33000205958819e-07	0	0	4.13682347473436	93.8455861187146	RPLP0;RPL10A;MRPL12;MRPL10;GGTA1;RPL7;MRPL11;MRPL55;RPS15;RPS14;MRPL42;RPL36;EIF4EBP2;RPLP2;RPL38;IGF2BP3;RPL15;RPS11;RPL17;RPS13;RPL19;RPL41;RPL21;RPS6;MRPL27;RPL13A;EEF1A1;RPS26;MRPL52;RPL24;RPL27;RPL26;RPL28;RPS24;FARSB
Gene Expression (GO:0010467)	50/296	6.04038673233648e-10	4.57257275637872e-07	0	0	2.97018540708386	63.0492628949475	NUP107;EIF4A3;RPLP0;RPL10A;RPL7;RPS15;RPS14;MRPL42;CASP8;RPL36;RPLP2;RPL38;RPS11;RPS13;RPL21;DIS3;RPS6;RPL13A;THOC7;MRPL52;EEF1A1;SARNP;RPL24;SRSF3;RPL27;RPL26;RPL28;RBMS2;NUFIP1;MRPL12;MRPL10;MRPL11;MRPL55;EXOSC7;EXOSC5;PABPN1;TSPAN5;EIF4EBP2;IGF2BP3;RPL15;RPL17;RPL19;RPL41;RBPMS;MRPL27;RPS26;TSPAN14;HNRNPA2B1;RPS24;FARSB
Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507)	58/456	9.67087174362203e-07	0.000610070825826823	0	0	2.12549990783262	29.4359997542429	RB1;THRA;NAB1;CHD8;LOXL3;AHR;RBPJ;PHB2;CCAR2;ELK3;ZMYM2;MECOM;BCL7A;SOX9;FOXD1;FBXW11;ARID5B;SIRT1;RUNX2;POU3F3;FOXP1;EREG;ZEB1;KAT6B;PSPC1;RARA;TIMELESS;PPARG;ZFPM2;HDAC5;HDAC2;L3MBTL3;HDAC3;PDGFB;HMBOX1;SBNO2;PRDM16;ATOH8;NKX2-1;INPP5K;PATZ1;RUNX1T1;TCF7L2;TGFB1;CDKN2A;XRCC5;CBX3;HMGA2;NR1D2;WWP2;NR2F2;PA2G4;KLF4;TBX3;BMP4;DAP;ID3;BCOR
Regulation Of miRNA Transcription (GO:1902893)	15/59	4.25175139305891e-06	0.00229898271753256	0	0	4.90046961519591	60.609888165479	SREBF1;TGFB1;MRTFB;PDGFB;FOXO3;KLF4;FGF2;GNL3;BMP4;KLF5;MYC;ATOH8;RARA;PPARG;SOX9
Regulation Of DNA Biosynthetic Process (GO:2000278)	11/34	6.51420381076729e-06	0.0029749821771025	0	0	6.86144437389299	81.936113393286	PDGFRB;TOM1L1;HMBOX1;PARP4;PINX1;PDGFB;ANKRD1;NABP2;KAT7;JADE2;FGF2
Regulation Of Apoptotic Process (GO:0042981)	77/705	7.07393384251584e-06	0.0029749821771025	0	0	1.79300652414967	21.2634325887369	ARF4;RARG;FHL2;YEATS4;PHB2;CCAR2;AQP1;PTMS;BABAM2;LGALS1;CASP8;ADAMTSL4;MYC;RUVBL2;RACK1;ANKRD1;CYP1B1;CTSH;EMILIN1;SOX9;IER3;CTSB;BNIP3L;MEF2C;APAF1;TSC22D1;UTP11;ANXA4;IGFBP3;ANXA5;RPS6;NME2;SIRT1;DUSP6;POU3F3;NME1;CLIP3;HCK;LATS2;ITGA6;NUPR1;SGK1;ATF6;PTMA;NOTCH2;HDAC2;PHLPP1;HDAC3;ANP32A;HTRA2;OMA1;FOXO3;LRP8;RTN4;PRDX2;MAPK8;MIEN1;ABL2;WNT10B;PRELID1;EGR3;CRADD;BNIP3;TNFRSF10B;HMGA2;PA2G4;MT3;TBX3;BMP4;AHI1;RPS6KB1;APEX1;NF1;TRIM35;SPRY2;NAA16;TPT1
Cellular Response To Growth Factor Stimulus (GO:0071363)	26/155	8.82417184026857e-06	0.00333994904154166	0	0	2.90868868072384	33.8513648293942	FLT1;PDGFB;HTRA2;ZFP36L1;ANKRD1;RACK1;INPP5K;SOX9;SOX6;PDE8A;APPL1;MEF2C;SEMA6A;EGR3;TGFB1;KLF4;RUNX2;EEF1A1;ERN1;BMP4;SLC4A7;NR4A1;RPS6KB1;RAPGEF2;SPRY2;BMPR1A
Positive Regulation Of miRNA Metabolic Process (GO:2000630)	13/49	1.11453894178442e-05	0.00383502717695821	0	0	5.18509964930288	59.1333893628301	SREBF1;PNPT1;TGFB1;MRTFB;PDGFB;FOXO3;KLF4;FGF2;GNL3;KLF5;MYC;ATOH8;PPARG
Positive Regulation Of miRNA Transcription (GO:1902895)	12/43	1.37812752509676e-05	0.00434684390207604	0	0	5.55543424317618	62.1775297645568	SREBF1;TGFB1;KLF5;MYC;ATOH8;PDGFB;MRTFB;PPARG;FOXO3;KLF4;FGF2;GNL3
