"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Fbln2",0,6.72123718191832,0.988,0.048,0
"Col1a2",0,7.02248620446152,1,0.088,0
"Col1a1",0,6.23934542350695,0.98,0.086,0
"Bgn",0,5.79857700076004,0.976,0.083,0
"Aebp1",0,5.58710007942444,0.908,0.04,0
"Xist",0,6.62518950530964,0.884,0.018,0
"Col3a1",0,5.68175301149652,0.88,0.051,0
"Dkk2",0,7.28456711946613,0.831,0.01,0
"Efemp1",0,6.44656864161421,0.827,0.021,0
"Lama2",0,4.69729852027477,0.839,0.063,0
"Col6a3",0,7.2468911134982,0.775,0.009,0
"Ptgis",0,6.43001468575359,0.775,0.013,0
"Gask1b",0,5.79265870209899,0.759,0.026,0
"Cspg4",0,6.1474835475402,0.671,0.011,0
"Tinagl1",0,6.01261992642925,0.663,0.015,0
"Mmp2",0,5.05766727082743,0.667,0.024,0
"Cthrc1",0,6.1702665906464,0.659,0.017,0
"Flt1",0,6.43435439436127,0.631,0.01,0
"Ptprz1",0,6.26590967587373,0.582,0.009,0
"Pcdh9",0,7.18725181693539,0.574,0.008,0
"Myo1b",0,7.70329686056242,0.526,0.003,0
"Grem2",0,8.86397680160545,0.518,0.002,0
"Krt19",0,5.42819718545022,0.518,0.012,0
"Apbb1ip",0,6.95894824427617,0.434,0.005,0
"Fmn1",1.70245525966216e-307,4.87523279254013,0.839,0.074,5.4963768058193e-303
"Tfpi",7.15518543228193e-307,4.9019737051486,0.566,0.019,2.31005161681222e-302
"Nid1",3.51968975510319e-304,4.51974502589388,0.763,0.053,1.13633183743507e-299
"Gpx7",2.27316651272192e-298,5.61541459210078,0.474,0.01,7.33891808632271e-294
"Tsix",6.19376870072029e-298,6.23666212948814,0.43,0.006,1.99965822502754e-293
"Fam129a",7.38702503075962e-296,6.73932410146996,0.39,0.003,2.38490103118074e-291
"Prdm6",5.05034652021682e-288,10.3296700858824,0.341,0,1.630504374052e-283
"Lgals3",1.59181143793957e-286,4.27160571060449,0.715,0.048,5.13916322738791e-282
"Bicc1",3.8133230401296e-282,5.01235143480218,0.506,0.016,1.23113134350584e-277
"Adamts6",7.23153862732835e-279,5.4952193277703,0.458,0.011,2.33470224583296e-274
"Gm50397",2.30346733607821e-271,5.44316271444878,0.482,0.015,7.43674429452849e-267
"Rnase4",6.86652151467542e-263,5.46132375551881,0.402,0.007,2.21685647101296e-258
"Bmpr1b",1.55676591891622e-248,4.70817124320519,0.494,0.02,5.02601876922101e-244
"Arhgef5",1.8725371528934e-242,7.14258838516137,0.297,0.001,6.04548619811634e-238
"Tmem119",7.38508487987763e-242,6.00027603478259,0.349,0.005,2.38427465346849e-237
"Osr1",3.04123109230773e-234,5.44972311448591,0.369,0.007,9.81861458151551e-230
"Syk",2.62004896862956e-230,7.0736024986659,0.305,0.002,8.45882809522052e-226
"Crlf1",2.82148365605918e-230,4.01012330156243,0.831,0.108,9.10915998358708e-226
"Foxd1",1.92648771345371e-228,5.66695983372798,0.361,0.007,6.2196655828853e-224
"Sema3a",2.70582623972687e-226,3.92797478192737,0.88,0.136,8.73576001495819e-222
