"SYMBOL_UPPER","Overall_pvalue","Expression_coef_FA","Expression_Lower95_FA","Expression_Upper95_FA","Expression_SE_FA","Expression_pvalue_FA","Recurrence_Recurrent_coef_FA","Recurrence_Recurrent_Lower95_FA","Recurrence_Recurrent_Upper95_FA","Recurrence_Recurrent_SE_FA","Recurrence_Recurrent_pvalue_FA","Recurrence_Secondary_coef_FA","Recurrence_Secondary_Lower95_FA","Recurrence_Secondary_Upper95_FA","Recurrence_Secondary_SE_FA","Recurrence_Secondary_pvalue_FA","Age_coef_FA","Age_Lower95_FA","Age_Upper95_FA","Age_SE_FA","Age_pvalue_FA","Subtype_Mesenchymal_coef_FA","Subtype_Mesenchymal_Lower95_FA","Subtype_Mesenchymal_Upper95_FA","Subtype_Mesenchymal_SE_FA","Subtype_Mesenchymal_pvalue_FA","Subtype_Proneural_coef_FA","Subtype_Proneural_Lower95_FA","Subtype_Proneural_Upper95_FA","Subtype_Proneural_SE_FA","Subtype_Proneural_pvalue_FA","MGMT_Unmethylated_coef_FA","MGMT_Unmethylated_Lower95_FA","MGMT_Unmethylated_Upper95_FA","MGMT_Unmethylated_SE_FA","MGMT_Unmethylated_pvalue_FA"
"ZFX",2.04729915175256e-06,1.02784378266722,0.692583211890993,1.52539481672268,0.201427211304714,0.891550121062784,0.506173215431776,0.251436133778004,1.01899166269696,0.356991211657136,0.0564864606433256,0.511311972531046,0.156722776905759,1.6681680762382,0.60332814001945,0.26622761952658,1.02775136814982,1.0153720719615,1.04028159125286,0.0061828479584789,9.54231794228717e-06,0.928355479708469,0.672226323988775,1.28207400684763,0.164706926526681,0.651736927688367,0.903448181811012,0.643426764797218,1.2685493701445,0.173171826317702,0.557651111513206,1.29500032569933,0.985800983541061,1.70118093972415,0.139192217720062,0.0632794764511886
"KLF4",6.69601144692182e-07,1.15762289667086,0.973178411323624,1.37702476267838,0.0885508756515024,0.0983444747471577,0.454011069071427,0.226940272642779,0.908283260784824,0.353799721667986,0.0256237962515706,0.46988343112614,0.142645937440539,1.54782142981752,0.608235180045237,0.21433209302871,1.02844157802089,1.01596380733225,1.041072597044,0.0062281244377335,6.70322332594443e-06,0.893082214365632,0.648500762621957,1.22990733024192,0.163276195270874,0.48859312043587,0.932171165897739,0.662195267306801,1.3122157850285,0.174470539639397,0.687255213921949,1.29173313420109,0.983112934859099,1.69723582187647,0.139296492783977,0.0661069765912723
"KLF9",2.00940134780273e-08,1.2465181101458,1.08698486453465,1.42946553316238,0.0698719312101925,0.0016122228317707,0.683607314725283,0.341065750226921,1.37017264394033,0.354755690592964,0.283626949599094,0.478073342935691,0.145499524306757,1.57082383818552,0.606945510209195,0.224019204617287,1.02937235875804,1.01677415380904,1.04212666009023,0.00628288823329505,4.07274666282542e-06,1.11013488628868,0.79622821870175,1.54779677083613,0.169569929376506,0.537791574035221,1.20216407523136,0.823303104343678,1.75536622679075,0.193143438203021,0.340438907073001,1.33842530878285,1.01581222863726,1.76349748180691,0.14071955641775,0.0383165931833125
"ZIC1",2.6865008150243e-07,0.911669637058182,0.839960393069441,0.989500855030298,0.0417981888494187,0.0269336194394339,0.375674401456376,0.179863882081851,0.784655897982795,0.375783670674213,0.00917915177222217,0.531344708511678,0.162636036071887,1.73594491160967,0.604039763953019,0.295164738820254,1.02734292855716,1.01507267838835,1.03976150213414,0.00613050747847286,1.08124398509818e-05,0.880594273767603,0.638769757058265,1.21396836093723,0.163805519555174,0.43758605921428,0.846165458312293,0.599203258021698,1.19491336746858,0.176081831570834,0.342797693285011,1.2601656849173,0.958525688373031,1.65672925901291,0.139595485784702,0.0976158419747216
"KLF5",1.44363683112124e-06,1.05275726032167,0.943846198583466,1.17423564434897,0.0557177258189481,0.356145426031586,0.451424606172503,0.217545010493306,0.936744881419702,0.37245714999598,0.0327279327839679,0.514816070208519,0.157861903000224,1.67890783721622,0.603117752048372,0.270959485183455,1.0275744325773,1.01522510449483,1.04007397946682,0.00616885799553461,1.03646332187442e-05,0.898438727848684,0.647830009365149,1.24599375766705,0.166855198331491,0.520967624272468,0.881392377094307,0.624917329705895,1.24312846751356,0.175454007283957,0.471786505728224,1.27108250892342,0.965064664603823,1.67413729229669,0.140527621298043,0.0878375852392054
"TCF7L1",1.20779781932441e-06,0.919763572802918,0.793213399215664,1.06650370592792,0.0755240213547886,0.268101989916941,0.496020757993107,0.252193292867889,0.975587374121574,0.345119580409122,0.0421963501258819,0.551973407020038,0.168392565995718,1.8093117131136,0.605726392361032,0.326561953497888,1.02762934469243,1.01533695523855,1.04007055453318,0.00613991352208581,9.04143231724842e-06,0.881259012934499,0.632032094499345,1.22876267619522,0.169600772690955,0.456089520233642,0.917283727459332,0.652664896344641,1.28919058060904,0.173652686203692,0.619054799834479,1.30154450060718,0.990915692082978,1.70954814884387,0.139123708728009,0.0581760523204227
"KLF10",2.02881391833484e-06,1.02437656106992,0.806976983327035,1.30034357924702,0.12170852562578,0.8431356649435,0.510111276532624,0.259427427381694,1.00303008464441,0.344981793700155,0.0510339787341174,0.520375588212045,0.157814687940198,1.71587801073145,0.608750651409165,0.283260064951202,1.02776034134413,1.0153735493911,1.0402982428223,0.00618656016983589,9.59754211227205e-06,0.926861040865391,0.67175699391138,1.27884249343209,0.164241279925841,0.643766304058196,0.900103186446385,0.639541423165878,1.26682294047558,0.17436953833459,0.54612327659577,1.29622088774627,0.987004299361231,1.70231131811392,0.139050465825779,0.0620566082233177
"THAP1",1.8597234777143e-06,0.93509909277963,0.71382890020298,1.22495784783811,0.137762331008625,0.626193935887689,0.511772958341907,0.260910421477654,1.00383710013078,0.343732821410896,0.0513166478004965,0.534472273616127,0.161828587538816,1.76520487269207,0.609573538907692,0.304078079002442,1.02788729314354,1.01547346994328,1.0404528711764,0.00619937280414037,9.12960180471283e-06,0.924890572689062,0.672940121585046,1.27117189778228,0.162257612857003,0.630367857074814,0.904367853095953,0.644314406662129,1.26938216072246,0.172987555571439,0.561188580995849,1.29752161016038,0.987947872246366,1.70410036412666,0.139074665049612,0.0610990291899964
"KLF3",1.47961865883687e-06,1.15457350561968,0.836701518448502,1.59320851042648,0.164298374864506,0.381673468671352,0.489352518969765,0.247582631110911,0.967216022980139,0.347628192891647,0.0397967740343511,0.497287230776506,0.151618859911048,1.63102789480444,0.606030481396935,0.249022596524748,1.02812655608983,1.015690526012,1.0407148518826,0.00620907639843965,7.91855015176696e-06,0.928136880469354,0.676653758984757,1.27308547015223,0.161237409010451,0.643706105993033,0.898014210701968,0.639245559275966,1.26153324167957,0.173420138491366,0.535072160017311,1.28678450774418,0.979431152174062,1.6905878128289,0.139252461734243,0.070185028983308
"REST",6.69641464625749e-08,0.620348373825242,0.440542043088122,0.873542289426038,0.174633478659265,0.00625416115517915,0.56872053582957,0.287828775656792,1.12373423100666,0.347467297764747,0.10432715645973,0.550361769429888,0.167213990431708,1.81143979919374,0.607818032377786,0.325855010748855,1.02745197991115,1.01499044397085,1.04006651224557,0.00622599898281384,1.36253663795119e-05,0.996252551796378,0.723944090063043,1.37098867244619,0.162904333083304,0.981612628978482,0.8798417867853,0.62562461980703,1.2373579064269,0.173978483220084,0.461853094816195,1.25951816485868,0.958458209538345,1.65514363779416,0.139369171291617,0.0978179162272782
"WT1",1.46852070104989e-06,1.10089571813316,0.895773101750217,1.35298925568976,0.105202071068349,0.360869481335969,0.454544150843895,0.218359356436701,0.946194330474184,0.374064486185624,0.0350466493476577,0.505147900424309,0.154737346857013,1.64908088762104,0.603644824442836,0.257928404832421,1.02666421817524,1.01415033034718,1.03933251840537,0.00625714276202048,2.60411800856409e-05,0.935845680074707,0.68201472263327,1.28414696611385,0.161431204152805,0.681270302396914,0.914612851576906,0.650370260200446,1.28621605177922,0.173961885834427,0.607903194223927,1.29978836694211,0.989473733019932,1.70742258481359,0.139177820974596,0.059574265515764
"KLF2",4.52039778532985e-07,1.22938944353444,0.994100805289272,1.52036734688502,0.108386850036172,0.056731265396832,0.606881815912654,0.304347478303763,1.21014815216521,0.352130960670199,0.156108279278355,0.534974717466038,0.164104398006507,1.74399925781709,0.602927757611843,0.299504254078789,1.03028868169744,1.01758847360183,1.0431473971758,0.006328407085752,2.41598775950005e-06,0.920821740249672,0.670981772912842,1.26368958375055,0.161495056675952,0.609503525352911,0.985275231543431,0.693923558756732,1.39895420704874,0.178860029692409,0.933901012697731,1.3555459402884,1.02756824562781,1.78820706464095,0.141333819931327,0.0313673296873439
"ZNF682",2.05833812526461e-06,0.982290458723967,0.630861485696925,1.52948716505368,0.225922888388952,0.936961071572427,0.511993660826392,0.260669803229209,1.00563051599771,0.34442355289982,0.0519362016330577,0.51473457967281,0.156270041429576,1.69547332993027,0.608208034635549,0.274875946526778,1.02777309386755,1.0153081178938,1.04039110282044,0.00622577052493813,1.08168654094036e-05,0.928495674404521,0.664564002101219,1.29724784168583,0.170632998888411,0.663714713925804,0.905454351173021,0.642939021756224,1.27515604795412,0.174690443367363,0.56966869834624,1.29634623878201,0.987015447624595,1.70262134685802,0.139094040776316,0.0620411223668168
"SP2",2.02347837315852e-06,1.07221416543965,0.563397865755937,2.04055302024781,0.328319826620378,0.831817099963958,0.518441330528535,0.26232309383508,1.02461971331116,0.347582888124881,0.0587592100555359,0.507742630115611,0.155299152363236,1.66003854183139,0.604409786521745,0.262120832907146,1.02772275863223,1.01533884966933,1.04025771194968,0.00618533906213657,9.82410114154861e-06,0.949603034190243,0.664545176042059,1.35693697742867,0.182116192174386,0.776451443251114,0.911196339687276,0.643756996887946,1.28973941017065,0.177267070706358,0.599851172519176,1.29909467246947,0.988325232547496,1.70758259777351,0.139498006540372,0.0606854507090298
"TFAP2A",5.9991637977795e-07,1.19034244107433,0.975859558820723,1.45196623245159,0.101367999859412,0.0856333432543364,0.401712992704983,0.190353664286152,0.847755303861169,0.3810550388342,0.0166929995891765,0.500187421130896,0.152708390224547,1.63833471029124,0.605344140650455,0.252446438890747,1.02868876952641,1.01620642701991,1.0413244360725,0.00622891406204592,5.60113516547623e-06,0.910208956009239,0.663204025306655,1.24920885879176,0.161529254778684,0.560270408896285,0.809341343822397,0.562048450907711,1.16543940253258,0.186040512080889,0.255523779839354,1.27746125007925,0.972485860770113,1.67807812050011,0.139173196455346,0.0784932654665239
"RREB1",2.0488286719349e-06,0.944346801316495,0.396874039772599,2.24703757813858,0.442291046988835,0.896988652257266,0.517820247681643,0.259950406798206,1.03149601576591,0.351607124180402,0.0612386499208961,0.507957633168467,0.154980578119044,1.66485994713428,0.605673495829067,0.263415932855104,1.02782973098414,1.01531605068136,1.04049764128714,0.00624989952168854,1.1231573536767e-05,0.935289996599657,0.679898345867705,1.2866149521558,0.162713878868415,0.680967822362742,0.903437197980765,0.643401312309502,1.26856870677738,0.173185806543974,0.557635746220971,1.29681923455153,0.987324250280325,1.70333112614759,0.139120564584438,0.0617246999201175
"INSM1",1.5364731890327e-06,0.964067418207405,0.883195069491718,1.0523450808936,0.0447024209622879,0.413006379604645,0.467013243778807,0.229228113481242,0.951459952064961,0.363088294307046,0.035993207372834,0.531306337247995,0.162197355450903,1.74038857301423,0.605380983150581,0.296180733929805,1.02750496657182,1.01515687444667,1.04000325753123,0.00616865639480903,1.08947435221209e-05,0.922061516043735,0.671376447366731,1.26634981418176,0.16188151415366,0.616194196251795,0.948478171649771,0.663220192141516,1.35642860810869,0.182529744675082,0.771971832292697,1.2854799181486,0.978081321532304,1.68949000822806,0.139438576162235,0.0716992062295842
"TFAP2B",5.42588663025586e-07,0.709299184407239,0.474019598853831,1.06135977123577,0.205630691633819,0.0948476023463596,0.540563284638765,0.275423195023383,1.0609442849381,0.344038418627026,0.0737746615376482,0.475049221881563,0.144888834960439,1.55755109268355,0.605853801448126,0.219231180418576,1.02843663172929,1.01586171081173,1.04116721225525,0.00627694564986217,7.92828246491342e-06,0.980314402227864,0.711374192070063,1.35092942354131,0.163612576634064,0.903280433686585,1.02177460203367,0.709577039686841,1.4713319047384,0.186037666807718,0.907820594649473,1.32676372211661,1.00854667843489,1.74538473227282,0.139917021504737,0.0433016805743899
"KLF6",1.87991233040567e-08,1.3271933929009,1.12149272487203,1.57062303044436,0.085922953172052,0.000986242531341744,0.399496312177206,0.200466297687779,0.796130348512526,0.351821971333195,0.0091073677587942,0.375897941344359,0.111320949300515,1.26929623934022,0.620878862701264,0.115050853746523,1.03008625764459,1.01754535482714,1.04278172285351,0.00624977397945056,2.10598560811418e-06,0.912868056801832,0.665993441533163,1.25125569887111,0.160876186295151,0.570937492450748,1.02550437033397,0.72469237254945,1.4511801881871,0.177142330583789,0.88694467954959,1.31606040553078,1.00165799621074,1.72914807005788,0.139281186598254,0.0486258102932489
"SOX15",1.12910563985756e-06,0.859593195043334,0.66692879204465,1.1079150724615,0.129479913229851,0.242609024715092,0.486852795060615,0.247139399803311,0.959076716407714,0.34592944807421,0.037456590681488,0.540030376042911,0.165324883524205,1.76399826107454,0.60394623075233,0.307646223252617,1.02800202961076,1.01566435239476,1.04048957747914,0.00616042371042449,7.36030652219796e-06,0.863282634002027,0.61315288400014,1.21545038051115,0.174558223583951,0.399675360174607,0.844303641528363,0.590066242402406,1.20808239460666,0.182797945120674,0.354525056795975,1.26347085297143,0.958995180787969,1.66461586907735,0.140682079176057,0.0964430099771435
"KLF11",2.04247810029308e-06,0.983791903004797,0.799445285101044,1.21064759084228,0.10586740475942,0.877331905617542,0.521637324528327,0.257215907323884,1.0578875201464,0.360749857073295,0.0712356652267052,0.507223364095527,0.154717847771574,1.66286918277345,0.605801104076339,0.262498168987548,1.02766391500421,1.01527010805327,1.04020901809744,0.00619066949475859,1.04351989062435e-05,0.940610628076628,0.673518522148708,1.31362141434228,0.170418321217803,0.719393904729817,0.911291945832711,0.638873550505059,1.29987070193007,0.18120576086866,0.608208401477944,1.30292914184004,0.984103218084339,1.72504704532988,0.14318600193618,0.0645950847232784
