"Gene","Variable","HR","Lower95","Upper95","SE","Pvalue"
"KLF15","KLF15",5.49266956517095,1.82412119155024,16.5391527119509,0.562416490019034,0.00245574374764967
"KLF15","Recurrence (recurrent)",0.454451609981651,0.169647579092042,1.21738410250383,0.502748124925064,0.116716534245545
"KLF15","Recurrence (secondary)",0.516693837793679,0.113402171755594,2.35420995807155,0.773743792594339,0.393443384209191
"KLF15","Age",1.03576661279513,1.01524045605641,1.05670776788025,0.0102126133113998,0.000579518443543155
"KLF15","Mesenchymal Subtype",0.999988234796893,0.565056007159932,1.7696944321648,0.291239361672998,0.999967767649678
"KLF15","Proneural Subtype",0.706524147370416,0.40591405267969,1.22975878150096,0.282768428652705,0.219236929460894
"KLF15","MGMT (unmethylated)",1.39492264642754,0.888125439617832,2.19091707400445,0.230351808422494,0.148481543105584
"ZNF148","ZNF148",1.57944401328327,0.91867044815482,2.7154932392861,0.276485036615305,0.0982991204670264
"ZNF148","Recurrence (recurrent)",0.519631030283161,0.194639446291397,1.38726456932525,0.501014384259368,0.191341216316951
"ZNF148","Recurrence (secondary)",0.714917308823341,0.162073985105163,3.15353977458857,0.75721491137564,0.657629917554438
"ZNF148","Age",1.03190983689984,1.01207391892238,1.05213452454584,0.00990308262773168,0.00151460517084659
"ZNF148","Mesenchymal Subtype",0.965572002462334,0.536584641643751,1.73752511641605,0.299748547963788,0.906955162275164
"ZNF148","Proneural Subtype",0.707783080532244,0.406522461531067,1.23229817905014,0.282912586309346,0.221843415738794
"ZNF148","MGMT (unmethylated)",1.26261066186901,0.809604032782369,1.96909306143963,0.226734539029677,0.303745675564788
"KLF5","KLF5",1.13020686733811,0.967828587930979,1.31982830318019,0.079134602269742,0.121925862990411
"KLF5","Recurrence (recurrent)",0.323125440459931,0.107651158076397,0.969892494777693,0.56079837972119,0.043959620723204
"KLF5","Recurrence (secondary)",0.651385532997695,0.147885019064474,2.86914195422126,0.756476456501063,0.570955400729777
"KLF5","Age",1.02569646321302,1.00705648168646,1.04468145906362,0.00935739486765885,0.00669950454405209
"KLF5","Mesenchymal Subtype",0.76857739650081,0.445236151222137,1.32673686265257,0.278544123784824,0.344677547696606
"KLF5","Proneural Subtype",0.600845076076174,0.347331050875408,1.03939686513799,0.279626955632296,0.0684887213556241
"KLF5","MGMT (unmethylated)",1.1984407550119,0.769581161448285,1.86628820353472,0.2259889481888,0.423120903227043
"KLF4","KLF4",1.33815015696294,1.04964935119485,1.70594669595289,0.123896166004761,0.0187196656450357
"KLF4","Recurrence (recurrent)",0.356581916806149,0.127510516952609,0.997177851928914,0.524685736642777,0.0493737042723314
"KLF4","Recurrence (secondary)",0.497654574658391,0.110316941579348,2.24498678201923,0.768661420887851,0.363943868441802
"KLF4","Age",1.03007053966026,1.01079197716055,1.04971679697794,0.00963952693559004,0.00211549052772889
"KLF4","Mesenchymal Subtype",0.743684016649764,0.429677969763028,1.28716377273275,0.279893008011055,0.290035504608458
"KLF4","Proneural Subtype",0.680813269556711,0.394448635646735,1.17507494288714,0.278474064746903,0.167395446701338
"KLF4","MGMT (unmethylated)",1.31598103358667,0.839065098482721,2.06397106004227,0.229621263014274,0.231772381746231
"E2F6","E2F6",0.456717233360671,0.2777806495117,0.750918509317689,0.253694805733255,0.00200757989115441
"E2F6","Recurrence (recurrent)",0.491036563795891,0.184492066994091,1.30692289870761,0.499454140752253,0.15443836409398
"E2F6","Recurrence (secondary)",0.796273286980778,0.178861450567385,3.54492902493989,0.761917554147441,0.764940568280496
"E2F6","Age",1.02909124592437,1.01061925666499,1.04790086420175,0.00924142435865911,0.00191570515690678
"E2F6","Mesenchymal Subtype",0.702818116426656,0.405343798573237,1.21860333503601,0.280802374660075,0.209155530305139
"E2F6","Proneural Subtype",0.775809389727831,0.443748059813868,1.35635569751523,0.285030691427846,0.373143635447186
"E2F6","MGMT (unmethylated)",1.39592079283107,0.88660380688281,2.19781918905712,0.231591667261181,0.149791351018443
"ZNF460","ZNF460",0.388309748611781,0.0668265782870365,2.25635465307364,0.897823876469541,0.292063691272266
"ZNF460","Recurrence (recurrent)",0.48749797764743,0.179795597298271,1.32180254567679,0.508920324457686,0.158023082500063
"ZNF460","Recurrence (secondary)",0.695408173984642,0.156551924409861,3.08902321237895,0.760785017128946,0.633023470574522
"ZNF460","Age",1.02648030462957,1.0077253384228,1.0455843230473,0.00940839715690368,0.00547081620029528
"ZNF460","Mesenchymal Subtype",0.861264102634529,0.493821163282043,1.50211434754407,0.28379488970061,0.598697330110937
"ZNF460","Proneural Subtype",0.652436581798791,0.379085880690256,1.12289461294155,0.277020990472409,0.123183309194213
"ZNF460","MGMT (unmethylated)",1.28978402149835,0.824009413480359,2.01883958471564,0.228600172098447,0.265628050768842
"SP2","SP2",0.639053939235357,0.20911568841549,1.95293782282274,0.569960080728606,0.432095924770991
"SP2","Recurrence (recurrent)",0.405837670306478,0.142928912995552,1.15235057195822,0.532461752517177,0.0903324611229641
"SP2","Recurrence (secondary)",0.669639757610047,0.152157928486194,2.94705250941116,0.756044967974262,0.59582625015471
"SP2","Age",1.02605261004747,1.00722822792751,1.04522880653519,0.00944751685991456,0.00648282821927362
"SP2","Mesenchymal Subtype",0.701135308728532,0.369656706504635,1.3298574393366,0.326600968796253,0.276983857274358
"SP2","Proneural Subtype",0.584921834119594,0.326569354849801,1.04765969907736,0.297370707171933,0.0713260908996161
"SP2","MGMT (unmethylated)",1.19972983661981,0.763281697221529,1.88574111774888,0.230731032720641,0.429986348017336
"ZFX","ZFX",1.8666769736382,1.12754170807994,3.09033617021998,0.257208832034861,0.0152382931648628
"ZFX","Recurrence (recurrent)",0.342182150564717,0.124113967373883,0.943396030620587,0.517429387501787,0.0382116936073855
"ZFX","Recurrence (secondary)",0.610440946292177,0.135922416266911,2.74155035750937,0.766390258351198,0.519559870773288
"ZFX","Age",1.02936392227097,1.01068109782552,1.04839210583119,0.00934537704178724,0.00195600861630935
"ZFX","Mesenchymal Subtype",0.780311930994724,0.453551306037862,1.34248695031183,0.27683434946023,0.370218132870466
"ZFX","Proneural Subtype",0.655757675561834,0.379702807633617,1.13251237655633,0.278781889077137,0.130127605173873
"ZFX","MGMT (unmethylated)",1.13608767176786,0.721560892787221,1.78875436687992,0.231600684296025,0.581697265879605
"WT1","WT1",1.34930777887773,1.05319187647177,1.72867976179149,0.12641368468489,0.0177914073329789
"WT1","Recurrence (recurrent)",0.231487062768784,0.0664644798374086,0.80623906724925,0.636673086987032,0.021547799465154
"WT1","Recurrence (secondary)",0.576177613133491,0.129915832528694,2.55535168743104,0.759977827327533,0.468165199202634
"WT1","Age",1.02451318002485,1.00594739126523,1.04342161941934,0.00933067048656896,0.00944593474663382
"WT1","Mesenchymal Subtype",0.758999440916732,0.438192211542381,1.31467455636462,0.280282388794306,0.325192060631259
"WT1","Proneural Subtype",0.632609511456785,0.367270507121008,1.0896458774288,0.27743096167877,0.0988391439804363
"WT1","MGMT (unmethylated)",1.20923781482439,0.775806523187176,1.88482056943014,0.22645435079814,0.401481561763821
"EGR1","EGR1",0.979731973449134,0.792933433450396,1.21053634429526,0.107930433426225,0.849530875677089
"EGR1","Recurrence (recurrent)",0.450188031635106,0.155932091539191,1.29972773293144,0.540951134869373,0.140119623551397
"EGR1","Recurrence (secondary)",0.619104638043009,0.134391953844031,2.85203497592716,0.779358067326928,0.538405792548988
"EGR1","Age",1.02662660617799,1.00782421167536,1.04577978610028,0.00943105408245416,0.00533040604889486
"EGR1","Mesenchymal Subtype",0.801721578685561,0.466029693655029,1.3792200335755,0.276796941546219,0.424640054801551
"EGR1","Proneural Subtype",0.628989140893055,0.362095413734663,1.09260522048835,0.281743055422042,0.099842545583971
"EGR1","MGMT (unmethylated)",1.24091687720902,0.796273182541396,1.93385226314857,0.22636307853324,0.340306978860471
"KLF2","KLF2",1.18346677109293,0.793099175532115,1.76597535527815,0.204215525064355,0.409454262136976
"KLF2","Recurrence (recurrent)",0.539911878642836,0.190783320132588,1.52793670063531,0.530758530383605,0.245535652959801
"KLF2","Recurrence (secondary)",0.635246926926201,0.144796951584357,2.78692785831257,0.754443127085341,0.547556477911572
"KLF2","Age",1.02929944751461,1.0092960301758,1.04969931613557,0.010013109902399,0.0039258232214462
"KLF2","Mesenchymal Subtype",0.782441645773402,0.452474457990029,1.35303754329064,0.279437803319945,0.379964028728382
"KLF2","Proneural Subtype",0.68733015832751,0.388009915625099,1.21755328284698,0.29173182061846,0.198714276699468
"KLF2","MGMT (unmethylated)",1.31310295233051,0.825146741533625,2.089615430359,0.23703856083598,0.250493890444944
"SP3","SP3",0.912272370863566,0.516880079101532,1.61012372557998,0.289866400578875,0.751429382341706
"SP3","Recurrence (recurrent)",0.451037608080514,0.16474957139226,1.23481306921657,0.513848295356686,0.121263151029452
"SP3","Recurrence (secondary)",0.634129510246433,0.143511506568881,2.80200692877804,0.758094537960234,0.547939048122315
"SP3","Age",1.02704754548283,1.00802827507262,1.04642566757992,0.00953691272055354,0.00513543212281902
"SP3","Mesenchymal Subtype",0.776409843753501,0.435351904462955,1.3846551245043,0.295171673903551,0.391234049120466
"SP3","Proneural Subtype",0.637408042165012,0.370954495817336,1.09525296713669,0.27619416530714,0.102987704599297
"SP3","MGMT (unmethylated)",1.23957049426711,0.795269697169395,1.93209299402027,0.226452591812772,0.342931913614079
"TCFL5","TCFL5",0.678864367379286,0.514780937585631,0.895248436079895,0.141165812247979,0.00607283737262378
"TCFL5","Recurrence (recurrent)",0.380713989995653,0.141540644463468,1.02403901527961,0.50483656982471,0.0557595890100254
"TCFL5","Recurrence (secondary)",0.559431408203351,0.125103710140868,2.50163244664755,0.764186415059654,0.447213381260384
"TCFL5","Age",1.02495585796016,1.00632362648331,1.04393306797143,0.00936028934876332,0.00845304623969653
"TCFL5","Mesenchymal Subtype",0.672006808214772,0.38372604362078,1.17686343628345,0.285892805305489,0.16442713854545
"TCFL5","Proneural Subtype",0.581628462722822,0.334847978625446,1.01028433869604,0.281717028656171,0.0543991579788518
"TCFL5","MGMT (unmethylated)",1.1745383700134,0.744917533742881,1.85193705362545,0.232329245383805,0.488657996754838
"MAZ","MAZ",1.14449270423408,0.761663080704665,1.71974142272091,0.207765275969341,0.515959457273062
"MAZ","Recurrence (recurrent)",0.471111734517126,0.175795072590861,1.26252836970172,0.502956353059136,0.134530758588942
"MAZ","Recurrence (secondary)",0.612728441742347,0.137970368304319,2.72113605214064,0.760668517934814,0.519607049309231
"MAZ","Age",1.02637101715914,1.00751260672973,1.04558241537407,0.00946179064982226,0.00594153595587811
"MAZ","Mesenchymal Subtype",0.859312754806593,0.48007542319204,1.53812999978946,0.297041031797163,0.60974157183131
"MAZ","Proneural Subtype",0.621620448274417,0.359842662746182,1.07383593363816,0.278914720387282,0.0882773811174808
"MAZ","MGMT (unmethylated)",1.25043253610565,0.80152356615936,1.9507617659251,0.226907447610219,0.324655061651056
"ZKSCAN5","ZKSCAN5",0.36370989734409,0.163848093962266,0.807363004518769,0.406852793515852,0.0129221277603687
"ZKSCAN5","Recurrence (recurrent)",0.238349721551157,0.0779483917307712,0.728823116193779,0.570261524702618,0.0119145791559871
"ZKSCAN5","Recurrence (secondary)",0.637847046522905,0.145944307384204,2.78769937690649,0.752500267648435,0.550140032503122
"ZKSCAN5","Age",1.03153626793074,1.01277503850643,1.05064504119857,0.00936501249770063,0.000914963152760327
"ZKSCAN5","Mesenchymal Subtype",0.48788802288337,0.250153048777064,0.951556353347427,0.340829218206041,0.0352341749650551
"ZKSCAN5","Proneural Subtype",0.580084716993609,0.334558772299142,1.00579720739972,0.280801889688952,0.0524552774950231
"ZKSCAN5","MGMT (unmethylated)",1.24884917684361,0.799841402400062,1.94991689830388,0.227332894994477,0.328311743840105
"AHR","AHR",0.998496548932896,0.821391007663031,1.21378898591487,0.0996199135543399,0.987949824756041
"AHR","Recurrence (recurrent)",0.467131857161789,0.174324388845008,1.25175928291614,0.502914190112424,0.130161238298601
"AHR","Recurrence (secondary)",0.639727081496762,0.143242442109997,2.85704943850439,0.763535997591771,0.558508026972765
"AHR","Age",1.02663260748364,1.00772185268943,1.04589823862188,0.0094858587230472,0.00559058034908326
"AHR","Mesenchymal Subtype",0.803162148219841,0.452065739698895,1.42693723431191,0.293234475261664,0.454749688682132
"AHR","Proneural Subtype",0.635730658427743,0.369126112673691,1.0948926564354,0.277370722358848,0.102443287742979
"AHR","MGMT (unmethylated)",1.24030761816507,0.78899515787478,1.9497749413596,0.230797365043348,0.350762955656804
"ARNT","ARNT",1.56910401388999,0.803504850610693,3.06418487023993,0.34147404080569,0.187070733844481
"ARNT","Recurrence (recurrent)",0.396852274829368,0.143074171367096,1.10076980724324,0.520520243791226,0.0758129954336244
"ARNT","Recurrence (secondary)",0.57280226297555,0.127097667476588,2.58149845692762,0.768169594997018,0.46821905758854
"ARNT","Age",1.02835493479612,1.00952605929306,1.04753499147914,0.0094284397070651,0.00302156252582709
"ARNT","Mesenchymal Subtype",0.744759276957745,0.429021125934245,1.29286495952098,0.281410724901679,0.295005838002881
"ARNT","Proneural Subtype",0.602575937361514,0.348353965266799,1.04232417738956,0.279594214206029,0.0700321508323113
"ARNT","MGMT (unmethylated)",1.14900359995482,0.726793496070925,1.81648470968196,0.233681856816591,0.552259956866257
"EGR3","EGR3",0.927802977796086,0.754580832280374,1.14079012980738,0.105439180221863,0.477268679713986
"EGR3","Recurrence (recurrent)",0.420020893799473,0.149967727243449,1.17637010622773,0.525460848295069,0.0987716251155548
"EGR3","Recurrence (secondary)",0.600708178930264,0.134012235566891,2.69266693975565,0.765411080652025,0.50550944298616
"EGR3","Age",1.02664335098192,1.00776956580612,1.04587060958949,0.00946704121065029,0.00547807806024486
"EGR3","Mesenchymal Subtype",0.828530078816101,0.47905803710584,1.43294139401183,0.27951094639827,0.500967159783117
"EGR3","Proneural Subtype",0.627931327158776,0.36453758907897,1.08163811754942,0.277454658322004,0.0935192204195669
"EGR3","MGMT (unmethylated)",1.22812525956793,0.787834732807213,1.91447722520997,0.226512207362531,0.364308156232296
"SP1","SP1",3.1366959468826,1.29239386289538,7.61289707856355,0.452392901273988,0.0115060954041911
"SP1","Recurrence (recurrent)",0.459591276719141,0.174210430183143,1.21246553041787,0.494944619341,0.116248499259468
"SP1","Recurrence (secondary)",0.797028131980358,0.176521753084007,3.59872838372379,0.76911916325215,0.768018561241052
"SP1","Age",1.02993910330529,1.01070148472317,1.04954288932092,0.00962009941797189,0.00216607722658176
"SP1","Mesenchymal Subtype",0.792055605445621,0.459375206793321,1.36566378167658,0.277946065546909,0.401616846848709
"SP1","Proneural Subtype",0.577955072418576,0.333482518014866,1.00164790563166,0.280569284115966,0.0506899380134507
"SP1","MGMT (unmethylated)",1.26424608805739,0.809195519793943,1.97519404404935,0.227652487751845,0.303022575280737
"ZNF281","ZNF281",1.35416434190684,0.887355271123539,2.06654665224463,0.215664364904558,0.159778594165519
"ZNF281","Recurrence (recurrent)",0.392129848068464,0.141154599737265,1.08934330182938,0.521304113913252,0.0725250119681522
"ZNF281","Recurrence (secondary)",0.652688619524676,0.147061864388433,2.89675665291331,0.760343984287099,0.574705969037844
"ZNF281","Age",1.02710364513205,1.00851783718657,1.04603196784944,0.00931704928184376,0.00410065879002671
"ZNF281","Mesenchymal Subtype",0.824294399503465,0.479928528467776,1.41575509007983,0.275969638997045,0.48381691367102
"ZNF281","Proneural Subtype",0.532216763716253,0.291786604731569,0.970759722987231,0.306652638673812,0.0397113446337842
"ZNF281","MGMT (unmethylated)",1.21026528567067,0.777587117421533,1.88370155431145,0.225718011401593,0.397844092245088
"KLF9","KLF9",1.26307325954151,1.01064319991128,1.57855320167282,0.113757644566494,0.0400696773732459
"KLF9","Recurrence (recurrent)",0.70040532447245,0.24291002510977,2.01954455493417,0.540299772365306,0.509849980578563
"KLF9","Recurrence (secondary)",0.566706571347432,0.127217703610654,2.52446262503881,0.762229229799734,0.456229810080001
"KLF9","Age",1.03120281972249,1.0113030926533,1.05149411994151,0.00994213015321758,0.00199836466954835
"KLF9","Mesenchymal Subtype",0.972420439651536,0.547855865976885,1.72600417404672,0.292748250724301,0.923891755756393
"KLF9","Proneural Subtype",0.889598372874921,0.480255845965945,1.64784098240383,0.314521657017344,0.709932789286332
"KLF9","MGMT (unmethylated)",1.29911310439293,0.826672083569368,2.04155298279625,0.23063126854768,0.256529200142454
"NRF1","NRF1",1.29135824351875,0.434007412767278,3.84234477118948,0.556330748897999,0.645796966020814
"NRF1","Recurrence (recurrent)",0.42055656748199,0.142296200110248,1.24295537277314,0.552902095078438,0.117208276179163
"NRF1","Recurrence (secondary)",0.648562661424038,0.146227174155704,2.87657563118561,0.760012549326539,0.568865565405533
"NRF1","Age",1.02705500509036,1.00820457738728,1.04625787973977,0.00945139086312733,0.0047353900814465
"NRF1","Mesenchymal Subtype",0.834657910505371,0.472597239361299,1.47409626960728,0.290198408758678,0.533421037885637
"NRF1","Proneural Subtype",0.638433249329764,0.371368341020346,1.09755455386928,0.276445245077426,0.104537203962387
"NRF1","MGMT (unmethylated)",1.26449943260722,0.805929582326582,1.98399320502427,0.229818123753419,0.307188403776081
"ZNF263","ZNF263",0.678499526450433,0.380528028073087,1.20979684393981,0.29506865949939,0.18867373010709
"ZNF263","Recurrence (recurrent)",0.472650457446275,0.176445055242315,1.26610776718778,0.502737094309171,0.136056490096973
"ZNF263","Recurrence (secondary)",0.611474666918469,0.136655059460628,2.73609531735471,0.764510777580893,0.519968386382505
"ZNF263","Age",1.0248535285876,1.00627232906334,1.0437778369958,0.00933535703043839,0.00854463793333969
"ZNF263","Mesenchymal Subtype",0.705542545787006,0.395481894476328,1.25869297904207,0.295343216796613,0.237619046641011
"ZNF263","Proneural Subtype",0.668320750443719,0.386853630249093,1.15457783137787,0.27894482901943,0.148546742682872
"ZNF263","MGMT (unmethylated)",1.33243851958309,0.844061261697309,2.10339283300203,0.23293333067129,0.217889956740688
