"SYMBOL_UPPER","Overall_pvalue_Males","Expression_coef_MM","Expression_Lower95_MM","Expression_Upper95_MM","Expression_SE_MM","Expression_pvalue_MM","Recurrence_Recurrent_coef_MM","Recurrence_Recurrent_Lower95_MM","Recurrence_Recurrent_Upper95_MM","Recurrence_Recurrent_SE_MM","Recurrence_Recurrent_pvalue_MM","Recurrence_Secondary_coef_MM","Recurrence_Secondary_Lower95_MM","Recurrence_Secondary_Upper95_MM","Recurrence_Secondary_SE_MM","Recurrence_Secondary_pvalue_MM","Age_coef_MM","Age_Lower95_MM","Age_Upper95_MM","Age_SE_MM","Age_pvalue_MM","Subtype_Mesenchymal_coef_MM","Subtype_Mesenchymal_Lower95_MM","Subtype_Mesenchymal_Upper95_MM","Subtype_Mesenchymal_SE_MM","Subtype_Mesenchymal_pvalue_MM","Subtype_Proneural_coef_MM","Subtype_Proneural_Lower95_MM","Subtype_Proneural_Upper95_MM","Subtype_Proneural_SE_MM","Subtype_Proneural_pvalue_MM","MGMT_Unmethylated_coef_MM","MGMT_Unmethylated_Lower95_MM","MGMT_Unmethylated_Upper95_MM","MGMT_Unmethylated_SE_MM","MGMT_Unmethylated_pvalue_MM","Overall_pvalue_Females","Expression_coef_MF","Expression_Lower95_MF","Expression_Upper95_MF","Expression_SE_MF","Expression_pvalue_MF","Recurrence_Recurrent_coef_MF","Recurrence_Recurrent_Lower95_MF","Recurrence_Recurrent_Upper95_MF","Recurrence_Recurrent_SE_MF","Recurrence_Recurrent_pvalue_MF","Recurrence_Secondary_coef_MF","Recurrence_Secondary_Lower95_MF","Recurrence_Secondary_Upper95_MF","Recurrence_Secondary_SE_MF","Recurrence_Secondary_pvalue_MF","Age_coef_MF","Age_Lower95_MF","Age_Upper95_MF","Age_SE_MF","Age_pvalue_MF","Subtype_Mesenchymal_coef_MF","Subtype_Mesenchymal_Lower95_MF","Subtype_Mesenchymal_Upper95_MF","Subtype_Mesenchymal_SE_MF","Subtype_Mesenchymal_pvalue_MF","Subtype_Proneural_coef_MF","Subtype_Proneural_Lower95_MF","Subtype_Proneural_Upper95_MF","Subtype_Proneural_SE_MF","Subtype_Proneural_pvalue_MF","MGMT_Unmethylated_coef_MF","MGMT_Unmethylated_Lower95_MF","MGMT_Unmethylated_Upper95_MF","MGMT_Unmethylated_SE_MF","MGMT_Unmethylated_pvalue_MF","Overall_pvalue_All","Expression_coef_MA","Expression_Lower95_MA","Expression_Upper95_MA","Expression_SE_MA","Expression_pvalue_MA","Recurrence_Recurrent_coef_MA","Recurrence_Recurrent_Lower95_MA","Recurrence_Recurrent_Upper95_MA","Recurrence_Recurrent_SE_MA","Recurrence_Recurrent_pvalue_MA","Recurrence_Secondary_coef_MA","Recurrence_Secondary_Lower95_MA","Recurrence_Secondary_Upper95_MA","Recurrence_Secondary_SE_MA","Recurrence_Secondary_pvalue_MA","Age_coef_MA","Age_Lower95_MA","Age_Upper95_MA","Age_SE_MA","Age_pvalue_MA","Subtype_Mesenchymal_coef_MA","Subtype_Mesenchymal_Lower95_MA","Subtype_Mesenchymal_Upper95_MA","Subtype_Mesenchymal_SE_MA","Subtype_Mesenchymal_pvalue_MA","Subtype_Proneural_coef_MA","Subtype_Proneural_Lower95_MA","Subtype_Proneural_Upper95_MA","Subtype_Proneural_SE_MA","Subtype_Proneural_pvalue_MA","MGMT_Unmethylated_coef_MA","MGMT_Unmethylated_Lower95_MA","MGMT_Unmethylated_Upper95_MA","MGMT_Unmethylated_SE_MA","MGMT_Unmethylated_pvalue_MA"
"KLF15",0.000300325128635559,0.400670102387067,0.1877420824936,0.855090818289688,0.386777149017842,0.0180440574175071,0.326119961845062,0.0958762239115299,1.109286798904,0.624607022959651,0.0728272284715728,0.388268632382651,0.0512706529658542,2.94032789074667,1.03296741470163,0.359738149865177,1.03071586103035,1.0133073253832,1.04842347387332,0.00869098156726644,0.000499488689494741,0.840014956735688,0.548960649067521,1.28538380435511,0.217041200350656,0.42183760643593,1.0882501476698,0.683465877337542,1.73276885236284,0.237325577564455,0.721578255789717,1.31985588071765,0.902758547356647,1.92966275530235,0.193790652836437,0.152122653334196,0.000218152311339414,5.49266956517095,1.82412119155024,16.5391527119509,0.562416490019034,0.00245574374764967,0.454451609981651,0.169647579092042,1.21738410250383,0.502748124925064,0.116716534245545,0.516693837793679,0.113402171755594,2.35420995807155,0.773743792594339,0.393443384209191,1.03576661279513,1.01524045605641,1.05670776788025,0.0102126133113998,0.000579518443543155,0.999988234796893,0.565056007159932,1.7696944321648,0.291239361672998,0.999967767649678,0.706524147370416,0.40591405267969,1.22975878150096,0.282768428652705,0.219236929460894,1.39492264642754,0.888125439617832,2.19091707400445,0.230351808422494,0.148481543105584,2.00852024660034e-06,1.07325025892092,0.616051656815498,1.86975573481623,0.283227719615469,0.802902076577163,0.511677155712908,0.26076554108498,1.00401882315091,0.343920695810479,0.0513788280544611,0.507482607785159,0.155233307188974,1.65904213385669,0.604364802821696,0.261724905020209,1.02773953823194,1.01535107343531,1.04027915671722,0.00618752676059769,9.77531165261961e-06,0.943285723372935,0.679085138312998,1.31027452335305,0.167667735668301,0.727671433706861,0.910076518267693,0.645328869775064,1.28343749659137,0.175395375742769,0.591112927976206,1.29513857139923,0.985970735822341,1.70125122195135,0.13915883201583,0.0631072144962602
"ZNF148",0.00325174852505454,0.981745888781724,0.653299358340771,1.47531905218415,0.207808433907288,0.929357945698254,0.312113747809386,0.091554271723275,1.06401361441725,0.625744032706116,0.062771728978589,0.456664310949609,0.0605971938651656,3.44145132131212,1.03047811154675,0.446881492582366,1.02623105344344,1.0091859100911,1.04356408915437,0.00854553634222595,0.00244558991291115,0.987584162530699,0.651866502121125,1.49619972020013,0.211953859706252,0.952996149642732,1.20944732873685,0.765108537894241,1.91183703819929,0.233627291820792,0.415667298122876,1.22145057890688,0.841655907068143,1.77262644292373,0.190015308541928,0.29245429430158,0.00290413088738397,1.57944401328327,0.91867044815482,2.7154932392861,0.276485036615305,0.0982991204670264,0.519631030283161,0.194639446291397,1.38726456932525,0.501014384259368,0.191341216316951,0.714917308823341,0.162073985105163,3.15353977458857,0.75721491137564,0.657629917554438,1.03190983689984,1.01207391892238,1.05213452454584,0.00990308262773168,0.00151460517084659,0.965572002462334,0.536584641643751,1.73752511641605,0.299748547963788,0.906955162275164,0.707783080532244,0.406522461531067,1.23229817905014,0.282912586309346,0.221843415738794,1.26261066186901,0.809604032782369,1.96909306143963,0.226734539029677,0.303745675564788,9.3558379439605e-07,1.24187763060185,0.902010594251788,1.70980258903561,0.163142521389289,0.184236464539433,0.532302620233437,0.271083750632265,1.04523446664183,0.344284054148412,0.0670316344972888,0.524877329164218,0.161092961033512,1.71016914024724,0.602655451729294,0.284806545148646,1.02917308118975,1.01661870704002,1.04188249115496,0.00626211433633272,4.39012666943905e-06,0.993066864885008,0.714725839711802,1.37980431563828,0.167808680369625,0.966929498719705,0.940715195870838,0.666715954513645,1.3273194885337,0.175654417857697,0.727895299547515,1.3087098688311,0.995932670782799,1.71971617261008,0.139348194377844,0.0535181560438005
"KLF5",0.00305183311993069,0.965523484250272,0.814759900472397,1.14418443776906,0.0866224875199642,0.68545420442191,0.328143233873168,0.0951411604257369,1.13177074417533,0.631689420573066,0.0777306627246525,0.452117486579894,0.0599720090604628,3.40842711247572,1.03066390522589,0.441183642234276,1.02608297213277,1.00902651607871,1.04342774835333,0.00855250022313201,0.00260686320289438,1.02796126585697,0.660547159882296,1.59974098486861,0.225649169054534,0.902729540406011,1.23587257600236,0.776397187376142,1.96726759054413,0.237182067568762,0.371916616726817,1.24367656520115,0.848401528399347,1.82311246155897,0.195142983491219,0.263781298928246,0.00384389279762399,1.13020686733811,0.967828587930979,1.31982830318019,0.079134602269742,0.121925862990411,0.323125440459931,0.107651158076397,0.969892494777693,0.56079837972119,0.043959620723204,0.651385532997695,0.147885019064474,2.86914195422126,0.756476456501063,0.570955400729777,1.02569646321302,1.00705648168646,1.04468145906362,0.00935739486765885,0.00669950454405209,0.76857739650081,0.445236151222137,1.32673686265257,0.278544123784824,0.344677547696606,0.600845076076174,0.347331050875408,1.03939686513799,0.279626955632296,0.0684887213556241,1.1984407550119,0.769581161448285,1.86628820353472,0.2259889481888,0.423120903227043,1.44363683112124e-06,1.05275726032167,0.943846198583466,1.17423564434897,0.0557177258189481,0.356145426031586,0.451424606172503,0.217545010493306,0.936744881419702,0.37245714999598,0.0327279327839679,0.514816070208519,0.157861903000224,1.67890783721622,0.603117752048372,0.270959485183455,1.0275744325773,1.01522510449483,1.04007397946682,0.00616885799553461,1.03646332187442e-05,0.898438727848684,0.647830009365149,1.24599375766705,0.166855198331491,0.520967624272468,0.881392377094307,0.624917329705895,1.24312846751356,0.175454007283957,0.471786505728224,1.27108250892342,0.965064664603823,1.67413729229669,0.140527621298043,0.0878375852392054
"KLF4",0.00283235584900987,0.926035785984069,0.717948412367327,1.19443439410294,0.12985706078366,0.554020672743202,0.328986218433568,0.0959879699859905,1.12755725467489,0.628477359469321,0.0769037079266306,0.4327106177463,0.0570477167667844,3.28213799468664,1.03378487940414,0.417762102727416,1.02639331728992,1.00937676860164,1.04369673896584,0.00852971993531546,0.00225701023548195,1.01453746702474,0.670306239345068,1.53554630940426,0.211459706281736,0.945584042450943,1.19558644462593,0.756381396367667,1.8898229827409,0.233599369541727,0.444441599094541,1.23176212072761,0.84851766965072,1.78810409768359,0.190161725181792,0.273013165109185,0.00148514356904684,1.33815015696294,1.04964935119485,1.70594669595289,0.123896166004761,0.0187196656450357,0.356581916806149,0.127510516952609,0.997177851928914,0.524685736642777,0.0493737042723314,0.497654574658391,0.110316941579348,2.24498678201923,0.768661420887851,0.363943868441802,1.03007053966026,1.01079197716055,1.04971679697794,0.00963952693559004,0.00211549052772889,0.743684016649764,0.429677969763028,1.28716377273275,0.279893008011055,0.290035504608458,0.680813269556711,0.394448635646735,1.17507494288714,0.278474064746903,0.167395446701338,1.31598103358667,0.839065098482721,2.06397106004227,0.229621263014274,0.231772381746231,6.69601144692182e-07,1.15762289667086,0.973178411323624,1.37702476267838,0.0885508756515024,0.0983444747471577,0.454011069071427,0.226940272642779,0.908283260784824,0.353799721667986,0.0256237962515706,0.46988343112614,0.142645937440539,1.54782142981752,0.608235180045237,0.21433209302871,1.02844157802089,1.01596380733225,1.041072597044,0.0062281244377335,6.70322332594443e-06,0.893082214365632,0.648500762621957,1.22990733024192,0.163276195270874,0.48859312043587,0.932171165897739,0.662195267306801,1.3122157850285,0.174470539639397,0.687255213921949,1.29173313420109,0.983112934859099,1.69723582187647,0.139296492783977,0.0661069765912723
"E2F6",0.001788820748299,0.766772279493913,0.501960449059511,1.17128696036087,0.216161385163852,0.219239965123605,0.302116872911269,0.0887642120795371,1.02828158735749,0.624924946032043,0.0554496482253201,0.477034197627544,0.0631408993668387,3.60402889391957,1.03176357849934,0.473139332990781,1.02717568954383,1.00985124812198,1.0447973393626,0.00867870336747851,0.00200483371269757,0.978522892140753,0.64997827510042,1.47313700645698,0.208730999914757,0.917157664129049,1.19827023546557,0.758271096557786,1.89358603238451,0.233470288304511,0.43849261294088,1.28682744968323,0.875895755796155,1.89055018739426,0.196273016386667,0.198847443513673,0.000218045034693146,0.456717233360671,0.2777806495117,0.750918509317689,0.253694805733255,0.00200757989115441,0.491036563795891,0.184492066994091,1.30692289870761,0.499454140752253,0.15443836409398,0.796273286980778,0.178861450567385,3.54492902493989,0.761917554147441,0.764940568280496,1.02909124592437,1.01061925666499,1.04790086420175,0.00924142435865911,0.00191570515690678,0.702818116426656,0.405343798573237,1.21860333503601,0.280802374660075,0.209155530305139,0.775809389727831,0.443748059813868,1.35635569751523,0.285030691427846,0.373143635447186,1.39592079283107,0.88660380688281,2.19781918905712,0.231591667261181,0.149791351018443,4.13312208410569e-08,0.617732516672734,0.449761873586342,0.848434437343596,0.161909745511861,0.00292880949047647,0.510407878022881,0.260886322605564,0.998581295278162,0.342417210382642,0.0495173215530381,0.592913514251679,0.18120497626035,1.94004846134681,0.604817076865872,0.387456403785271,1.02966561161499,1.01728192867703,1.04220004489932,0.00617348382700712,2.18591126769541e-06,0.885754312761625,0.644441624576709,1.21742710690226,0.162276129439767,0.454708782616278,0.960715181169605,0.683190356434161,1.35097583072909,0.173934043222525,0.817768060394421,1.40929157373761,1.06583708111635,1.86342056867416,0.142516223904909,0.0160685404772155
"ZNF460",0.00162218727083524,2.51296989804609,0.656626293626192,9.61736952934268,0.684760291606627,0.178407128687059,0.301377619563661,0.0875262736879163,1.03772805292405,0.630840678321792,0.0572681518665234,0.445092195412519,0.0589343309440567,3.36148827421472,1.03157898215569,0.432633001641359,1.02583323936867,1.00863388671854,1.04332587755628,0.00862687838634386,0.00311171780183648,0.983986338599972,0.654869474451427,1.4785070190704,0.207746711929643,0.93806153998563,1.20476703567392,0.762949849343016,1.90243645961317,0.233090607059688,0.424173945306829,1.2594433762315,0.865740326644055,1.83218636017813,0.191248477299666,0.227768714575397,0.00570300402039467,0.388309748611781,0.0668265782870365,2.25635465307364,0.897823876469541,0.292063691272266,0.48749797764743,0.179795597298271,1.32180254567679,0.508920324457686,0.158023082500063,0.695408173984642,0.156551924409861,3.08902321237895,0.760785017128946,0.633023470574522,1.02648030462957,1.0077253384228,1.0455843230473,0.00940839715690368,0.00547081620029528,0.861264102634529,0.493821163282043,1.50211434754407,0.28379488970061,0.598697330110937,0.652436581798791,0.379085880690256,1.12289461294155,0.277020990472409,0.123183309194213,1.28978402149835,0.824009413480359,2.01883958471564,0.228600172098447,0.265628050768842,1.99104545918357e-06,0.859684346418417,0.304807616138111,2.42466768002932,0.529032410887456,0.775042118993298,0.512971752481287,0.261354015035892,1.00683365743429,0.344059848989908,0.0523590679104935,0.515576198819324,0.157928036931726,1.68316419271329,0.603656827581174,0.272454146381518,1.02771056219731,1.01533013920035,1.04024194582044,0.0061836611784445,9.85687219777878e-06,0.937667794089194,0.682230298533423,1.28874500877803,0.162262389882567,0.691633849093004,0.9069094020563,0.645431611962561,1.27431729139698,0.173535484066061,0.573386840882119,1.29580508904506,0.986686434784912,1.7017674203265,0.139051115118423,0.0623814005168998
"SP2",0.00273219554485269,1.32417855304848,0.580981621452996,3.01807970442906,0.420328367745509,0.504113914805546,0.313109576126382,0.0923214157293411,1.06191619666513,0.623111998339755,0.0623845409345654,0.45519100673573,0.0604072109892787,3.43003507726688,1.03043150627322,0.444989578440855,1.02574127604369,1.00864555076265,1.04312676002407,0.00857523682874443,0.00303835722125758,1.06038073619993,0.674566021141932,1.66686027825782,0.230776564679193,0.799459466397063,1.24050910565744,0.782951626767338,1.96546349558363,0.234803410836611,0.358680556818342,1.21362750377105,0.83582660586327,1.76219769456645,0.190283041608737,0.308913590978337,0.00693984469380665,0.639053939235357,0.20911568841549,1.95293782282274,0.569960080728606,0.432095924770991,0.405837670306478,0.142928912995552,1.15235057195822,0.532461752517177,0.0903324611229641,0.669639757610047,0.152157928486194,2.94705250941116,0.756044967974262,0.59582625015471,1.02605261004747,1.00722822792751,1.04522880653519,0.00944751685991456,0.00648282821927362,0.701135308728532,0.369656706504635,1.3298574393366,0.326600968796253,0.276983857274358,0.584921834119594,0.326569354849801,1.04765969907736,0.297370707171933,0.0713260908996161,1.19972983661981,0.763281697221529,1.88574111774888,0.230731032720641,0.429986348017336,2.02347837315852e-06,1.07221416543965,0.563397865755937,2.04055302024781,0.328319826620378,0.831817099963958,0.518441330528535,0.26232309383508,1.02461971331116,0.347582888124881,0.0587592100555359,0.507742630115611,0.155299152363236,1.66003854183139,0.604409786521745,0.262120832907146,1.02772275863223,1.01533884966933,1.04025771194968,0.00618533906213657,9.82410114154861e-06,0.949603034190243,0.664545176042059,1.35693697742867,0.182116192174386,0.776451443251114,0.911196339687276,0.643756996887946,1.28973941017065,0.177267070706358,0.599851172519176,1.29909467246947,0.988325232547496,1.70758259777351,0.139498006540372,0.0606854507090298
"ZFX",0.0012603330704088,0.644984488269093,0.36613953266551,1.13619249765031,0.288888864406434,0.129018137501824,0.348297347912502,0.102423099231901,1.18441097245277,0.624472851040817,0.0912304564365825,0.419223665629119,0.0554554963929535,3.16918057279976,1.03207189996625,0.399600243212043,1.02615455736552,1.00910756517175,1.04348952673129,0.00854711353521215,0.0025218035054044,1.12144419391993,0.726314541751971,1.73153228770984,0.221631326817671,0.605049333238248,1.2648711195632,0.800118118324561,1.9995784528105,0.233660492305334,0.314605461531996,1.2432817688048,0.855540144461196,1.80675280599004,0.190705919022488,0.253523094404369,0.00123545081676062,1.8666769736382,1.12754170807994,3.09033617021998,0.257208832034861,0.0152382931648628,0.342182150564717,0.124113967373883,0.943396030620587,0.517429387501787,0.0382116936073855,0.610440946292177,0.135922416266911,2.74155035750937,0.766390258351198,0.519559870773288,1.02936392227097,1.01068109782552,1.04839210583119,0.00934537704178724,0.00195600861630935,0.780311930994724,0.453551306037862,1.34248695031183,0.27683434946023,0.370218132870466,0.655757675561834,0.379702807633617,1.13251237655633,0.278781889077137,0.130127605173873,1.13608767176786,0.721560892787221,1.78875436687992,0.231600684296025,0.581697265879605,2.04729915175256e-06,1.02784378266722,0.692583211890993,1.52539481672268,0.201427211304714,0.891550121062784,0.506173215431776,0.251436133778004,1.01899166269696,0.356991211657136,0.0564864606433256,0.511311972531046,0.156722776905759,1.6681680762382,0.60332814001945,0.26622761952658,1.02775136814982,1.0153720719615,1.04028159125286,0.0061828479584789,9.54231794228717e-06,0.928355479708469,0.672226323988775,1.28207400684763,0.164706926526681,0.651736927688367,0.903448181811012,0.643426764797218,1.2685493701445,0.173171826317702,0.557651111513206,1.29500032569933,0.985800983541061,1.70118093972415,0.139192217720062,0.0632794764511886
"WT1",0.00113890171170999,0.709589451520445,0.455695254738782,1.10494279778647,0.225954295027622,0.128936214612321,0.355187805301634,0.104559747071937,1.20656735089646,0.623933928335359,0.0971150775040764,0.423682035551029,0.0560946662677867,3.20006302188748,1.03162228547647,0.405156056240185,1.03048595755152,1.01246187519086,1.04883090882874,0.00900303750855831,0.000851168101439388,0.975720717175859,0.648700171181545,1.467597759674,0.208272077521109,0.906057086223501,1.17179802946174,0.742039903249413,1.85045388507751,0.233112245630024,0.496441936909875,1.19742423693316,0.824631960319034,1.73874512775402,0.190304967047644,0.343762026053854,0.00135956483895307,1.34930777887773,1.05319187647177,1.72867976179149,0.12641368468489,0.0177914073329789,0.231487062768784,0.0664644798374086,0.80623906724925,0.636673086987032,0.021547799465154,0.576177613133491,0.129915832528694,2.55535168743104,0.759977827327533,0.468165199202634,1.02451318002485,1.00594739126523,1.04342161941934,0.00933067048656896,0.00944593474663382,0.758999440916732,0.438192211542381,1.31467455636462,0.280282388794306,0.325192060631259,0.632609511456785,0.367270507121008,1.0896458774288,0.27743096167877,0.0988391439804363,1.20923781482439,0.775806523187176,1.88482056943014,0.22645435079814,0.401481561763821,1.46852070104989e-06,1.10089571813316,0.895773101750217,1.35298925568976,0.105202071068349,0.360869481335969,0.454544150843895,0.218359356436701,0.946194330474184,0.374064486185624,0.0350466493476577,0.505147900424309,0.154737346857013,1.64908088762104,0.603644824442836,0.257928404832421,1.02666421817524,1.01415033034718,1.03933251840537,0.00625714276202048,2.60411800856409e-05,0.935845680074707,0.68201472263327,1.28414696611385,0.161431204152805,0.681270302396914,0.914612851576906,0.650370260200446,1.28621605177922,0.173961885834427,0.607903194223927,1.29978836694211,0.989473733019932,1.70742258481359,0.139177820974596,0.059574265515764
"EGR1",6.82183633584648e-05,1.3070949044896,1.09989237808277,1.55333114710801,0.0880601423900572,0.00235650234586643,0.392967620652726,0.117672584388797,1.31231545294561,0.615226181977373,0.12896739930611,0.479921164568695,0.0634077754296425,3.63243029171621,1.03269007549472,0.477149774032616,1.02732785835455,1.01005841073622,1.04489256990799,0.00864962695506017,0.00182684972893109,0.993240614578139,0.660568779180281,1.49345071935093,0.208101627443644,0.974000389078383,1.50587530755781,0.938664991003098,2.41583574933269,0.241163086719292,0.0896021796095813,1.28113823111218,0.878608806104903,1.86808413006194,0.192434378094887,0.197938779327178,0.00866045749067124,0.979731973449134,0.792933433450396,1.21053634429526,0.107930433426225,0.849530875677089,0.450188031635106,0.155932091539191,1.29972773293144,0.540951134869373,0.140119623551397,0.619104638043009,0.134391953844031,2.85203497592716,0.779358067326928,0.538405792548988,1.02662660617799,1.00782421167536,1.04577978610028,0.00943105408245416,0.00533040604889486,0.801721578685561,0.466029693655029,1.3792200335755,0.276796941546219,0.424640054801551,0.628989140893055,0.362095413734663,1.09260522048835,0.281743055422042,0.099842545583971,1.24091687720902,0.796273182541396,1.93385226314857,0.22636307853324,0.340306978860471,6.46821935135469e-07,1.11487620909362,0.976327782620735,1.27308572359433,0.0677054694185041,0.108246680101193,0.606057940230788,0.303125167237076,1.21173121408792,0.353491076623952,0.156579859855813,0.591036454940392,0.179573390960924,1.94529985316433,0.607814082671026,0.386931882351035,1.02821229993412,1.01571584309506,1.0408625019713,0.00623890806583104,8.21969975437177e-06,0.930023485078897,0.67790054861979,1.27591530138061,0.161334211937563,0.652956070736897,0.966603729412078,0.682122148412296,1.36972941266907,0.177850141829875,0.848537556728122,1.30909369073223,0.995840840408133,1.72088372115025,0.139544855802108,0.0535948635224703
