"Motif","TF","Multivariate p value male","Gene expression HR male","Gene expression HR lower CI male","Gene expression HR upper CI male","Gene expression HR standard error male","Gene expression p value male","Multivariate p value female","Gene expression HR female","Gene expression HR lower CI female","Gene expression HR upper CI female","Gene expression HR standard error female","Gene expression p value female"
"KLF15","KLF15",0.000300325128635559,0.400670102387067,0.1877420824936,0.855090818289688,0.386777149017842,0.0180440574175071,0.000218152311339414,5.49266956517095,1.82412119155024,16.5391527119509,0.562416490019034,0.00245574374764967
"ZNF148","ZNF148",0.00325174852505454,0.981745888781724,0.653299358340771,1.47531905218415,0.207808433907288,0.929357945698254,0.00290413088738397,1.57944401328327,0.91867044815482,2.7154932392861,0.276485036615305,0.0982991204670264
"KLF5","KLF5",0.00305183311993069,0.965523484250272,0.814759900472397,1.14418443776906,0.0866224875199642,0.68545420442191,0.00384389279762399,1.13020686733811,0.967828587930979,1.31982830318019,0.079134602269742,0.121925862990411
"KLF4","KLF4",0.00283235584900987,0.926035785984069,0.717948412367327,1.19443439410294,0.12985706078366,0.554020672743202,0.00148514356904684,1.33815015696294,1.04964935119485,1.70594669595289,0.123896166004761,0.0187196656450357
"E2F6","E2F6",0.001788820748299,0.766772279493913,0.501960449059511,1.17128696036087,0.216161385163852,0.219239965123605,0.000218045034693146,0.456717233360671,0.2777806495117,0.750918509317689,0.253694805733255,0.00200757989115441
"ZNF460","ZNF460",0.00162218727083524,2.51296989804609,0.656626293626192,9.61736952934268,0.684760291606627,0.178407128687059,0.00570300402039467,0.388309748611781,0.0668265782870365,2.25635465307364,0.897823876469541,0.292063691272266
"SP2","SP2",0.00273219554485269,1.32417855304848,0.580981621452996,3.01807970442906,0.420328367745509,0.504113914805546,0.00693984469380665,0.639053939235357,0.20911568841549,1.95293782282274,0.569960080728606,0.432095924770991
"Zfx","ZFX",0.0012603330704088,0.644984488269093,0.36613953266551,1.13619249765031,0.288888864406434,0.129018137501824,0.00123545081676062,1.8666769736382,1.12754170807994,3.09033617021998,0.257208832034861,0.0152382931648628
"Wt1","WT1",0.00113890171170999,0.709589451520445,0.455695254738782,1.10494279778647,0.225954295027622,0.128936214612321,0.00135956483895307,1.34930777887773,1.05319187647177,1.72867976179149,0.12641368468489,0.0177914073329789
"EGR1","EGR1",6.82183633584648e-05,1.3070949044896,1.09989237808277,1.55333114710801,0.0880601423900572,0.00235650234586643,0.00866045749067124,0.979731973449134,0.792933433450396,1.21053634429526,0.107930433426225,0.849530875677089
"KLF2","KLF2",0.00148783865167291,1.21518987221556,0.935216515165387,1.57897813136258,0.133613448796173,0.144650992950077,0.00676432084421304,1.18346677109293,0.793099175532115,1.76597535527815,0.204215525064355,0.409454262136976
"SP3","SP3",0.00264161463451754,0.864648734445955,0.588013721576669,1.2714285509773,0.196724560507555,0.459744987939738,0.0084498434075755,0.912272370863566,0.516880079101532,1.61012372557998,0.289866400578875,0.751429382341706
"TCFL5","TCFL5",0.0016486697379384,0.872403741573678,0.713864443045916,1.0661523987164,0.102328020357357,0.182212258453318,0.000572233412478482,0.678864367379286,0.514780937585631,0.895248436079895,0.141165812247979,0.00607283737262378
"MAZ","MAZ",0.00323214795339178,0.971892896484415,0.672610409643921,1.40434312150614,0.187799029258229,0.879337219884085,0.00748362822757383,1.14449270423408,0.761663080704665,1.71974142272091,0.207765275969341,0.515959457273062
"ZKSCAN5","ZKSCAN5",0.00206453104332394,1.38479911419076,0.762389107238345,2.51534100954042,0.304522585174404,0.285039423000942,0.000784330402339822,0.36370989734409,0.163848093962266,0.807363004518769,0.406852793515852,0.0129221277603687
"Ahr::Arnt","AHR",0.00244080023554517,0.924963352022857,0.772974162661803,1.10683803406724,0.0915876492824783,0.394405105063448,0.00877868884708029,0.998496548932896,0.821391007663031,1.21378898591487,0.0996199135543399,0.987949824756041
"Ahr::Arnt","ARNT",0.00251728336395163,0.804514152471846,0.470762040434551,1.37488362683201,0.273416153460013,0.426292574517248,0.00456759205486833,1.56910401388999,0.803504850610693,3.06418487023993,0.34147404080569,0.187070733844481
"EGR3","EGR3",0.000360696578886866,1.19510549676672,1.03154955730521,1.38459382613979,0.0750893221325099,0.0176140670067945,0.00722402131750365,0.927802977796086,0.754580832280374,1.14079012980738,0.105439180221863,0.477268679713986
"SP1","SP1",0.0027682865869783,0.736055215836013,0.288206172922737,1.87982538772562,0.478390951367375,0.521792247260792,0.000852465046550602,3.1366959468826,1.29239386289538,7.61289707856355,0.452392901273988,0.0115060954041911
"Znf281","ZNF281",0.0025327499898791,0.843665981923407,0.556780900717562,1.2783705190632,0.212036984846326,0.422703136366402,0.00415179006930012,1.35416434190684,0.887355271123539,2.06654665224463,0.215664364904558,0.159778594165519
"KLF9","KLF9",0.000144250857119519,1.29426311768595,1.07147543283616,1.56337417216201,0.096381824233219,0.00744518820928132,0.00160642851875251,1.26307325954151,1.01064319991128,1.57855320167282,0.113757644566494,0.0400696773732459
"NRF1","NRF1",0.00291988927837766,0.743492357281663,0.24831564852539,2.22612182767741,0.559529553570733,0.596302612241234,0.00810620257338233,1.29135824351875,0.434007412767278,3.84234477118948,0.556330748897999,0.645796966020814
"ZNF263","ZNF263",0.00108030947952727,0.672858924283342,0.423390694815227,1.06931762443508,0.23635143706296,0.0936598321730554,0.00443440727164806,0.678499526450433,0.380528028073087,1.20979684393981,0.29506865949939,0.18867373010709
