"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","logp"
"MA0527.1","MA0527.1",22,672,7.61245674740484,1.68,4.53122425440765,5.32338099295244e-09,"ZBTB33",3.0379274535212e-06,8.27381245037512
"MA1653.1","MA1653.1",94,7415,32.5259515570934,18.5375,1.75460291609405,8.14457762338125e-09,"ZNF148",3.0379274535212e-06,8.08913143322057
"MA1522.1","MA1522.1",85,6549,29.4117647058824,16.3725,1.79641256410947,2.06115641830604e-08,"MAZ",5.12540896018768e-06,7.68588904896339
"MA0073.1","MA0073.1",90,7257,31.1418685121107,18.1425,1.71651473127247,5.77825525108092e-08,"RREB1",9.14434400299277e-06,7.23820327736073
"MA0135.1","MA0135.1",62,4260,21.4532871972318,10.65,2.01439316405933,6.12891689208631e-08,"Lhx3",9.14434400299277e-06,7.21261626762701
"MA0149.1","MA0149.1",119,10826,41.1764705882353,27.065,1.52139185620674,1.37183648878271e-07,"EWSR1-FLI1",1.7056500343865e-05,6.86269764974533
"MA0790.1","MA0790.1",66,4808,22.8373702422145,12.02,1.89994760750537,1.83388024950805e-07,"POU4F1",1.95439238019001e-05,6.73662902672261
"MA1650.1","MA1650.1",31,1541,10.7266435986159,3.8525,2.78433318588343,3.26183561409138e-07,"ZBTB14",2.75554960252288e-05,6.48653792977396
"MA0599.1","MA0599.1",88,7307,30.4498269896194,18.2675,1.66688528751167,3.32438960089892e-07,"KLF5",2.75554960252288e-05,6.4782880848863
"MA0039.4","MA0039.4",86,7169,29.757785467128,17.9225,1.66035907195581,5.7449177848862e-07,"KLF4",3.94136622580427e-05,6.24071618208897
"MA0601.1","MA0601.1",59,4230,20.4152249134948,10.575,1.93051772231629,5.81166601660147e-07,"Arid3b",3.94136622580427e-05,6.23569935158577
"MA0751.1","MA0751.1",37,2146,12.80276816609,5.365,2.38635007755638,9.53424301481679e-07,"ZIC4",5.9271210742111e-05,6.02071378269544
"MA1513.1","MA1513.1",50,3399,17.3010380622837,8.4975,2.03601507058355,1.12253302243625e-06,"KLF15",6.44161257490343e-05,5.94980087415458
"MA0107.1","MA0107.1",41,2575,14.1868512110727,6.4375,2.20378271239964,1.75858552943283e-06,"RELA",9.37074860683496e-05,5.75483650476676
"MA0041.1","MA0041.1",92,8084,31.8339100346021,20.21,1.57515635995062,2.02309451729273e-06,"Foxd3",0.000100615233993358,5.69398382687833
"MA0791.1","MA0791.1",61,4639,21.1072664359862,11.5975,1.81998417210486,2.53098140053218e-06,"POU4F3",0.000118007007799813,5.59671104633757
"MA1584.1","MA1584.1",35,2101,12.1107266435986,5.2525,2.30570711920012,4.11316127621036e-06,"ZIC5",0.000180495194826643,5.38582426155938
"MA0057.1","MA0057.1",52,3815,17.9930795847751,9.5375,1.88656142435388,6.0667068283464e-06,"MZF1(var.2)",0.000251431294108134,5.21704699168984
"MA0697.1","MA0697.1",35,2165,12.1107266435986,5.4125,2.23754764777804,7.86061983839675e-06,"ZIC3",0.000308632757865473,5.10454320691457
"MA0516.2","MA0516.2",60,4740,20.7612456747405,11.85,1.75200385440848,1.02530568656611e-05,"SP2",0.00038243902108916,4.98914663392869
"MA0741.1","MA0741.1",63,5093,21.7993079584775,12.7325,1.71209958440821,1.20401593549782e-05,"KLF16",0.00042771232756256,4.91936776502755
