"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","logp"
"MA0514.1","MA0514.1",44,7872,37.9310344827586,19.68,1.92738996355481,3.96691812662699e-06,"Sox3",0.00234237059618094,5.40154676285356
"MA0515.1","MA0515.1",37,6163,31.8965517241379,15.4075,2.07019644485724,6.7856297435719e-06,"Sox6",0.00234237059618094,5.16840984122944
"MA0867.2","MA0867.2",35,5805,30.1724137931034,14.5125,2.0790638272595,1.22217831403458e-05,"SOX4",0.00234237059618094,4.91286542653885
"MA1152.1","MA1152.1",37,6329,31.8965517241379,15.8225,2.01589835513591,1.255962786156e-05,"SOX15",0.00234237059618094,4.90102322843842
"MA1120.1","MA1120.1",21,2845,18.1034482758621,7.1125,2.54530028483122,6.5003016545194e-05,"SOX13",0.00969845006854294,4.18706648891816
"MA0143.4","MA0143.4",20,2951,17.2413793103448,7.3775,2.33702193295084,0.000309560152582288,"SOX2",0.0384886456377311,3.50925494794841
"MA0868.2","MA0868.2",21,3440,18.1034482758621,8.6,2.10505212510024,0.000854029793937304,"SOX8",0.0900211775122854,3.06852697812029
"MA0649.1","MA0649.1",9,865,7.75862068965517,2.1625,3.58780147498505,0.000965374557772498,"HEY2",0.0900211775122854,3.01530415109907
"MA0823.1","MA0823.1",9,930,7.75862068965517,2.325,3.33704115684093,0.00159056284543517,"HEY1",0.115123054510891,2.7984491666154
"MA0622.1","MA0622.1",8,751,6.89655172413793,1.8775,3.67326323522659,0.00159757223666995,"Mlxip",0.115123054510891,2.79653949543693
"MA0078.1","MA0078.1",18,2894,15.5172413793103,7.235,2.14474656244787,0.00169752493246621,"Sox17",0.115123054510891,2.77018383828282
"MA0442.2","MA0442.2",32,6644,27.5862068965517,16.61,1.66081919906994,0.00199871183665371,"SOX10",0.124253252511972,2.69924981557288
"MA0698.1","MA0698.1",24,4557,20.6896551724138,11.3925,1.81607682004949,0.00267492889983044,"ZBTB18",0.153499766097962,2.57268775712749
"MA0003.4","MA0003.4",20,3573,17.2413793103448,8.9325,1.93018520127006,0.00320399368316995,"TFAP2A",0.156335255693927,2.49430834881974
"MA0822.1","MA0822.1",9,1045,7.75862068965517,2.6125,2.96980696254743,0.00346449614739726,"HES7",0.156335255693927,2.46035991727618
"MA0829.2","MA0829.2",14,2132,12.0689655172414,5.33,2.26434625088956,0.00353592461419672,"SREBF1(var.2)",0.156335255693927,2.45149700270517
"MA1464.1","MA1464.1",8,856,6.89655172413793,2.14,3.22268772155978,0.00356259966058547,"ARNT2",0.156335255693927,2.44823297780815
"MA0496.3","MA0496.3",28,5792,24.1379310344828,14.48,1.66698418746428,0.00390819667738623,"MAFK",0.161973040073896,2.40802358882372
"MA0503.1","MA0503.1",19,3417,16.3793103448276,8.5425,1.91739073395699,0.00439787194195569,"Nkx2-5(var.2)",0.172674340457839,2.35675742065774
"MA1148.1","MA1148.1",17,2945,14.6551724137931,7.3625,1.99051577776477,0.00491655258756572,"PPARA::RXRA",0.175587616596507,2.3083393112527
"MA0909.2","MA0909.2",14,2244,12.0689655172414,5.61,2.15133075173643,0.00553183170261251,"HOXD13",0.175587616596507,2.25713104109681
"MA0077.1","MA0077.1",16,2737,13.7931034482759,6.8425,2.01579882327744,0.00565327378446433,"SOX9",0.175587616596507,2.24769998142422
"MA1615.1","MA1615.1",19,3508,16.3793103448276,8.77,1.86765226280816,0.00581949327455435,"Plagl1",0.175587616596507,2.23511482937858
"MA0687.1","MA0687.1",30,6534,25.8620689655172,16.335,1.58323042335582,0.00586839747252244,"SPIC",0.175587616596507,2.2314804786261
"MA0500.2","MA0500.2",20,3773,17.2413793103448,9.4325,1.82786952667319,0.00588430350524488,"MYOG",0.175587616596507,2.23030493498365
"MA1485.1","MA1485.1",15,2558,12.9310344827586,6.395,2.02205386751503,0.00716087578180911,"FERD3L",0.19807310382933,2.14503385982236
"MA0469.3","MA0469.3",4,261,3.44827586206897,0.6525,5.28471396485665,0.00716886568819293,"E2F3",0.19807310382933,2.14454955623317
"MA0626.1","MA0626.1",9,1192,7.75862068965517,2.98,2.60356398981717,0.0080085968044935,"Npas2",0.210827441310486,2.0964435704887
"MA0821.1","MA0821.1",8,987,6.89655172413793,2.4675,2.79495510603361,0.00819570482306179,"HES5",0.210827441310486,2.0864136915622
"MA0728.1","MA0728.1",19,3666,16.3793103448276,9.165,1.78715879376188,0.0091798505435126,"Nr2f6(var.2)",0.228272283515347,2.03716438945847
"MA0490.2","MA0490.2",18,3437,15.5172413793103,8.5925,1.80590531036489,0.0101385084441087,"JUNB",0.243978299977584,1.99402593278772
"MA1132.1","MA1132.1",14,2446,12.0689655172414,6.115,1.97366566103702,0.011372463115384,"JUN::JUNB",0.264857381139917,1.94414546305471
"MA1596.1","MA1596.1",35,8357,30.1724137931034,20.8925,1.44417440675378,0.01171621123005,"ZNF460",0.264857381139917,1.93121280708107
"MA0602.1","MA0602.1",14,2528,12.0689655172414,6.32,1.90964644260148,0.0148120667696505,"Arid5a",0.316057355031076,1.82938433891091
"MA0464.2","MA0464.2",6,683,5.17241379310345,1.7075,3.02923208966527,0.0148284281851041,"BHLHE40",0.316057355031076,1.82890488179118
"MA1569.1","MA1569.1",9,1327,7.75862068965517,3.3175,2.33869500818543,0.0153001332424153,"TFAP2E",0.31705276107894,1.81530478707823
"MA0163.1","MA0163.1",16,3108,13.7931034482759,7.77,1.77517418896729,0.0176523275189395,"PLAG1",0.355909089976457,1.75319802330797
"MA1479.1","MA1479.1",14,2620,12.0689655172414,6.55,1.84259015530403,0.0195777905749282,"DMRTC2",0.375223511964551,1.70823632148378
"MA0836.2","MA0836.2",15,2882,12.9310344827586,7.205,1.79473067075068,0.0196162425825971,"CEBPD",0.375223511964551,1.70738417646266
"MA0820.1","MA0820.1",14,2631,12.0689655172414,6.5775,1.83488643363609,0.0202179141581167,"FIGLA",0.377064099048877,1.69426365172953
"MA1529.1","MA1529.1",14,2646,12.0689655172414,6.615,1.82448458310527,0.0211163576996524,"NHLH2",0.379925485525349,1.67538098989567
"MA0659.2","MA0659.2",22,4849,18.9655172413793,12.1225,1.56448894546334,0.0216970931134669,"MAFG",0.379925485525349,1.66359844722731
"MA0872.1","MA0872.1",9,1412,7.75862068965517,3.53,2.19790954381166,0.021899190184437,"TFAP2A(var.3)",0.379925485525349,1.65957194474587
"MA0913.2","MA0913.2",16,3211,13.7931034482759,8.0275,1.71823151021811,0.0231896370014298,"HOXD9",0.384695408700997,1.63470604952975
"MA0495.3","MA0495.3",22,4881,18.9655172413793,12.2025,1.55423210337056,0.0232054871200333,"MAFF",0.384695408700997,1.63440931061827
"MA0814.2","MA0814.2",16,3225,13.7931034482759,8.0625,1.71077252071639,0.0240345039905926,"TFAP2C(var.2)",0.389776956021349,1.619164836147
"MA0866.1","MA0866.1",16,3241,13.7931034482759,8.1025,1.70232686803775,0.0250285567112255,"SOX21",0.392892838924682,1.6015641935569
"MA1588.1","MA1588.1",16,3251,13.7931034482759,8.1275,1.69709055038768,0.0256655086382947,"ZNF136",0.392892838924682,1.59065012448267
"MA0513.1","MA0513.1",23,5221,19.8275862068966,13.0525,1.51906425641805,0.0258066341921038,"SMAD2::SMAD3::SMAD4",0.392892838924682,1.58826863424405
"MA1124.1","MA1124.1",22,5002,18.9655172413793,12.505,1.51663472542018,0.0296623717701248,"ZNF24",0.43818252678601,1.52779412621742
"MA0790.1","MA0790.1",22,5007,18.9655172413793,12.5175,1.51512021101492,0.0299561781046736,"POU4F1",0.43818252678601,1.52351359597688
"MA1153.1","MA1153.1",12,2272,10.3448275862069,5.68,1.82127246236037,0.0322735122012538,"Smad4",0.456478046476058,1.49115376943889
"MA0088.2","MA0088.2",14,2803,12.0689655172414,7.0075,1.72229261751572,0.0324307459292641,"ZNF143",0.456478046476058,1.48904306214301
"MA0857.1","MA0857.1",17,3641,14.6551724137931,9.1025,1.61001619486878,0.0337035528049544,"Rarb",0.46273185899832,1.47232431627229
"MA1651.1","MA1651.1",14,2827,12.0689655172414,7.0675,1.70767110254565,0.0344914576904376,"ZFP42",0.46273185899832,1.46228845093456
