"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","logp"
"MA0476.1","MA0476.1",66,5090,23.321554770318,12.725,1.83273514894444,6.45344214970438e-07,"FOS",0.000481426784367947,6.19020857871768
"MA1622.1","MA1622.1",62,4949,21.9081272084806,12.3725,1.77071143329809,4.81805343365481e-06,"Smad2::Smad3",0.00179713393075324,5.31712838785516
"MA1634.1","MA1634.1",64,5436,22.6148409893993,13.59,1.66407954300216,2.38146646025671e-05,"BATF",0.00520634626348516,4.62315553056138
"MA0462.2","MA0462.2",64,5464,22.6148409893993,13.66,1.65555204900434,2.79160657559526e-05,"BATF::JUN",0.00520634626348516,4.55414578736956
"MA1627.1","MA1627.1",83,7908,29.3286219081272,19.77,1.48349124472065,7.30452655818659e-05,"Wt1",0.0101585422825641,4.1364079275504
"MA0835.2","MA0835.2",63,5546,22.2614840989399,13.865,1.60558846728741,8.17040934254483e-05,"BATF3",0.0101585422825641,4.08775618450124
"MA1633.1","MA1633.1",56,4801,19.7879858657244,12.0025,1.64865535227864,0.000112349216347931,"BACH1",0.0119732164850795,3.94942995250125
"MA0477.2","MA0477.2",55,4774,19.434628975265,11.935,1.62837276709384,0.000180411456684154,"FOSL1",0.0165457862879841,3.74373588687876
"MA0489.1","MA0489.1",57,5023,20.1413427561837,12.5575,1.60392934550537,0.000199614043688817,"JUN(var.2)",0.0165457862879841,3.69980890752758
"MA0161.2","MA0161.2",52,4538,18.3745583038869,11.345,1.61961730311916,0.000318949243674417,"NFIC",0.0237936135781115,3.49627842335649
"MA1653.1","MA1653.1",85,8624,30.0353356890459,21.56,1.39310462379619,0.000507249943631362,"ZNF148",0.0344007689044542,3.29477799255601
"MA0599.1","MA0599.1",79,8171,27.9151943462898,20.4275,1.36654971711123,0.00154159920380114,"KLF5",0.0958360838363042,2.81202852265519
"MA0490.2","MA0490.2",49,4549,17.3144876325088,11.3725,1.522487371511,0.00185149337332974,"JUNB",0.105568314334398,2.73247783799287
"MA1128.1","MA1128.1",49,4564,17.3144876325088,11.41,1.51748357865985,0.00198117479984125,"FOSL1::JUN",0.105568314334398,2.70307720479593
"MA1141.1","MA1141.1",49,4625,17.3144876325088,11.5625,1.49746920064941,0.00259433408176468,"FOS::JUND",0.12902488166643,2.58597409898261
"MA0491.2","MA0491.2",46,4287,16.2544169611307,10.7175,1.51662392919344,0.00278841358496481,"JUND",0.12980059037404,2.55464281007666
"MA0657.1","MA0657.1",26,2049,9.18727915194346,5.1225,1.7935147197547,0.00306732899576575,"KLF13",0.12980059037404,2.51323963993444
"MA0154.4","MA0154.4",44,4078,15.547703180212,10.195,1.52503219031015,0.00313191773020473,"EBF1",0.12980059037404,2.50418965459219
"MA0074.1","MA0074.1",19,1340,6.71378091872792,3.35,2.00411370708296,0.00344686944812109,"RXRA::VDR",0.135334979384123,2.46257516539807
"MA1130.1","MA1130.1",45,4310,15.9010600706714,10.775,1.47573643347298,0.00513763116743593,"FOSL2::JUN",0.186663210738048,2.28923707712241
"MA1505.1","MA1505.1",14,900,4.9469964664311,2.25,2.1986650961916,0.00525459440415416,"HOXC8",0.186663210738048,2.27946080101269
"MA1513.1","MA1513.1",52,5194,18.3745583038869,12.985,1.41506032374947,0.00600727273687169,"KLF15",0.196583063048404,2.22132265015194
"MA0039.4","MA0039.4",75,8087,26.5017667844523,20.2175,1.31083303002113,0.00626328049869828,"KLF4",0.196583063048404,2.20319813814557
"MA0730.1","MA0730.1",27,2278,9.54063604240283,5.695,1.67526532790216,0.00632438808734811,"RARA(var.2)",0.196583063048404,2.19898148804052
"MA0057.1","MA0057.1",45,4379,15.9010600706714,10.9475,1.45248322180145,0.00681090659033317,"MZF1(var.2)",0.203237452655542,2.16679507590313
"MA1137.1","MA1137.1",44,4273,15.547703180212,10.6825,1.45543675920543,0.00720267223891081,"FOSL1::JUNB",0.206661288085672,2.14250634755444
"MA0496.3","MA0496.3",56,5772,19.7879858657244,14.43,1.37130879180349,0.00816797815392959,"MAFK",0.218831549303593,2.0878854324834
"MA1142.1","MA1142.1",44,4306,15.547703180212,10.765,1.44428269207729,0.00821351659584533,"FOSL1::JUND",0.218831549303593,2.08547086100693
"MA1587.1","MA1587.1",58,6039,20.4946996466431,15.0975,1.35748962719941,0.00868344746289949,"ZNF135",0.223374200252518,2.06130781896338
"MA0467.1","MA0467.1",28,2458,9.89399293286219,6.145,1.6100883535984,0.00911857940165996,"Crx",0.226748674454611,2.04007281584659
"MA1101.2","MA1101.2",34,3155,12.0141342756184,7.8875,1.52318659595796,0.00947809525252691,"BACH2",0.228085776076938,2.02327893106192
"MA0591.1","MA0591.1",39,3760,13.7809187279152,9.4,1.46605518382077,0.0101393416263986,"Bach1::Mafk",0.236373401665418,1.99399024394794
"MA0150.2","MA0150.2",40,3887,14.1342756183746,9.7175,1.45451768648053,0.0104581783881089,"Nfe2l2",0.236418214470582,1.98054395455928
"MA1132.1","MA1132.1",35,3307,12.3674911660777,8.2675,1.49591668171488,0.0110519384066001,"JUN::JUNB",0.240824547251212,1.95656154410915
