"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","logp"
"MA1629.1","MA1629.1",34,5888,30.3571428571429,14.72,2.06230590062112,1.89625940898531e-05,"Zic2",0.00966056559650726,4.72210225128879
"MA1650.1","MA1650.1",18,2154,16.0714285714286,5.385,2.98448070035814,3.01813242724423e-05,"ZBTB14",0.00966056559650726,4.52026170851018
"MA0149.1","MA0149.1",50,10791,44.6428571428571,26.9775,1.65481816857964,4.3459159186237e-05,"EWSR1-FLI1",0.00966056559650726,4.36191868032359
"MA1564.1","MA1564.1",30,5147,26.7857142857143,12.8675,2.08165644342058,5.90319763007926e-05,"SP9",0.00966056559650726,4.22891267701663
"MA1513.1","MA1513.1",29,4912,25.8928571428571,12.28,2.10853885528153,6.47490991723007e-05,"KLF15",0.00966056559650726,4.18876626936594
"MA0632.2","MA0632.2",14,1556,12.5,3.89,3.2133676092545,0.000117051547157459,"TCFL5",0.0138718924062871,3.93162284153586
"MA0162.4","MA0162.4",26,4329,23.2142857142857,10.8225,2.14500214500215,0.000130165210246662,"EGR1",0.0138718924062871,3.88550507580501
"MA0685.1","MA0685.1",26,4507,23.2142857142857,11.2675,2.0602871723351,0.000248617017045152,"SP4",0.0214197397002097,3.60446914859913
"MA0079.4","MA0079.4",27,4780,24.1071428571429,11.95,2.01733413030484,0.000258415090217007,"SP1",0.0214197397002097,3.58768212919621
"MA1554.1","MA1554.1",10,928,8.92857142857143,2.32,3.84852216748769,0.000289135171999151,"RFX7",0.0215694838311367,3.53889907513653
"MA1122.1","MA1122.1",16,2162,14.2857142857143,5.405,2.64305537201004,0.000346806639753418,"TFDP1",0.0222529887835201,3.45991259637268
"MA1099.2","MA1099.2",12,1329,10.7142857142857,3.3225,3.22476620445018,0.000357956924131691,"HES1",0.0222529887835201,3.44616923239938
"MA1514.1","MA1514.1",27,4980,24.1071428571429,12.45,1.93631669535284,0.000497969467499947,"KLF17",0.0266498213005602,3.30279728475594
"MA0471.2","MA0471.2",28,5252,25,13.13,1.9040365575019,0.000500130694648582,"E2F6",0.0266498213005602,3.30091649056846
"MA1648.1","MA1648.1",23,4013,20.5357142857143,10.0325,2.0469189420099,0.00066914539420599,"TCF12(var.2)",0.0324286905206876,3.17447950698434
"MA1574.1","MA1574.1",16,2324,14.2857142857143,5.81,2.4588148512417,0.000758891935374095,"THRB",0.0324286905206876,3.11982006232858
"MA1123.2","MA1123.2",23,4063,20.5357142857143,10.1575,2.02172919376956,0.000793584639739106,"TWIST1",0.0324286905206876,3.10040674677765
"MA0864.2","MA0864.2",8,701,7.14285714285714,1.7525,4.07581006725087,0.000822541065773779,"E2F2",0.0324286905206876,3.08484241046767
"MA0502.2","MA0502.2",17,2577,15.1785714285714,6.4425,2.35600643051167,0.000825931796103303,"NFYB",0.0324286905206876,3.08305581442169
"MA1516.1","MA1516.1",19,3108,16.9642857142857,7.77,2.18330575473433,0.000994198584753643,"KLF3",0.0370836072113109,3.00252685941682
"MA0616.2","MA0616.2",9,955,8.03571428571429,2.3875,3.36574420344054,0.00149243359881919,"HES2",0.0496992483451481,2.82610498234796
"MA1631.1","MA1631.1",25,4816,22.3214285714286,12.04,1.85393925011865,0.00157148817693172,"ASCL1(var.2)",0.0496992483451481,2.80368888204228
"MA0746.2","MA0746.2",26,5093,23.2142857142857,12.7325,1.82323076491543,0.00157962776154079,"SP3",0.0496992483451481,2.80144524225758
"MA0740.1","MA0740.1",20,3501,17.8571428571429,8.7525,2.04023340270127,0.00164699604980925,"KLF14",0.0496992483451481,2.78330744245022
