"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","logp"
"MA0769.2","MA0769.2",13,3473,23.2142857142857,8.6825,2.67368680844062,0.000836948488184216,"TCF7",0.429356651278175,3.07730127078306
"MA1616.1","MA1616.1",15,4549,26.7857142857143,11.3725,2.35530571868228,0.00115109021790395,"Prdm15",0.429356651278175,2.93889063675041
"MA0116.1","MA0116.1",10,2494,17.8571428571429,6.235,2.86401649673502,0.00221800864186458,"Znf423",0.478851087622617,2.65403676607379
"MA0768.1","MA0768.1",14,4421,25,11.0525,2.26193168966297,0.00256756615347248,"LEF1",0.478851087622617,2.59047835796713
"MA0504.1","MA0504.1",14,4592,25,11.48,2.17770034843206,0.00364569079542918,"NR2C2",0.543937066678034,2.43822016824642
"MA0738.1","MA0738.1",11,3257,19.6428571428571,8.1425,2.41238650818018,0.00495842847976248,"HIC2",0.552118951010402,2.30465594663719
"MA1643.1","MA1643.1",16,5930,28.5714285714286,14.825,1.92724644663936,0.00603901487272934,"NFIB",0.552118951010402,2.21903390082117
"MA0523.1","MA0523.1",13,4386,23.2142857142857,10.965,2.1171259201355,0.00660684743985814,"TCF7L2",0.552118951010402,2.18000572146363
"MA0258.2","MA0258.2",11,3476,19.6428571428571,8.69,2.26039783001808,0.00801897736612657,"ESR2",0.552118951010402,2.09588101233502
"MA0078.1","MA0078.1",9,2543,16.0714285714286,6.3575,2.5279478680973,0.00839498267196205,"Sox17",0.552118951010402,2.07598019594988
"MA1652.1","MA1652.1",20,8445,35.7142857142857,21.1125,1.69161803264823,0.00841585139804336,"ZKSCAN5",0.552118951010402,2.07490194162897
"MA0619.1","MA0619.1",14,5077,25,12.6925,1.96966712625566,0.00888126998944347,"LIN54",0.552118951010402,2.05152492724272
"MA0161.2","MA0161.2",14,5205,25,13.0125,1.92122958693564,0.0109780944423182,"NFIC",0.596728939298312,1.95947303739106
"MA0733.1","MA0733.1",9,2664,16.0714285714286,6.66,2.41312741312741,0.0111986664211479,"EGR4",0.596728939298312,1.95083369165302
"MA1628.1","MA1628.1",18,7860,32.1428571428571,19.65,1.63576881134133,0.0183876994399148,"Zic1::Zic2",0.635893236722316,1.73547260371732
"MA0753.2","MA0753.2",12,4449,21.4285714285714,11.1225,1.92659666698777,0.0185759360631713,"ZNF740",0.635893236722316,1.73104929240846
"MA0883.1","MA0883.1",6,1521,10.7142857142857,3.8025,2.81769512538743,0.0192497529255238,"Dmbx1",0.635893236722316,1.71557484037731
"MA1548.1","MA1548.1",8,2466,14.2857142857143,6.165,2.31722859460086,0.0208514992882048,"PLAGL2",0.635893236722316,1.68086271243198
"MA0815.1","MA0815.1",7,2011,12.5,5.0275,2.48632521133764,0.0216375415193981,"TFAP2C(var.3)",0.635893236722316,1.66479208576574
"MA0507.1","MA0507.1",13,5138,23.2142857142857,12.845,1.80726241450259,0.0230622681649011,"POU2F2",0.635893236722316,1.63709798225124
"MA0813.1","MA0813.1",8,2516,14.2857142857143,6.29,2.27117874176698,0.0232034140046617,"TFAP2B(var.3)",0.635893236722316,1.63444811104427
"MA0514.1","MA0514.1",16,6902,28.5714285714286,17.255,1.65583474769218,0.0244210273742876,"Sox3",0.635893236722316,1.61223606956401
"MA1421.1","MA1421.1",11,4141,19.6428571428571,10.3525,1.89740228378238,0.0268484891114097,"TCF7L1",0.635893236722316,1.57108014903482
"MA0007.3","MA0007.3",6,1643,10.7142857142857,4.1075,2.6084688287975,0.0268867905033427,"Ar",0.635893236722316,1.57046103674576
"MA1473.1","MA1473.1",8,2635,14.2857142857143,6.5875,2.16860937923556,0.0295524070200636,"CDX4",0.635893236722316,1.52940714040172
"MA1604.1","MA1604.1",11,4204,19.6428571428571,10.51,1.86896832948213,0.029610797279747,"Ebf2",0.635893236722316,1.5285498989419
"MA0509.2","MA0509.2",10,3693,17.8571428571429,9.2325,1.93416115430738,0.0309190000526839,"RFX1",0.635893236722316,1.50977455998734
"MA0136.2","MA0136.2",9,3190,16.0714285714286,7.975,2.01522615315719,0.0321540036009543,"ELF5",0.635893236722316,1.49276494393573
"MA0782.2","MA0782.2",11,4260,19.6428571428571,10.65,1.84439973172368,0.0322360329627448,"PKNOX1",0.635893236722316,1.49165840881467
"MA0675.1","MA0675.1",8,2682,14.2857142857143,6.705,2.13060615745179,0.0323661148188945,"NKX6-2",0.635893236722316,1.48990942954344
"MA1637.1","MA1637.1",11,4275,19.6428571428571,10.6875,1.83792815371763,0.0329670726766038,"EBF3",0.635893236722316,1.48191961448377
"MA0872.1","MA0872.1",7,2198,12.5,5.495,2.27479526842584,0.0330271115252384,"TFAP2A(var.3)",0.635893236722316,1.48112940703835
"MA0508.3","MA0508.3",17,7760,30.3571428571429,19.4,1.56480117820324,0.0332115920927703,"PRDM1",0.635893236722316,1.47871030475297
"MA1114.1","MA1114.1",12,4857,21.4285714285714,12.1425,1.76475778699373,0.0342544759855169,"PBX3",0.635893236722316,1.46528267179776
"MA0003.4","MA0003.4",12,4858,21.4285714285714,12.145,1.76439451861436,0.0343020400603401,"TFAP2A",0.635893236722316,1.46468005020208
"MA0006.1","MA0006.1",13,5438,23.2142857142857,13.595,1.70756055272422,0.0348785852934363,"Ahr::Arnt",0.635893236722316,1.45744113875421
"MA1112.2","MA1112.2",11,4314,19.6428571428571,10.785,1.82131266971323,0.034923970922955,"NR4A1",0.635893236722316,1.45687638203745
"MA0764.2","MA0764.2",18,8457,32.1428571428571,21.1425,1.52029595094512,0.036435242669488,"ETV4",0.635893236722316,1.43847833359991
"MA1615.1","MA1615.1",12,4908,21.4285714285714,12.27,1.74641983932937,0.0367422867447401,"Plagl1",0.635893236722316,1.43483381782561
"MA0881.1","MA0881.1",6,1771,10.7142857142857,4.4275,2.41994030813907,0.0368460313407167,"Dlx4",0.635893236722316,1.43360928282924
"MA0627.2","MA0627.2",12,4912,21.4285714285714,12.28,1.74499767333644,0.0369428106460839,"POU2F3",0.635893236722316,1.43247006607906
"MA1100.2","MA1100.2",12,4913,21.4285714285714,12.2825,1.74464249367567,0.0369930655221976,"ASCL1",0.635893236722316,1.43187967830313
"MA1578.1","MA1578.1",6,1776,10.7142857142857,4.44,2.41312741312741,0.0372776128604759,"VEZF1",0.635893236722316,1.42855190626216
"MA0911.1","MA0911.1",4,922,7.14285714285714,2.305,3.09885342423303,0.0401014579879001,"Hoxa11",0.635893236722316,1.39683983724044
"MA0599.1","MA0599.1",18,8554,32.1428571428571,21.385,1.50305621430241,0.0403342505338226,"KLF5",0.635893236722316,1.39432600843836
"MA0143.4","MA0143.4",8,2804,14.2857142857143,7.01,2.03790503362543,0.0405257584879553,"SOX2",0.635893236722316,1.39226884806363
"MA0065.2","MA0065.2",14,6165,25,15.4125,1.6220600162206,0.0418147002501194,"Pparg::Rxra",0.635893236722316,1.37867101212051
"MA1657.1","MA1657.1",8,2830,14.2857142857143,7.075,2.01918223119637,0.0424298010879492,"ZNF652",0.635893236722316,1.37232900421284
"MA0495.3","MA0495.3",11,4482,19.6428571428571,11.205,1.75304392171862,0.0443171790827592,"MAFF",0.635893236722316,1.35342789150575
"MA0465.2","MA0465.2",10,3929,17.8571428571429,9.8225,1.81798349270989,0.0444992976857636,"CDX2",0.635893236722316,1.35164684325737
"MA0163.1","MA0163.1",11,4499,19.6428571428571,11.2475,1.74641983932937,0.0453579081179821,"PLAG1",0.635893236722316,1.34334698307825
"MA0596.1","MA0596.1",8,2888,14.2857142857143,7.22,1.97863078749505,0.0468927693697345,"SREBF2",0.635893236722316,1.32889411815732
"MA0814.2","MA0814.2",11,4555,19.6428571428571,11.3875,1.72494903559668,0.0489075195559356,"TFAP2C(var.2)",0.635893236722316,1.31062436274581
"MA1581.1","MA1581.1",12,5144,21.4285714285714,12.86,1.66629637858254,0.0499789081857939,"ZBTB6",0.635893236722316,1.30121323548576
"MA0442.2","MA0442.2",14,6322,25,15.805,1.58177791838026,0.0501643814644408,"SOX10",0.635893236722316,1.29960453831116
"MA1569.1","MA1569.1",6,1920,10.7142857142857,4.8,2.23214285714286,0.0511360037075493,"TFAP2E",0.635893236722316,1.29127321521417
"MA0727.1","MA0727.1",5,1444,8.92857142857143,3.61,2.47328848436882,0.0511445663860839,"NR3C2",0.635893236722316,1.29120049907574
"MA0162.4","MA0162.4",10,4028,17.8571428571429,10.07,1.77330117747198,0.0512715996469517,"EGR1",0.635893236722316,1.29012313258873
"MA0659.2","MA0659.2",11,4605,19.6428571428571,11.5125,1.70621994726229,0.0522365853785989,"MAFG",0.635893236722316,1.28202521993551
"MA1110.1","MA1110.1",6,1932,10.7142857142857,4.83,2.21827861579414,0.0524176974948823,"NR1H4",0.635893236722316,1.28052205983408
"MA0146.2","MA0146.2",13,5775,23.2142857142857,14.4375,1.60791589363018,0.0528954985218129,"Zfx",0.635893236722316,1.27658128543778
"MA1584.1","MA1584.1",7,2451,12.5,6.1275,2.03998368013056,0.0540724405500922,"ZIC5",0.635893236722316,1.26702402817696
"MA0119.1","MA0119.1",10,4068,17.8571428571429,10.17,1.75586458772299,0.054197532194744,"NFIC::TLX1",0.635893236722316,1.26602048797462
"MA1525.1","MA1525.1",10,4085,17.8571428571429,10.2125,1.74855744011191,0.0554746931154077,"NFATC4",0.635893236722316,1.25590509159534
"MA0014.3","MA0014.3",4,1030,7.14285714285714,2.575,2.77392510402219,0.0560373078560156,"PAX5",0.635893236722316,1.25152273725781
"MA0113.3","MA0113.3",5,1484,8.92857142857143,3.71,2.40662302656912,0.0562586509700709,"NR3C1",0.635893236722316,1.24981068602219
"MA1528.1","MA1528.1",10,4117,17.8571428571429,10.2925,1.73496651514626,0.0579336937955963,"NFIX(var.2)",0.645052769724102,1.23706878042719
"MA1653.1","MA1653.1",18,8989,32.1428571428571,22.4725,1.43031959696772,0.0617643708842013,"ZNF148",0.65242211643321,1.20926197783227
"MA0149.1","MA0149.1",22,11573,39.2857142857143,28.9325,1.3578402932935,0.0619757939082241,"EWSR1-FLI1",0.65242211643321,1.20777790122408
"MA0798.2","MA0798.2",9,3617,16.0714285714286,9.0425,1.77732137920139,0.0628230332178789,"RFX3",0.65242211643321,1.20188109885147
