"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","logp"
"MA0162.4","MA0162.4",79,3762,19.0361445783133,9.405,2.02404514389296,1.12088014807631e-09,"EGR1",8.36176590464928e-07,8.95044082256276
"MA1650.1","MA1650.1",49,1881,11.8072289156626,4.7025,2.51084081141152,3.91658000087162e-09,"ZBTB14",1.46088434032511e-06,8.40709299804203
"MA1514.1","MA1514.1",86,5008,20.7228915662651,12.52,1.65518303244929,1.59687584525251e-06,"KLF17",0.000397089793519457,5.79672884830596
"MA0753.2","MA0753.2",73,4094,17.5903614457831,10.235,1.71864791849371,3.17305665709043e-06,"ZNF740",0.000591775066547365,5.49852217320622
"MA1513.1","MA1513.1",72,4055,17.3493975903614,10.1375,1.71140790040557,4.35724092523114e-06,"KLF15",0.000643552311907195,5.36078842592478
"MA0103.3","MA0103.3",66,3624,15.9036144578313,9.06,1.75536583419772,5.17602395635813e-06,"ZEB1",0.000643552311907195,5.28600372227559
"MA1564.1","MA1564.1",77,4491,18.5542168674699,11.2275,1.65256885927142,6.80229616667144e-06,"SP9",0.000724930420048128,5.16734446314852
"MA0732.1","MA0732.1",49,2452,11.8072289156626,6.13,1.92613848542621,9.35942508474971e-06,"EGR3",0.000777840734534219,5.02875082756415
"MA1548.1","MA1548.1",46,2243,11.0843373493976,5.6075,1.97669859106511,9.38413754799996e-06,"PLAGL2",0.000777840734534219,5.02760563517433
"MA0747.1","MA0747.1",82,4966,19.7590361445783,12.415,1.59154540028823,1.30371288179765e-05,"SP8",0.00097256980982105,4.88481804325184
"MA0632.2","MA0632.2",31,1311,7.46987951807229,3.2775,2.27913944105943,2.18284458087922e-05,"TCFL5",0.00146719559380808,4.66097718507391
"MA0733.1","MA0733.1",49,2541,11.8072289156626,6.3525,1.85867436688904,2.36010015089772e-05,"EGR4",0.00146719559380808,4.62706956734372
"MA0506.1","MA0506.1",39,1868,9.39759036144578,4.67,2.01233198317897,3.1671802580979e-05,"NRF1",0.00181747420964695,4.49932721832388
"MA0471.2","MA0471.2",81,5113,19.5180722891566,12.7825,1.52693700677932,6.38661266122911e-05,"E2F6",0.00317777532063735,4.19472942237213
"MA1102.2","MA1102.2",73,4476,17.5903614457831,11.19,1.57197153224157,6.41880559889187e-05,"CTCFL",0.00317777532063735,4.19254577723783
"MA0472.2","MA0472.2",34,1596,8.19277108433735,3.99,2.05332608630009,7.0155560147826e-05,"EGR2",0.00317777532063735,4.15393790345491
"MA0872.1","MA0872.1",41,2082,9.87951807228916,5.205,1.89808224251473,7.2415791489055e-05,"TFAP2A(var.3)",0.00317777532063735,4.14016671821259
"MA0815.1","MA0815.1",38,1901,9.1566265060241,4.7525,1.92669679243011,9.90371338554562e-05,"TFAP2C(var.3)",0.00410453899200946,4.00420193666777
"MA0810.1","MA0810.1",50,2782,12.0481927710843,6.955,1.7323066529237,0.000113348946164279,"TFAP2A(var.2)",0.00445043757045012,3.94558251327161
"MA0131.2","MA0131.2",22,869,5.30120481927711,2.1725,2.44014030806771,0.000132814408240943,"HINFP",0.00495397742738716,3.87675480840092
"MA0461.2","MA0461.2",30,1386,7.2289156626506,3.465,2.08626714650811,0.000142781679090975,"Atoh1",0.0050721491715175,3.8453275151099
"MA1627.1","MA1627.1",107,7484,25.7831325301205,18.71,1.37804022074401,0.000219476370252658,"Wt1",0.00744224419129469,3.65861223087197
"MA1648.1","MA1648.1",68,4281,16.3855421686747,10.7025,1.53100137058395,0.000255847892106127,"TCF12(var.2)",0.00829837076135526,3.59201815676671
"MA0695.1","MA0695.1",27,1240,6.50602409638554,3.1,2.09871745044695,0.000278615540917391,"ZBTB7C",0.00835463207111866,3.55499466269157
"MA1155.1","MA1155.1",70,4455,16.8674698795181,11.1375,1.51447541005774,0.00028009126784517,"ZSCAN4",0.00835463207111866,3.55270043057583
"MA0694.1","MA0694.1",23,983,5.54216867469879,2.4575,2.2552059713932,0.000291180206232018,"ZBTB7B",0.00835463207111866,3.53583815070647
"MA1511.1","MA1511.1",67,4244,16.144578313253,10.61,1.52163791830848,0.000338882786559174,"KLF10",0.00936320588048681,3.46995049044921
"MA1596.1","MA1596.1",129,9501,31.0843373493976,23.7525,1.3086764487695,0.000368261549258195,"ZNF460",0.00981153984809334,3.4338436241175
"MA1558.1","MA1558.1",61,3785,14.6987951807229,9.4625,1.5533733348188,0.000382012412084491,"SNAI1",0.00982693997982863,3.41792252606151
"MA0522.3","MA0522.3",66,4196,15.9036144578313,10.49,1.51607382820127,0.000416910858108601,"TCF3",0.0103671833383005,3.37995679387528
"MA0741.1","MA0741.1",83,5596,20,13.99,1.42959256611866,0.000448402434140393,"KLF16",0.0107905876086688,3.34833203851491
"MA1512.1","MA1512.1",69,4462,16.6265060240964,11.155,1.49049807477332,0.000486413361877572,"KLF11",0.0108139041017167,3.3129945034105
"MA1515.1","MA1515.1",77,5116,18.5542168674699,12.79,1.45068153772243,0.000490484392406378,"KLF2",0.0108139041017167,3.30937480765127
"MA1107.2","MA1107.2",105,7474,25.3012048192771,18.685,1.35409177518208,0.000492858900078239,"KLF9",0.0108139041017167,3.30727739652056
"MA1137.1","MA1137.1",53,3225,12.7710843373494,8.0625,1.58401046044644,0.000611735464595901,"FOSL1::JUNB",0.0130387044739583,3.21343634109475
"MA1099.2","MA1099.2",28,1400,6.74698795180723,3.5,1.92771084337349,0.000811257125250966,"HES1",0.0168110504288117,3.09084147577729
"MA1135.1","MA1135.1",48,2889,11.566265060241,7.2225,1.60142126136947,0.000890157600652882,"FOSB::JUNB",0.0179475018942446,3.05053309556352
"MA1138.1","MA1138.1",50,3070,12.0481927710843,7.675,1.56979710372434,0.00106682505018255,"FOSL2::JUNB",0.020420346198184,2.97190679516783
"MA1570.1","MA1570.1",28,1426,6.74698795180723,3.565,1.89256324033863,0.00106755161089702,"TFAP4(var.2)",0.020420346198184,2.97161111978213
"MA0491.2","MA0491.2",51,3157,12.289156626506,7.8925,1.55706767519874,0.00113210371057147,"JUND",0.021113734202158,2.94611378616385
"MA1517.1","MA1517.1",55,3483,13.2530120481928,8.7075,1.52202262970919,0.00120756971844616,"KLF6",0.0213987545901037,2.91808778607344
"MA0490.2","MA0490.2",54,3407,13.0120481927711,8.5175,1.52768396745184,0.00123510398522386,"JUNB",0.0213987545901037,2.90829647697288
"MA0697.1","MA0697.1",41,2396,9.87951807228916,5.99,1.64933523744393,0.00123555677487415,"ZIC3",0.0213987545901037,2.90813729360626
"MA1134.1","MA1134.1",47,2861,11.3253012048193,7.1525,1.58340457250182,0.00127036927341627,"FOS::JUNB",0.0213987545901037,2.896070019126
"MA1522.1","MA1522.1",101,7334,24.3373493975904,18.335,1.32737111522173,0.00129080959323682,"MAZ",0.0213987545901037,2.88913781559976
"MA0057.1","MA0057.1",62,4097,14.9397590361446,10.2425,1.45860473870096,0.00163943689140814,"MZF1(var.2)",0.0260972336252837,2.7853052964333
"MA0740.1","MA0740.1",49,3055,11.8072289156626,7.6375,1.54595468617514,0.00164419568416667,"KLF14",0.0260972336252837,2.78404649610475
"MA0006.1","MA0006.1",76,5270,18.3132530120482,13.175,1.39000022861846,0.00177762094616216,"Ahr::Arnt",0.0276271922049369,2.75016084097012
"MA1142.1","MA1142.1",52,3313,12.5301204819277,8.2825,1.51284279890464,0.00187617625304187,"FOSL1::JUND",0.0285638262197803,2.7267263652491
"MA1516.1","MA1516.1",46,2859,11.0843373493976,7.1475,1.55079920942953,0.00214964406328569,"KLF3",0.0315952347065278,2.66763344433926
"MA0818.1","MA0818.1",20,940,4.81927710843374,2.35,2.05075621635478,0.00218874074617983,"BHLHE22",0.0315952347065278,2.65980567706682
"MA1559.1","MA1559.1",54,3499,13.0120481927711,8.7475,1.48751622666717,0.00220234879991883,"SNAI3",0.0315952347065278,2.65711389795108
"MA0751.1","MA0751.1",40,2399,9.63855421686747,5.9975,1.60709532586369,0.00225141047817653,"ZIC4",0.0316896644664093,2.64754531701412
"MA0527.1","MA0527.1",18,820,4.33734939759036,2.05,2.11578019394652,0.00257617268441691,"ZBTB33",0.035505466891444,2.58902502897691
"MA1654.1","MA1654.1",73,5095,17.5903614457831,12.7375,1.38099010369249,0.0026176952802003,"ZNF16",0.035505466891444,2.58208091005028
"MA1529.1","MA1529.1",52,3376,12.5301204819277,8.44,1.48461143150802,0.0027706397548032,"NHLH2",0.0369088795907712,2.5574199385526
"MA0039.4","MA0039.4",104,7788,25.0602409638554,19.47,1.28712074801517,0.00295735504185649,"KLF4",0.0385587164510052,2.52909653361963
"MA0528.2","MA0528.2",107,8055,25.7831325301205,20.1375,1.28035419143988,0.00299786267313445,"ZNF263",0.0385587164510052,2.52318826530559
"MA0813.1","MA0813.1",39,2368,9.39759036144578,5.92,1.58743080429827,0.00314336428498765,"TFAP2B(var.3)",0.0393312420160738,2.50260528560911
"MA1569.1","MA1569.1",32,1837,7.71084337349398,4.5925,1.6790078113215,0.00320993339154825,"TFAP2E",0.0393312420160738,2.49350397942789
