"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","logp"
"MA0632.2","MA0632.2",27,1405,11.587982832618,3.5125,3.2990698455852,6.48091519504063e-08,"TCFL5",2.49417676316924e-05,7.18836366139932
"MA0162.4","MA0162.4",49,3765,21.0300429184549,9.4125,2.23426750793678,6.68680097364407e-08,"EGR1",2.49417676316924e-05,7.17478160297543
"MA0660.1","MA0660.1",65,6012,27.8969957081545,15.03,1.85608753879937,3.17929987253822e-07,"MEF2B",7.90585901637838e-05,6.49766850736468
"MA0773.1","MA0773.1",71,7003,30.4721030042918,17.5075,1.74051709291971,8.62306033694947e-07,"MEF2D",0.000160820075284108,6.06433857505992
"MA1650.1","MA1650.1",30,2015,12.8755364806867,5.0375,2.55593776291547,2.53081398166596e-06,"ZBTB14",0.000361187519041443,5.5967397749148
"MA0506.1","MA0506.1",30,2029,12.8755364806867,5.0725,2.53830191832167,2.90499345073547e-06,"NRF1",0.000361187519041443,5.536854842383
"MA0052.4","MA0052.4",97,11246,41.6309012875536,28.115,1.48073630757794,6.20508131442826e-06,"MEF2A",0.000661284380080497,5.20725252292011
"MA0472.2","MA0472.2",25,1595,10.7296137339056,3.9875,2.69081222166911,7.80239578699929e-06,"EGR2",0.000727573407137684,5.10777202329492
"MA0732.1","MA0732.1",31,2458,13.3047210300429,6.145,2.1651295410973,4.4188148830769e-05,"EGR3",0.0036627065586393,4.35469419190731
"MA0497.1","MA0497.1",88,10491,37.7682403433476,26.2275,1.4400244149594,7.07727317822688e-05,"MEF2C",0.00527964579095725,4.15013404058144
"MA0006.1","MA0006.1",47,4604,20.1716738197425,11.51,1.75253464984731,9.00234307515513e-05,"Ahr::Arnt",0.00610522539460521,4.04564444031915
"MA0600.2","MA0600.2",30,2461,12.8755364806867,6.1525,2.09273246333794,0.000108637548804212,"RFX2",0.00647857261524697,3.9640200419665
"MA1107.2","MA1107.2",60,6453,25.7510729613734,16.1325,1.596223335588,0.000112897378013687,"KLF9",0.00647857261524697,3.94731614423456
"MA1627.1","MA1627.1",59,6424,25.3218884120172,16.06,1.57670538057392,0.000184282775416257,"Wt1",0.00981963931860914,3.73451525561792
