"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","logp"
"MA0733.1","MA0733.1",43,2949,17.1314741035857,7.3725,2.32369943758368,1.94493954997182e-07,"EGR4",0.000127870585461039,6.71109389229285
"MA1627.1","MA1627.1",82,7780,32.6693227091633,19.45,1.67965669455853,4.64623170982541e-07,"Wt1",0.000127870585461039,6.33289913551958
"MA0472.2","MA0472.2",32,1918,12.7490039840637,4.795,2.65881209260975,5.14224874508198e-07,"EGR2",0.000127870585461039,6.28884691913547
"MA1513.1","MA1513.1",60,5060,23.9043824701195,12.65,1.88967450356676,7.01459707664809e-07,"KLF15",0.000130822235479487,6.15399727009734
"MA0162.4","MA0162.4",55,4525,21.9123505976096,11.3125,1.93700336774449,1.09417357990742e-06,"EGR1",0.000136719065596086,5.96091377597689
"MA0732.1","MA0732.1",41,2927,16.3346613545817,7.3175,2.23227350250518,1.09961714956637e-06,"EGR3",0.000136719065596086,5.95875849554377
"MA0003.4","MA0003.4",54,4462,21.5139442231076,11.155,1.92863686446504,1.60662647478696e-06,"TFAP2A",0.000171220478598725,5.79408508079403
"MA0814.2","MA0814.2",53,4381,21.1155378486056,10.9525,1.92791945661772,2.08247509771767e-06,"TFAP2C(var.2)",0.000194190802862173,5.68142018319295
"MA1653.1","MA1653.1",87,8856,34.6613545816733,22.14,1.56555350414062,3.65013355269155e-06,"ZNF148",0.000302555514478655,5.43769124509534
"MA0790.1","MA0790.1",57,4982,22.7091633466135,12.455,1.82329693670121,4.42261842681703e-06,"POU4F1",0.000329927334640551,5.35432052892711
"MA1522.1","MA1522.1",77,7754,30.6772908366534,19.385,1.58252725492151,1.22094670192441e-05,"MAZ",0.00069517247881524,4.91330329393009
"MA0791.1","MA0791.1",53,4660,21.1155378486056,11.65,1.81249251919361,1.2433596130799e-05,"POU4F3",0.00069517247881524,4.90540324353164
"MA1650.1","MA1650.1",33,2359,13.1474103585657,5.8975,2.22931926385176,1.43600386115004e-05,"ZBTB14",0.00069517247881524,4.84284439235423
"MA0143.4","MA0143.4",34,2470,13.5458167330677,6.175,2.19365453167089,1.46715914160056e-05,"SOX2",0.00069517247881524,4.83352277602008
"MA1149.1","MA1149.1",34,2480,13.5458167330677,6.2,2.18480915049479,1.5942782228833e-05,"RARA::RXRG",0.00069517247881524,4.79743588612745
"MA1120.1","MA1120.1",33,2375,13.1474103585657,5.9375,2.21430069196897,1.64551051048193e-05,"SOX13",0.00069517247881524,4.78369933936187
