"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","logp"
"MA0672.1","MA0672.1",18,2158,13.7404580152672,5.395,2.54688749124507,0.000244934322152051,"NKX2-3",0.134633315719598,3.61095035380209
"MA0122.3","MA0122.3",23,3278,17.5572519083969,8.195,2.14243464409969,0.000396961214224663,"Nkx3-2",0.134633315719598,3.4012519246502
"MA1537.1","MA1537.1",14,1539,10.6870229007634,3.8475,2.77765377537709,0.000541420840695432,"NR2F1(var.2)",0.134633315719598,3.26646503112032
"MA0673.1","MA0673.1",18,2471,13.7404580152672,6.1775,2.22427487094572,0.0011923254326158,"NKX2-8",0.182416064710517,2.92360519233088
"MA1478.1","MA1478.1",22,3345,16.793893129771,8.3625,2.0082383413777,0.00126434335734427,"DMRTA2",0.182416064710517,2.89813496881462
"MA0048.2","MA0048.2",18,2554,13.7404580152672,6.385,2.15199029213268,0.00172132239774014,"NHLH1",0.182416064710517,2.76413778019743
"MA0831.2","MA0831.2",13,1558,9.9236641221374,3.895,2.54779566678752,0.00185877333058682,"TFE3",0.182416064710517,2.73077356734341
"MA0035.4","MA0035.4",18,2584,13.7404580152672,6.46,2.12700588471628,0.00195620444729777,"GATA1",0.182416064710517,2.7085857580897
"MA0498.2","MA0498.2",23,3770,17.5572519083969,9.425,1.86283839876891,0.00258438013271468,"MEIS1",0.213935009295998,2.58764360623485
"MA0783.1","MA0783.1",19,2912,14.5038167938931,7.28,1.99228252663367,0.00304439583115548,"PKNOX2",0.213935009295998,2.51649888143154
"MA0762.1","MA0762.1",12,1461,9.16030534351145,3.6525,2.50795491951032,0.00315453767058443,"ETV2",0.213935009295998,2.50106428200684
"MA0508.3","MA0508.3",35,6934,26.7175572519084,17.335,1.54124933671234,0.00469781799660276,"PRDM1",0.2313749029521,2.32810381271853
"MA0802.1","MA0802.1",18,2810,13.7404580152672,7.025,1.9559370840238,0.00475608096878059,"TBR1",0.2313749029521,2.32275076044626
"MA1635.1","MA1635.1",17,2593,12.9770992366412,6.4825,2.00186644606883,0.00483547394160044,"BHLHE22(var.2)",0.2313749029521,2.31556095278379
"MA1479.1","MA1479.1",22,3736,16.793893129771,9.34,1.79806136293051,0.00492553890858326,"DMRTC2",0.2313749029521,2.3075462459339
"MA1550.1","MA1550.1",13,1749,9.9236641221374,4.3725,2.26956297819037,0.00496246440647935,"PPARD",0.2313749029521,2.30430259521624
"MA1418.1","MA1418.1",32,6231,24.4274809160305,15.5775,1.56812588130512,0.00550804502760699,"IRF3",0.232625896823515,2.25900251809534
"MA1474.1","MA1474.1",8,823,6.10687022900763,2.0575,2.96810217691744,0.00586233005533331,"CREB3L4",0.232625896823515,2.23192973397422
"MA1574.1","MA1574.1",12,1583,9.16030534351145,3.9575,2.31466970145583,0.00592478825689917,"THRB",0.232625896823515,2.22732716607794
"MA1487.1","MA1487.1",28,5333,21.3740458015267,13.3325,1.60315363221652,0.0072738186046353,"FOXE1",0.271313433952897,2.13823753363438
"MA1520.1","MA1520.1",12,1668,9.16030534351145,4.17,2.19671590971498,0.00880515055171484,"MAF",0.304775263890488,2.05526321400448
"MA0631.1","MA0631.1",13,1892,9.9236641221374,4.73,2.09802624146668,0.00932705313490787,"Six3",0.304775263890488,2.03025554911561
"MA0775.1","MA0775.1",16,2552,12.2137404580153,6.38,1.91437938213405,0.00939655639340645,"MEIS3",0.304775263890488,2.02703127547978
"MA1467.1","MA1467.1",21,3834,16.030534351145,9.585,1.67246054785029,0.0131842140639203,"ATOH1(var.2)",0.408509042999819,1.87994575421912
"MA0663.1","MA0663.1",7,770,5.34351145038168,1.925,2.77585010409438,0.0136899813337741,"MLX",0.408509042999819,1.86359714402411
"MA0688.1","MA0688.1",17,2920,12.9770992366412,7.3,1.77768482693715,0.0148090510281198,"TBX2",0.415682580502195,1.82947277040895
"MA0833.2","MA0833.2",20,3645,15.2671755725191,9.1125,1.67541021371952,0.0152506517693416,"ATF4",0.415682580502195,1.8167115954136
"MA0769.2","MA0769.2",21,3897,16.030534351145,9.7425,1.64542307940929,0.0156020271502164,"TCF7",0.415682580502195,1.80681897068674
"MA0517.1","MA0517.1",47,10870,35.8778625954198,27.175,1.32025253341011,0.0178886021923651,"STAT1::STAT2",0.442716484352401,1.74742359368974
"MA1616.1","MA1616.1",22,4202,16.793893129771,10.505,1.59865712801247,0.0181017862619373,"Prdm15",0.442716484352401,1.74227856737249
"MA0124.2","MA0124.2",13,2078,9.9236641221374,5.195,1.91023370974733,0.0189887808799829,"Nkx3-1",0.442716484352401,1.72150291699505
"MA1521.1","MA1521.1",10,1434,7.63358778625954,3.585,2.12931319003056,0.019770590628007,"MAFA",0.442716484352401,1.70398035634881
"MA0800.1","MA0800.1",17,3022,12.9770992366412,7.555,1.71768355216959,0.0200455386237061,"EOMES",0.442716484352401,1.69798226976214
"MA0521.1","MA0521.1",23,4521,17.5572519083969,11.3025,1.55339543538128,0.0213288356602722,"Tcf12",0.442716484352401,1.67103285201052
"MA0797.1","MA0797.1",14,2352,10.6870229007634,5.88,1.81752090149037,0.0222011257974356,"TGIF2",0.442716484352401,1.65362500234138
"MA0147.3","MA0147.3",8,1049,6.10687022900763,2.6225,2.32864451058442,0.0224425125936202,"MYC",0.442716484352401,1.64892852244002
"MA0690.1","MA0690.1",16,2827,12.2137404580153,7.0675,1.72815570682919,0.0226802497255711,"TBX21",0.442716484352401,1.64435216786377
