"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","logp"
"MA0039.4","MA0039.4",70,6881,31.8181818181818,17.2025,1.8496254508462,8.39028711026178e-08,"KLF4",6.25915418425529e-05,7.07622317763746
"MA0599.1","MA0599.1",68,6777,30.9090909090909,16.9425,1.82435242196198,2.39651841487082e-07,"KLF5",8.93901368746817e-05,6.62041922953635
"MA1627.1","MA1627.1",62,6196,28.1818181818182,15.49,1.81935559598568,1.13793266448094e-06,"Wt1",0.000247117556941669,5.94388343592826
"MA0753.2","MA0753.2",46,4028,20.9090909090909,10.07,2.07637446962174,1.32502711496874e-06,"ZNF740",0.000247117556941669,5.87777523436053
"MA1630.1","MA1630.1",50,4632,22.7272727272727,11.58,1.96263149631025,2.11429113040373e-06,"Znf281",0.000284433728213998,5.67483521209835
"MA1515.1","MA1515.1",54,5193,24.5454545454545,12.9825,1.89065700330865,2.28767073630561e-06,"KLF2",0.000284433728213998,5.64060648324259
"MA1564.1","MA1564.1",49,4653,22.2727272727273,11.6325,1.91469823964988,5.48233748241924e-06,"SP9",0.000584260537412108,5.26103423361937
"MA1653.1","MA1653.1",65,7067,29.5454545454545,17.6675,1.6723053372268,1.02853434871207e-05,"ZNF148",0.000959108280174005,4.98778120012189
"MA0741.1","MA0741.1",53,5345,24.0909090909091,13.3625,1.80287439408113,1.16680519850919e-05,"KLF16",0.000967151864542061,4.93300164461816
"MA0700.2","MA0700.2",35,3004,15.9090909090909,7.51,2.11838760440625,2.02222182121455e-05,"LHX2",0.00145255226608024,4.69417120757507
"MA0149.1","MA0149.1",76,8964,34.5454545454545,22.41,1.54151961380877,2.56369438475443e-05,"EWSR1-FLI1",0.00145255226608024,4.59113374784493
"MA1514.1","MA1514.1",43,4099,19.5454545454545,10.2475,1.90733881878063,2.59123234448304e-05,"KLF17",0.00145255226608024,4.5864936439795
"MA0516.2","MA0516.2",47,4650,21.3636363636364,11.625,1.83773216031281,2.59233674283808e-05,"SP2",0.00145255226608024,4.58630858456943
"MA1650.1","MA1650.1",32,2667,14.5454545454545,6.6675,2.1815454886321,2.72596940015058e-05,"ZBTB14",0.00145255226608024,4.56447902356383
"MA1512.1","MA1512.1",45,4398,20.4545454545455,10.995,1.8603497457522,2.98326701881215e-05,"KLF11",0.00148367813068924,4.52530787315259
"MA0080.5","MA0080.5",88,10969,40,27.4225,1.45865621296381,3.50891102707753e-05,"SPI1",0.0016360297663749,4.45482764373648
"MA0697.1","MA0697.1",28,2241,12.7272727272727,5.6025,2.27171311508661,4.54091983052587e-05,"ZIC3",0.00199266246680723,4.34285616545591
"MA0652.1","MA0652.1",32,2818,14.5454545454545,7.045,2.06464933221498,7.77573694446378e-05,"IRF8",0.0031747045947281,4.10925844014714
"MA1513.1","MA1513.1",43,4304,19.5454545454545,10.76,1.81649205812775,8.08570875332893e-05,"KLF15",0.0031747045947281,4.09228190597787
"MA0804.1","MA0804.1",20,1396,9.09090909090909,3.49,2.6048450117218,0.000100224476344556,"TBX19",0.00373837296765194,3.99902620418459
"MA0081.2","MA0081.2",65,7728,29.5454545454545,19.32,1.52926783361566,0.000169443767790397,"SPIB",0.00601928813198269,3.77097440005773
"MA1522.1","MA1522.1",51,5691,23.1818181818182,14.2275,1.62936694302008,0.000245110421615494,"MAZ",0.00803009972238396,3.61063822300381
"MA1584.1","MA1584.1",27,2351,12.2727272727273,5.8775,2.08808630756738,0.000247576801092267,"ZIC5",0.00803009972238396,3.60629005282494
"MA0471.2","MA0471.2",47,5122,21.3636363636364,12.805,1.66838237904228,0.000267947815402759,"E2F6",0.00832871126210242,3.57194977943916
"MA0103.3","MA0103.3",32,3040,14.5454545454545,7.6,1.91387559808612,0.000306692789318224,"ZEB1",0.00915171283325581,3.51329643463414
"MA0738.1","MA0738.1",30,2787,13.6363636363636,6.9675,1.95713866327429,0.000331995645979848,"HIC2",0.00952572122696024,3.47886761189634
"MA0506.1","MA0506.1",28,2532,12.7272727272727,6.33,2.01062760304466,0.000347635614196428,"NRF1",0.00960504326631611,3.45887573781404
"MA0162.4","MA0162.4",41,4326,18.6363636363636,10.815,1.72319589795318,0.000372186781004093,"EGR1",0.0099161192367519,3.4292390558128
"MA0019.1","MA0019.1",26,2297,11.8181818181818,5.7425,2.05802034273954,0.000404145419430628,"Ddit3::Cebpa",0.0100834351495704,3.39346233911528
"MA0696.1","MA0696.1",26,2301,11.8181818181818,5.7525,2.05444273240883,0.00041485767331593,"ZIC1",0.0100834351495704,3.38210087267414
"MA0820.1","MA0820.1",28,2562,12.7272727272727,6.405,1.98708395429707,0.000419016742140326,"FIGLA",0.0100834351495704,3.37776862411271
"MA0751.1","MA0751.1",25,2184,11.3636363636364,5.46,2.08125208125208,0.000445818329628557,"ZIC4",0.0102958749417693,3.35084207965818
"MA0528.2","MA0528.2",55,6446,25,16.115,1.55134967421657,0.000455447551043416,"ZNF263",0.0102958749417693,3.34156162879843
"MA1485.1","MA1485.1",29,2720,13.1818181818182,6.8,1.93850267379679,0.00049028252678905,"FERD3L",0.0106792608235534,3.30955358432739
"MA0746.2","MA0746.2",42,4534,19.0909090909091,11.335,1.68424429562498,0.000501037706198887,"SP3",0.0106792608235534,3.3001295895461
"MA1102.2","MA1102.2",40,4265,18.1818181818182,10.6625,1.70521155280827,0.000547128610092307,"CTCFL",0.0113377206424684,3.26191057478505
"MA0732.1","MA0732.1",30,2884,13.6363636363636,7.21,1.89131257092422,0.000583436807848744,"EGR3",0.0117633475312206,3.23400617558908
"MA1107.2","MA1107.2",57,6844,25.9090909090909,17.11,1.51426597949099,0.000640058786306368,"KLF9",0.0123612099761646,3.19378013633486
"MA1646.1","MA1646.1",42,4591,19.0909090909091,11.4775,1.66333339933863,0.000646229475965709,"OSR2",0.0123612099761646,3.18961323672799
"MA1648.1","MA1648.1",33,3319,15,8.2975,1.80777342573064,0.000668764595084227,"TCF12(var.2)",0.0124724596983208,3.17472672684679
"MA0733.1","MA0733.1",27,2529,12.2727272727273,6.3225,1.9411193788418,0.000759874429025653,"EGR4",0.013826007903735,3.11925816993894
"MA0484.2","MA0484.2",30,2958,13.6363636363636,7.395,1.84399778720265,0.0008761927371348,"HNF4G",0.015562851950061,3.05740035106124
"MA0870.1","MA0870.1",25,2305,11.3636363636364,5.7625,1.97199763360284,0.000963246272515538,"Sox1",0.0163802837592875,3.01626266290574
"MA0125.1","MA0125.1",24,2175,10.9090909090909,5.4375,2.00626959247649,0.000966129337008912,"Nobox",0.0163802837592875,3.01496473011731
"MA0718.1","MA0718.1",24,2186,10.9090909090909,5.465,1.99617399983365,0.00103465353995474,"RAX",0.0171522564623608,2.98520505201887
"MA0522.3","MA0522.3",32,3278,14.5454545454545,8.195,1.7749181873648,0.00109948090000298,"TCF3",0.0178307119870048,2.95881231072826
"MA0644.1","MA0644.1",23,2083,10.4545454545455,5.2075,2.0075939423035,0.00122363675447503,"ESX1",0.0194219791242206,2.91234748655336
"MA1511.1","MA1511.1",37,4025,16.8181818181818,10.0625,1.67137210615471,0.00130473344102127,"KLF10",0.0202777322292056,2.88447820627072
"MA1629.1","MA1629.1",39,4328,17.7272727272727,10.82,1.63838010418417,0.00137560400432763,"Zic2",0.0209428691271104,2.86150656863451
"MA0164.1","MA0164.1",27,2638,12.2727272727273,6.595,1.86091391550072,0.00140991686504073,"Nr2e3",0.0210359596264078,2.85080649452086
"MA0597.1","MA0597.1",26,2512,11.8181818181818,6.28,1.88187608569774,0.00148178364649311,"THAP1",0.0216747176526248,2.82921520256008
"MA0057.1","MA0057.1",34,3637,15.4545454545455,9.0925,1.69970255205339,0.00158375801381925,"MZF1(var.2)",0.0227208361213301,2.80031117457185
"MA1638.1","MA1638.1",49,5883,22.2727272727273,14.7075,1.51437887286944,0.00170592046103481,"HAND2",0.0236568130933359,2.76804122178453
"MA0114.4","MA0114.4",30,3089,13.6363636363636,7.7225,1.76579652138085,0.00171810288184777,"HNF4A",0.0236568130933359,2.76495083370561
"MA0640.2","MA0640.2",45,5280,20.4545454545455,13.2,1.5495867768595,0.00174413501358375,"ELF3",0.0236568130933359,2.75841989934333
