"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HSPA1A",0,-2.38259736691411,0.145,0.569,0
"HSPA1B",0,-2.03972800114385,0.103,0.518,0
"HSP90AA1",0,-2.04635525731954,0.452,0.798,0
"XIST",0,3.55792347744002,0.855,0.005,0
"USP9Y",0,-1.59933542596239,0.002,0.377,0
"UTY",0,-1.93290360223693,0.001,0.456,0
"NLGN4Y",0,-1.9669688444431,0.004,0.381,0
"TTTY14",0,-1.94138246982247,0.009,0.401,0
"HSPB1",5.44780892918247e-290,-2.05599557169249,0.074,0.406,1.99395254617008e-285
"NEAT1",1.25986637039763e-235,-2.05005357693824,0.718,0.778,4.61123690229236e-231
"DNAJB1",2.61502500701857e-222,-1.57070399513355,0.098,0.393,9.57125302818868e-218
"FKBP5",1.89012145298678e-217,-2.28108180239739,0.084,0.36,6.91803353007691e-213
"HSPH1",2.05941967050022e-215,-1.34327453495878,0.232,0.526,7.53768193599785e-211
"PTGES3",3.61876087123192e-200,-1.61094096575917,0.31,0.567,1.32450266647959e-195
"TRIM2",4.18085533889436e-200,1.53336236473561,0.684,0.374,1.53023486258872e-195
"ARL17B",6.10044320206541e-199,-1.44451789245695,0.149,0.424,2.23282321638796e-194
"DDX3Y",2.20939534285431e-168,-0.735900284029907,0,0.159,8.08660789438107e-164
"DPH6",1.47491673456124e-167,0.9131341345396,0.456,0.146,5.39834274016759e-163
"NAALADL2",2.70235348021337e-163,1.05083769001752,0.615,0.296,9.89088397292895e-159
"LINC00278",2.79993336881507e-161,-1.14926089171369,0,0.154,1.02480361232e-156
"HSP90AB1",3.72663555631353e-157,-1.47004316118684,0.229,0.467,1.36398587996631e-152
"ABHD3",1.71049460303828e-150,-1.61232767833233,0.216,0.454,6.2605812965804e-146
"MIR4300HG",8.01679400754615e-148,1.77882394436065,0.369,0.107,2.93422677470197e-143
"STK33",3.76541395810198e-146,1.08526237542298,0.347,0.091,1.37817916280491e-141
"PREX2",7.04562689011248e-143,1.17026896913535,0.62,0.359,2.57876989805007e-138
"TTTY10",2.73567203839555e-140,-0.538774991192725,0.001,0.137,1.00128332277315e-135
"LUC7L2",6.6853194789454e-139,0.596468751041573,0.534,0.235,2.44689378248881e-134
"LINC01184",1.56193166076487e-138,0.69198698218104,0.407,0.129,5.71682607156548e-134
"APIP",3.17280584711187e-138,0.620873208975397,0.311,0.064,1.16127866810141e-133
"SPP1",7.19101288257136e-137,-2.19948311573487,0.048,0.233,2.63198262514994e-132
"COMMD10",4.38932118147253e-133,0.772964298633475,0.55,0.248,1.60653544563076e-128
"CCDC7",4.89001847898239e-131,0.76547556947069,0.495,0.21,1.78979566349235e-126
"STIP1",1.20466083526952e-130,-1.13011658949511,0.125,0.336,4.40917912316997e-126
"JPX",2.05549301036468e-130,0.667487730376022,0.655,0.355,7.52330996723575e-126
"KDM6A",8.53468169411175e-126,0.633960913066357,0.609,0.31,3.12377884686184e-121
"GPCPD1",5.13337034783559e-125,1.25439337301175,0.388,0.128,1.8788648810113e-120
"ETV5",7.40696753602634e-125,0.569863764448377,0.347,0.095,2.711024187861e-120
"CHORDC1",8.58538030014151e-121,-1.22645608290629,0.212,0.416,3.14233504365479e-116
"SPRED1",3.83367771948889e-120,0.702794881807958,0.641,0.351,1.40316438211013e-115
"SCFD2",4.7038721045673e-120,0.690566605841097,0.47,0.198,1.72166422899268e-115
"KDM5D",3.63857369188709e-119,-0.450467747653502,0,0.114,1.33175435696759e-114
"MIR99AHG",1.04275348410263e-117,0.877547985925352,0.815,0.597,3.81658202716403e-113
"STK39",1.9383911912634e-116,0.76089237808084,0.431,0.177,7.09470559914315e-112
"ACYP2",2.43754880256369e-114,0.665613634360853,0.583,0.298,8.92167237226336e-110
"CHKA",5.12047922578492e-113,0.619975614897646,0.546,0.266,1.87414660142954e-108
"ENOSF1",1.98615644572101e-110,0.625423761346539,0.281,0.069,7.26953120698347e-106
"ZBTB16",8.43205873233558e-110,-1.24037700649603,0.351,0.522,3.08621781662215e-105
"MYO6",4.76326355050491e-109,0.650289962605491,0.626,0.357,1.7434020921203e-104
"TARBP1",9.64411924314919e-109,0.547780145288414,0.335,0.106,3.52984408418503e-104
"EPM2A",1.28999147136248e-108,0.595304155681573,0.304,0.085,4.72149778433382e-104
"PCDH11Y",7.77950266130182e-108,-1.34692000038553,0.032,0.175,2.84737576906308e-103
"KIAA1328",2.73172802925483e-107,0.581759844828735,0.475,0.21,9.9983977598756e-103
"AC008691.1",6.83848335485704e-107,1.9057757283524,0.201,0.027,2.50295329271123e-102
"DCHS2",4.19069081383998e-105,0.722136784409861,0.208,0.03,1.53383474477357e-100
"RFX3-AS1",3.60436222143952e-104,0.598156884508455,0.325,0.103,1.31923261666908e-99
"PTN",5.2642726575282e-103,0.951945302575263,0.525,0.299,1.9267764353819e-98
"SUCLG2",2.43571723455043e-102,0.601674794132807,0.38,0.143,8.91496865017804e-98
"DYNC2H1",5.03752143429787e-102,0.66220078628828,0.422,0.179,1.84378322016736e-97
"FKBP4",1.99208161341695e-101,-0.80770750001318,0.042,0.19,7.29121791326738e-97
"HGSNAT",1.74575686056708e-99,0.420114981099107,0.293,0.083,6.38964468536155e-95
"METTL15",3.88898539540289e-99,0.581030300503165,0.497,0.245,1.42340754457141e-94
"ULK4",7.5188319874317e-99,0.545641899554527,0.336,0.115,2.75196769571988e-94
"PCCA",8.71712343086067e-97,0.601773672896015,0.65,0.395,3.19055434692931e-92
"DIS3L2",3.10623975512245e-96,0.446941332405759,0.442,0.191,1.13691481277237e-91
"FTL",4.22400578260035e-96,-1.76097253207036,0.302,0.465,1.54602835648955e-91
"VWA8",1.39058989840506e-95,0.627038858022228,0.546,0.297,5.08969808715237e-91
"CCSER2",1.54582912191866e-94,0.492232759811167,0.559,0.294,5.65788916913451e-90
"C1QC",3.91301777216116e-94,-1.24080279910017,0.026,0.152,1.43220363478871e-89
"GAREM1",4.52703542137936e-94,0.737683415914199,0.527,0.283,1.65694023457906e-89
"WSB1",2.37755366486434e-93,0.424543057502199,0.651,0.384,8.70208416876997e-89
"CRYL1",3.78324257726493e-93,0.512386844753335,0.274,0.078,1.38470461570474e-88
"SREBF2",4.80519755847382e-93,0.511119412144533,0.457,0.213,1.758750358377e-88
"ZMAT1",6.56876097253355e-93,0.507145004839667,0.406,0.169,2.40423220355701e-88
"ITFG1",7.03893311008744e-93,0.524356633966317,0.654,0.401,2.57631990762311e-88
"JAK1",1.22713441629665e-92,0.47720976775976,0.611,0.351,4.49143467708737e-88
"ENTPD1",1.92147888362012e-91,0.782822695636398,0.3,0.099,7.03280486193802e-87
"DTWD2",1.17534628047292e-90,0.428122209265589,0.255,0.067,4.30188492115894e-86
"PHLPP1",3.92612177018463e-90,0.579278666628587,0.677,0.441,1.43699982910527e-85
"ZNF714",7.48860001779189e-90,0.370023411692619,0.229,0.052,2.74090249251201e-85
