"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","logp"
"MA1650.1","MA1650.1",25,1498,12.5,3.745,3.33778371161549,1.49793270760994e-07,"ZBTB14",6.40991708994356e-05,6.82450769622941
"MA1513.1","MA1513.1",39,3207,19.5,8.0175,2.43217960710945,1.84823740825316e-07,"KLF15",6.40991708994356e-05,6.73324224389944
"MA0697.1","MA0697.1",29,2023,14.5,5.0575,2.86702916460702,3.39847965995446e-07,"ZIC3",6.40991708994356e-05,6.46871532500492
"MA0696.1","MA0696.1",31,2264,15.5,5.66,2.73851590106007,3.43695286324051e-07,"ZIC1",6.40991708994356e-05,6.46382642403819
"MA1564.1","MA1564.1",42,3780,21,9.45,2.22222222222222,6.45314839000285e-07,"SP9",9.62809739788426e-05,6.19022834818616
"MA0751.1","MA0751.1",28,2015,14,5.0375,2.77915632754342,1.02224739392789e-06,"ZIC4",0.000118823118893375,5.99044398794328
"MA0084.1","MA0084.1",46,4430,23,11.075,2.07674943566591,1.11496224162684e-06,"SRY",0.000118823118893375,5.95273983981831
"MA0632.2","MA0632.2",18,1000,9,2.5,3.6,3.27836835286753e-06,"TCFL5",0.000254785966581689,5.48434225130542
"MA0162.4","MA0162.4",35,3052,17.5,7.63,2.29357798165138,3.32230762700324e-06,"EGR1",0.000254785966581689,5.47856015679598
"MA0471.2","MA0471.2",45,4468,22.5,11.17,2.01432408236347,3.41536148232827e-06,"E2F6",0.000254785966581689,5.46656332376216
"MA0506.1","MA0506.1",22,1442,11,3.605,3.05131761442441,3.77667978982201e-06,"NRF1",0.000256127556655201,5.42288983577311
"MA1584.1","MA1584.1",26,1959,13,4.8975,2.65441551812149,5.87929404790272e-06,"ZIC5",0.000365496113311285,5.23067481839775
"MA0746.2","MA0746.2",40,3908,20,9.77,2.04708290685773,9.3390250980484e-06,"SP3",0.000535916363318778,5.02969845745688
"MA0791.1","MA0791.1",45,4743,22.5,11.8575,1.89753320683112,1.59805277724603e-05,"POU4F3",0.000851533837018243,4.79640888178784
"MA0507.1","MA0507.1",49,5382,24.5,13.455,1.82088442958008,1.82113623193306e-05,"POU2F2",0.000880006900992356,4.73965756515303
"MA0524.2","MA0524.2",26,2096,13,5.24,2.48091603053435,1.90279649195279e-05,"TFAP2C",0.000880006900992356,4.72060765792848
"MA1515.1","MA1515.1",43,4484,21.5,11.21,1.91793041926851,2.0053776564169e-05,"KLF2",0.000880006900992356,4.69780382820429
