"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","logp"
"MA0472.2","MA0472.2",18,1846,20.9302325581395,4.615,4.53526165940185,6.33285505469323e-08,"EGR2",4.72430987080115e-05,7.19840045191699
"MA0732.1","MA0732.1",22,2954,25.5813953488372,7.385,3.46396687188046,1.94908030789589e-07,"EGR3",7.27006954845166e-05,6.71017026629156
"MA0162.4","MA0162.4",27,4541,31.3953488372093,11.3525,2.76550088854519,5.28815694243829e-07,"EGR1",0.000131498835968632,6.2766956642971
"MA0733.1","MA0733.1",20,2865,23.2558139534884,7.1625,3.24688501968424,2.17020914233232e-06,"EGR4",0.000404744005044977,5.66349841132008
"MA0079.4","MA0079.4",27,4955,31.3953488372093,12.3875,2.53443784760519,2.91214672278905e-06,"SP1",0.000434492291040126,5.53578674773386
"MA1513.1","MA1513.1",26,4926,30.2325581395349,12.315,2.45493772956028,8.55007721374199e-06,"KLF15",0.00106305960024192,5.06802996324251
"MA0471.2","MA0471.2",27,5941,31.3953488372093,14.8525,2.11380904475403,8.08879574459709e-05,"E2F6",0.00764239233612274,4.09211613109557
"MA1627.1","MA1627.1",33,8101,38.3720930232558,20.2525,1.89468426235061,8.36728117945593e-05,"Wt1",0.00764239233612274,4.07741563646017
"MA0516.2","MA0516.2",27,5986,31.3953488372093,14.965,2.09791839874436,9.22004437333842e-05,"SP2",0.00764239233612274,4.03526698881083
"MA0080.5","MA0080.5",45,13134,52.3255813953488,32.835,1.59359163683109,0.000145049568177746,"SPI1",0.0098536843620796,3.83848355978308
"MA0746.2","MA0746.2",25,5458,29.0697674418605,13.645,2.13043367107808,0.000145295613918064,"SP3",0.0098536843620796,3.83774749568087
"MA0740.1","MA0740.1",19,3563,22.093023255814,8.9075,2.48027204668133,0.000168424779095039,"KLF14",0.0104704071004083,3.77359401359303
"MA1615.1","MA1615.1",25,5571,29.0697674418605,13.9275,2.08722078203988,0.000201386718034699,"Plagl1",0.0115564993579912,3.6959691756615
"MA0081.2","MA0081.2",39,10879,45.3488372093023,27.1975,1.66738991485623,0.000230947243263371,"SPIB",0.0118517961088762,3.63648721740813
"MA1107.2","MA1107.2",32,8159,37.2093023255814,20.3975,1.82420896313673,0.000238306892269628,"KLF9",0.0118517961088762,3.622863396884
"MA0685.1","MA0685.1",22,4666,25.5813953488372,11.665,2.19300431623122,0.000274413213833924,"SP4",0.0127945160950067,3.56159497985673
"MA0741.1","MA0741.1",27,6581,31.3953488372093,16.4525,1.90824183784892,0.000451289532719366,"KLF16",0.0198036465534498,3.34554473945778
"MA0747.1","MA0747.1",24,5680,27.906976744186,14.2,1.96528005240747,0.000689481635748955,"SP8",0.0269364859904556,3.16147729670946
"MA1564.1","MA1564.1",23,5346,26.7441860465116,13.365,2.00106143258598,0.000718480077493326,"SP9",0.0269364859904556,3.14358526977704
"MA1650.1","MA1650.1",14,2464,16.2790697674419,6.16,2.64270613107822,0.000749187085001954,"ZBTB14",0.0269364859904556,3.12540971789681
"MA0057.1","MA0057.1",20,4345,23.2558139534884,10.8625,2.14092648593679,0.000758265691420332,"MZF1(var.2)",0.0269364859904556,3.12017859370869
"MA0829.2","MA0829.2",13,2241,15.1162790697674,5.6025,2.69813102539356,0.00097533494356612,"SREBF1(var.2)",0.0330727212681966,3.01084621592972
"MA1574.1","MA1574.1",15,2847,17.4418604651163,7.1175,2.45055995294925,0.0010316675031612,"THRB",0.0334619111894892,2.98646024922962
"MA1653.1","MA1653.1",33,9307,38.3720930232558,23.2675,1.64917129142606,0.00120355007312441,"ZNF148",0.0374103481062836,2.91953583639914
"MA0772.1","MA0772.1",21,4912,24.4186046511628,12.28,1.98848572077873,0.00141273051616616,"IRF7",0.0421558786023981,2.84994067361058
"MA1517.1","MA1517.1",19,4294,22.093023255814,10.735,2.05803663305207,0.00168476206954204,"KLF6",0.0483397116876292,2.77346142368353
"MA1565.1","MA1565.1",19,4319,22.093023255814,10.7975,2.04612394126547,0.00180240839008205,"TBX18",0.0495104255262084,2.74414679966979
"MA1515.1","MA1515.1",24,6093,27.906976744186,15.2325,1.83206806132848,0.00185830015379871,"KLF2",0.0495104255262084,2.73088413716132
"MA0146.2","MA0146.2",25,6494,29.0697674418605,16.235,1.79056159173763,0.00200274083987318,"Zfx",0.0514497932225732,2.69837524596102
"MA1596.1","MA1596.1",36,10813,41.8604651162791,27.0325,1.54852363326659,0.0020690265371008,"ZNF460",0.0514497932225732,2.68423393908655
"MA0163.1","MA0163.1",21,5084,24.4186046511628,12.71,1.92121201031965,0.00217178452310582,"PLAG1",0.0522629436850626,2.66318326613122
"MA0734.2","MA0734.2",15,3108,17.4418604651163,7.77,2.24476968663015,0.00245088646169379,"GLI2",0.0571362906382365,2.61067680714938
"MA0742.1","MA0742.1",16,3522,18.6046511627907,8.805,2.1129643569325,0.00318825205327601,"Klf12",0.0720738191437547,2.49644735194976
"MA1569.1","MA1569.1",12,2287,13.953488372093,5.7175,2.44048769079021,0.00354365029605535,"TFAP2E",0.0777518564958027,2.45054914287614
