"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CHI3L1",0,3.37887070566671,0.404,0.013,0
"BCL6",0,1.94119237920589,0.464,0.083,0
"PPP2R2B",0,1.77629615463369,0.93,0.766,0
"MALAT1",0,0.854927073540449,1,0.999,0
"SERPINA3",0,1.27590075267515,0.244,0,0
"XIST",0,3.61465565386272,0.795,0.001,0
"NLGN4Y",6.13876403428314e-303,-2.32129995581486,0.001,0.561,2.24684902418797e-298
"PDK4",7.30635949801417e-292,1.7329472079726,0.3,0.02,2.67420063986816e-287
"NEAT1",2.00578530146617e-289,2.40037113725121,0.796,0.402,7.34137478189634e-285
"UTY",7.9268058729043e-285,-2.03659465206346,0.003,0.54,2.9012902175417e-280
"CD44",8.94558717707717e-284,2.0578475810875,0.254,0.01,3.27417436268202e-279
"TTTY14",6.16503130007622e-277,-2.10433738932151,0.002,0.529,2.2564631061409e-272
"DIP2C",2.33902977204098e-275,1.7828327656662,0.833,0.59,8.56108286864719e-271
"MT1X",3.10189445871958e-270,1.08539376263233,0.256,0.012,1.13532439083595e-265
"CLIC4",1.20309748496087e-268,1.40883390345184,0.524,0.12,4.40345710470527e-264
"FKBP5",6.20131939037553e-267,1.63897145651766,0.423,0.077,2.26974491007135e-262
"ANGPTL4",2.4135343449228e-259,1.53631490750051,0.274,0.02,8.83377705585194e-255
"OSMR-AS1",1.36296532886734e-254,1.14792850180177,0.252,0.014,4.98858940018736e-250
"ITGB4",5.07355638718651e-252,1.10895038513202,0.278,0.022,1.85697237327414e-247
"DST",1.05365038877331e-249,1.28772802246846,0.923,0.767,3.85646578794918e-245
"USP9Y",4.86000073486304e-247,-1.79697012385,0.002,0.489,1.77880886896722e-242
"GFAP",1.45716831838438e-243,1.47179145231566,0.317,0.037,5.33338176211868e-239
"CNTNAP2",1.47876343755948e-242,-2.95152566960842,0.195,0.64,5.41242205781144e-238
"PIP4K2A",7.53363921788283e-237,1.75794914310781,0.777,0.416,2.7573872901373e-232
"NTM",5.05262226914118e-234,1.47502253409526,0.852,0.645,1.84931027672836e-229
"OSMR",4.87381657018972e-228,0.813521186092013,0.228,0.013,1.78386560285514e-223
"MT2A",2.00443776074588e-223,1.39204999556242,0.287,0.032,7.336442648106e-219
"RBFOX1",1.15330469923205e-222,-2.9372053765565,0.154,0.589,4.22121052965922e-218
"ZFP36",3.75792026571764e-222,0.995265759972076,0.213,0.01,1.37543639645531e-217
"ERBIN",3.85091902835291e-210,1.47477267110466,0.793,0.489,1.40947487356745e-205
"GADD45B",1.38131171901781e-207,0.845937805835067,0.204,0.011,5.05573902277707e-203
"MYT1L",3.3915224245454e-203,-1.9023078573178,0.051,0.489,1.24133112260786e-198
"DOCK1",1.09014356631336e-201,1.16299452712225,0.653,0.24,3.99003446706352e-197
"DLGAP1",8.19674371879129e-201,-2.23469498060326,0.189,0.596,3.0000901685148e-196
"QKI",2.32927248708105e-199,1.21144789042873,0.894,0.692,8.52537022996535e-195
"SYT1",1.51743935939086e-196,-2.65324745248029,0.08,0.508,5.55397979930648e-192
"HILPDA",2.38724163653126e-192,1.07135991720812,0.213,0.017,8.73754311386807e-188
"F3",9.00336843951413e-192,1.54708029593521,0.304,0.05,3.29532288254657e-187
"YBX3",1.13605163394628e-191,0.871571673467351,0.208,0.015,4.15806258540677e-187
"DOCK5",1.00709122661746e-187,1.31782335352309,0.57,0.198,3.68605459854255e-183
"GALNT15",2.42051909245828e-187,1.26623902588412,0.313,0.059,8.85934193030657e-183
"ENOSF1",2.52622705588076e-186,1.25727343734847,0.481,0.144,9.24624364722916e-182
"SLC8A1",3.24946153937499e-185,-1.73642673304383,0.126,0.565,1.18933541802664e-180
"GRIA1",1.31647339800927e-184,-1.71864405508641,0.046,0.454,4.81842428405373e-180
"FRMPD4",2.41033341798104e-183,-2.12252527354015,0.045,0.453,8.82206134315241e-179
"ADM",6.33716022904549e-183,0.533903339347498,0.146,0.002,2.31946401543294e-178
"CACNA1B",7.76967399240243e-182,-1.76081710642592,0.058,0.464,2.84377837795921e-177
"MRVI1",3.31963716454248e-181,1.3658324772254,0.256,0.035,1.21502039859419e-176
"DLGAP2",3.10250567100615e-180,-2.24372967248536,0.052,0.45,1.13554810064496e-175
"GABBR2",9.37271999399955e-178,-1.61858778175816,0.04,0.434,3.43050924500377e-173
"MEG3",2.15740206868927e-176,-2.21382786639082,0.174,0.544,7.8963073116096e-172
"RIMS2",5.23512706543538e-176,-1.86140893788029,0.139,0.542,1.91610885722e-171
"MEF2C",1.86662266650604e-175,-1.93543069394165,0.184,0.557,6.83202562167877e-171
"GRIN2B",8.92455434587407e-174,-1.66407124702694,0.075,0.464,3.26647613613337e-169
"KSR2",3.44013476662331e-173,-1.35767889050243,0.052,0.447,1.2591237259318e-168
"TENM2",4.82253782174153e-173,-2.23931820069022,0.104,0.489,1.76509706813562e-168
"GLUL",8.07017161420995e-173,1.67791583783744,0.522,0.2,2.95376351251698e-168
"MTUS2",8.80293273163303e-171,-1.77011092436171,0.038,0.425,3.221961409105e-166
"CACNB4",4.48847169632952e-170,-1.6656811513157,0.121,0.507,1.64282552557357e-165
"KHDRBS2",2.49321775227601e-169,-1.94122465193785,0.066,0.46,9.12542629510543e-165
"KCNQ5",7.934855152506e-169,-2.42027492031441,0.051,0.433,2.90423633436872e-164
"CHSY3",9.47142134864582e-169,-1.84200408607794,0.052,0.437,3.46663492781786e-164
"LGALS3",7.02224803202059e-168,0.677305242498048,0.182,0.013,2.57021300219986e-163
"HCN1",1.04759090477147e-167,-1.68360246676531,0.036,0.416,3.83428747055407e-163
"PDE4B",7.43396727783508e-167,1.09551027309708,0.844,0.603,2.72090636336042e-162
"SYN2",1.3576988192532e-166,-1.65656350711971,0.067,0.45,4.96931344834865e-162
"ATP8A2",1.70383082663198e-166,-1.50647361165209,0.073,0.462,6.23619120855571e-162
"TMEM165",1.71153050091954e-166,1.63862500663705,0.712,0.433,6.26437278641561e-162
"ELL2",7.00188877881917e-166,1.87098328721445,0.592,0.329,2.5627613119356e-161
"SIK3",2.12491114624396e-165,1.21438092940361,0.889,0.744,7.77738728636751e-161
"FRMD4A",4.97091192858191e-165,-1.77410161652464,0.456,0.693,1.81940347498027e-160
"KCNC2",5.65440095343709e-165,-1.88604828826262,0.021,0.393,2.06956729296751e-160
"STXBP5L",7.99171726066588e-165,-1.82530410429681,0.132,0.521,2.92504843457632e-160
"SH3PXD2B",9.04545440604061e-165,1.3183444860333,0.459,0.155,3.31072676715493e-160
"CCSER1",2.88648177673849e-164,-1.96256337163897,0.156,0.525,1.05648119510406e-159
"FGFR2",5.08846426057794e-164,1.21648029549701,0.539,0.209,1.86242880401413e-159
"CELF4",2.2396226695649e-163,-1.41322886274713,0.051,0.429,8.19724293287449e-159
"SRRM3",5.00765542619228e-163,-1.22021656337622,0.043,0.422,1.83285196254064e-158
"GABRG3",2.80314235783868e-162,-1.82720299646609,0.03,0.399,1.02597813439254e-157
"VIM",3.9997613178442e-162,0.580206326451779,0.163,0.009,1.46395263994415e-157
"FGF12",4.61313080961666e-161,-1.59267141800299,0.148,0.55,1.68845200762779e-156
"GABRB3",1.1725131164061e-160,-1.5765980672307,0.077,0.449,4.29151525735796e-156
"CSMD1",1.75243404932101e-160,-1.72374042571292,0.21,0.602,6.41408386391984e-156
"SNRPN",4.79495734493424e-160,-1.58236783279528,0.082,0.456,1.75500233781938e-155
"PTPRN2",1.8815584389287e-159,-1.56053315762472,0.116,0.485,6.88669204232293e-155
"KIAA1549L",1.34140312700997e-158,-1.46764213881142,0.055,0.42,4.90966958516918e-154
"ALDH1L1",1.69516277739195e-158,0.982664781358493,0.258,0.042,6.20446528153229e-154
"RBFOX3",3.55318185740963e-157,-1.34249230037409,0.03,0.393,1.3005000916305e-152
"DCLK1",1.24880574263682e-156,-1.59401835516074,0.075,0.453,4.57075389862501e-152
"FAM107B",2.27847643444738e-156,1.37561027951893,0.412,0.126,8.33945159772087e-152
"GRIN1",5.90472752325261e-156,-1.1996732172131,0.043,0.412,2.16118932078569e-151
"GRM5",6.73053479633034e-156,-1.55671250077111,0.125,0.506,2.46344304080487e-151
"CDH19",7.45894390656942e-156,1.53074764191866,0.321,0.074,2.73004805924347e-151
"CHRM3",1.26569266691978e-155,-1.93380501239458,0.049,0.413,4.6325617301931e-151
"COL4A5",5.71955358758874e-155,1.30045969770594,0.415,0.124,2.09341380859336e-150
"SLC4A10",3.83166958707111e-154,-1.42386383284065,0.087,0.462,1.4024293855639e-149
