"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","logp"
"MA0087.1","MA0087.1",16,1567,10.3225806451613,3.9175,2.63499186857978,0.000406448652545197,"Sox5",0.0732171761569712,3.39099431187758
"MA0084.1","MA0084.1",27,3567,17.4193548387097,8.9175,1.95338994546786,0.000571949641275325,"SRY",0.0732171761569712,3.24264220805844
"MA1606.1","MA1606.1",27,3568,17.4193548387097,8.92,1.95284247070736,0.000574415494755905,"Foxf1",0.0732171761569712,3.24077385359127
"MA0523.1","MA0523.1",29,3993,18.7096774193548,9.9825,1.87424767536738,0.000678869176352438,"TCF7L2",0.0732171761569712,3.16821390975829
"MA1152.1","MA1152.1",36,5413,23.2258064516129,13.5325,1.71629827833829,0.000722858810040955,"SOX15",0.0732171761569712,3.14094652152717
"MA0476.1","MA0476.1",34,5027,21.9354838709677,12.5675,1.74541347690215,0.000783293489539617,"FOS",0.0732171761569712,3.1060754831456
"MA0154.4","MA0154.4",30,4276,19.3548387096774,10.69,1.81055553879115,0.000948932085130554,"EBF1",0.0732171761569712,3.02276486882507
"MA0683.1","MA0683.1",27,3691,17.4193548387097,9.2275,1.88776535775775,0.000959342231584356,"POU4F2",0.0732171761569712,3.0180264368598
"MA0727.1","MA0727.1",15,1537,9.67741935483871,3.8425,2.51852162780448,0.000976903923428813,"NR3C2",0.0732171761569712,3.01014814618548
"MA1597.1","MA1597.1",30,4285,19.3548387096774,10.7125,1.80675273835962,0.000981463487358863,"ZNF528",0.0732171761569712,3.00812585249141
"MA1581.1","MA1581.1",32,4728,20.6451612903226,11.82,1.74662955078871,0.00114117057305541,"ZBTB6",0.0773921134090309,2.94264943586216
"MA1600.1","MA1600.1",26,3705,16.7741935483871,9.2625,1.81097906055461,0.00216309395087845,"ZNF684",0.0888160517160113,2.6649246171943
"MA0504.1","MA0504.1",30,4511,19.3548387096774,11.2775,1.71623486674151,0.00219069386717203,"NR2C2",0.0888160517160113,2.6594183075543
"MA0031.1","MA0031.1",19,2391,12.258064516129,5.9775,2.05070088099189,0.00234813762784195,"FOXD1",0.0888160517160113,2.62927645203233
"MA0157.2","MA0157.2",19,2391,12.258064516129,5.9775,2.05070088099189,0.00234813762784195,"FOXO3",0.0888160517160113,2.62927645203233
"MA0042.2","MA0042.2",19,2394,12.258064516129,5.985,2.04813108038914,0.00238112739185017,"FOXI1",0.0888160517160113,2.62321736893886
"MA0033.2","MA0033.2",19,2394,12.258064516129,5.985,2.04813108038914,0.00238112739185017,"FOXL1",0.0888160517160113,2.62321736893886
"MA0848.1","MA0848.1",19,2394,12.258064516129,5.985,2.04813108038914,0.00238112739185017,"FOXO4",0.0888160517160113,2.62321736893886
"MA0849.1","MA0849.1",19,2394,12.258064516129,5.985,2.04813108038914,0.00238112739185017,"FOXO6",0.0888160517160113,2.62321736893886
"MA0850.1","MA0850.1",19,2394,12.258064516129,5.985,2.04813108038914,0.00238112739185017,"FOXP3",0.0888160517160113,2.62321736893886
"MA0007.3","MA0007.3",15,1700,9.67741935483871,4.25,2.27703984819734,0.0025989890510582,"Ar",0.0919340954947021,2.58519555007768
"MA0113.3","MA0113.3",14,1537,9.03225806451613,3.8425,2.35062018595085,0.00271119316472312,"NR3C1",0.0919340954947021,2.56683953908318
"MA0591.1","MA0591.1",26,3860,16.7741935483871,9.65,1.73825839879659,0.00377006872233904,"Bach1::Mafk",0.118943894790563,2.42365073322641
"MA0515.1","MA0515.1",34,5524,21.9354838709677,13.81,1.58837681904184,0.00382661323722991,"Sox6",0.118943894790563,2.41718543049174
"MA0613.1","MA0613.1",19,2528,12.258064516129,6.32,1.93956717027358,0.00431060429525326,"FOXG1",0.124119094632344,2.36546184267049
"MA1653.1","MA1653.1",50,9120,32.258064516129,22.8,1.41482739105829,0.00432586656895568,"ZNF148",0.124119094632344,2.36392688047251
"MA1103.2","MA1103.2",21,2933,13.5483870967742,7.3325,1.84771729925321,0.00472007843032612,"FOXK2",0.12738408863238,2.32605078493056
"MA0160.1","MA0160.1",18,2370,11.6129032258065,5.925,1.95998366680278,0.004895962243864,"NR4A2",0.12738408863238,2.31016193999337
"MA1487.1","MA1487.1",28,4351,18.0645161290323,10.8775,1.66072315596711,0.00495192837847055,"FOXE1",0.12738408863238,2.30522564530053
"MA1599.1","MA1599.1",28,4364,18.0645161290323,10.91,1.65577599716153,0.00515766781967435,"ZNF682",0.128254006449235,2.28754663209494
"MA1627.1","MA1627.1",46,8354,29.6774193548387,20.885,1.42099206870188,0.00606342612263563,"Wt1",0.145913415725361,2.21728190954728
"MA0514.1","MA0514.1",38,6583,24.5161290322581,16.4575,1.48966301274544,0.00640189670455985,"Sox3",0.149244216925052,2.19369133753359
"MA1589.1","MA1589.1",23,3447,14.8387096774194,8.6175,1.72192743573187,0.00723229842515359,"ZNF140",0.163493776520139,2.14072366194039
"MA0657.1","MA0657.1",16,2110,10.3225806451613,5.275,1.95688732609693,0.00800072346202463,"KLF13",0.175545285372658,2.09687074033815
"MA0769.2","MA0769.2",21,3110,13.5483870967742,7.775,1.74255782595166,0.00900707729723076,"TCF7",0.191979418963833,2.04541611019765
"MA1489.1","MA1489.1",20,2924,12.9032258064516,7.31,1.76514716914523,0.00942786812446115,"FOXN3",0.195366378356889,2.02558650094824
"MA0505.1","MA0505.1",24,3751,15.4838709677419,9.3775,1.651172590535,0.00999137448594237,"Nr5a2",0.198721293954119,2.00037476296529
"MA0614.1","MA0614.1",17,2357,10.9677419354839,5.8925,1.86130537725649,0.0101225323998077,"Foxj2",0.198721293954119,1.99471082448445
"MA1527.1","MA1527.1",23,3567,14.8387096774194,8.9175,1.66399884243559,0.010686581280101,"NFIC(var.2)",0.204415118845009,1.97116120673233
"MA0442.2","MA0442.2",35,6174,22.5806451612903,15.435,1.46295077170653,0.0118947646611287,"SOX10",0.221837360930051,1.92464414609281
"MA0852.2","MA0852.2",20,3007,12.9032258064516,7.5175,1.7164251155905,0.0125452895689697,"FOXK1",0.223704971770865,1.90151930989705
"MA0080.5","MA0080.5",59,11764,38.0645161290323,29.41,1.29427120465938,0.012594649885223,"SPI1",0.223704971770865,1.89981390081606
"MA0148.4","MA0148.4",22,3436,14.1935483870968,8.59,1.65233392166435,0.0134729096704949,"FOXA1",0.233739316609052,1.87053860194754
"MA1128.1","MA1128.1",27,4523,17.4193548387097,11.3075,1.54051336181381,0.0149818313944167,"FOSL1::JUN",0.243317059646947,1.82443509478914
"MA1683.1","MA1683.1",19,2863,12.258064516129,7.1575,1.71261816501977,0.0151865925697504,"FOXA3",0.243317059646947,1.81853965827399
"MA1634.1","MA1634.1",31,5402,20,13.505,1.4809329877823,0.0154625479680954,"BATF",0.243317059646947,1.81071894008736
"MA1622.1","MA1622.1",29,4970,18.7096774193548,12.425,1.5058090478354,0.0156177265391892,"Smad2::Smad3",0.243317059646947,1.80638218578173
"MA0734.2","MA0734.2",19,2879,12.258064516129,7.1975,1.70310031484947,0.0160143040024613,"GLI2",0.243317059646947,1.79549193145903
"MA1113.2","MA1113.2",19,2879,12.258064516129,7.1975,1.70310031484947,0.0160143040024613,"PBX2",0.243317059646947,1.79549193145903
"MA0462.2","MA0462.2",31,5424,20,13.56,1.47492625368732,0.0163081139173557,"BATF::JUN",0.243317059646947,1.78759626352438
"MA0867.2","MA0867.2",30,5294,19.3548387096774,13.235,1.46239808913316,0.0201984341625293,"SOX4",0.292798194824928,1.69468229693612
"MA1137.1","MA1137.1",25,4213,16.1290322580645,10.5325,1.53135839146115,0.0204661833433542,"FOSL1::JUNB",0.292798194824928,1.688963139627
"MA1633.1","MA1633.1",28,4868,18.0645161290323,12.17,1.48434807962467,0.0208020165224145,"BACH1",0.292798194824928,1.68189456301281
"MA1117.1","MA1117.1",16,2374,10.3225806451613,5.935,1.73927222327907,0.0221603015332366,"RELB",0.29337568219894,1.65442433449732
"MA0481.3","MA0481.3",20,3189,12.9032258064516,7.9725,1.61846670510525,0.0222694848649026,"FOXP1",0.29337568219894,1.65228982889851
"MA0496.3","MA0496.3",32,5784,20.6451612903226,14.46,1.42774282782314,0.0224739095817408,"MAFK",0.29337568219894,1.64832137074584
"MA0684.2","MA0684.2",19,2988,12.258064516129,7.47,1.64097249211901,0.0226394677485746,"RUNX3",0.29337568219894,1.6451337875798
"MA1491.1","MA1491.1",18,2787,11.6129032258065,6.9675,1.66672453904649,0.0229045363617041,"GLI3",0.29337568219894,1.64007849487639
"MA0593.1","MA0593.1",29,5144,18.7096774193548,12.86,1.45487382732153,0.0238071058168054,"FOXP2",0.29337568219894,1.6232933977152
"MA1532.1","MA1532.1",15,2199,9.67741935483871,5.4975,1.76033094221714,0.0240469544380877,"NR1D2",0.29337568219894,1.61893991947675
"MA0163.1","MA0163.1",25,4282,16.1290322580645,10.705,1.50668213526992,0.0244394842505869,"PLAG1",0.29337568219894,1.61190796330213
"MA0038.2","MA0038.2",20,3235,12.9032258064516,8.0875,1.59545295906666,0.0254725908222622,"GFI1",0.29337568219894,1.593926880612
"MA0868.2","MA0868.2",19,3030,12.258064516129,7.575,1.61822633876291,0.0256935499671879,"SOX8",0.29337568219894,1.59017588698906
"MA0650.2","MA0650.2",16,2418,10.3225806451613,6.045,1.70762293551055,0.0257289910649456,"HOXA13",0.29337568219894,1.58957724385253
"MA0047.3","MA0047.3",20,3243,12.9032258064516,8.1075,1.59151721325336,0.0260640684641633,"FOXA2",0.29337568219894,1.58395779224485
"MA0809.2","MA0809.2",22,3666,14.1935483870968,9.165,1.54866867289654,0.0261774847086881,"TEAD4",0.29337568219894,1.58207208542532
"MA0477.2","MA0477.2",27,4749,17.4193548387097,11.8725,1.46720192366474,0.0264273585046463,"FOSL1",0.29337568219894,1.57794624376146
"MA0484.2","MA0484.2",20,3252,12.9032258064516,8.13,1.58711264532,0.0267420192889115,"HNF4G",0.29337568219894,1.5728058022752
"MA0003.4","MA0003.4",26,4603,16.7741935483871,11.5075,1.45767486842382,0.0313943532192394,"TFAP2A",0.339423007268878,1.50314845976947
"MA0835.2","MA0835.2",30,5499,19.3548387096774,13.7475,1.40788061172413,0.031998079259491,"BATF3",0.341008101822576,1.49487609018134
"MA0065.2","MA0065.2",31,5738,20,14.345,1.39421401185082,0.0329793938857986,"Pparg::Rxra",0.346515885053602,1.48175733033104
"MA0603.1","MA0603.1",10,1321,6.45161290322581,3.3025,1.95355424775952,0.0334972458476452,"Arntl",0.347068686143657,1.47499089930169
"MA0901.2","MA0901.2",29,5321,18.7096774193548,13.3025,1.40647828749144,0.0352966026436303,"HOXB13",0.350152750872258,1.45226709416259
