"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","logp"
"MA1650.1","MA1650.1",48,2120,13.4831460674157,5.3,2.5439898240407,3.22770370730513e-09,"ZBTB14",2.40786696564963e-06,8.49110633894016
"MA0506.1","MA0506.1",47,2186,13.2022471910112,5.465,2.41578173669007,2.34047305368927e-08,"NRF1",8.72996449026099e-06,7.6306963546226
"MA0162.4","MA0162.4",71,4249,19.9438202247191,10.6225,1.87750719931458,1.37527702177206e-07,"EGR1",3.41985552747319e-05,6.86160981317245
"MA0131.2","MA0131.2",28,1095,7.86516853932584,2.7375,2.87312092760761,7.43709396690974e-07,"HINFP",0.000138701802482867,6.12859673121218
"MA1513.1","MA1513.1",71,4750,19.9438202247191,11.875,1.67947959787108,7.94690765421724e-06,"KLF15",0.00100982545821255,5.09980183360408
"MA1107.2","MA1107.2",98,7262,27.5280898876405,18.155,1.51628145897221,8.12192057543604e-06,"KLF9",0.00100982545821255,5.09034126180714
"MA0811.1","MA0811.1",40,2169,11.2359550561798,5.4225,2.07209867333882,1.19072302604339e-05,"TFAP2B",0.00112777990393529,4.92418924796308
"MA0524.2","MA0524.2",39,2092,10.9550561797753,5.23,2.09465701334135,1.2094154465794e-05,"TFAP2C",0.00112777990393529,4.91742448891235
"MA1514.1","MA1514.1",70,4744,19.6629213483146,11.86,1.65791916933513,1.44024943619087e-05,"KLF17",0.0011938067548871,4.84156228611306
"MA0632.2","MA0632.2",31,1535,8.70786516853933,3.8375,2.26915053251839,2.25904997781742e-05,"TCFL5",0.0016852512834518,4.64607416091221
"MA0698.1","MA0698.1",65,4383,18.2584269662921,10.9575,1.66629495471523,2.67454481308971e-05,"ZBTB18",0.00181382766414993,4.57275012092674
"MA0472.2","MA0472.2",34,1856,9.55056179775281,4.64,2.05831073227431,6.34410790868381e-05,"EGR2",0.0039439204165651,4.19762943859282
"MA1564.1","MA1564.1",68,4914,19.1011235955056,12.285,1.55483301550717,0.000141719546943561,"SP9",0.00763102314219413,3.84857024471189
"MA0773.1","MA0773.1",80,6051,22.4719101123595,15.1275,1.48550058584429,0.000146354381860282,"MEF2D",0.00763102314219413,3.83459427022881
"MA0039.4","MA0039.4",95,7516,26.685393258427,18.79,1.4201912324868,0.000153438803127228,"KLF4",0.00763102314219413,3.81406479779898
"MA0471.2","MA0471.2",70,5150,19.6629213483146,12.875,1.52721719210211,0.000189221672249978,"E2F6",0.00860804233698188,3.72302912375055
"MA1512.1","MA1512.1",65,4690,18.2584269662921,11.725,1.55722191610167,0.000196161822692617,"KLF11",0.00860804233698188,3.70738551177389
"MA0660.1","MA0660.1",70,5191,19.6629213483146,12.9775,1.51515479470735,0.00023886182731868,"MEF2B",0.00965335347737995,3.62185324962003
"MA0528.2","MA0528.2",95,7614,26.685393258427,19.035,1.40191191270959,0.000245862890174556,"ZNF263",0.00965335347737995,3.60930701745343
"MA0741.1","MA0741.1",74,5652,20.7865168539326,14.13,1.47109107246515,0.000371243918469151,"KLF16",0.0138473981588993,3.43034065200988
"MA1155.1","MA1155.1",58,4170,16.2921348314607,10.425,1.56279470805378,0.00041893036953309,"ZSCAN4",0.0145291402265814,3.37785815517337
"MA0814.2","MA0814.2",56,3990,15.7303370786517,9.975,1.57697614823576,0.000428473304269158,"TFAP2C(var.2)",0.0145291402265814,3.36807623131315
"MA1627.1","MA1627.1",92,7471,25.8426966292135,18.6775,1.38362717864883,0.000501791817952973,"Wt1",0.0162755085301269,3.29947642442206
"MA0732.1","MA0732.1",42,2767,11.7977528089888,6.9175,1.70549372012848,0.000527801823558401,"EGR3",0.016405840015607,3.27752911362339
"MA0052.4","MA0052.4",108,9113,30.3370786516854,22.7825,1.33159568316407,0.000574414500893072,"MEF2A",0.0166146815177488,3.24077460501514
"MA0527.1","MA0527.1",20,981,5.61797752808989,2.4525,2.29071458841586,0.000579063967106527,"ZBTB33",0.0166146815177488,3.23727345867857
"MA0690.1","MA0690.1",38,2457,10.6741573033708,6.1425,1.73775454674331,0.00069567949475034,"TBX21",0.0192213667808798,3.15759079734383
"MA0810.1","MA0810.1",38,2488,10.6741573033708,6.22,1.716102460349,0.000875690888081215,"TFAP2A(var.2)",0.0228561391374419,3.057649169279
"MA0499.2","MA0499.2",52,3744,14.6067415730337,9.36,1.5605493133583,0.000888509430275892,"MYOD1",0.0228561391374419,3.05133795841012
"MA1100.2","MA1100.2",56,4127,15.7303370786517,10.3175,1.52462680675083,0.000957533048371615,"ASCL1",0.0238106551361742,3.01884622782645
"MA1630.1","MA1630.1",70,5474,19.6629213483146,13.685,1.43682289720969,0.00105401625690195,"Znf281",0.0252027841487138,2.97715269061459
"MA0138.2","MA0138.2",52,3778,14.6067415730337,9.445,1.54650519566265,0.00108508667938207,"REST",0.0252027841487138,2.96453556792262
"MA0006.1","MA0006.1",68,5303,19.1011235955056,13.2575,1.4407786985107,0.00117270385261294,"Ahr::Arnt",0.0252027841487138,2.93081164808439
