"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"XIST",0,3.46041302217117,0.794,0.001,0
"USP9Y",0,-1.57865649384058,0.002,0.484,0
"UTY",0,-2.14650879508466,0.002,0.658,0
"NLGN4Y",0,-2.27971169643723,0.004,0.579,0
"TTTY14",0,-2.07423665691846,0.003,0.539,0
"KDM5D",5.80136782596717e-249,-0.687554418504587,0,0.263,2.12335863798224e-244
"TTTY10",7.08267142354984e-214,-0.689983848647566,0.003,0.236,2.59232856773348e-209
"PCDH11Y",8.06195051962684e-201,-1.44570306152681,0.015,0.246,2.95075450968862e-196
"ZFY",3.75675887605744e-165,-0.538285785990392,0.002,0.188,1.37501131622578e-160
"POLR2J3",6.43866229124284e-142,-0.588096786185961,0.299,0.567,2.35661478521779e-137
"NBPF26",2.35497198567734e-136,0.427595463433428,0.123,0.005,8.61943296477764e-132
"RPS4Y1",1.95846208338374e-131,-0.413787821229109,0.001,0.15,7.16816707139284e-127
"LINC00499",9.89003057959702e-130,1.16718678309002,0.2,0.043,3.6198500924383e-125
"RYR2",3.37136094690339e-117,-1.16500068217001,0.129,0.34,1.23395182017611e-112
"ARL17A",1.66011171897741e-115,-0.435621157559897,0.045,0.22,6.07617490262923e-111
"GRIN2A",3.60030766253308e-113,-1.01816511119813,0.105,0.304,1.31774860756373e-108
"DDX3Y",1.54849105986037e-104,-0.331925277790321,0,0.119,5.66763212819495e-100
"FRAS1",1.67694118526018e-93,-0.712944713256097,0.059,0.216,6.13777243217078e-89
"MICAL2",1.33097997130798e-92,-0.381230624462841,0.068,0.233,4.87151979298435e-88
"DGCR9",2.59692227191699e-90,-0.693506386415527,0.063,0.218,9.50499520744336e-86
"PLCG2",1.77573891454908e-89,0.776625860120812,0.656,0.596,6.49938200114109e-85
"FTH1",4.37718089881483e-89,-0.584960230084066,0.441,0.669,1.60209198077522e-84
"SYT1",2.36368192423356e-88,-1.05050595399017,0.136,0.317,8.65131221088725e-84
"KANSL1",3.56819019774971e-85,-0.45297117097668,0.503,0.7,1.30599329427837e-80
"ATP1B1",8.99374496813007e-85,-0.526065147828394,0.226,0.43,3.29180059578529e-80
"STMN2",3.50298031905572e-84,-0.380675432857523,0.061,0.21,1.28212582657758e-79
"VSNL1",2.15306276899184e-82,-0.438752105880983,0.082,0.24,7.88042504078703e-78
"XRRA1",9.47839689541956e-80,-0.397916425099195,0.159,0.344,3.46918804769251e-75
"APIP",4.77639466609948e-79,-0.415226488296316,0.088,0.246,1.74820821173907e-74
"PWRN1",2.77651335543383e-78,-0.418293785023198,0.099,0.267,1.01623165322234e-73
"FMN1",7.33150553600916e-78,-0.516999720155741,0.092,0.25,2.68340434123471e-73
"RPS27A",2.42485113785945e-77,-0.372221242763532,0.159,0.344,8.87519764967938e-73
"DLGAP2",1.63184112130434e-76,-1.03677448423652,0.097,0.25,5.97270168808603e-72
"SVOP",5.54367123746785e-76,-0.298563687512392,0.048,0.18,2.02903910962561e-71
"PTPRR",3.62381566959631e-75,-0.690069429451063,0.06,0.196,1.32635277322895e-70
"FAU",8.71651206629637e-74,-0.395853629314516,0.125,0.295,3.19033058138513e-69
"FRMPD4",2.12054222231268e-73,-0.929095616864388,0.102,0.255,7.76139658788663e-69
"SRRM4",1.08435330664838e-72,-0.50067894495368,0.086,0.234,3.96884153766372e-68
"CAMK2N1",4.40826807430935e-71,-0.439644276416336,0.208,0.385,1.61347019787796e-66
"GABRG3",9.34240731380077e-70,-0.565318123789492,0.078,0.22,3.41941450092422e-65
"AGT",9.45345651105816e-70,0.63386009307377,0.191,0.071,3.4600596176124e-65
"RPL13A",1.77353761985558e-68,-0.387631726601037,0.211,0.395,6.49132504243343e-64
"BEX1",1.95733766091932e-68,-0.254396088798501,0.055,0.183,7.16405157273082e-64
"PRKCB",3.38424591774532e-68,-0.535578176930754,0.278,0.458,1.23866784835396e-63
"KLKB1",2.16445211912075e-67,0.426192149359717,0.141,0.041,7.92211120119386e-63
"ANKUB1",7.41554801925136e-67,-0.353543717183219,0.099,0.246,2.71416473052619e-62
"VEGFA",1.06978105756396e-66,0.695977374301326,0.256,0.124,3.91550564878986e-62
"ADD2",4.00651849826241e-66,-0.261047426775869,0.082,0.221,1.46642583554902e-61
"SRRM3",5.95188382465334e-66,-0.324464533540373,0.094,0.238,2.17844899866137e-61
"CRLF3",1.76421550415256e-65,-0.277234798078758,0.168,0.337,6.45720516674877e-61
"SUMF1",5.57698644681921e-65,-0.32505939369275,0.356,0.551,2.0412328094003e-60
"FRRS1L",5.77629699947829e-65,-0.370905322225841,0.13,0.281,2.11418246477905e-60
"CACNA1B",6.68226297476249e-65,-0.631493009522876,0.139,0.287,2.44577507139282e-60
"ADGRL2",7.34705889587007e-65,-0.652871607138055,0.106,0.249,2.6890970264774e-60
"MPPED1",7.44087535631532e-65,-0.26151216755836,0.05,0.172,2.72343478916497e-60
"NEK10",2.45584290769785e-64,-0.345687931375982,0.09,0.228,8.98863062646488e-60
"SNX19",2.62497930634015e-64,-0.335186231078717,0.141,0.299,9.60768675913558e-60
"C8orf34",2.10902123452089e-63,-0.438369410090308,0.069,0.199,7.71922862046991e-59
"CACNG3",2.89860522115277e-63,-0.339299841029355,0.057,0.18,1.06091849699413e-58
"HCN1",3.21299836268997e-63,-0.577525627759365,0.098,0.239,1.17598953072816e-58
"PTPRB",2.36495485885899e-62,-0.380635717436784,0.061,0.185,8.65597127890978e-58
"CHD5",4.08288776262073e-62,-0.259441065247711,0.063,0.189,1.49437774999681e-57
"COL26A1",5.93362281697051e-62,-0.378517679998671,0.043,0.154,2.17176528723938e-57
"ZMAT4",7.56222496235349e-62,-0.491500103743938,0.056,0.176,2.767849958471e-57
"RPL18A",7.87767843260467e-62,-0.287207145312964,0.095,0.236,2.88330908311764e-57
"RBFOX3",1.65129147715135e-61,-0.43798113085099,0.084,0.218,6.04389193552166e-57
"FTL",2.15356639921338e-61,-0.450155530030461,0.302,0.494,7.88226837776089e-57
"BCL11A",6.5171849404891e-61,-0.374863045153648,0.058,0.177,2.38535486006841e-56
"SH3GL3",7.10232452104039e-61,-0.504804852808069,0.274,0.456,2.59952179794599e-56
"RPS15",7.15025402313533e-61,-0.376360483410759,0.187,0.357,2.61706447500776e-56
"NRGN",6.08330327551428e-59,-0.489541735174262,0.057,0.172,2.22654983187098e-54
"RPL19",6.73693634635667e-59,-0.35398999258198,0.139,0.292,2.46578607213e-54
"CABP1",2.12962103625962e-58,-0.384213676584562,0.066,0.184,7.79462595481385e-54
"CCDC122",2.78008736045752e-58,-0.297793179981932,0.06,0.178,1.01753977480106e-53
"RPS18",3.96618575327123e-58,-0.259957554214085,0.149,0.305,1.4516636475548e-53
"RIMBP2",1.05898674908416e-57,-0.301406737932637,0.088,0.22,3.87599740032294e-53
"RAP1GAP2",1.20806423889474e-57,-0.343949949915327,0.089,0.219,4.42163592077862e-53
"KLHL29",1.75582974107612e-57,-0.287189181239093,0.068,0.188,6.42651243531269e-53
"ZNF385B",2.38208801558429e-57,-0.484656055716197,0.095,0.227,8.71868034584006e-53
"SLC35F3",5.77989016745962e-57,-0.351558976521468,0.121,0.263,2.1154976001919e-52
"KCNC2",3.85153702665363e-56,-0.733919188692499,0.09,0.218,1.4097010671255e-51
"CELF4",7.41539550301025e-56,-0.470107538538319,0.136,0.275,2.71410890805678e-51
"TIAM1",1.137745804653e-55,-0.331993105034227,0.325,0.495,4.16426341961044e-51
"RPL6",4.20048782103618e-55,-0.288620146384701,0.133,0.276,1.53742054737745e-50
"MTRNR2L12",4.38322417338959e-55,0.512764756793417,0.116,0.035,1.60430387970232e-50
"NYAP2",5.24420938651915e-55,-0.286203712426051,0.048,0.155,1.91943307755987e-50
"EPHA3",5.57063230062607e-55,-0.42207091820087,0.056,0.166,2.03890712835215e-50
"MIAT",8.63464482984281e-55,-0.758691901087306,0.173,0.302,3.16036635417077e-50
"MFGE8",3.18872662137888e-54,0.43728367038113,0.247,0.121,1.16710583069088e-49
"FSTL4",3.35460113093611e-54,-0.463421272362157,0.041,0.142,1.22781755993392e-49
"PLCXD3",4.04528337498717e-54,-0.454960139997226,0.02,0.106,1.48061416807905e-49
"ITPR1",4.76690458825287e-54,-0.342990968199735,0.116,0.252,1.74473474834643e-49
"GABBR2",6.37148665450617e-54,-0.577451247621102,0.154,0.288,2.3320278304158e-49
"GABRB2",6.66813929780063e-54,-0.6009563792769,0.136,0.268,2.44060566438801e-49
"LINGO2",1.08582557591657e-53,-0.90591192970514,0.086,0.206,3.97423019041225e-49
"SLIT2",1.37154277341014e-53,-0.570347561058231,0.1,0.225,5.01998370495846e-49
"PAK5",1.40114957812958e-53,-0.38846343593332,0.168,0.312,5.12834757091209e-49
"HINT1",1.47337841592721e-53,-0.273608755290515,0.086,0.209,5.39271234013519e-49
"PAK1",3.56400832586345e-53,-0.295611553151089,0.151,0.298,1.30446268734928e-48
"RASGRF2",3.57444081449811e-53,-0.291350731797957,0.227,0.396,1.30828108251445e-48
"MTCL1",3.633035228894e-53,-0.281353921335294,0.105,0.235,1.32972722412749e-48
"GABRA1",4.58934509723449e-53,-0.252419475689947,0.067,0.183,1.6797461990388e-48
