"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","logp"
"MA0685.1","MA0685.1",22,4500,29.3333333333333,11.25,2.60740740740741,1.68875374261606e-05,"SP4",0.00836190614331743,4.77243367548541
"MA0504.1","MA0504.1",22,4678,29.3333333333333,11.695,2.50819438506484,3.09653470096577e-05,"NR2C2",0.00836190614331743,4.50912404875517
"MA0079.4","MA0079.4",22,4703,29.3333333333333,11.7575,2.49486143596286,3.36269684047618e-05,"SP1",0.00836190614331743,4.47331228417005
"MA1522.1","MA1522.1",30,8020,40,20.05,1.99501246882793,5.83241241349139e-05,"MAZ",0.0108774491511614,4.2341517743727
"MA1628.1","MA1628.1",29,7867,38.6666666666667,19.6675,1.96601838905131,0.000110002468302244,"Zic1::Zic2",0.015090592493595,3.95859756976889
"MA1109.1","MA1109.1",22,5232,29.3333333333333,13.08,2.24260958205912,0.000167201660031686,"NEUROD1",0.015090592493595,3.77675941506075
"MA0599.1","MA0599.1",30,8510,40,21.275,1.88014101057579,0.000180283995925509,"KLF5",0.015090592493595,3.74404282452403
"MA0769.2","MA0769.2",17,3480,22.6666666666667,8.7,2.60536398467433,0.000198810355536835,"TCF7",0.015090592493595,3.70156099803038
"MA0733.1","MA0733.1",15,2817,20,7.0425,2.83990060347888,0.000201431847889847,"EGR4",0.015090592493595,3.69587186313026
"MA1627.1","MA1627.1",29,8134,38.6666666666667,20.335,1.90148348496025,0.000202286762648727,"Wt1",0.015090592493595,3.69403253589805
"MA1418.1","MA1418.1",23,5731,30.6666666666667,14.3275,2.14040597917757,0.00022746413830985,"IRF3",0.0154262042890135,3.64308706389394
"MA0653.1","MA0653.1",18,3923,24,9.8075,2.4471068060158,0.000270481247726827,"IRF9",0.0161023447447543,3.56786283884231
"MA0516.2","MA0516.2",23,5816,30.6666666666667,14.54,2.10912425492893,0.000283180375610295,"SP2",0.0161023447447543,3.54793684653123
"MA1564.1","MA1564.1",21,5070,28,12.675,2.20907297830375,0.000304965131948276,"SP9",0.0161023447447543,3.5157498126798
"MA0657.1","MA0657.1",12,1999,16,4.9975,3.2016008004002,0.000328153174138355,"KLF13",0.0161023447447543,3.48392339057175
"MA0161.2","MA0161.2",21,5120,28,12.8,2.1875,0.000348980465429809,"NFIC",0.0161023447447543,3.45719888247772
"MA0746.2","MA0746.2",21,5156,28,12.89,2.1722265321955,0.000384058654910959,"SP3",0.0161023447447543,3.41560244344793
"MA0768.1","MA0768.1",19,4409,25.3333333333333,11.0225,2.298329175172,0.000391391438237934,"LEF1",0.0161023447447543,3.40738867884841
"MA0894.1","MA0894.1",11,1765,14.6666666666667,4.4125,3.32389046270066,0.000435754471694645,"HESX1",0.0161023447447543,3.36075814748281
"MA1629.1","MA1629.1",25,6816,33.3333333333333,17.04,1.95618153364632,0.00045154954623322,"Zic2",0.0161023447447543,3.34529458981308
"MA0742.1","MA0742.1",16,3381,21.3333333333333,8.4525,2.52390811397023,0.000453283163056087,"Klf12",0.0161023447447543,3.34363041226193
"MA1537.1","MA1537.1",14,2750,18.6666666666667,6.875,2.71515151515151,0.000533218185165574,"NR2F1(var.2)",0.0180809439151599,3.27309504758829
"MA1653.1","MA1653.1",30,9057,40,22.6425,1.76658937838136,0.000559553987385044,"ZNF148",0.0181490119386627,3.25215800512796
"MA0741.1","MA0741.1",23,6226,30.6666666666667,15.565,1.97023235892494,0.000759830624369035,"KLF16",0.0236180685741375,3.11928320653484
"MA0643.1","MA0643.1",13,2537,17.3333333333333,6.3425,2.73288661148338,0.000814361779498325,"Esrrg",0.02430055550023,3.08918261730408
"MA0138.2","MA0138.2",18,4336,24,10.84,2.2140221402214,0.000900197531351665,"REST",0.0258287445533978,3.04566218237934
"MA0642.1","MA0642.1",9,1372,12,3.43,3.49854227405248,0.00105292458383289,"EN2",0.0290919162792346,2.97760273422587
"MA1584.1","MA1584.1",13,2652,17.3333333333333,6.63,2.61437908496732,0.00122235028979886,"ZIC5",0.032566904149641,2.9128043201763
"MA0753.2","MA0753.2",18,4501,24,11.2525,2.13285936458565,0.00138589729599841,"ZNF740",0.033339989004972,2.85826895257691
"MA0528.2","MA0528.2",28,8652,37.3333333333333,21.63,1.7259978425027,0.00139549853913614,"ZNF263",0.033339989004972,2.855270613812
"MA0677.1","MA0677.1",13,2710,17.3333333333333,6.775,2.55842558425584,0.00148598138906166,"Nr2f6",0.033339989004972,2.82798662979377
"MA0155.1","MA0155.1",18,4529,24,11.3225,2.11967321704571,0.00148742548496631,"INSM1",0.033339989004972,2.82756478175305
"MA0502.2","MA0502.2",13,2713,17.3333333333333,6.7825,2.55559651062784,0.00150081893922421,"NFYB",0.033339989004972,2.82367169845551
"MA0772.1","MA0772.1",19,4932,25.3333333333333,12.33,2.05460935387943,0.00154297299578065,"IRF7",0.033339989004972,2.81164167464073
"MA0856.1","MA0856.1",12,2389,16,5.9725,2.67894516534115,0.00156420859942898,"RXRG",0.033339989004972,2.80570533085419
