"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","logp"
"MA1564.1","MA1564.1",104,4693,21.3991769547325,11.7325,1.82392303044812,8.08431611945795e-10,"SP9",6.03089982511563e-07,9.09235671269112
"MA1513.1","MA1513.1",96,4272,19.7530864197531,10.68,1.84953992694317,2.13743151982764e-09,"KLF15",7.97261956895709e-07,8.67010779053541
"MA0162.4","MA0162.4",90,3937,18.5185185185185,9.8425,1.88148524445197,3.38311751773683e-09,"EGR1",8.41268556077226e-07,8.47068291607008
"MA1650.1","MA1650.1",53,1929,10.9053497942387,4.8225,2.26134780595929,3.31001126540735e-08,"ZBTB14",6.1731710099847e-06,7.48017052812884
"MA0506.1","MA0506.1",51,1905,10.4938271604938,4.7625,2.20342827516931,1.36567918364357e-07,"NRF1",2.03759334199621e-05,6.8646513102717
"MA0472.2","MA0472.2",45,1609,9.25925925925926,4.0225,2.30186681398614,2.36798257776798e-07,"EGR2",2.94419167169153e-05,6.62562149722237
"MA0632.2","MA0632.2",39,1378,8.02469135802469,3.445,2.32937339855579,1.17196356503071e-06,"TCFL5",0.000124897831358987,5.93108588981287
"MA0747.1","MA0747.1",99,5107,20.3703703703704,12.7675,1.59548622442689,1.50952460302347e-06,"SP8",0.000140763169231939,5.82115980422402
"MA0733.1","MA0733.1",60,2612,12.3456790123457,6.53,1.89060934339138,1.74064648046116e-06,"EGR4",0.00014428025271378,5.75928942369874
"MA0039.4","MA0039.4",138,7912,28.3950617283951,19.78,1.43554407120299,2.82081081261439e-06,"KLF4",0.000210432486621033,5.54962604032206
"MA0471.2","MA0471.2",99,5211,20.3703703703704,13.0275,1.56364385878874,3.64798697719912e-06,"E2F6",0.000217359839128979,5.43794672071113
"MA0732.1","MA0732.1",57,2494,11.7283950617284,6.235,1.88105774847288,3.7725355303749e-06,"EGR3",0.000217359839128979,5.42336666127455
"MA1514.1","MA1514.1",96,5012,19.7530864197531,12.53,1.57646340141685,3.7877719955452e-06,"KLF17",0.000217359839128979,5.42161617118323
"MA0810.1","MA0810.1",60,2799,12.3456790123457,6.9975,1.76429853695544,1.44679116194877e-05,"TFAP2A(var.2)",0.000724275528788588,4.83959415288844
"MA0872.1","MA0872.1",49,2122,10.082304526749,5.305,1.90052865725711,1.45631808737652e-05,"TFAP2A(var.3)",0.000724275528788588,4.83674375654448
