"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","logp"
"MA0660.1","MA0660.1",72,6040,28.3464566929134,15.1,1.87724878761016,4.56992727495655e-08,"MEF2B",3.25779181960704e-05,7.34009071116349
"MA0052.4","MA0052.4",111,11346,43.7007874015748,28.365,1.54065881902256,1.22025031896653e-07,"MEF2A",3.25779181960704e-05,6.91355107014931
"MA0773.1","MA0773.1",79,7076,31.1023622047244,17.69,1.75818893186684,1.31010394890364e-07,"MEF2D",3.25779181960704e-05,6.88269424431047
"MA0162.4","MA0162.4",46,3438,18.1102362204724,8.595,2.10706645962448,1.09941684707823e-06,"EGR1",0.00020504124198009,5.95883761234295
"MA1107.2","MA1107.2",66,6174,25.9842519685039,15.435,1.68346303650819,9.51297980810527e-06,"KLF9",0.00141933658736931,5.02168342506948
"MA1155.1","MA1155.1",47,4055,18.503937007874,10.1375,1.82529588240434,3.67302784004469e-05,"ZSCAN4",0.00404841559267017,4.43497577986817
"MA0632.2","MA0632.2",21,1216,8.26771653543307,3.04,2.71964359718193,3.79878138722402e-05,"TCFL5",0.00404841559267017,4.42035569856271
"MA0497.1","MA0497.1",96,10614,37.7952755905512,26.535,1.42435559037314,5.38239786140109e-05,"MEF2C",0.00501908600575651,4.26902420277726
"MA0600.2","MA0600.2",32,2459,12.5984251968504,6.1475,2.04935749440429,9.76290431018505e-05,"RFX2",0.00809236290599783,4.01042096734804
"MA0510.2","MA0510.2",33,2600,12.992125984252,6.5,1.99878861296184,0.000120447183815602,"RFX5",0.00898535991264393,3.91920334981792
"MA0733.1","MA0733.1",30,2304,11.8110236220472,5.76,2.0505249343832,0.000162024625782832,"EGR4",0.010988215530363,3.79041897293384
"MA0506.1","MA0506.1",25,1856,9.84251968503937,4.64,2.12123269074124,0.00035558977913347,"NRF1",0.0221058312694641,3.44905073063132
"MA0006.1","MA0006.1",47,4542,18.503937007874,11.355,1.62958494124826,0.000521178818745593,"Ahr::Arnt",0.029907646060324,3.28301324278453
"MA1511.1","MA1511.1",39,3562,15.3543307086614,8.905,1.72423702511639,0.00057832850945629,"KLF10",0.0308166477181709,3.23782539805718
"MA0732.1","MA0732.1",27,2205,10.6299212598425,5.5125,1.92833038727302,0.000885032555880323,"EGR3",0.0440156191124481,3.05304075350655
"MA1630.1","MA1630.1",48,4853,18.8976377952756,12.1325,1.55760459882758,0.00120112429583812,"Znf281",0.0510403228352106,2.92041204821452
"MA0689.1","MA0689.1",30,2608,11.8110236220472,6.52,1.81150669049804,0.0012315968782705,"TBX20",0.0510403228352106,2.90953142057398
"MA1627.1","MA1627.1",59,6322,23.2283464566929,15.805,1.46968342022733,0.00125304544727852,"Wt1",0.0510403228352106,2.90203317709496
"MA1650.1","MA1650.1",23,1807,9.05511811023622,4.5175,2.0044533724928,0.00129995460304156,"ZBTB14",0.0510403228352106,2.88607181384147
"MA1565.1","MA1565.1",37,3537,14.5669291338583,8.8425,1.64737677510413,0.00182108381245189,"TBX18",0.0679264262044555,2.73967006604047
