"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NFIA",0,-2.03308600733941,0.361,0.876,0
"PDE4B",0,-1.85972386246779,0.469,0.876,0
"RYR2",0,2.75158903732298,0.611,0.067,0
"MYT1L",0,2.53273678586657,0.674,0.067,0
"NCKAP5",0,-1.56703025730643,0.38,0.822,0
"ZNF385B",0,1.94128948507835,0.469,0.042,0
"RPL32",0,2.28398479801464,0.582,0.155,0
"ZBTB20",0,-1.84026167701935,0.449,0.933,0
"CCSER1",0,2.39132368553566,0.718,0.152,0
"SEMA5A",0,-2.37014053621126,0.207,0.731,0
"FBXL7",0,-1.84757906757288,0.253,0.757,0
"TENM2",0,2.40592046507542,0.665,0.204,0
"KHDRBS2",0,2.5428044961641,0.612,0.061,0
"KCNQ5",0,2.04825280276219,0.559,0.109,0
"NKAIN2",0,1.55677750374092,0.671,0.14,0
"QKI",0,-1.9980177985435,0.641,0.97,0
"PCLO",0,2.22419845400817,0.659,0.163,0
"PTN",0,-1.80809967851498,0.213,0.717,0
"CNTNAP2",0,2.73761868673735,0.785,0.183,0
"DLGAP2",0,2.62912472778267,0.633,0.065,0
"NRG1",0,2.61426459973413,0.461,0.049,0
"PREX2",0,-1.95661693485547,0.175,0.691,0
"STMN2",0,2.16247797809905,0.522,0.05,0
"CACNA1B",0,2.21264610163759,0.597,0.104,0
"TCF7L2",0,-1.44466285037324,0.203,0.709,0
"DOCK1",0,-1.48577867811684,0.129,0.702,0
"MAML2",0,-1.74190609208417,0.354,0.877,0
"ITPR2",0,-1.50351132026197,0.281,0.821,0
"SYT1",0,2.69365196410236,0.751,0.186,0
"MTUS2",0,1.77742496346085,0.487,0.047,0
"MEG3",0,2.59983618740041,0.738,0.317,0
"SNHG14",0,1.71115757182765,0.874,0.798,0
"RBFOX1",0,2.59989266999444,0.837,0.332,0
"PLCG2",0,-1.98162423988069,0.408,0.903,0
"KANSL1",0,-1.19217264922818,0.526,0.89,0
"ARL17B",0,-1.47256134010731,0.097,0.634,0
"CELF4",0,2.1542448061078,0.6,0.11,0
"MIAT",0,2.44308717585223,0.578,0.092,0
"FRMPD4",0,2.07110573200269,0.576,0.055,0
"XIST",0,3.40142462192829,0.817,0.001,0
"USP9Y",0,-1.641809778644,0.005,0.601,0
"UTY",0,-2.36683506732204,0.003,0.784,0
"NLGN4Y",0,-2.61611644329946,0.004,0.678,0
"TTTY14",0,-2.21506477065791,0.008,0.667,0
"TENM3",2.30537518890488e-307,1.87018794246104,0.501,0.075,8.43790372891077e-303
"HCN1",3.52489996549847e-307,1.61157583994891,0.471,0.049,1.29014863637209e-302
"GABRB2",4.71942574669623e-306,1.61909616597223,0.512,0.075,1.72735701754829e-301
