"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","logp"
"MA0790.1","MA0790.1",64,5021,25.0980392156863,12.5525,1.99944546629646,3.38953391614243e-08,"POU4F1",2.52859230144225e-05,7.4698600161225
"MA1513.1","MA1513.1",59,4837,23.1372549019608,12.0925,1.91335579094156,6.13199343295497e-07,"KLF15",0.000176604648224149,6.21239831892414
"MA0732.1","MA0732.1",41,2830,16.078431372549,7.075,2.27256980530728,7.10206360150732e-07,"EGR3",0.000176604648224149,6.14861544275533
"MA0162.4","MA0162.4",54,4321,21.1764705882353,10.8025,1.9603305335094,1.00366373804392e-06,"EGR1",0.000187183287145191,5.99841176644691
"MA0791.1","MA0791.1",57,4768,22.3529411764706,11.92,1.8752467429925,1.90518980316924e-06,"POU4F3",0.00028425431863285,5.72006175155641
"MA1102.2","MA1102.2",56,4687,21.9607843137255,11.7175,1.87418684136765,2.44959014555157e-06,"CTCFL",0.000286730765884769,5.6109065737642
"MA0149.1","MA0149.1",103,10834,40.3921568627451,27.085,1.49131094195108,2.69050316513858e-06,"EWSR1-FLI1",0.000286730765884769,5.57016649270821
"MA1650.1","MA1650.1",33,2292,12.9411764705882,5.73,2.25849502104507,1.11545554482342e-05,"ZBTB14",0.000929476749356025,4.95254773333406
"MA0810.1","MA0810.1",37,2743,14.5098039215686,6.8575,2.11590286862102,1.32701672434508e-05,"TFAP2A(var.2)",0.000929476749356025,4.877123603703
"MA1564.1","MA1564.1",57,5084,22.3529411764706,12.71,1.75868931364836,1.34284585941531e-05,"SP9",0.000929476749356025,4.87197383561666
"MA0006.1","MA0006.1",58,5211,22.7450980392157,13.0275,1.74592961344968,1.37054212371532e-05,"Ahr::Arnt",0.000929476749356025,4.86310761184577
"MA0039.4","MA0039.4",79,7979,30.9803921568627,19.9475,1.5530964861192,1.8608819259929e-05,"KLF4",0.00114582370729605,4.73028118222471
"MA1541.1","MA1541.1",34,2474,13.3333333333333,6.185,2.15575316626246,2.11958299409685e-05,"NR6A1",0.00114582370729605,4.67374957358851
"MA0003.4","MA0003.4",50,4311,19.6078431372549,10.7775,1.81933130477893,2.15033939707034e-05,"TFAP2A",0.00114582370729605,4.6674929881579
"MA0753.2","MA0753.2",49,4209,19.2156862745098,10.5225,1.82615217624232,2.4028413282038e-05,"ZNF740",0.00119501308722669,4.61927490691592
"MA0508.3","MA0508.3",76,7692,29.8039215686275,19.23,1.54986591620528,3.13111134923155e-05,"PRDM1",0.00145988066657921,4.50430148763797
"MA0142.1","MA0142.1",64,6145,25.0980392156863,15.3625,1.63372102299016,3.5287798954926e-05,"Pou5f1::Sox2",0.00154453242033977,4.45237542952728
