"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","logp"
"MA0762.1","MA0762.1",18,1510,10.6508875739645,3.775,2.82142717191113,7.71886482248915e-05,"ETV2",0.057582731575769,4.11244656463562
"MA0598.3","MA0598.3",38,4980,22.4852071005917,12.45,1.80604073097122,0.000196491044921335,"EHF",0.0732911597556579,3.70665723780699
"MA0627.2","MA0627.2",56,8722,33.1360946745562,21.805,1.51965579796176,0.00043784439437701,"POU2F3",0.0843780434058561,3.35868020609497
"MA1597.1","MA1597.1",28,3495,16.5680473372781,8.7375,1.89619998137661,0.000753204147946076,"ZNF528",0.0843780434058561,3.12308729695977
"MA0048.2","MA0048.2",22,2475,13.0177514792899,6.1875,2.10387902695595,0.000783294900222224,"NHLH1",0.0843780434058561,3.106074700998
"MA0508.3","MA0508.3",47,7125,27.810650887574,17.8125,1.56129969895152,0.000860622037315992,"PRDM1",0.0843780434058561,3.06518753745147
"MA0816.1","MA0816.1",29,3726,17.1597633136095,9.315,1.84216460693607,0.00094625450394531,"Ascl2",0.0843780434058561,3.023992040349
"MA0894.1","MA0894.1",18,1862,10.6508875739645,4.655,2.28805318452513,0.000949277235233944,"HESX1",0.0843780434058561,3.02260693388568
"MA0797.1","MA0797.1",21,2359,12.4260355029586,5.8975,2.10700050919179,0.00101796567111623,"TGIF2",0.0843780434058561,2.99226686747684
"MA0909.2","MA0909.2",23,2717,13.6094674556213,6.7925,2.00360212817391,0.00113943028769544,"HOXD13",0.08500149946208,2.9433122405541
"MA0640.2","MA0640.2",35,4950,20.7100591715976,12.375,1.6735401350786,0.00146757785832538,"ELF3",0.096173868326275,2.83339884916442
"MA0136.2","MA0136.2",19,2108,11.2426035502959,5.27,2.13332135679238,0.00154703273447091,"ELF5",0.096173868326275,2.8105004967404
"MA1521.1","MA1521.1",15,1491,8.87573964497041,3.7275,2.38115081018656,0.00172849481076501,"MAFA",0.0991890099100536,2.76233191994541
"MA0796.1","MA0796.1",20,2329,11.8343195266272,5.8225,2.03251516129278,0.00205610734158523,"TGIF1",0.10232813364413,2.68695421621312
"MA1635.1","MA1635.1",21,2511,12.4260355029586,6.2775,1.97945607374888,0.00218272644261255,"BHLHE22(var.2)",0.10232813364413,2.6610006902681
"MA0831.2","MA0831.2",15,1537,8.87573964497041,3.8425,2.30988670005736,0.0023119310628902,"TFE3",0.10232813364413,2.63602511984179
"MA1100.2","MA1100.2",23,2882,13.6094674556213,7.205,1.88889208266777,0.00243694584879949,"ASCL1",0.10232813364413,2.61315412113487
"MA0783.1","MA0783.1",23,2885,13.6094674556213,7.2125,1.88692789679325,0.00246904343913449,"PKNOX2",0.10232813364413,2.60747126923759
"MA0599.1","MA0599.1",36,5343,21.301775147929,13.3575,1.59474266501434,0.00285568272849556,"KLF5",0.107814139703024,2.54429004511634
"MA0895.1","MA0895.1",13,1264,7.69230769230769,3.16,2.43427458617332,0.00289045950946446,"HMBOX1",0.107814139703024,2.53903310999041
"MA0499.2","MA0499.2",24,3129,14.2011834319527,7.8225,1.81542773179325,0.00326196084922699,"MYOD1",0.11101034161249,2.48652125576255
"MA0793.1","MA0793.1",23,2955,13.6094674556213,7.3875,1.84222909720762,0.00332707042383765,"POU6F2",0.11101034161249,2.47793800635679
"MA0500.2","MA0500.2",21,2609,12.4260355029586,6.5225,1.90510318174911,0.00342257085400437,"MYOG",0.11101034161249,2.46564755234383
"MA0062.3","MA0062.3",33,4851,19.5266272189349,12.1275,1.61011150022139,0.00378907778401901,"GABPA",0.113210759770955,2.42146647922659
"MA1522.1","MA1522.1",31,4483,18.3431952662722,11.2075,1.63668929433613,0.00398858045946924,"MAZ",0.113210759770955,2.39918164273747
"MA1620.1","MA1620.1",21,2649,12.4260355029586,6.6225,1.87633605178688,0.00407652587001234,"Ptf1a(var.3)",0.113210759770955,2.38970979725803
"MA0802.1","MA0802.1",22,2841,13.0177514792899,7.1025,1.83284075737979,0.00434056477592094,"TBR1",0.113210759770955,2.36245375825064
"MA0162.4","MA0162.4",22,2851,13.0177514792899,7.1275,1.8264119928853,0.00452271150870616,"EGR1",0.113210759770955,2.34460111381784
"MA1631.1","MA1631.1",25,3395,14.792899408284,8.4875,1.74290420127058,0.00453082274323289,"ASCL1(var.2)",0.113210759770955,2.3438229281412
"MA0606.1","MA0606.1",46,7519,27.2189349112426,18.7975,1.4480082410556,0.00461864709961998,"NFAT5",0.113210759770955,2.33548521994501
"MA0081.2","MA0081.2",46,7532,27.2189349112426,18.83,1.44550902343296,0.00477432188941181,"SPIB",0.113210759770955,2.32108830378702
"MA1627.1","MA1627.1",33,4930,19.5266272189349,12.325,1.58431052486287,0.00485622562020184,"Wt1",0.113210759770955,2.31370114414606
"MA1115.1","MA1115.1",46,7553,27.2189349112426,18.8825,1.44148999927142,0.00503536920674871,"POU5F1",0.113829861461653,2.29796868030896
"MA0663.1","MA0663.1",9,768,5.32544378698225,1.92,2.77366863905326,0.00558426699573012,"MLX",0.122525387612196,2.25303382534188
"MA1520.1","MA1520.1",15,1699,8.87573964497041,4.2475,2.08963852736208,0.00581145379325925,"MAF",0.123866986564897,2.23571521091235
"MA1621.1","MA1621.1",20,2569,11.8343195266272,6.4225,1.8426344144223,0.00614077254266002,"Rbpjl",0.127250453245121,2.21177698880853
"MA0618.1","MA0618.1",20,2586,11.8343195266272,6.465,1.83052119514729,0.00658871119523512,"LBX1",0.13183878413865,2.18119952858308
"MA0871.2","MA0871.2",10,939,5.91715976331361,2.3475,2.52062183740729,0.00684540396735488,"TFEC",0.13183878413865,2.16460091778326
"MA0676.1","MA0676.1",29,4269,17.1597633136095,10.6725,1.60784851849234,0.00689237611448705,"Nr2e1",0.13183878413865,2.16163103128359
"MA0789.1","MA0789.1",39,6256,23.0769230769231,15.64,1.4755065905961,0.00711814457422102,"POU3F4",0.132753396309222,2.14763319543462
"MA1479.1","MA1479.1",26,3720,15.3846153846154,9.3,1.65425971877585,0.00741381770383431,"DMRTC2",0.134895317245376,2.12995809691344
"MA1112.2","MA1112.2",28,4124,16.5680473372781,10.31,1.6069881025488,0.00799869693430348,"NR4A1",0.139505274836918,2.09698075805
"MA0161.2","MA0161.2",30,4512,17.7514792899408,11.28,1.57371270300894,0.00804118876405825,"NFIC",0.139505274836918,2.09467974285511
"MA0004.1","MA0004.1",20,2667,11.8343195266272,6.6675,1.77492606323618,0.00910722358311491,"Arnt",0.154330379985471,2.04061400132675
"MA0792.1","MA0792.1",39,6368,23.0769230769231,15.92,1.44955546965597,0.00949852551972634,"POU5F1B",0.154330379985471,2.02234380611602
"MA1154.1","MA1154.1",19,2498,11.2426035502959,6.245,1.80025677346611,0.0095163505084875,"ZNF282",0.154330379985471,2.02152957030243
"MA1124.1","MA1124.1",35,5569,20.7100591715976,13.9225,1.48752445118317,0.00977060886750041,"ZNF24",0.155082430109687,2.01007837184352
"MA0690.1","MA0690.1",21,2879,12.4260355029586,7.1975,1.72643772184211,0.0101859909021641,"TBX21",0.158307275271133,1.99199671605909
"MA0785.1","MA0785.1",46,7868,27.2189349112426,19.67,1.38377910072408,0.0106934436602791,"POU2F1",0.159941674494851,1.97088241435911
"MA0696.1","MA0696.1",14,1670,8.28402366863905,4.175,1.98419728590157,0.0116383944035197,"ZIC1",0.159941674494851,1.93410692946174
"MA0100.3","MA0100.3",17,2194,10.0591715976331,5.485,1.83394195034332,0.0117938699784441,"MYB",0.159941674494851,1.92834366441267
"MA1515.1","MA1515.1",26,3865,15.3846153846154,9.6625,1.59219822867947,0.0118391838650654,"KLF2",0.159941674494851,1.92667823470052
"MA0147.3","MA0147.3",10,1021,5.91715976331361,2.5525,2.3181820816116,0.0118587843340984,"MYC",0.159941674494851,1.92595982902006
"MA1599.1","MA1599.1",18,2378,10.6508875739645,5.945,1.79157066004449,0.0120572964424783,"ZNF682",0.159941674494851,1.91875006132851
"MA0630.1","MA0630.1",18,2386,10.6508875739645,5.965,1.78556371734526,0.0124438948108011,"SHOX",0.159941674494851,1.90504366867244
"MA0717.1","MA0717.1",18,2386,10.6508875739645,5.965,1.78556371734526,0.0124438948108011,"RAX2",0.159941674494851,1.90504366867244
"MA0720.1","MA0720.1",18,2386,10.6508875739645,5.965,1.78556371734526,0.0124438948108011,"Shox2",0.159941674494851,1.90504366867244
