"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LRRTM4",0,-1.56118133201714,0.463,0.827,0
"GRID2",0,1.77345143886786,0.853,0.603,0
"TSIX",0,1.4418842907065,0.54,0.002,0
"XIST",0,3.81026999345771,0.947,0.003,0
"PCDH11Y",0,-2.35244540350579,0.087,0.638,0
"USP9Y",0,-1.76368592536233,0.001,0.638,0
"UTY",0,-1.31703391333544,0.001,0.478,0
"NLGN4Y",0,-2.22802387113671,0.002,0.724,0
"TTTY14",0,-2.17216915203783,0.007,0.722,0
"PCDH17",3.26832514505733e-292,1.32839185649698,0.574,0.153,1.19623968634243e-287
"MEF2C",4.04366486309821e-282,-0.892089288814775,0.903,0.963,1.48002177654258e-277
"SDK1",1.86402085212858e-267,1.2063294290208,0.831,0.73,6.82250272087582e-263
"PDE4D",1.60771344396041e-231,0.632077706482614,0.974,0.979,5.8843919762395e-227
"FABP7",2.51142741273133e-228,-0.935213834521635,0.185,0.513,9.19207547333796e-224
"ZNF804A",2.35527996134171e-216,-1.11583982606114,0.58,0.798,8.62056018650678e-212
"KDM5D",2.12431389973801e-213,-0.482786518687685,0,0.203,7.7752013044311e-209
"EEF1A1",5.62215509691149e-207,-0.807152462984528,0.644,0.835,2.05776498702057e-202
"RPS4Y1",2.63934795259556e-188,-0.457086130710621,0,0.181,9.66027744129503e-184
"DIAPH3",8.36505671872223e-171,0.758512331315214,0.286,0.025,3.06169440961952e-166
"PWRN1",4.52413063222463e-168,-0.867819180213916,0.302,0.591,1.65587705270054e-163
"RCAN2",2.05754210911551e-163,0.73385747757894,0.376,0.083,7.53080987357366e-159
"DDX3Y",1.32641420345199e-158,-0.36898566840697,0,0.153,4.85480862605462e-154
"DLG2",3.75334812797583e-157,-0.480460362664556,0.955,0.978,1.37376294832043e-152
"LDB2",2.54687052380562e-153,0.91383404591516,0.763,0.667,9.32180080418096e-149
"CADPS2",6.69866276004819e-146,-0.651941007612008,0.07,0.292,2.45177755680524e-141
"CBLN2",4.24745851639128e-140,0.723815743781786,0.307,0.06,1.55461229158437e-135
"NRXN3",2.30305226915404e-135,0.597121389948709,0.688,0.313,8.4294016103307e-131
"NR3C2",3.97364569608423e-135,-0.674508384472203,0.103,0.344,1.45439406122379e-130
"ZFY",5.22164692775289e-131,-0.376930194709327,0.002,0.132,1.91117499202684e-126
"EPHA6",4.71218195605402e-130,1.16654586866215,0.645,0.447,1.72470571773533e-125
"CPNE8",1.0206863219485e-128,0.891824124086474,0.345,0.097,3.73581400696371e-124
