"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","logp"
"MA1653.1","MA1653.1",58,6255,28.1553398058252,15.6375,1.80050134649562,3.45497617894833e-06,"ZNF148",0.000914787518619796,5.46155494261307
"MA0039.4","MA0039.4",57,6121,27.6699029126214,15.3025,1.80819492975797,3.80653965774892e-06,"KLF4",0.000914787518619796,5.41946964122814
"MA1630.1","MA1630.1",44,4242,21.3592233009709,10.605,2.01407103262337,4.75134107994788e-06,"Znf281",0.000914787518619796,5.32318379218186
"MA1522.1","MA1522.1",50,5117,24.2718446601942,12.7925,1.89734959235444,4.90502690948952e-06,"MAZ",0.000914787518619796,5.30935860569265
"MA0151.1","MA0151.1",116,16722,56.3106796116505,41.805,1.34698432272815,1.84211674638033e-05,"Arid3a",0.00274843818559946,4.73468284932806
"MA1627.1","MA1627.1",51,5617,24.7572815533981,14.0425,1.763025212989,2.9511963918473e-05,"Wt1",0.00366932084719681,4.5300018887523
"MA0599.1","MA0599.1",53,5995,25.7281553398058,14.9875,1.71664089006211,4.0696360021622e-05,"KLF5",0.0040492362503448,4.39044443335999
"MA1564.1","MA1564.1",39,3915,18.9320388349515,9.7875,1.93430792694268,4.56505599794753e-05,"SP9",0.0040492362503448,4.34055389075828
"MA0092.1","MA0092.1",34,3219,16.504854368932,8.0475,2.05092940278745,4.8851375674401e-05,"Hand1::Tcf3",0.0040492362503448,4.3111232018656
"MA1600.1","MA1600.1",30,2690,14.5631067961165,6.725,2.16551773919948,5.45889528076788e-05,"ZNF684",0.00407233587945284,4.26289523678414
"MA0753.2","MA0753.2",36,3538,17.4757281553398,8.845,1.97577480557827,6.13600526682952e-05,"ZNF740",0.00416132720823166,4.212114276283
"MA0149.1","MA0149.1",69,8731,33.495145631068,21.8275,1.53453879881196,7.36966729904315e-05,"EWSR1-FLI1",0.00458147650423849,4.13255211776525
"MA0741.1","MA0741.1",42,4646,20.3883495145631,11.615,1.7553464928595,0.000196968165671729,"KLF16",0.0113029424300854,3.70560395957593
"MA1625.1","MA1625.1",45,5214,21.8446601941748,13.035,1.67584658183159,0.00031562551111041,"Stat5b",0.0168183308063118,3.50082790125884
"MA0498.2","MA0498.2",35,3734,16.9902912621359,9.335,1.82006333820417,0.000380950309382517,"MEIS1",0.0175359362070628,3.41913166938572
"MA1651.1","MA1651.1",34,3591,16.504854368932,8.9775,1.83846887985876,0.000389526679596982,"ZFP42",0.0175359362070628,3.4094627911238
"MA1418.1","MA1418.1",51,6244,24.7572815533981,15.61,1.58598856844318,0.000431646625513115,"IRF3",0.0175359362070628,3.3648716499266
"MA0748.2","MA0748.2",16,1178,7.76699029126214,2.945,2.63734814643876,0.000432912516830404,"YY2",0.0175359362070628,3.36359985721805
"MA0057.1","MA0057.1",32,3327,15.5339805825243,8.3175,1.86762615960616,0.000450516596562101,"MZF1(var.2)",0.0175359362070628,3.34628920543392
"MA0643.1","MA0643.1",20,1690,9.70873786407767,4.225,2.29792612167519,0.000498389691861629,"Esrrg",0.0175359362070628,3.30243094872029
"MA1121.1","MA1121.1",33,3494,16.0194174757282,8.735,1.83393445629401,0.000500720649496569,"TEAD2",0.0175359362070628,3.30040449812077
"MA0774.1","MA0774.1",34,3650,16.504854368932,9.125,1.80875116371858,0.000521879056769293,"MEIS2",0.0175359362070628,3.28243013121894
"MA0743.2","MA0743.2",23,2104,11.1650485436893,5.26,2.12263280298276,0.000568827812193496,"SCRT1",0.0175359362070628,3.24501917742092
"MA0069.1","MA0069.1",20,1712,9.70873786407767,4.28,2.26839669721441,0.000585473437744955,"PAX6",0.0175359362070628,3.23249280358474
"MA0700.2","MA0700.2",30,3088,14.5631067961165,7.72,1.88641279742442,0.0005876654224887,"LHX2",0.0175359362070628,3.23086986188749
"MA0471.2","MA0471.2",39,4470,18.9320388349515,11.175,1.69414217762429,0.000698852493855382,"E2F6",0.0200516907852352,3.15561448071331
"MA0775.1","MA0775.1",26,2596,12.621359223301,6.49,1.94473947970739,0.000905446644246599,"MEIS3",0.0237782215393953,3.04313713650619
"MA0697.1","MA0697.1",21,1912,10.1941747572816,4.78,2.13267254336434,0.000936397147752712,"ZIC3",0.0237782215393953,3.02853991782585
"MA1511.1","MA1511.1",32,3476,15.5339805825243,8.69,1.78756968728703,0.000943961181521981,"KLF10",0.0237782215393953,3.02504586480938
"MA1420.1","MA1420.1",20,1782,9.70873786407767,4.455,2.17929020518017,0.000956228748233056,"IRF5",0.0237782215393953,3.01943820373655
"MA1102.2","MA1102.2",33,3648,16.0194174757282,9.12,1.756515074093,0.00104838589710899,"CTCFL",0.0246606985465431,2.97947882981714
"MA0141.3","MA0141.3",20,1797,9.70873786407767,4.4925,2.16109913502007,0.00105783157304206,"ESRRB",0.0246606985465431,2.97558347475954
"MA0810.1","MA0810.1",22,2083,10.6796116504854,5.2075,2.05081356706393,0.00117169251645947,"TFAP2A(var.2)",0.0259959034658343,2.9311863438857
"MA1107.2","MA1107.2",50,6359,24.2718446601942,15.8975,1.52677116906395,0.00118479988986376,"KLF9",0.0259959034658343,2.92635499485785
"MA1120.1","MA1120.1",24,2369,11.6504854368932,5.9225,1.96715667993131,0.00123225513063194,"SOX13",0.0262646379271836,2.90929936493587
"MA1644.1","MA1644.1",23,2237,11.1650485436893,5.5925,1.99643246199183,0.00128841952550383,"NFYC",0.0266989157229404,2.88994270223615
"MA0713.1","MA0713.1",37,4323,17.9611650485437,10.8075,1.66191672898854,0.0013829940646115,"PHOX2A",0.0275698258841968,2.85917968374608
"MA1642.1","MA1642.1",60,8082,29.126213592233,20.205,1.44153494641094,0.00140436110402075,"NEUROG2(var.2)",0.0275698258841968,2.85252120750566
"MA0652.1","MA0652.1",27,2833,13.1067961165049,7.0825,1.85058893279278,0.00148741556200124,"IRF8",0.0281170669264084,2.8275676790433
"MA0744.2","MA0744.2",22,2125,10.6796116504854,5.3125,2.01027984009138,0.00150761752956613,"SCRT2",0.0281170669264084,2.82170882150793
"MA1514.1","MA1514.1",33,3746,16.0194174757282,9.365,1.71056246403931,0.00162516905101451,"KLF17",0.0295701490745567,2.78910145677487
"MA1650.1","MA1650.1",21,2032,10.1941747572816,5.08,2.0067273144255,0.00197069822499118,"ZBTB14",0.0340775557182985,2.70537987458165
"MA0870.1","MA0870.1",23,2315,11.1650485436893,5.7875,1.92916605506511,0.00200152335018323,"Sox1",0.0340775557182985,2.69863933896054
"MA0515.1","MA0515.1",37,4416,17.9611650485437,11.04,1.62691712396229,0.00200993626220527,"Sox6",0.0340775557182985,2.696817714426
"MA1111.1","MA1111.1",20,1912,9.70873786407767,4.78,2.03111670796604,0.00219308556243521,"NR2F2",0.0363564851017038,2.65894442415076
"MA0162.4","MA0162.4",31,3520,15.0485436893204,8.8,1.71006178287732,0.00228483305292701,"EGR1",0.0369669596033759,2.64114552725337
"MA0103.3","MA0103.3",26,2777,12.621359223301,6.9425,1.81798476388923,0.00232901756214299,"ZEB1",0.0369669596033759,2.63282723662074
