"cluster","n_cells","celltype","RG","IPC","ExN","InN","OPC","Oligo","Astro","Micro","Vasc"
"0",1529,"OPC",-0.002,0,-0.055,0.028,0.685,-0.472,-0.087,-0.23,-0.113
"1",1197,"Astro",0.313,0,-0.035,-0.066,-0.268,-0.654,1.261,-0.214,0.076
"10",277,"ExN",-0.261,-0.001,0.495,-0.123,-0.476,-0.556,-0.448,-0.307,-0.176
"11",260,"Vasc",0.033,-0.002,-0.05,-0.063,-0.252,-0.345,-0.232,-0.197,1.169
"12",237,"Vasc",-0.038,-0.001,0.003,-0.093,-0.263,-0.408,0.244,-0.137,0.757
"13",215,"ExN",-0.234,-0.003,0.595,-0.123,-0.44,-0.464,-0.4,-0.3,-0.169
"14",194,"ExN",-0.044,-0.001,0.099,0.016,-0.148,-0.049,-0.079,-0.056,-0.055
"15",174,"Micro",-0.022,-0.001,-0.01,-0.018,-0.04,0.023,0.128,0.446,-0.017
"16",153,"InN",-0.227,-0.002,-0.115,0.66,-0.489,-0.563,-0.474,-0.329,-0.181
"17",135,"Astro",0.052,-0.003,-0.06,-0.012,0.337,-0.624,0.492,0.246,-0.085
"18",97,"Micro",-0.068,0.055,-0.05,-0.087,-0.249,-0.052,-0.01,0.546,-0.077
"19",86,"InN",-0.175,-0.002,-0.125,0.686,-0.365,-0.506,-0.461,-0.347,-0.199
"2",1078,"Oligo",-0.013,0,-0.011,-0.06,-0.049,2.331,-0.103,-0.251,-0.098
"20",84,"Astro",0.128,-0.002,-0.057,-0.116,-0.41,-0.624,1.044,0.931,0.035
"21",78,"Oligo",-0.013,-0.001,-0.052,-0.052,0.226,0.441,-0.221,-0.242,-0.121
"22",62,"Oligo",0.177,-0.002,-0.012,-0.085,-0.252,1.58,0.773,-0.311,-0.041
"23",43,"Oligo",-0.126,-0.002,-0.036,-0.093,-0.31,1.59,0.115,1.023,-0.15
"24",38,"Oligo",-0.027,-0.001,-0.039,0.007,0.41,1.186,-0.101,-0.215,-0.138
"25",28,"InN",-0.137,-0.003,-0.096,0.105,-0.437,-0.576,-0.342,-0.316,-0.127
"26",25,"Vasc",-0.076,-0.006,-0.025,-0.052,0.029,-0.449,0.504,-0.246,0.54
"3",796,"Micro",-0.152,-0.001,-0.025,-0.067,-0.287,-0.192,0.215,1.753,-0.106
"4",638,"Astro",0.021,0,0.008,-0.002,-0.007,0.124,0.167,-0.009,-0.006
"5",459,"Oligo",0.039,0,-0.006,-0.019,-0.085,1.333,-0.042,-0.089,-0.031
"6",457,"Oligo",-0.024,0,-0.021,-0.069,-0.138,2.07,-0.076,-0.28,-0.109
"7",388,"Astro",0.315,-0.002,-0.045,-0.085,-0.334,-0.613,1.579,-0.214,0.022
"8",301,"InN",-0.205,0.001,-0.105,0.373,-0.5,-0.607,-0.46,-0.347,-0.171
"9",287,"InN",-0.176,0,-0.081,0.412,-0.423,-0.507,-0.393,-0.273,-0.146
