"cluster","n_cells","celltype","RG","IPC","ExN","InN","OPC","Oligo","Astro","Micro","Vasc"
"0",794,"ExN",-0.121,0.001,0.135,-0.031,-0.177,-0.107,-0.306,-0.07,-0.032
"1",590,"OPC",-0.12,-0.001,-0.068,0,0.606,-0.133,-0.373,-0.13,-0.069
"10",261,"Astro",0.021,0,-0.049,-0.087,-0.286,-0.103,1.045,-0.083,-0.028
"11",248,"InN",-0.303,-0.001,-0.116,0.642,-0.422,-0.216,-0.823,-0.174,-0.09
"12",224,"ExN",-0.329,-0.001,0.462,-0.183,-0.39,-0.239,-0.693,-0.139,-0.122
"13",193,"InN",-0.283,0.001,-0.121,0.305,-0.384,-0.278,-0.758,-0.182,-0.101
"14",173,"Oligo",-0.24,0.001,-0.052,-0.132,-0.105,2.655,-0.363,-0.166,-0.075
"15",166,"InN",-0.22,-0.001,-0.121,0.544,-0.365,-0.196,-0.82,-0.184,-0.092
"16",121,"Vasc",-0.08,-0.001,-0.135,-0.15,-0.305,-0.233,-0.41,-0.186,1.691
"17",108,"Astro",0.133,-0.001,-0.041,-0.097,0.128,-0.288,0.194,-0.171,-0.087
"18",108,"Micro",-0.049,-0.001,-0.084,-0.129,-0.216,-0.131,0.471,0.821,-0.056
"19",91,"Vasc",-0.119,-0.001,-0.061,-0.127,-0.348,-0.244,0.102,-0.112,1.038
"2",563,"Astro",0.29,-0.001,-0.078,-0.127,-0.415,-0.262,1.294,-0.154,0.064
"20",67,"Astro",0.232,-0.001,-0.095,-0.094,0.141,-0.225,0.787,-0.162,0.061
"21",65,"ExN",-0.344,0.006,0.714,-0.183,-0.436,-0.307,-0.801,-0.181,-0.13
"22",51,"InN",-0.278,-0.001,-0.128,0.172,-0.4,-0.283,-0.721,-0.148,-0.095
"23",36,"Vasc",-0.148,-0.001,-0.101,-0.132,0.096,-0.214,0.351,-0.165,0.736
"24",25,"Micro",-0.179,0.065,-0.102,-0.122,-0.23,0.145,-0.315,0.86,-0.11
"25",21,"Micro",-0.217,0,-0.094,-0.148,-0.336,0.038,-0.282,0.478,0.053
"3",562,"OPC",-0.061,-0.001,-0.1,-0.026,0.771,-0.13,-0.432,-0.167,-0.085
"4",504,"Micro",-0.267,-0.001,-0.086,-0.123,-0.307,-0.027,0.356,1.527,-0.116
"5",361,"Astro",0.583,-0.001,-0.096,-0.119,-0.349,-0.259,1.116,-0.148,0.124
"6",304,"Astro",0.053,-0.001,-0.01,-0.011,-0.02,0.17,0.296,0.035,0.005
"7",283,"ExN",-0.344,-0.001,0.693,-0.182,-0.417,-0.246,-0.79,-0.181,-0.113
"8",268,"Oligo",-0.111,-0.001,-0.075,-0.091,0.151,0.59,-0.559,-0.151,-0.078
"9",267,"InN",-0.294,0.001,-0.113,0.393,-0.383,-0.293,-0.75,-0.175,-0.096
