"cluster","n_cells","celltype","RG","IPC","ExN","InN","OPC","Oligo","Astro","Micro","Vasc"
"0",1139,"ExN",-0.022,-0.001,0.684,-0.165,-0.013,-0.005,-0.024,-0.003,-0.007
"1",951,"ExN",-0.031,0,0.697,-0.163,-0.015,-0.006,-0.035,-0.002,-0.006
"10",255,"InN",-0.006,0.004,-0.304,0.537,-0.011,0.011,-0.005,-0.001,-0.018
"11",199,"ExN",-0.034,0.001,0.528,-0.107,-0.015,-0.002,-0.033,-0.008,-0.005
"12",160,"ExN",-0.045,-0.001,0.268,-0.152,-0.016,-0.005,-0.034,-0.01,-0.007
"13",122,"Astro",0.472,-0.002,0.025,-0.077,0.019,0.025,0.889,-0.017,0.066
"14",99,"ExN",-0.034,-0.001,0.592,-0.123,-0.01,-0.003,-0.023,-0.002,0.001
"15",92,"OPC",0.16,0.001,-0.062,-0.055,0.621,0.092,0.196,0.182,-0.011
"16",89,"ExN",-0.033,0.001,0.32,-0.195,-0.024,-0.005,-0.046,-0.013,-0.016
"17",49,"Vasc",0.144,-0.003,-0.129,-0.139,0.142,-0.018,0.701,-0.029,0.745
"2",855,"ExN",-0.03,-0.001,0.729,-0.155,-0.014,-0.003,-0.029,-0.003,-0.006
"3",737,"ExN",-0.023,-0.001,0.688,-0.156,-0.011,-0.003,-0.007,-0.004,-0.006
"4",634,"ExN",-0.001,0.002,0.542,-0.014,-0.003,0.001,0.01,0.001,-0.004
"5",532,"InN",0.046,-0.001,-0.221,0.564,-0.008,0.029,-0.006,0.002,-0.007
"6",479,"ExN",-0.016,-0.001,0.797,-0.136,-0.009,-0.004,0.011,-0.004,-0.005
"7",396,"ExN",-0.017,0.001,0.608,0.048,-0.016,0,-0.026,-0.004,-0.014
"8",394,"InN",0.078,-0.001,-0.235,0.319,-0.009,0.006,-0.021,-0.006,-0.009
"9",361,"ExN",-0.037,0.003,0.19,-0.14,-0.011,-0.007,-0.031,-0.008,-0.01
