"cluster","n_cells","celltype","RG","IPC","ExN","InN","OPC","Oligo","Astro","Micro","Vasc"
"0",1142,"Micro",-0.154,0,-0.013,-0.086,-0.205,-0.174,0.334,1.212,-0.146
"1",1140,"Oligo",0.039,0.001,0,-0.001,0.013,0.15,0.088,-0.019,-0.006
"10",419,"OPC",0.009,0,-0.01,0.023,0.137,-0.116,0.108,-0.033,-0.027
"11",348,"Astro",0.371,0,-0.006,-0.097,-0.274,-0.428,1.678,-0.314,0.01
"12",340,"Vasc",0.047,-0.001,-0.027,-0.052,-0.214,-0.273,-0.243,-0.19,1.107
"13",306,"Vasc",-0.021,-0.001,0.042,-0.085,-0.207,-0.303,0.17,-0.155,0.602
"14",245,"Astro",-0.063,-0.001,-0.016,-0.063,0.072,-0.262,0.388,-0.178,0.275
"15",175,"ExN",-0.163,-0.002,0.435,-0.086,-0.273,-0.407,-0.382,-0.331,-0.196
"16",118,"Astro",0.13,-0.002,0.002,-0.114,-0.285,-0.422,0.935,0.638,-0.109
"17",113,"Astro",0.075,0.001,-0.024,-0.019,0.288,-0.116,0.499,-0.05,-0.105
"18",107,"Oligo",0.053,-0.001,-0.022,0.003,0.372,0.824,-0.252,-0.267,-0.13
"19",83,"Micro",-0.079,0.016,-0.024,-0.074,-0.19,-0.068,-0.057,0.442,-0.114
"2",884,"Oligo",0.046,-0.001,-0.002,0.002,0.002,0.618,-0.017,-0.058,-0.02
"20",25,"InN",-0.185,-0.001,-0.061,0.22,-0.295,-0.486,-0.545,-0.316,-0.211
"3",884,"OPC",-0.02,-0.001,-0.037,0.09,0.815,-0.359,-0.189,-0.32,-0.141
"4",879,"Astro",0.218,-0.001,-0.004,-0.079,-0.219,-0.447,1.184,-0.297,-0.032
"5",808,"Astro",0.118,0.002,-0.003,-0.036,-0.118,-0.19,1.029,-0.119,-0.033
"6",593,"InN",-0.096,0,-0.022,0.298,-0.176,-0.304,-0.251,-0.229,-0.119
"7",589,"Oligo",0.017,-0.001,-0.008,-0.063,0.009,1.848,-0.127,-0.236,-0.117
"8",487,"Micro",-0.027,-0.001,-0.004,-0.019,-0.042,-0.016,0.21,0.369,-0.043
"9",475,"InN",-0.116,0,-0.032,0.298,-0.254,-0.431,-0.414,-0.333,-0.149
