"cluster","n_cells","celltype","RG","IPC","ExN","InN","OPC","Oligo","Astro","Micro","Vasc"
"0",1564,"Oligo",0.011,0,0.001,-0.001,0.001,0.164,0.028,-0.01,-0.001
"1",1321,"Oligo",0.022,0,-0.024,-0.031,0.019,0.836,-0.019,-0.036,-0.008
"10",354,"InN",-0.068,-0.001,-0.204,0.366,-0.178,-0.658,-0.474,-0.199,-0.037
"11",308,"ExN",-0.163,0.005,0.439,-0.185,-0.257,-0.661,-0.507,-0.196,-0.017
"12",257,"InN",-0.12,-0.001,-0.192,0.653,-0.236,-0.707,-0.48,-0.189,-0.03
"13",249,"ExN",-0.036,0,0.079,0.013,-0.055,-0.17,-0.156,-0.05,-0.012
"14",139,"ExN",-0.153,-0.001,0.481,-0.165,-0.237,-0.7,-0.455,-0.195,-0.036
"15",110,"Vasc",-0.052,0,-0.07,-0.109,-0.003,-0.24,0.441,-0.07,0.575
"16",97,"ExN",-0.124,0,0.319,-0.171,-0.202,-0.655,-0.388,-0.156,-0.033
"17",64,"ExN",-0.172,0.005,0.405,-0.192,-0.256,-0.768,-0.503,-0.198,-0.042
"18",49,"InN",-0.087,-0.001,-0.176,0.09,-0.171,-0.74,-0.457,-0.183,-0.038
"19",45,"InN",-0.028,-0.001,-0.219,0.646,-0.113,-0.627,-0.434,-0.194,-0.061
"2",1178,"Oligo",0.031,0,-0.077,-0.119,0.154,1.8,-0.071,-0.097,-0.021
"20",42,"Vasc",0.041,0,-0.107,-0.093,-0.067,-0.185,-0.131,-0.115,1.041
"3",764,"OPC",0.029,0,-0.099,-0.005,0.69,-0.35,-0.106,-0.077,-0.013
"4",735,"Micro",-0.074,0,-0.064,-0.065,-0.079,-0.167,0.063,1.19,-0.015
"5",520,"Astro",0.202,0,-0.064,-0.106,-0.08,-0.121,1.312,-0.023,0.071
"6",504,"ExN",-0.146,0,0.499,-0.172,-0.237,-0.697,-0.467,-0.194,-0.021
"7",468,"ExN",-0.151,0.001,0.367,-0.17,-0.237,-0.66,-0.444,-0.181,-0.031
"8",377,"Astro",0.239,-0.001,-0.124,-0.158,-0.146,-0.452,2.295,-0.175,-0.01
"9",369,"InN",-0.087,-0.001,-0.167,0.46,-0.187,-0.606,-0.361,-0.147,-0.024
