"cluster","n_cells","celltype","RG","IPC","ExN","InN","OPC","Oligo","Astro","Micro","Vasc"
"0",1530,"OPC",-0.002,0,-0.055,0.028,0.685,-0.472,-0.087,-0.23,-0.113
"1",1201,"Astro",0.312,0,-0.035,-0.066,-0.268,-0.653,1.261,-0.213,0.076
"10",278,"ExN",-0.26,-0.001,0.495,-0.123,-0.473,-0.547,-0.446,-0.307,-0.175
"11",260,"Vasc",0.033,-0.002,-0.05,-0.063,-0.252,-0.345,-0.232,-0.197,1.169
"12",249,"ExN",-0.064,-0.001,0.156,-0.009,-0.19,-0.138,-0.097,-0.074,-0.073
"13",237,"Vasc",-0.038,-0.001,0.003,-0.093,-0.263,-0.408,0.244,-0.137,0.757
"14",181,"Micro",-0.022,-0.001,-0.01,-0.018,-0.04,0.02,0.13,0.427,-0.016
"15",155,"ExN",-0.274,-0.003,0.687,-0.134,-0.491,-0.532,-0.496,-0.345,-0.184
"16",153,"InN",-0.227,-0.002,-0.115,0.66,-0.489,-0.563,-0.474,-0.329,-0.181
"17",135,"Astro",0.052,-0.003,-0.059,-0.011,0.343,-0.624,0.495,0.232,-0.084
"18",98,"Micro",-0.076,0.054,-0.048,-0.088,-0.253,-0.006,-0.025,0.542,-0.076
"19",86,"InN",-0.175,-0.002,-0.125,0.686,-0.365,-0.506,-0.461,-0.347,-0.199
"2",1061,"Oligo",-0.013,0,-0.01,-0.059,-0.045,2.334,-0.103,-0.253,-0.098
"20",84,"Astro",0.128,-0.002,-0.057,-0.116,-0.41,-0.624,1.044,0.931,0.035
"21",77,"Oligo",-0.017,-0.001,-0.052,-0.052,0.227,0.444,-0.219,-0.243,-0.122
"22",62,"Oligo",0.177,-0.002,-0.012,-0.085,-0.252,1.58,0.773,-0.311,-0.041
"23",43,"Oligo",-0.126,-0.002,-0.036,-0.093,-0.31,1.59,0.115,1.023,-0.15
"24",38,"Oligo",-0.027,-0.001,-0.039,0.007,0.41,1.186,-0.101,-0.215,-0.138
"25",28,"InN",-0.137,-0.003,-0.096,0.105,-0.437,-0.576,-0.342,-0.316,-0.127
"26",25,"Vasc",-0.076,-0.006,-0.025,-0.052,0.029,-0.449,0.504,-0.246,0.54
"3",796,"Micro",-0.152,-0.001,-0.025,-0.067,-0.287,-0.192,0.215,1.753,-0.106
"4",557,"Oligo",0.019,0,0.01,0.001,0.003,0.13,0.097,-0.005,-0.007
"5",493,"Oligo",0.034,0,-0.006,-0.019,-0.081,1.301,-0.048,-0.085,-0.031
"6",467,"Oligo",-0.023,0,-0.022,-0.069,-0.14,2.079,-0.073,-0.278,-0.11
"7",433,"Astro",0.29,-0.002,-0.04,-0.08,-0.314,-0.567,1.529,-0.198,0.019
"8",302,"InN",-0.204,0.001,-0.105,0.372,-0.5,-0.606,-0.459,-0.346,-0.171
"9",287,"InN",-0.176,0,-0.081,0.412,-0.423,-0.507,-0.393,-0.273,-0.146
