"cluster","n_cells","celltype","RG","IPC","ExN","InN","OPC","Oligo","Astro","Micro","Vasc"
"0",986,"ExN",-0.019,-0.001,0.675,-0.159,-0.011,-0.003,-0.007,-0.004,-0.007
"1",925,"ExN",-0.031,0,0.698,-0.163,-0.015,-0.005,-0.035,-0.002,-0.007
"10",203,"InN",0.069,0,-0.215,0.484,-0.007,0.011,-0.013,0.005,-0.006
"11",198,"ExN",-0.034,0.001,0.533,-0.109,-0.015,-0.002,-0.033,-0.008,-0.005
"12",162,"ExN",-0.045,-0.001,0.265,-0.15,-0.016,-0.005,-0.034,-0.009,-0.007
"13",122,"Astro",0.472,-0.002,0.025,-0.077,0.019,0.025,0.889,-0.017,0.066
"14",100,"ExN",-0.034,-0.001,0.588,-0.124,-0.01,-0.003,-0.024,-0.002,0.001
"15",92,"OPC",0.16,0.001,-0.062,-0.055,0.621,0.092,0.196,0.182,-0.011
"16",89,"ExN",-0.033,0.001,0.32,-0.195,-0.024,-0.005,-0.046,-0.013,-0.016
"17",49,"Vasc",0.144,-0.003,-0.129,-0.139,0.142,-0.018,0.701,-0.029,0.745
"2",900,"ExN",-0.026,-0.001,0.694,-0.165,-0.013,-0.006,-0.029,-0.003,-0.006
"3",864,"ExN",-0.03,-0.001,0.729,-0.155,-0.014,-0.003,-0.029,-0.003,-0.005
"4",634,"ExN",-0.001,0.002,0.542,-0.014,-0.003,0.001,0.01,0.001,-0.004
"5",586,"InN",0.015,0.001,-0.257,0.579,-0.009,0.028,-0.003,0,-0.012
"6",488,"ExN",-0.016,-0.001,0.799,-0.136,-0.009,-0.005,0.011,-0.004,-0.006
"7",397,"InN",0.078,-0.001,-0.23,0.318,-0.009,0.006,-0.021,-0.006,-0.009
"8",388,"ExN",-0.017,0.001,0.608,0.049,-0.016,0,-0.025,-0.005,-0.014
"9",360,"ExN",-0.037,0.003,0.189,-0.14,-0.011,-0.007,-0.031,-0.008,-0.01
