"celltype","n_M","n_F","mean_M","mean_F","sem_M","sem_F","wilcox_p","p_adj","star","overall"
"EN",2386,1368,1.1977833581349,1.29772902809756,0.0205098147268761,0.0217867469025893,7.03207791461385e-06,1.96898181609188e-05,"***",1.23420468911756
"VSMC",103,28,0.713063508125957,0.733063258285844,0.072678037759414,0.143696582642121,0.886157436195276,0.886157436195276,"ns",0.717338263885322
"IN-MGE",1215,658,0.735834713895422,0.634702126905616,0.0236124631200623,0.0276148925731278,0.000352187765437158,0.000821771452686702,"***",0.70030602076179
"IN-CGE",815,456,0.555245962196179,0.439342434647646,0.0271063657328748,0.0346318827082302,0.00207440612094881,0.00414881224189762,"**",0.513662949952173
"Pericytes",263,126,0.455682686754785,0.538260070699543,0.0384617494724304,0.0540009513002033,0.39191182348358,0.498796866251828,"ns",0.482430117029951
"Endothelial",320,107,0.357078010006578,0.521601707825925,0.0344225669459724,0.0667935583215018,0.0486860934411451,0.0757339231306702,"ns",0.398305259811427
"EN-fetal-early",3,12,0.116584100979572,0.323890974986828,0.342141637897972,0.191659227101839,0.536263736263736,0.625641025641026,"ns",0.282429600185377
"IN-fetal",437,862,0.233080217328542,0.192697756455718,0.0279550956545222,0.0219398968059159,0.303620260347912,0.425068364487077,"ns",0.20628292612579
"Microglia",1942,655,0.122112191429974,0.224305452337848,0.0155980671998656,0.0289566208524765,0.00763953118856586,0.0133691795799903,"*",0.147886772059415
"RG",66,82,0.0674537162593191,0.111705685428323,0.0879949136265248,0.062553325417667,0.881933918890951,0.886157436195276,"ns",0.0919716991772806
"EN-fetal-late",2601,3780,0.00372807028880565,-0.162911942887398,0.0117564756610553,0.0100191593972193,4.05597402537647e-25,1.92621509124702e-24,"***",-0.0949867471075348
"OPC",2535,1272,-0.286969885110747,-0.0231652067424376,0.0132094104414129,0.021966586405187,4.12760376695789e-25,1.92621509124702e-24,"***",-0.198827108414007
"Astrocytes",2652,1505,-0.635278214162265,-0.146441943724447,0.0151476180077536,0.0227997206159784,1.92456126282939e-63,2.69438576796115e-62,"***",-0.458299963739144
"Oligodendrocytes",2720,1799,-0.902771140489793,-0.75878585494533,0.0135226754467201,0.018206943696276,5.33367179619303e-10,1.86678512866756e-09,"***",-0.845451041199134
