"celltype","n_M","n_F","mean_M","mean_F","sem_M","sem_F","wilcox_p","p_adj","star","overall"
"EN",2450,1645,1.20058647287505,1.28515931228888,0.0200694161011752,0.0206212369421295,4.18183768619576e-05,8.36367537239153e-05,"***",1.23456017759685
"IN-MGE",1476,909,0.866829371242941,0.707586196200307,0.0224785307083551,0.0239898125708166,1.25669082583248e-07,2.93227859360913e-07,"***",0.806136689434239
"VSMC",108,247,0.723233963274845,0.780901535477647,0.0704321116031397,0.0436251873774337,0.468079674811002,0.546092953946169,"ns",0.763357598018766
"IN-CGE",1026,858,0.654857379725657,0.545679151758862,0.0248482030089512,0.0241153603381841,0.00112583622521777,0.00197021339413109,"**",0.605136084823582
"Pericytes",364,309,0.564758710461598,0.495655606034739,0.0329974543873452,0.0335282361795282,0.0375424701869363,0.0583993980685676,"ns",0.533030836363679
"Endothelial",413,339,0.349296089878869,0.333129948222601,0.0314725922759375,0.0363820421063946,0.895318186827153,0.895318186827153,"ns",0.34200842761627
"EN-fetal-early",4,12,0.0815051753333693,0.288047382108685,0.244460592358452,0.186094496420263,0.446153846153846,0.546092953946169,"ns",0.236411830414856
"IN-fetal",442,862,0.230863958199073,0.192697756455718,0.0277688435608547,0.0219398968059159,0.338304694235725,0.473626571930014,"ns",0.205634459807377
"Microglia",2888,1595,0.183325061465893,0.0314606873172374,0.0124760006149634,0.0186313854320979,1.46851848477896e-12,4.11185175738108e-12,"***",0.129293458350322
"RG",67,84,0.0677353881855568,0.119256815875108,0.0866720641601237,0.0618783792469895,0.812013427764813,0.874475999131337,"ns",0.0963963148472938
"EN-fetal-late",2601,3780,0.00372807028880565,-0.163060486196291,0.0117564756610553,0.0100169447336428,3.76938731479409e-25,5.27714224071172e-24,"***",-0.0950747417333954
"OPC",2992,1894,-0.213779470936293,-0.0105884637151005,0.0125425167449342,0.0167614011272799,4.47876143574734e-23,3.13513300502314e-22,"***",-0.135014884837861
"Astrocytes",3427,2816,-0.646880099251557,-0.440701167429267,0.0130242004211875,0.0171868047639029,2.4272114264777e-18,1.13269866568959e-17,"***",-0.553879959573267
"Oligodendrocytes",2987,2472,-0.841175922790744,-0.672615005829906,0.0129832157779572,0.014803479829848,1.1949172253611e-16,4.18221028876386e-16,"***",-0.764846450959421
