"Motif","TF","Multivariate p value male","Gene expression HR male","Gene expression HR lower CI male","Gene expression HR upper CI male","Gene expression HR standard error male","Gene expression p value male","Multivariate p value female","Gene expression HR female","Gene expression HR lower CI female","Gene expression HR upper CI female","Gene expression HR standard error female","Gene expression p value female"
"Zfx","ZFX",0.0012603330704088,0.644984488269093,0.36613953266551,1.13619249765031,0.288888864406434,0.129018137501824,0.00123545081676062,1.8666769736382,1.12754170807994,3.09033617021998,0.257208832034861,0.0152382931648628
"KLF4","KLF4",0.00283235584900987,0.926035785984069,0.717948412367327,1.19443439410294,0.12985706078366,0.554020672743202,0.00148514356904684,1.33815015696294,1.04964935119485,1.70594669595289,0.123896166004761,0.0187196656450357
"KLF9","KLF9",0.000144250857119519,1.29426311768595,1.07147543283616,1.56337417216201,0.096381824233219,0.00744518820928132,0.00160642851875251,1.26307325954151,1.01064319991128,1.57855320167282,0.113757644566494,0.0400696773732459
"Zic1::Zic2","ZIC1",0.00251283617896004,1.05014249777914,0.931778028419228,1.18354289541762,0.06101465520296,0.422627729381464,0.000150636108298617,0.812248214346972,0.720207601638941,0.916051372143936,0.0613615714539588,0.000701691206411349
"KLF5","KLF5",0.00305183311993069,0.965523484250272,0.814759900472397,1.14418443776906,0.0866224875199642,0.68545420442191,0.00384389279762399,1.13020686733811,0.967828587930979,1.31982830318019,0.079134602269742,0.121925862990411
"TCF7L1","TCF7L1",0.00180293327221426,1.14393146129767,0.920592306595055,1.4214535346125,0.110822946749779,0.224982387941866,0.000876298777128899,0.74425593504432,0.586024122608711,0.945211767704905,0.121953271942204,0.0154355316755411
"KLF10","KLF10",0.00288956543043194,1.0946316350712,0.794837185481899,1.50750171026811,0.163286614603982,0.579758596968757,0.00871039202788325,1.02831073547269,0.702918699538592,1.50433182298676,0.194101237553925,0.885635476552142
"THAP1","THAP1",0.00326136192084477,1.00399749071324,0.663769944354737,1.51861495075434,0.211131012674843,0.984924106929043,0.00655497216665701,0.833872029719286,0.553585136561861,1.25607158867507,0.209016286516592,0.384742002380596
"KLF3","KLF3",0.00101808104857304,1.44295576772488,0.952426474682369,2.18612292177712,0.211961034231634,0.0836294010399222,0.0064781829149152,1.28139535035831,0.746052043743258,2.20088405050325,0.275979315640409,0.368953442220702
"REST","REST",0.00247542148264752,0.807615396672115,0.485481019399738,1.34349769172914,0.259670975070843,0.41059534443924,0.000370509827887543,0.489249007166316,0.294826612302631,0.811882581235665,0.258415028201586,0.0056676027104956
"Wt1","WT1",0.00113890171170999,0.709589451520445,0.455695254738782,1.10494279778647,0.225954295027622,0.128936214612321,0.00135956483895307,1.34930777887773,1.05319187647177,1.72867976179149,0.12641368468489,0.0177914073329789
"KLF2","KLF2",0.00148783865167291,1.21518987221556,0.935216515165387,1.57897813136258,0.133613448796173,0.144650992950077,0.00676432084421304,1.18346677109293,0.793099175532115,1.76597535527815,0.204215525064355,0.409454262136976
"ZNF682","ZNF682",0.00184906551039088,1.41081064305913,0.810764636880012,2.45495003115617,0.282628634077452,0.223327807621163,0.00594921036877953,0.66767108772087,0.301903313867939,1.47658094794338,0.404950734567201,0.318496412754161
"SP2","SP2",0.00273219554485269,1.32417855304848,0.580981621452996,3.01807970442906,0.420328367745509,0.504113914805546,0.00693984469380665,0.639053939235357,0.20911568841549,1.95293782282274,0.569960080728606,0.432095924770991
"TFAP2A(var.3)","TFAP2A",0.00315052449145666,1.04918130295238,0.764736655709073,1.43942545220902,0.161346788196161,0.766039962069588,0.0033081043658728,1.28612586184695,0.958989407335282,1.72485714634515,0.149752619860025,0.0928922544996692
"RREB1","RREB1",0.00321069564432655,1.1180994845709,0.376643130275809,3.31918029802441,0.555156884339104,0.840636852849323,0.00877693201369303,1.02071937733596,0.235870378748481,4.41712118663322,0.747452774438248,0.978111412944044
"INSM1","INSM1",0.0032412310155547,0.992618728959295,0.885168005214298,1.11311291786041,0.058454731349279,0.899144902468768,0.0042320920640195,0.905800116770014,0.785914252094861,1.04397375331162,0.0724354981543085,0.171983475554818
"TFAP2B(var.2)","TFAP2B",0.000489039076030065,0.568736114826259,0.330249906958719,0.979442420700212,0.277335144466883,0.0418647692900155,0.00763207929007777,0.809506810560318,0.402520981681034,1.62799284053921,0.356474898511333,0.553292903416274
"KLF6","KLF6",0.00133027398450287,1.17479139170836,0.952797109918528,1.44850860657006,0.106861089648195,0.131688535557175,0.000376179626618925,1.51909631784228,1.14251734882896,2.01979744574316,0.145350426807168,0.00401979609345853
"SOX15","SOX15",0.0016487616672593,0.780694338148463,0.538142873714701,1.13256846719889,0.189829820510939,0.192173433312536,0.00816005827475294,0.916199096289918,0.61908982814743,1.35589497012793,0.199995162079548,0.661662854303026
"KLF11","KLF11",0.00315360120419423,0.957747776434851,0.716804248180047,1.27968103648222,0.147850509486462,0.770294544967387,0.00831879692907169,1.06283020981484,0.774645737301228,1.45822535450912,0.161372774720366,0.705723162828116
"Plagl1","PLAGL1",0.000662290107192599,0.807356519709662,0.650168560176445,1.00254701602428,0.110478408699026,0.0527528161355015,0.00877905833165682,1.00125891572119,0.797789359655655,1.25662169365592,0.115904579089391,0.991339272604538
"RUNX1","RUNX1",0.00317718337089398,0.853151675460809,0.253803771854341,2.86783673868846,0.618570513894585,0.797371828327105,0.0043816466254385,3.13863475370328,0.600391176907923,16.4076830174086,0.843873561601212,0.175289512627556
