"Category","TF","HR_male","CI_low_male","CI_high_male","p_male","HR_female","CI_low_female","CI_high_female","p_female","HR_all","CI_low_all","CI_high_all","p_all"
"Shared","KLF9",1.294,1.071,1.563,0.00745,1.263,1.011,1.579,0.0401,1.247,1.087,1.429,0.00161
"Shared","WT1",0.71,0.456,1.105,0.129,1.349,1.053,1.729,0.0178,1.101,0.896,1.353,0.361
"Shared","ZFX",0.645,0.366,1.136,0.129,1.867,1.128,3.09,0.0152,1.028,0.693,1.525,0.892
"Shared","KLF2",1.215,0.935,1.579,0.145,1.183,0.793,1.766,0.409,1.229,0.994,1.52,0.0567
"Shared","SP2",1.324,0.581,3.018,0.504,0.639,0.209,1.953,0.432,1.072,0.563,2.041,0.832
"Shared","KLF4",0.926,0.718,1.194,0.554,1.338,1.05,1.706,0.0187,1.158,0.973,1.377,0.0983
"Shared","KLF5",0.966,0.815,1.144,0.685,1.13,0.968,1.32,0.122,1.053,0.944,1.174,0.356
"Male-unique","EGR1",1.307,1.1,1.553,0.00236,0.98,0.793,1.211,0.85,1.115,0.976,1.273,0.108
"Male-unique","KLF15",0.401,0.188,0.855,0.018,5.493,1.824,16.539,0.00246,1.073,0.616,1.87,0.803
"Male-unique","EGR3",1.195,1.032,1.385,0.0176,0.928,0.755,1.141,0.477,1.078,0.961,1.211,0.201
"Male-unique","ZNF263",0.673,0.423,1.069,0.0937,0.678,0.381,1.21,0.189,0.732,0.521,1.028,0.0716
"Male-unique","ZNF460",2.513,0.657,9.617,0.178,0.388,0.067,2.256,0.292,0.86,0.305,2.425,0.775
"Male-unique","TCFL5",0.872,0.714,1.066,0.182,0.679,0.515,0.895,0.00607,0.782,0.668,0.915,0.00217
"Male-unique","E2F6",0.767,0.502,1.171,0.219,0.457,0.278,0.751,0.00201,0.618,0.45,0.848,0.00293
"Male-unique","ZKSCAN5",1.385,0.762,2.515,0.285,0.364,0.164,0.807,0.0129,0.73,0.469,1.136,0.163
"Male-unique","AHR",0.925,0.773,1.107,0.394,0.998,0.821,1.214,0.988,0.991,0.875,1.122,0.887
"Male-unique","ARNT",0.805,0.471,1.375,0.426,1.569,0.804,3.064,0.187,1.051,0.698,1.583,0.812
"Male-unique","ZNF281",0.844,0.557,1.278,0.423,1.354,0.887,2.067,0.16,1.063,0.802,1.409,0.672
"Male-unique","SP3",0.865,0.588,1.271,0.46,0.912,0.517,1.61,0.751,0.837,0.611,1.144,0.264
"Male-unique","SP1",0.736,0.288,1.88,0.522,3.137,1.292,7.613,0.0115,1.476,0.785,2.778,0.227
"Male-unique","NRF1",0.743,0.248,2.226,0.596,1.291,0.434,3.842,0.646,1.067,0.519,2.193,0.86
"Male-unique","MAZ",0.972,0.673,1.404,0.879,1.144,0.762,1.72,0.516,1.003,0.766,1.313,0.983
"Male-unique","ZNF148",0.982,0.653,1.475,0.929,1.579,0.919,2.715,0.0983,1.242,0.902,1.71,0.184
"Female-unique","ZIC1",1.05,0.932,1.184,0.423,0.812,0.72,0.916,0.000702,0.912,0.84,0.99,0.0269
"Female-unique","REST",0.808,0.485,1.343,0.411,0.489,0.295,0.812,0.00567,0.62,0.441,0.874,0.00625
"Female-unique","KLF6",1.175,0.953,1.449,0.132,1.519,1.143,2.02,0.00402,1.327,1.121,1.571,0.000986
"Female-unique","TCF7L1",1.144,0.921,1.421,0.225,0.744,0.586,0.945,0.0154,0.92,0.793,1.067,0.268
"Female-unique","TFAP2A",1.049,0.765,1.439,0.766,1.286,0.959,1.725,0.0929,1.19,0.976,1.452,0.0856
"Female-unique","INSM1",0.993,0.885,1.113,0.899,0.906,0.786,1.044,0.172,0.964,0.883,1.052,0.413
"Female-unique","RUNX1",0.853,0.254,2.868,0.797,3.139,0.6,16.408,0.175,1.118,0.428,2.918,0.82
"Female-unique","ZNF682",1.411,0.811,2.455,0.223,0.668,0.302,1.477,0.318,0.982,0.631,1.529,0.937
"Female-unique","KLF3",1.443,0.952,2.186,0.0836,1.281,0.746,2.201,0.369,1.155,0.837,1.593,0.382
"Female-unique","THAP1",1.004,0.664,1.519,0.985,0.834,0.554,1.256,0.385,0.935,0.714,1.225,0.626
"Female-unique","TFAP2B",0.569,0.33,0.979,0.0419,0.81,0.403,1.628,0.553,0.709,0.474,1.061,0.0948
"Female-unique","SOX15",0.781,0.538,1.133,0.192,0.916,0.619,1.356,0.662,0.86,0.667,1.108,0.243
"Female-unique","KLF11",0.958,0.717,1.28,0.77,1.063,0.775,1.458,0.706,0.984,0.799,1.211,0.877
"Female-unique","KLF10",1.095,0.795,1.508,0.58,1.028,0.703,1.504,0.886,1.024,0.807,1.3,0.843
"Female-unique","RREB1",1.118,0.377,3.319,0.841,1.021,0.236,4.417,0.978,0.944,0.397,2.247,0.897
"Female-unique","PLAGL1",0.807,0.65,1.003,0.0528,1.001,0.798,1.257,0.991,0.927,0.805,1.068,0.295
