"Geneset","Dataset","N_genes","Genes","HR","Lower95","Upper95","Pvalue"
"MaleUnique_Up","All",102,"ABCA2, ABCD1, AKAP7, AP3M2, AR, ARHGEF9, ARNT2, BMP4, BNIP3, BTD, CAPN5, CASP1, CCDC28B, CCNG2, CDC14A, CFTR, CHST3, COL1A1, COL1A2, COL2A1, CRABP1, CSAD, CTNNAL1, CXCL14, DAAM2, DGKG, DHCR7, DIXDC1, FADS1, FADS2, FAM117A, FDFT1, FGF13, GAS2, GCH1, HDAC11, IDH1, INSIG1, IQGAP2, ISG15, ITGB4, KAZALD1, KCNIP1, KCNK10, KCTD15, KHK, KIF21B, LDLR, LGALS2, LHFPL2, LPCAT3, MAGI2, MAP2K6, MATN2, MMP28, MRM1, MSMO1, MYO6, NCALD, NMI, NRXN2, NSDHL, NUDT18, NUP210, OPTN, PAPPA, PCK2, PLCB1, PLCD1, PRRX2, PRUNE2, PSCA, PSD3, PTS, RAB3D, RALGDS, RNF122, RSAD1, RUFY3, SCD, SERPINB9, SFI1, SLC25A1, SLC7A11, SPRR3, SQLE, SREBF1, SRR, ST6GAL1, STAT2, TBC1D16, TCEA2, TESK2, THSD4, TRIB3, TRPV4, VAV3, VEGFB, VLDLR, VWA5A, WWOX, ZNF365",0.86,0.305,2.423,0.775
"MaleUnique_Up","Males",102,"ABCA2, ABCD1, AKAP7, AP3M2, AR, ARHGEF9, ARNT2, BMP4, BNIP3, BTD, CAPN5, CASP1, CCDC28B, CCNG2, CDC14A, CFTR, CHST3, COL1A1, COL1A2, COL2A1, CRABP1, CSAD, CTNNAL1, CXCL14, DAAM2, DGKG, DHCR7, DIXDC1, FADS1, FADS2, FAM117A, FDFT1, FGF13, GAS2, GCH1, HDAC11, IDH1, INSIG1, IQGAP2, ISG15, ITGB4, KAZALD1, KCNIP1, KCNK10, KCTD15, KHK, KIF21B, LDLR, LGALS2, LHFPL2, LPCAT3, MAGI2, MAP2K6, MATN2, MMP28, MRM1, MSMO1, MYO6, NCALD, NMI, NRXN2, NSDHL, NUDT18, NUP210, OPTN, PAPPA, PCK2, PLCB1, PLCD1, PRRX2, PRUNE2, PSCA, PSD3, PTS, RAB3D, RALGDS, RNF122, RSAD1, RUFY3, SCD, SERPINB9, SFI1, SLC25A1, SLC7A11, SPRR3, SQLE, SREBF1, SRR, ST6GAL1, STAT2, TBC1D16, TCEA2, TESK2, THSD4, TRIB3, TRPV4, VAV3, VEGFB, VLDLR, VWA5A, WWOX, ZNF365",0.45,0.117,1.725,0.244
"MaleUnique_Up","Females",102,"ABCA2, ABCD1, AKAP7, AP3M2, AR, ARHGEF9, ARNT2, BMP4, BNIP3, BTD, CAPN5, CASP1, CCDC28B, CCNG2, CDC14A, CFTR, CHST3, COL1A1, COL1A2, COL2A1, CRABP1, CSAD, CTNNAL1, CXCL14, DAAM2, DGKG, DHCR7, DIXDC1, FADS1, FADS2, FAM117A, FDFT1, FGF13, GAS2, GCH1, HDAC11, IDH1, INSIG1, IQGAP2, ISG15, ITGB4, KAZALD1, KCNIP1, KCNK10, KCTD15, KHK, KIF21B, LDLR, LGALS2, LHFPL2, LPCAT3, MAGI2, MAP2K6, MATN2, MMP28, MRM1, MSMO1, MYO6, NCALD, NMI, NRXN2, NSDHL, NUDT18, NUP210, OPTN, PAPPA, PCK2, PLCB1, PLCD1, PRRX2, PRUNE2, PSCA, PSD3, PTS, RAB3D, RALGDS, RNF122, RSAD1, RUFY3, SCD, SERPINB9, SFI1, SLC25A1, SLC7A11, SPRR3, SQLE, SREBF1, SRR, ST6GAL1, STAT2, TBC1D16, TCEA2, TESK2, THSD4, TRIB3, TRPV4, VAV3, VEGFB, VLDLR, VWA5A, WWOX, ZNF365",1.373,0.245,7.695,0.719
"MaleUnique_Down","All",32,"BICC1, CHST11, CST6, DYRK3, FLRT2, GATA2, HAS2, HBEGF, HMOX1, IGFBP7, JAM2, KHDRBS3, MAST4, METTL4, NR4A3, NRP1, PDGFB, PLAUR, PPFIBP2, PTGS2, PTK2B, RASGRP3, RPS6KA3, RRAD, SCN5A, SLC4A4, SPHK1, TNFAIP2, TNFAIP6, TNNT2, TTC17, ZNF324",2.699,1.581,4.608,0.000273
"MaleUnique_Down","Males",32,"BICC1, CHST11, CST6, DYRK3, FLRT2, GATA2, HAS2, HBEGF, HMOX1, IGFBP7, JAM2, KHDRBS3, MAST4, METTL4, NR4A3, NRP1, PDGFB, PLAUR, PPFIBP2, PTGS2, PTK2B, RASGRP3, RPS6KA3, RRAD, SCN5A, SLC4A4, SPHK1, TNFAIP2, TNFAIP6, TNNT2, TTC17, ZNF324",2.566,1.327,4.964,0.00512
"MaleUnique_Down","Females",32,"BICC1, CHST11, CST6, DYRK3, FLRT2, GATA2, HAS2, HBEGF, HMOX1, IGFBP7, JAM2, KHDRBS3, MAST4, METTL4, NR4A3, NRP1, PDGFB, PLAUR, PPFIBP2, PTGS2, PTK2B, RASGRP3, RPS6KA3, RRAD, SCN5A, SLC4A4, SPHK1, TNFAIP2, TNFAIP6, TNNT2, TTC17, ZNF324",3.389,1.312,8.755,0.0117
"FemaleUnique_Up","All",103,"ADAMTS2, ADAMTSL4, ANGPT1, ANK2, BST2, BTG2, CACNB4, CALCOCO1, CD81, COL3A1, COL4A4, CPQ, CST3, CYB561, CYP2J2, DHX34, DKK2, EGR2, EMILIN1, EPB41, ERAP1, ETV5, FAM53B, FBXL4, FGFBP1, FGFR2, FMOD, FRMD4B, FZD8, GAS6, GDPD5, GLRX, GSN, HES1, HEY1, HTRA1, ID3, IFIT3, IGFBP2, IL7, IRF9, ITGA8, JARID2, KANK1, KAT6B, KCNN2, KDM4B, KIF13B, LAMA4, LIMS2, LMOD1, LRP5, LZTS1, MACROD1, MAN1A1, MAN1C1, MEF2C, MR1, MTSS1, MXRA8, NFATC1, NTNG1, PAM, PC, PDGFD, PDGFRL, PGM5, PIEZO2, PLCB4, PPP6R2, PRNP, PTCH1, PTGIS, PTN, PTPRE, PYGB, RAVER2, RCAN2, RIN2, ROR1, SEMA3B, SEMA3F, SESN1, SFRP1, SLC38A6, SLIT3, SNED1, SOCS1, SPA17, STAMBP, STIM1, SYN3, TBC1D8B, TCF7L1, TGFBI, THNSL2, TMEM53, TRMU, UBE2L6, UGGT2, USP18, VWA1, ZFP36",2.405,1.166,4.957,0.0175
"FemaleUnique_Up","Males",103,"ADAMTS2, ADAMTSL4, ANGPT1, ANK2, BST2, BTG2, CACNB4, CALCOCO1, CD81, COL3A1, COL4A4, CPQ, CST3, CYB561, CYP2J2, DHX34, DKK2, EGR2, EMILIN1, EPB41, ERAP1, ETV5, FAM53B, FBXL4, FGFBP1, FGFR2, FMOD, FRMD4B, FZD8, GAS6, GDPD5, GLRX, GSN, HES1, HEY1, HTRA1, ID3, IFIT3, IGFBP2, IL7, IRF9, ITGA8, JARID2, KANK1, KAT6B, KCNN2, KDM4B, KIF13B, LAMA4, LIMS2, LMOD1, LRP5, LZTS1, MACROD1, MAN1A1, MAN1C1, MEF2C, MR1, MTSS1, MXRA8, NFATC1, NTNG1, PAM, PC, PDGFD, PDGFRL, PGM5, PIEZO2, PLCB4, PPP6R2, PRNP, PTCH1, PTGIS, PTN, PTPRE, PYGB, RAVER2, RCAN2, RIN2, ROR1, SEMA3B, SEMA3F, SESN1, SFRP1, SLC38A6, SLIT3, SNED1, SOCS1, SPA17, STAMBP, STIM1, SYN3, TBC1D8B, TCF7L1, TGFBI, THNSL2, TMEM53, TRMU, UBE2L6, UGGT2, USP18, VWA1, ZFP36",2.156,0.884,5.262,0.0914
"FemaleUnique_Up","Females",103,"ADAMTS2, ADAMTSL4, ANGPT1, ANK2, BST2, BTG2, CACNB4, CALCOCO1, CD81, COL3A1, COL4A4, CPQ, CST3, CYB561, CYP2J2, DHX34, DKK2, EGR2, EMILIN1, EPB41, ERAP1, ETV5, FAM53B, FBXL4, FGFBP1, FGFR2, FMOD, FRMD4B, FZD8, GAS6, GDPD5, GLRX, GSN, HES1, HEY1, HTRA1, ID3, IFIT3, IGFBP2, IL7, IRF9, ITGA8, JARID2, KANK1, KAT6B, KCNN2, KDM4B, KIF13B, LAMA4, LIMS2, LMOD1, LRP5, LZTS1, MACROD1, MAN1A1, MAN1C1, MEF2C, MR1, MTSS1, MXRA8, NFATC1, NTNG1, PAM, PC, PDGFD, PDGFRL, PGM5, PIEZO2, PLCB4, PPP6R2, PRNP, PTCH1, PTGIS, PTN, PTPRE, PYGB, RAVER2, RCAN2, RIN2, ROR1, SEMA3B, SEMA3F, SESN1, SFRP1, SLC38A6, SLIT3, SNED1, SOCS1, SPA17, STAMBP, STIM1, SYN3, TBC1D8B, TCF7L1, TGFBI, THNSL2, TMEM53, TRMU, UBE2L6, UGGT2, USP18, VWA1, ZFP36",3.639,0.957,13.843,0.0581
"FemaleUnique_Down","All",48,"ABCB1, ABCC4, ANKRD55, B3GNTL1, BEX1, BTC, C21orf91, CCL2, CD82, CDK5R1, CDK6, COL7A1, CRCT1, CXADR, DCTD, DUSP4, E2F2, ETS2, FKBP5, FOXD1, GGCT, GJB4, GREM1, HELLS, IL18RAP, KLF5, LMTK2, LRRC8B, MBTPS2, NAB1, NID1, OLFML2B, PDE4B, POLE2, POLR3G, PRKG2, SEMA7A, SLC20A1, SLC29A1, SPINK2, STAMBPL1, STC2, TDRKH, TFAP4, TGFB1, UST, WDHD1, WNT7B",1.361,0.608,3.047,0.453
