"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Neutrophil Chemotaxis (GO:0030593)","4/70",7.46102505361039e-05,0.0279028786405843,0,0,20.0707070707071,190.736598814056,"CXADR;KLF5;PDE4B;CCL2"
"Granulocyte Chemotaxis (GO:0071621)","4/73",8.79349493514278e-05,0.0279028786405843,0,0,19.1951690821256,179.262018469223,"CXADR;KLF5;PDE4B;CCL2"
"Neutrophil Migration (GO:1990266)","4/77",0.000108290602744829,0.0279028786405843,0,0,18.1397260273973,165.628254555127,"CXADR;KLF5;PDE4B;CCL2"
"Positive Regulation Of Signaling Receptor Activity (GO:2000273)","3/36",0.000206920648900951,0.0323895726775384,0,0,29.6616989567809,251.625388292907,"BTC;GREM1;CCL2"
"Collecting Duct Development (GO:0072044)","2/7",0.00020950564474475,0.0323895726775384,0,0,128.587096774194,1089.23041980736,"WNT7B;DACT2"
"Macrophage Chemotaxis (GO:0048246)","2/11",0.000544193268414431,0.059411739780703,0,0,71.4229390681004,536.8295304023,"KLF5;CCL2"
"Sprouting Angiogenesis (GO:0002040)","3/52",0.000617532515412153,0.059411739780703,0,0,19.96018735363,147.501370034728,"GREM1;TGFB1;BMPER"
"Macrophage Migration (GO:1905517)","2/12",0.000651685696609863,0.059411739780703,0,0,64.2774193548387,471.535817060742,"KLF5;CCL2"
"Regulation Of Macrophage Cytokine Production (GO:0010935)","2/13",0.000768586543088008,0.059411739780703,0,0,58.4310850439883,419.006821004281,"SEMA7A;TGFB1"
"Membrane Protein Intracellular Domain Proteolysis (GO:0031293)","2/13",0.000768586543088008,0.059411739780703,0,0,58.4310850439883,419.006821004281,"TGFB1;MBTPS2"
"Regulation Of Pathway-Restricted SMAD Protein Phosphorylation (GO:0060393)","3/61",0.000985265003027142,0.0630265977466535,0,0,16.8552854720181,116.68239776528,"GREM1;TGFB1;BMPER"
"Cell Junction Organization (GO:0034330)","3/62",0.00103301071024301,0.0630265977466535,0,0,16.5687691025285,113.914889071735,"CXADR;TGFB1;WNT7B"
"Regulation Of ERK1 And ERK2 Cascade (GO:0070372)","5/244",0.00110083108564095,0.0630265977466535,0,0,6.98425643571378,47.5745886872516,"DUSP4;SEMA7A;TGFB1;BMPER;CCL2"
"Positive Regulation Of DNA-binding Transcription Factor Activity (GO:0051091)","5/246",0.00114149077419554,0.0630265977466535,0,0,6.92559251705465,46.9237992583654,"IL18RAP;BEX1;UBE2V1;RAB7B;MBTPS2"
"Positive Regulation Of Glial Cell Differentiation (GO:0045687)","2/17",0.00132908989733905,0.0684924327095389,0,0,42.8408602150538,283.746192615197,"TGFB1;TENM4"
"Epithelial Cell Development (GO:0002064)","2/18",0.00149214705173962,0.0720893544371705,0,0,40.1612903225806,261.351171976712,"WNT7B;DACT2"
"Regulation Of BMP Signaling Pathway (GO:0030510)","3/75",0.00179067033037836,0.0750774854985765,0,0,13.568306010929,85.8217775865402,"GREM1;FOXD1;BMPER"
"Lipopolysaccharide-Mediated Signaling Pathway (GO:0031663)","2/20",0.00184537157111637,0.0750774854985765,0,0,35.6953405017921,224.704832338063,"TGFB1;CCL2"
"Receptor Metabolic Process (GO:0043112)","2/20",0.00184537157111637,0.0750774854985765,0,0,35.6953405017921,224.704832338063,"TGFB1;LMTK2"
"Negative Regulation Of Biomineral Tissue Development (GO:0070168)","2/21",0.00203542361736184,0.078669122811035,0,0,33.8149405772496,209.552922003736,"GREM1;TGFB1"
"Extracellular Matrix Organization (GO:0030198)","4/176",0.00244125524906716,0.0822055375559431,0,0,7.66046511627907,46.0795585976578,"GREM1;TGFB1;COL7A1;NID1"
"Regulation Of Osteoblast Differentiation (GO:0045667)","3/85",0.00256046400215434,0.0822055375559431,0,0,11.9076369452219,71.0596187349229,"GREM1;CDK6;WNT7B"
"Negative Regulation Of Cell Cycle (GO:0045786)","3/85",0.00256046400215434,0.0822055375559431,0,0,11.9076369452219,71.0596187349229,"TGFB1;TFAP4;CDK6"
"Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374)","4/179",0.00259495641634359,0.0822055375559431,0,0,7.528,44.8231088787318,"SEMA7A;TGFB1;BMPER;CCL2"
"Protein Kinase B Signaling (GO:0043491)","2/24",0.00265865257296065,0.0822055375559431,0,0,29.1994134897361,173.150648444359,"TGFB1;CCL2"
"Metanephros Development (GO:0001656)","2/25",0.00288389739057921,0.0857404878045281,0,0,27.9284712482468,163.342809931797,"FOXD1;WNT7B"
"Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507)","6/456",0.0033374911888156,0.0906481301971598,0,0,4.47954022988506,25.5447389554249,"FOXD1;TGFB1;TFAP4;NAB1;UBE2V1;CDK5R1"
"Cardiac Muscle Cell Differentiation (GO:0055007)","2/27",0.00336030213509316,0.0906481301971598,0,0,25.6916129032258,146.332346177159,"GREM1;CXADR"
"Regulation Of Cell Differentiation (GO:0045595)","4/193",0.00340077073184687,0.0906481301971598,0,0,6.96543209876543,39.5897968916672,"GREM1;TGFB1;CDK6;CDK5R1"
"Negative Regulation Of Osteoblast Differentiation (GO:0045668)","2/32",0.00469989273070364,0.116921930984953,0,0,21.4043010752688,114.731668397642,"GREM1;CDK6"
"Regulation Of Sprouting Angiogenesis (GO:1903670)","2/33",0.00499284165044911,0.116921930984953,0,0,20.7127991675338,109.772658678064,"BMPER;E2F2"
"Vasculogenesis (GO:0001570)","2/33",0.00499284165044911,0.116921930984953,0,0,20.7127991675338,109.772658678064,"TGFB1;WNT7B"
"Negative Regulation Of Developmental Process (GO:0051093)","3/109",0.00515427538657301,0.116921930984953,0,0,9.20043303433344,48.467225570349,"GREM1;TGFB1;CDK6"
"Protein Phosphorylation (GO:0006468)","6/500",0.00521819673777778,0.116921930984953,0,0,4.07133882451487,21.3973421251215,"TGFB1;CDK6;PRKG2;LMTK2;CCL2;CDK5R1"
"Membrane Protein Proteolysis (GO:0033619)","2/34",0.00529400722441573,0.116921930984953,0,0,20.0645161290323,105.161736843657,"TGFB1;MBTPS2"
"Endoderm Formation (GO:0001706)","2/35",0.00560333555312237,0.120316066182322,0,0,19.455522971652,100.865081465062,"DUSP4;COL7A1"
"Cellular Response To Lipopolysaccharide (GO:0071222)","3/124",0.00736038486245265,0.138568666068299,0,0,8.0537867497629,39.5573257681204,"TGFB1;PDE4B;CCL2"
"Lymphocyte Migration (GO:0072676)","2/41",0.00762773655360198,0.138568666068299,0,0,16.4574028122415,80.2457057624009,"KLF5;CCL2"
"Regulation Of Anatomical Structure Morphogenesis (GO:0022603)","3/127",0.00785882447110034,0.138568666068299,0,0,7.85774722369117,38.0795721626203,"TGFB1;BMPER;CDK5R1"
"Positive Regulation Of miRNA Transcription (GO:1902895)","2/43",0.00836543591128135,0.138568666068299,0,0,15.6530291109363,74.8785631579685,"TGFB1;KLF5"
"Negative Regulation Of BMP Signaling Pathway (GO:0030514)","2/43",0.00836543591128135,0.138568666068299,0,0,15.6530291109363,74.8785631579685,"GREM1;BMPER"
"Lymphocyte Chemotaxis (GO:0048247)","2/44",0.00874584470435813,0.138568666068299,0,0,15.2795698924731,72.4125798226286,"KLF5;CCL2"
"Epidermal Growth Factor Receptor Signaling Pathway (GO:0007173)","2/45",0.00913389091566729,0.138568666068299,0,0,14.9234808702176,70.0771368671682,"BTC;TGFB1"
"Regulation Of DNA Binding (GO:0051101)","2/48",0.0103433433776209,0.138568666068299,0,0,13.9481065918654,63.7625434986367,"TGFB1;TFAP4"
"Positive Regulation Of miRNA Metabolic Process (GO:2000630)","2/49",0.0107614297753385,0.138568666068299,0,0,13.6506520247083,61.8618453985676,"TGFB1;KLF5"
"Heterophilic Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules (GO:0007157)","2/49",0.0107614297753385,0.138568666068299,0,0,13.6506520247083,61.8618453985676,"CXADR;TENM4"
