"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Positive Regulation Of Cell Population Proliferation (GO:0008284)","13/483",0.000141288914695163,0.062631522205408,0,0,3.64466637718917,32.3088876052028,"MEF2C;CD81;LRP5;PTN;BST2;SFRP1;GAREM1;IL7;PDGFD;HES1;STAMBP;GAS6;FGFR2"
"Regulation Of Cell Migration (GO:0030334)","12/434",0.000200061649135335,0.062631522205408,0,0,3.73088254130908,31.7754975276071,"NTNG1;BST2;SEMA5B;CARMIL1;KANK1;SFRP1;CEMIP;TMEFF2;PDGFD;SEMA3B;EMILIN1;SEMA3F"
"Regulation Of Ossification (GO:0030278)","4/37",0.000212081760789604,0.062631522205408,0,0,15.3900543900544,130.177370553955,"MEF2C;SFRP1;PTN;TMEM53"
"Regulation Of Wnt Signaling Pathway (GO:0030111)","6/109",0.000245092712045982,0.062631522205408,0,0,7.46576724246627,62.0694481857579,"KANK1;SFRP1;TCF7L1;FAM53B;DACT3;FGFR2"
"Positive Regulation Of Glial Cell Differentiation (GO:0045687)","3/17",0.000314644410587463,0.062631522205408,0,0,27.0600545950864,218.214104428627,"EGR2;HES1;PTN"
"Stem Cell Differentiation (GO:0048863)","4/41",0.000317215795740928,0.062631522205408,0,0,13.7234927234927,110.555473022123,"MEF2C;SFRP1;JARID2;FGFR2"
"Negative Regulation Of Axon Extension Involved In Axon Guidance (GO:0048843)","3/19",0.000443131933982368,0.062631522205408,0,0,23.6751592356688,182.811127891047,"SEMA5B;SEMA3B;SEMA3F"
"Antiviral Innate Immune Response (GO:0140374)","4/46",0.000495543357791959,0.062631522205408,0,0,12.0866910866911,91.9779751195468,"RNF135;TRIM7;IFIT1;USP18"
"Extracellular Matrix Organization (GO:0030198)","7/176",0.000546780251616917,0.062631522205408,0,0,5.32532776424179,40.0010054996719,"ADAMTS2;COL3A1;GSN;OPTC;ADAMTSL4;TGFBI;GAS6"
"Negative Regulation Of Multicellular Organismal Process (GO:0051241)","8/231",0.000555999774704488,0.062631522205408,0,0,4.62992683502478,34.700110204445,"MEF2C;SFRP1;PTCH1;LAMA4;ARRDC3;EMILIN1;TMEM53;GAS6"
"Regulation Of Osteoblast Differentiation (GO:0045667)","5/85",0.00060300270162999,0.062631522205408,0,0,7.96774193548387,59.0695630190392,"MEF2C;PTCH1;LRP5;TMEM53;FGFR2"
"Positive Regulation Of Canonical Wnt Signaling Pathway (GO:0090263)","5/85",0.00060300270162999,0.062631522205408,0,0,7.96774193548387,59.0695630190392,"KANK1;SFRP1;FAM53B;DKK2;FGFR2"
"Nephron Tubule Development (GO:0072080)","2/5",0.000626024048759394,0.062631522205408,0,0,83.7004219409283,617.384504524847,"MEF2C;MTSS1"
"Regulation Of Axon Extension Involved In Axon Guidance (GO:0048841)","3/23",0.00079110650837602,0.062631522205408,0,0,18.9363057324841,135.244571607031,"SEMA5B;SEMA3B;SEMA3F"
"Regulation Of Cell Development (GO:0060284)","4/52",0.000792106807850047,0.062631522205408,0,0,10.5726495726496,75.4973274353708,"HEY1;KAT6B;HES1;PTN"
"Regulation Of Epithelial Cell Proliferation (GO:0050678)","5/91",0.000822714962038816,0.062631522205408,0,0,7.40960240060015,52.629670503614,"ZFP36;SFRP1;ANGPT1;MTSS1;FGFR2"
"Negative Regulation Of Ossification (GO:0030279)","3/24",0.000898837053270531,0.062631522205408,0,0,18.0336669699727,126.495512168452,"MEF2C;SFRP1;TMEM53"
"Adherens Junction Maintenance (GO:0034334)","2/6",0.000934101748029948,0.062631522205408,0,0,62.7721518987342,437.893835518718,"MTSS1;PLEKHA7"
"Epithelial Cell Differentiation Involved In Kidney Development (GO:0035850)","2/6",0.000934101748029948,0.062631522205408,0,0,62.7721518987342,437.893835518718,"MEF2C;MTSS1"
"Receptor-Mediated Virion Attachment To Host Cell (GO:0046813)","2/6",0.000934101748029948,0.062631522205408,0,0,62.7721518987342,437.893835518718,"CD81;GAS6"
"Supramolecular Fiber Organization (GO:0097435)","9/316",0.00102740040127008,0.0656068541953893,0,0,3.79224281122592,26.0933744161035,"CST3;CARMIL1;ADAMTS2;COL3A1;GSN;OPTC;LMOD1;PGM5;EMILIN1"
"Negative Regulation Of Insulin Receptor Signaling Pathway (GO:0046627)","3/26",0.00114118144152459,0.0695601960492941,0,0,16.4638604264747,111.554034226213,"KANK1;PTPRE;SOCS1"
"Negative Regulation Of Cellular Response To Insulin Stimulus (GO:1900077)","3/27",0.00127633318231839,0.0714649270909608,0,0,15.7770700636943,105.134671728511,"KANK1;PTPRE;SOCS1"
"Negative Regulation Of DNA-binding Transcription Factor Activity (GO:0043433)","6/149",0.0012790143550955,0.0714649270909608,0,0,5.36654254836073,35.750111524513,"PRNP;PTGIS;PTCH1;ID3;HES1;GAS6"
