"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Positive Regulation Of Cell Population Proliferation (GO:0008284)","9/483",3.20405352571083e-06,0.0018855081963109,0,0,8.80424954792043,111.383387071807,"NR4A3;SPHK1;PDGFB;PTK2B;HAS2;HMOX1;SCN5A;DYNAP;HBEGF"
"Positive Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043536)","4/46",5.65369774006266e-06,0.0018855081963109,0,0,40.338399189463,487.416975727511,"PDGFB;HMOX1;GATA2;PTGS2"
"Positive Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090050)","3/16",8.54481619992012e-06,0.00189979746844891,0,0,95.8461538461538,1118.54241893154,"HMOX1;GATA2;PTGS2"
"Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090049)","3/30",6.04102776735879e-05,0.0100734138020708,0,0,46.1157407407407,447.984506353784,"HMOX1;GATA2;PTGS2"
"Positive Regulation Of Vascular Associated Smooth Muscle Cell Migration (GO:1904754)","2/7",0.00013278706358199,0.0163119809586959,0,0,162.808163265306,1453.35000816089,"NR4A3;PDGFB"
"Cellular Response To Platelet-Derived Growth Factor Stimulus (GO:0036120)","2/8",0.000176760867397907,0.0163119809586959,0,0,135.666666666667,1172.25669919875,"PDGFB;HAS2"
"Positive Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis (GO:1903589)","2/8",0.000176760867397907,0.0163119809586959,0,0,135.666666666667,1172.25669919875,"HMOX1;GATA2"
"Response To Platelet-Derived Growth Factor (GO:0036119)","2/9",0.00022689356243183,0.0163119809586959,0,0,116.279883381924,975.707936180679,"PDGFB;HAS2"
"Positive Regulation Of Smooth Muscle Cell Proliferation (GO:0048661)","3/47",0.000234013700124142,0.0163119809586959,0,0,28.2741477272727,236.375575994933,"NR4A3;PDGFB;HMOX1"
"Positive Regulation Of Cell Motility (GO:2000147)","5/221",0.000244557435662608,0.0163119809586959,0,0,9.93005233494364,82.5789146544443,"SPHK1;PDGFB;PTK2B;HAS2;HBEGF"
"Regulation Of Smooth Muscle Cell Proliferation (GO:0048660)","3/54",0.00035350099215855,0.0214350147063411,0,0,24.3848039215686,193.801259367725,"NR4A3;PDGFB;HMOX1"
"Regulation Of Vascular Associated Smooth Muscle Cell Migration (GO:1904752)","2/12",0.000413940999133227,0.0224013903715557,0,0,81.3836734693878,633.961490431445,"NR4A3;PDGFB"
"Glycosaminoglycan Biosynthetic Process (GO:0006024)","3/58",0.000436608807841415,0.0224013903715557,0,0,22.6068181818182,174.897037130885,"CHST11;DSEL;HAS2"
"Hyaluronan Metabolic Process (GO:0030212)","2/14",0.00056887832293831,0.0237492319370765,0,0,67.812925170068,506.687597403379,"TNFAIP6;HAS2"
"Positive Regulation Of Cell Migration (GO:0030335)","5/272",0.000631910705776284,0.0237492319370765,0,0,8.01253867448298,59.0264691335318,"SPHK1;PDGFB;PTK2B;HAS2;HBEGF"
"Platelet-Derived Growth Factor Receptor Signaling Pathway (GO:0048008)","2/15",0.000655328635916484,0.0237492319370765,0,0,62.5934065934066,458.83306235776,"NR4A3;PDGFB"
"Peptidyl-Serine Phosphorylation (GO:0018105)","4/158",0.000701899114780903,0.0237492319370765,0,0,10.939486045869,79.4394941854802,"RPS6KA3;DYRK3;MAST4;PDGFB"
"Positive Regulation Of Cellular Process (GO:0048522)","7/594",0.000732796447326459,0.0237492319370765,0,0,5.24756078674307,37.8802658029491,"RPS6KA3;SPHK1;PDGFB;PTK2B;HAS2;DYNAP;HBEGF"
"Positive Regulation Of Smooth Muscle Cell Migration (GO:0014911)","2/16",0.000747726942546638,0.0237492319370765,0,0,58.1195335276968,418.371875244538,"NR4A3;PDGFB"
"Chondroitin Sulfate Metabolic Process (GO:0030204)","2/16",0.000747726942546638,0.0237492319370765,0,0,58.1195335276968,418.371875244538,"CHST11;DSEL"
"Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis (GO:1903587)","2/16",0.000747726942546638,0.0237492319370765,0,0,58.1195335276968,418.371875244538,"HMOX1;GATA2"
"Peptidyl-Serine Modification (GO:0018209)","4/166",0.000844088781614269,0.025591237151669,0,0,10.3950617283951,73.5684805281848,"RPS6KA3;DYRK3;MAST4;PDGFB"
"Positive Regulation Of Endothelial Cell Proliferation (GO:0001938)","3/77",0.00100041380907377,0.0290120004631394,0,0,16.7863175675676,115.948828898342,"PDGFB;HMOX1;GATA2"
"Regulation Of Neuroinflammatory Response (GO:0150077)","2/19",0.00106031340178179,0.029467876624519,0,0,47.8559423769508,327.77447798035,"SPHK1;PTGS2"
"Activation Of Protein Kinase Activity (GO:0032147)","3/81",0.00115852652730812,0.030174253850033,0,0,15.9222756410256,107.644237269789,"PDGFB;PTK2B;DYNAP"
"Positive Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904707)","2/20",0.00117620779625316,0.030174253850033,0,0,45.1950113378685,304.861129772852,"NR4A3;PDGFB"
