"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Cholesterol Biosynthetic Process (GO:0006695)","6/25",2.6367825772512e-08,2.80026309704077e-05,0,0,43.1869328493648,753.660403330879,"NSDHL;INSIG1;SC5D;MSMO1;DHCR7;FDFT1"
"Sterol Biosynthetic Process (GO:0016126)","6/28",5.50545014894279e-08,2.92339402908862e-05,0,0,37.2921630094044,623.336349446222,"SQLE;NSDHL;INSIG1;MSMO1;DHCR7;FDFT1"
"Secondary Alcohol Biosynthetic Process (GO:1902653)","5/24",8.68934464387639e-07,0.000307602800393224,0,0,35.7426099495314,498.823797599066,"NSDHL;INSIG1;MSMO1;DHCR7;FDFT1"
"Cholesterol Metabolic Process (GO:0008203)","6/67",1.14464817672152e-05,0.00303904090919564,0,0,13.4231769361221,152.726600331336,"SQLE;NSDHL;INSIG1;MSMO1;DHCR7;FDFT1"
"Skin Morphogenesis (GO:0043589)","3/8",2.29781344763939e-05,0.00488055576278607,0,0,80.4486486486486,859.269399153499,"COL1A1;COL1A2;ITGB4"
"2-Oxoglutarate Metabolic Process (GO:0006103)","3/14",0.000144466570673242,0.0224308064158304,0,0,36.5565110565111,323.249575296553,"GPT2;IDH1;D2HGDH"
"Supramolecular Fiber Organization (GO:0097435)","10/316",0.000147849006507357,0.0224308064158304,0,0,4.52950447318407,39.9471450026514,"COL1A1;CCDC88B;COL1A2;COL2A1;RUFY3;TRPV4;NCKAP5L;MYO6;FGF13;THSD4"
"Regulation Of Receptor Recycling (GO:0001919)","3/17",0.000265432439027062,0.0352361562808424,0,0,28.7186293436293,236.473508030469,"LDLR;OPTN;TBC1D16"
"Positive Regulation Of Developmental Growth (GO:0048639)","4/50",0.000548944651631729,0.0592459551715638,0,0,11.7142857142857,87.9451515622053,"RNF157;SHTN1;RUFY3;PLCB1"
"Mitochondrial Protein Catabolic Process (GO:0035694)","2/5",0.000557871517623011,0.0592459551715638,0,0,88.7964205816555,665.207895910229,"BNIP3;SFI1"
"Memory (GO:0007613)","4/58",0.000965167043620802,0.0907976491218536,0,0,9.9748047367095,69.2571577059369,"VLDLR;PLCB1;FGF13;LDLR"
"Microtubule Polymerization Or Depolymerization (GO:0031109)","3/27",0.00108031945395455,0.0907976491218536,0,0,16.7440878378378,114.370466707594,"NCKAP5L;TRPV4;FGF13"
"SREBP Signaling Pathway (GO:0032933)","2/7",0.00115995013717531,0.0907976491218536,0,0,53.2724832214765,360.088864942475,"SREBF1;INSIG1"
"Extracellular Structure Organization (GO:0043062)","5/109",0.00142814499796693,0.0907976491218536,0,0,6.50190990516333,42.5964752390271,"COL1A1;COL1A2;MMP28;THSD4;MATN2"
"External Encapsulating Structure Organization (GO:0045229)","5/110",0.0014871861644366,0.0907976491218536,0,0,6.43966079582518,41.9277905809495,"COL1A1;COL1A2;MMP28;THSD4;MATN2"
"Negative Regulation Of Membrane Potential (GO:0045837)","2/8",0.00153894320545515,0.0907976491218536,0,0,44.3914988814318,287.508615329609,"BNIP3;RNF122"
"Regulation Of Fertilization (GO:0080154)","2/8",0.00153894320545515,0.0907976491218536,0,0,44.3914988814318,287.508615329609,"LHFPL2;PLCB1"
"Cellular Response To Sterol Depletion (GO:0071501)","2/8",0.00153894320545515,0.0907976491218536,0,0,44.3914988814318,287.508615329609,"SREBF1;INSIG1"
"Skin Development (GO:0043588)","4/68",0.0017478266601889,0.0976943112168746,0,0,8.41198979591837,53.4109380355096,"COL1A1;SPRR3;COL1A2;ITGB4"
"Phospholipid Metabolic Process (GO:0006644)","4/69",0.00184462514891435,0.0979495954073518,0,0,8.2821559392988,52.1401403927794,"PLB1;FADS1;PLCD1;FDFT1"
"Extracellular Matrix Organization (GO:0030198)","6/176",0.00221859881925965,0.10953349490785,0,0,4.79002028397566,29.2712364938117,"COL1A1;COL1A2;COL2A1;MMP28;THSD4;MATN2"
"Sterol Homeostasis (GO:0055092)","4/73",0.00226905545006846,0.10953349490785,0,0,7.80045351473923,47.4922159312653,"ABCA2;INSIG1;ABCD1;LDLR"
"Positive Regulation Of Lymphocyte Proliferation (GO:0050671)","4/74",0.00238482080951814,0.110116508682968,0,0,7.68862973760933,46.4288001087679,"VAV3;CCDC88B;NFATC2;CD276"
"Positive Regulation Of Triglyceride Biosynthetic Process (GO:0010867)","2/11",0.00297829635762794,0.128503374681806,0,0,29.5898583146905,172.106565349503,"SREBF1;LDLR"
"Response To Insulin (GO:0032868)","4/79",0.00302503236068282,0.128503374681806,0,0,7.17424036281179,41.6165737605465,"INSIG1;TRIB3;KHK;PCK2"
"Odontogenesis (GO:0042476)","3/39",0.00315944230876521,0.129051066611871,0,0,11.1559684684685,64.2289238496593,"BMP4;COL1A1;COL1A2"
"Phosphatidylcholine Acyl-Chain Remodeling (GO:0036151)","2/12",0.00355630068546026,0.134885404569957,0,0,26.6295302013423,150.164837065968,"LPCAT3;PLB1"
"Lipid Droplet Formation (GO:0140042)","2/12",0.00355630068546026,0.134885404569957,0,0,26.6295302013423,150.164837065968,"SQLE;SFI1"
"Collagen Fibril Organization (GO:0030199)","3/42",0.00390385653453113,0.142961918609381,0,0,10.2962577962578,57.1008872247295,"COL1A1;COL1A2;COL2A1"
"Substrate-Dependent Cell Migration (GO:0006929)","2/13",0.00418215088324861,0.148048141267001,0,0,24.2074435631483,132.582464177256,"SHTN1;ITGA11"
"Cellular Response To Ketone (GO:1901655)","3/44",0.00445453298926436,0.152603678535443,0,0,9.79301252471984,53.0177348849999,"GNG2;CFTR;PCK2"
"Ras Protein Signal Transduction (GO:0007265)","5/144",0.00476728974916139,0.158214428550294,0,0,4.85611510791367,25.9606812414809,"SHTN1;ADGRG1;COL1A2;RALGDS;CTNNAL1"
"Secondary Alcohol Metabolic Process (GO:1902652)","3/47",0.00536479243340183,0.169143664202623,0,0,9.12392506142506,47.6989458643165,"SQLE;NSDHL;IDH1"
"Regulation Of Cholesterol Biosynthetic Process (GO:0045540)","2/15",0.00557441454528419,0.169143664202623,0,0,20.4811564274652,106.288353619024,"SREBF1;LPCAT3"
"Negative Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060339)","2/15",0.00557441454528419,0.169143664202623,0,0,20.4811564274652,106.288353619024,"STAT2;ISG15"
"Regulation Of Triglyceride Biosynthetic Process (GO:0010866)","2/16",0.00633936175467468,0.173705121752529,0,0,19.0172579098754,96.2459084071374,"SREBF1;LDLR"
"Regulation Of Mitochondrion Organization (GO:0010821)","3/50",0.00637900164627931,0.173705121752529,0,0,8.54025301897642,43.168789936074,"SREBF1;STAT2;SFI1"
"Dicarboxylic Acid Metabolic Process (GO:0043648)","3/50",0.00637900164627931,0.173705121752529,0,0,8.54025301897642,43.168789936074,"GPT2;IDH1;D2HGDH"
"Steroid Biosynthetic Process (GO:0006694)","3/50",0.00637900164627931,0.173705121752529,0,0,8.54025301897642,43.168789936074,"SQLE;MSMO1;FDFT1"
"Rho Protein Signal Transduction (GO:0007266)","3/52",0.00711432446047932,0.176569161260151,0,0,8.19084390512962,40.5090061869156,"SHTN1;COL1A2;CTNNAL1"
"Cartilage Development (GO:0051216)","3/52",0.00711432446047932,0.176569161260151,0,0,8.19084390512962,40.5090061869156,"BMP4;COL2A1;TRPV4"
"Regulation Of Establishment Of Cell Polarity (GO:2000114)","2/17",0.00714922216025095,0.176569161260151,0,0,17.7485458612975,87.6911584379309,"SHTN1;RUFY3"
"Carboxylic Acid Biosynthetic Process (GO:0046394)","2/17",0.00714922216025095,0.176569161260151,0,0,17.7485458612975,87.6911584379309,"CASP1;FADS1"
"Regulation Of Establishment Or Maintenance Of Cell Polarity (GO:0032878)","2/18",0.00800328318349721,0.184771450888566,0,0,16.6384228187919,80.3286984894071,"SHTN1;RUFY3"
"Icosanoid Biosynthetic Process (GO:0046456)","2/18",0.00800328318349721,0.184771450888566,0,0,16.6384228187919,80.3286984894071,"CASP1;FADS1"
"Positive Regulation Of Triglyceride Metabolic Process (GO:0090208)","2/18",0.00800328318349721,0.184771450888566,0,0,16.6384228187919,80.3286984894071,"SREBF1;LDLR"
"Chondroitin Sulfate Proteoglycan Biosynthetic Process (GO:0050650)","2/19",0.00890084032335911,0.189053848468147,0,0,15.6589024871694,73.9352241263973,"PXYLP1;CHST3"
"Positive Regulation Of Axon Extension (GO:0045773)","2/19",0.00890084032335911,0.189053848468147,0,0,15.6589024871694,73.9352241263973,"SHTN1;RUFY3"
"Receptor Clustering (GO:0043113)","2/19",0.00890084032335911,0.189053848468147,0,0,15.6589024871694,73.9352241263973,"MAGI2;NRXN2"
"Multicellular Organismal-Level Water Homeostasis (GO:0050891)","2/19",0.00890084032335911,0.189053848468147,0,0,15.6589024871694,73.9352241263973,"TRPV4;CFTR"
"Sterol Metabolic Process (GO:0016125)","3/60",0.0105447208022081,0.219578303763628,0,0,7.03840682788051,32.0397424665505,"SQLE;NSDHL;MSMO1"
"Negative Regulation Of Axonogenesis (GO:0050771)","2/22",0.011847562817635,0.241963686775545,0,0,13.3080536912752,59.0296434755712,"RUFY3;FGF13"
"Receptor-Mediated Endocytosis (GO:0006898)","4/122",0.0137972004558024,0.27566698343575,0,0,4.54998270494639,19.4888934770656,"MAGI2;ACKR3;VLDLR;LDLR"
"Regulation Of Microtubule Depolymerization (GO:0031114)","2/24",0.0140169652594449,0.27566698343575,0,0,12.0970103721782,51.6238330355296,"TRPV4;FGF13"
"Response To Zinc Ion (GO:0010043)","2/25",0.0151611466696487,0.276032730960393,0,0,11.5704697986577,48.4689208776624,"D2HGDH;KHK"
"Regulation Of Actin Filament-Based Process (GO:0032970)","3/70",0.015973712441124,0.276032730960393,0,0,5.98487293263413,24.7582874651221,"DAAM2;ARHGEF19;IQGAP2"
"Lipid Biosynthetic Process (GO:0008610)","3/71",0.0165880282333748,0.276032730960393,0,0,5.89656200317965,24.1704442004266,"SREBF1;FADS1;FDFT1"
"Cholesterol Homeostasis (GO:0042632)","3/72",0.0172154559803256,0.276032730960393,0,0,5.81081081081081,23.6032095799713,"ABCA2;INSIG1;LDLR"
