"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,-2.06028734921018,0.266,0.824,0,"Kcnq5"
0,-3.25787121491238,0.213,0.977,0,"Igfbp2"
0,-1.59644062771727,0.146,0.705,0,"Atp1b1"
0,-3.0701911606156,0.095,0.915,0,"Lrp2"
0,1.33534378944121,0.891,0.571,0,"Meis2"
0,-1.54136614094326,0.843,0.979,0,"Cst3"
0,-2.35101120914319,0.168,0.826,0,"Myl9"
0,1.31008740732311,0.93,0.633,0,"Rpl22l1"
0,2.39005131459554,0.998,0.814,0,"S100a4"
0,0.840625013896146,0.998,0.993,0,"Rps20"
0,-2.06707395455027,0.018,0.741,0,"Sema3e"
0,-1.62795852561643,0.132,0.677,0,"Hspb1"
0,2.03063520945516,0.7,0.14,0,"Col1a2"
0,-1.38675252717038,0.979,0.995,0,"Cald1"
0,1.34212793368291,0.596,0.108,0,"Sox6"
0,-1.81120588087049,0.603,0.949,0,"Ifitm3"
0,1.48009481713658,0.79,0.337,0,"Sorbs2"
0,1.16746137214347,0.616,0.156,0,"Crlf1"
0,-1.07092852084343,0.89,0.975,0,"Calr"
0,1.83534122851329,0.861,0.317,0,"Mt1"
0,1.68972849411598,0.656,0.013,0,"Gm42047"
0,-1.7160314093419,0.935,0.991,0,"Itgb1"
0,-2.49493022256794,0.047,0.828,0,"Cnn1"
0,-1.474600924879,0.298,0.792,0,"Aplp2"
0,-2.2013823085429,0.802,0.992,0,"Tagln"
0,3.26889545605473,0.871,0.08,0,"Crabp1"
0,-1.1344210645846,0.954,0.987,0,"Tpm1"
0,-1.57002566090096,0.002,0.647,0,"Zic1"
0,1.10642854044463,1,0.995,0,"Rps12"
0,-1.53374848024083,0.287,0.756,0,"Col18a1"
0,0.722093324897807,0.999,0.994,0,"Rps15"
0,1.08214203178154,0.893,0.611,0,"Snrpf"
0,0.983620752265599,0.518,0.059,0,"Nav3"
0,0.872604995293798,0.999,0.998,0,"Rpl41"
0,1.26806237790515,1,0.991,0,"Rps26"
0,0.683249903013857,0.998,0.994,0,"Ppia"
0,1.17864312019644,0.543,0.066,0,"Efemp1"
0,0.700378666776498,0.992,0.992,0,"Rps27a"
0,0.675192679184339,0.993,0.988,0,"Rpl26"
0,-1.57736702694034,0.663,0.951,0,"Serpinf1"
0,0.834494993339616,0.994,0.985,0,"Rpl23a"
0,2.24347571983659,0.73,0.145,0,"Col1a1"
0,0.670563136816106,0.994,0.993,0,"Rpl23"
0,0.716161203177101,0.997,0.992,0,"Rpl19"
0,0.927395538165443,0.994,0.979,0,"Rpl38"
0,0.682750328181311,0.993,0.994,0,"Rps29"
0,-2.22967783050255,0.72,0.988,0,"Ckb"
0,1.1027825019199,0.531,0.068,0,"Tubb2b"
0,-1.41404040925787,0.075,0.617,0,"Itga1"
0,0.866495901603664,0.994,0.984,0,"Rpl15"
0,1.05667853688,0.995,0.987,0,"Rps24"
0,2.09075940093797,0.767,0.102,0,"Lgals3"
0,0.946844130794811,0.995,0.981,0,"Tpt1"
0,0.690869638041426,0.997,0.996,0,"Rpl37"
0,0.776244209854166,0.984,0.973,0,"Rpl3"
0,1.49069020699644,0.818,0.248,0,"Emp2"
0,-1.59509121879913,0.17,0.758,0,"Ezr"
0,0.978228945989353,0.456,0.062,0,"Msln"
0,0.80938184197266,0.99,0.983,0,"Rpl10a"
0,0.904350860549042,0.993,0.979,0,"Rps28"
0,-1.82553608119221,0.957,0.998,0,"Acta2"
0,1.23435249878061,0.9,0.591,0,"Scd2"
0,2.11004973031478,0.911,0.161,0,"Bgn"
0,-1.08129321793413,0.883,0.96,0,"Flna"
0,-2.19729159090542,0.112,0.815,0,"Bex1"
0,0.604662428322441,0.314,0,0,"Eif2s3y"
