"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","logp"
"MA0146.2","MA0146.2",72,3895,23.1511254019293,9.7375,2.37752250597476,2.66798300472577e-12,"Zfx",1.99031532152543e-09,11.5738169412387
"MA1629.1","MA1629.1",115,8138,36.9774919614148,20.345,1.81752233774464,8.29083423304256e-12,"Zic2",3.09248116892487e-09,11.081401768053
"MA0039.4","MA0039.4",133,10632,42.7652733118971,26.58,1.60892676116994,4.47626094042894e-10,"KLF4",1.11309688718666e-07,9.34908460451964
"MA1107.2","MA1107.2",139,11451,44.6945337620579,28.6275,1.56124473887199,1.09416055899041e-09,"KLF9",2.04060944251711e-07,8.96091894421176
"MA0741.1","MA0741.1",112,8656,36.0128617363344,21.64,1.66418030204872,4.26966643527405e-09,"KLF16",6.37034232142887e-07,8.36960605260459
"MA1628.1","MA1628.1",110,8521,35.3697749196142,21.3025,1.66035793543547,7.3735074148161e-09,"Zic1::Zic2",7.88222352352857e-07,8.13232587868715
"MA0599.1","MA0599.1",125,10186,40.1929260450161,25.465,1.57835955409449,8.11856671201203e-09,"KLF5",7.88222352352857e-07,8.09052063627701
"MA0154.4","MA0154.4",74,4857,23.7942122186495,12.1425,1.95958099391802,8.45278662040597e-09,"EBF1",7.88222352352857e-07,8.07300009408479
"MA1421.1","MA1421.1",68,4334,21.8649517684887,10.835,2.01799277974054,1.29068389774401e-08,"TCF7L1",1.06983354190782e-06,7.88918010806276
"MA0753.2","MA0753.2",92,6772,29.5819935691318,16.93,1.74731208323283,2.14068595038705e-08,"ZNF740",1.53317663336064e-06,7.66944704126138
"MA1511.1","MA1511.1",96,7196,30.8681672025724,17.99,1.71585142871442,2.26071621541113e-08,"KLF10",1.53317663336064e-06,7.64575395062064
"MA0597.1","MA0597.1",60,3688,19.2926045016077,9.22,2.09247337327632,3.20230766077398e-08,"THAP1",1.99076792911449e-06,7.49453694569664
"MA1516.1","MA1516.1",58,3581,18.6495176848875,8.9525,2.08316310358978,6.6649127639349e-08,"KLF3",3.82463455530418e-06,7.17620553062966
"MA0138.2","MA0138.2",67,4511,21.5434083601286,11.2775,1.91030000976534,1.38178618307691e-07,"REST",7.05647326416969e-06,6.85955915428019
"MA1514.1","MA1514.1",79,5702,25.4019292604502,14.255,1.78196627572432,1.41886191638801e-07,"KLF17",7.05647326416969e-06,6.8480598680159
"MA1627.1","MA1627.1",105,8457,33.7620578778135,21.1425,1.59688106315779,1.583148934577e-07,"Wt1",7.38143190746528e-06,6.80047822700599
"MA1515.1","MA1515.1",83,6173,26.6881028938907,15.4325,1.7293441045774,2.21834428333364e-07,"KLF2",9.7346166786288e-06,6.6539710511766
"MA1599.1","MA1599.1",59,3831,18.9710610932476,9.5775,1.98079468475569,2.80554117416387e-07,"ZNF682",1.10587571011365e-05,6.5519833532015
"MA0516.2","MA0516.2",91,7044,29.2604501607717,17.61,1.6615814969206,2.81657352441814e-07,"SP2",1.10587571011365e-05,6.55027890736763
"MA0872.1","MA0872.1",39,2061,12.540192926045,5.1525,2.4338074577477,3.05947695869263e-07,"TFAP2A(var.3)",1.14118490559235e-05,6.51435281318161
"MA0073.1","MA0073.1",128,11190,41.1575562700965,27.975,1.47122631885957,3.62192142136993e-07,"RREB1",1.28664446682951e-05,6.44106097606382
"MA0155.1","MA0155.1",59,3900,18.9710610932476,9.75,1.9457498557177,5.07923999966766e-07,"INSM1",1.72232410897822e-05,6.29420126579539
"MA1619.1","MA1619.1",55,3553,17.6848874598071,8.8825,1.99098085671906,6.59424300896416e-07,"Ptf1a(var.2)",2.13882838464664e-05,6.18083505241465
"MA0812.1","MA0812.1",43,2498,13.8263665594855,6.245,2.2139898413908,9.05829629840754e-07,"TFAP2B(var.2)",2.81562043275501e-05,6.04295347757459
"MA1517.1","MA1517.1",63,4388,20.2572347266881,10.97,1.84660298328971,1.15503170025763e-06,"KLF6",3.44661459356878e-05,5.93740609624107
"MA1152.1","MA1152.1",75,5624,24.1157556270096,14.06,1.71520310291676,1.44479074158111e-06,"SOX15",4.14543805084425e-05,5.84019505004076
"MA1512.1","MA1512.1",82,6366,26.3665594855305,15.915,1.65671124634185,1.59131344407256e-06,"KLF11",4.24823966199027e-05,5.79824426810727
"MA1615.1","MA1615.1",65,4628,20.9003215434084,11.57,1.80642364247263,1.59451354605533e-06,"Plagl1",4.24823966199027e-05,5.79737178689321
"MA0002.2","MA0002.2",96,7875,30.8681672025724,19.6875,1.56790690552748,1.68379587845416e-06,"RUNX1",4.33141974250622e-05,5.77371055786849
"MA0698.1","MA0698.1",71,5247,22.8295819935691,13.1175,1.74039123259532,1.79207757520901e-06,"ZBTB18",4.42354748707661e-05,5.74664319458684
"MA1596.1","MA1596.1",91,7353,29.2604501607717,18.3825,1.59175575469994,1.89507220269066e-06,"ZNF460",4.42354748707661e-05,5.72237423866015
"MA0041.1","MA0041.1",87,6924,27.9742765273312,17.31,1.6160760558828,1.89750026255297e-06,"Foxd3",4.42354748707661e-05,5.7218181553401
"MA1649.1","MA1649.1",65,4664,20.9003215434084,11.66,1.79248040681032,2.07563756726455e-06,"ZBTB12",4.69219886417987e-05,5.68284847754733
