"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","logp"
"MA1513.1","MA1513.1",148,3485,26.2877442273535,8.7125,3.01724467458863,3.93484127498665e-35,"KLF15",2.93539159114004e-32,34.4050727816754
"MA1653.1","MA1653.1",272,10126,48.3126110124334,25.315,1.90845787131872,2.52315793517977e-32,"ZNF148",9.41137909822053e-30,31.598055564294
"MA0599.1","MA0599.1",281,10861,49.911190053286,27.1525,1.83818028002158,7.10147288326566e-31,"KLF5",1.76589959030539e-28,30.148651566952
"MA0039.4","MA0039.4",286,11261,50.7992895204263,28.1525,1.80443262660248,3.35103263784952e-30,"KLF4",6.24967586958935e-28,29.4748213422725
"MA1564.1","MA1564.1",200,6598,35.5239786856128,16.495,2.15362101761824,2.58673082659717e-28,"SP9",3.85940239328298e-26,27.5872487613127
"MA0471.2","MA0471.2",179,5688,31.7939609236234,14.22,2.23586223091585,9.65737596576885e-27,"E2F6",1.20073374507726e-24,26.015140860996
"MA1596.1","MA1596.1",216,7727,38.3658969804618,19.3175,1.98606946967578,3.61172242108183e-26,"ZNF460",3.84906418018149e-24,25.4422856347774
"MA0516.2","MA0516.2",213,7609,37.8330373001776,19.0225,1.98885726377593,8.44449794132074e-26,"SP2",7.87449433028159e-24,25.0734261658438
"MA0146.2","MA0146.2",149,4431,26.4653641207815,11.0775,2.38910982810034,1.40805179466357e-24,"Zfx",1.1671184875767e-22,23.8513813695385
"MA1650.1","MA1650.1",79,1482,14.0319715808171,3.705,3.7873067694513,2.71444102461097e-24,"ZBTB14",2.02497300435979e-22,23.5663195896186
"MA1627.1","MA1627.1",235,9251,41.740674955595,23.1275,1.80480704596671,4.54057975456323e-23,"Wt1",3.07933863354924e-21,22.3428886916071
"MA0162.4","MA0162.4",160,5205,28.4191829484902,13.0125,2.18399100468705,1.75811636528928e-22,"EGR1",1.0929623404215e-20,21.7549523834542
"MA1515.1","MA1515.1",188,6803,33.392539964476,17.0075,1.96340085047632,1.50376647459824e-21,"KLF2",8.62930607730992e-20,20.8228196016884
"MA0746.2","MA0746.2",183,6608,32.5044404973357,16.52,1.96758114390652,5.55304667585601e-21,"SP3",2.95898058584899e-19,20.2554686760716
"MA1102.2","MA1102.2",144,4588,25.5772646536412,11.47,2.22992717119801,7.54801630551501e-21,"CTCFL",3.75388010927613e-19,20.1221671703265
"MA0747.1","MA0747.1",204,7819,36.234458259325,19.5475,1.85366201608006,1.08875208750835e-20,"SP8",5.07630660800768e-19,19.9630709992931
"MA0632.2","MA0632.2",58,1017,10.3019538188277,2.5425,4.05189924044354,2.39965227101654e-19,"TCFL5",1.05302387892843e-17,18.619851686505
"MA0753.2","MA0753.2",194,7475,34.4582593250444,18.6875,1.8439202314405,3.21431639074962e-19,"ZNF740",1.3321555708329e-17,18.4929113771079
"MA0740.1","MA0740.1",127,3980,22.5577264653641,9.95,2.26710818747378,8.19139379536471e-19,"KLF14",3.21619987965372e-17,18.0866421951707
"MA1522.1","MA1522.1",196,7682,34.8134991119005,19.205,1.81273101337675,1.27538237568685e-18,"MAZ",4.75717626131194e-17,17.894359588756
"MA1514.1","MA1514.1",167,6085,29.6625222024867,15.2125,1.94987820558663,1.666028822521e-18,"KLF17",5.6637138589996e-17,17.7783174895117
"MA0741.1","MA0741.1",225,9403,39.9644760213144,23.5075,1.70007342428222,1.74899886185086e-18,"KLF16",5.6637138589996e-17,17.7572104731354
