slide,slide_title,file,how,original_source
78,Drug screen to reveal sex-biased vulnerabilities dependent on Egr,s78_img1.png,extracted from pptx,(extracted from deck - source not traced)
79,62 of 64 of sex-biased responses are male-biased,s79_img1.png,extracted from pptx,(extracted from deck - source not traced)
80,58% of sex-biased hits are Egr1-dependent,s80_Egr1dependence_pie_n64.png,traced to source file,C:\Users\loril\Documents\GitHub\Egr1-Llaci\09_drug_screen\Egr1dependence_pie_n64.png
80,58% of sex-biased hits are Egr1-dependent,s80_Slide77_dumbbell_ALLhits_combined_greyBlue.png,traced to source file,C:\Users\loril\Documents\Egr1\Egr1 manuscript\Final Submission\github code\output\Slide77_dumbbell_ALLhits_combined_greyBlue.png
81,Egr1-dependent sex-biased drug hit 12 different pathways ,s81_img1.png,extracted from pptx,(extracted from deck - source not traced)
82,Female Egr1 KD,s82_Figure5_targetGenes_Oxidative_thiol_NRF2_antioxidant_.png,traced to source file,C:\Users\loril\Documents\GitHub\Egr1-Llaci\09_drug_screen\targetGene_heatmaps\Figure5_targetGenes_Oxidative_thiol_NRF2_antioxidant_.png
83,Female Egr1 KD,s83_Figure5_targetGenes_Prostaglandin_COX_pathway_Ptgs2_target_.png,traced to source file,C:\Users\loril\Documents\GitHub\Egr1-Llaci\09_drug_screen\targetGene_heatmaps\Figure5_targetGenes_Prostaglandin_COX_pathway_Ptgs2_target_.png
83,Female Egr1 KD,s83_Figure5_targetGenes_Sodium_channel_Nav1_5_Scn5a_target_.png,traced to source file,C:\Users\loril\Documents\GitHub\Egr1-Llaci\09_drug_screen\targetGene_heatmaps\Figure5_targetGenes_Sodium_channel_Nav1_5_Scn5a_target_.png
84,Statin drug vulnerability in males could be related to Egr1 chole,s84_Figure5_targetGenes_Statin_HMGCR_sterol_.png,traced to source file,C:\Users\loril\Documents\GitHub\Egr1-Llaci\09_drug_screen\targetGene_heatmaps\Figure5_targetGenes_Statin_HMGCR_sterol_.png
85,Egr1 maintains sex differences in GBM,s85_img1.png,extracted from pptx,(extracted from deck - source not traced)
85,Egr1 maintains sex differences in GBM,s85_img2.png,extracted from pptx,(extracted from deck - source not traced)
86,Studying sex differences can lead to new therapeutic targets,s86_img1.png,extracted from pptx,(extracted from deck - source not traced)
86,Studying sex differences can lead to new therapeutic targets,s86_img2.png,extracted from pptx,(extracted from deck - source not traced)
87,Studying sex differences can lead to new therapeutic targets,s87_img1.png,extracted from pptx,(extracted from deck - source not traced)
87,Studying sex differences can lead to new therapeutic targets,s87_img2.png,extracted from pptx,(extracted from deck - source not traced)
