Chr	Start	End	Center	Experiment Insertions	Background insertions	Reference Insertions	pvalue Reference	pvalue Background	Fraction Experiment	TPH Experiment	Fraction background	TPH background	TPH background subtracted	pvalue_adj Reference	Nearest Refseq1	Gene Name1	Direction1	Distance1	Nearest Refseq2	Gene Name2	Direction2	Distance2
chr1	4784900	4785471	4785220	31	17	6	0	0.016208152664542	1.48459682899695e-05	1484.59682899695	8.91011943228912e-06	891.011943228912	593.584885768042	0	NR_033530	Mrpl15	-	0	NM_008866	Lypla1	+	22422
chr1	4857269	4857866	4857663	42	20	4	0	0.0004625314554123	2.01138925218942e-05	2011.38925218942	1.04824934497519e-05	1048.24934497519	963.139907214231	0	NM_011541	Tcea1	+	0	NM_001159751	Tcea1	+	462
chr1	4858460	4859513	4858781	49	21	11	0	1.88654084705142e-05	2.34662079422099e-05	2346.62079422099	1.10066181222395e-05	1100.66181222395	1245.95898199704	0	NM_011541	Tcea1	+	0	NM_008866	Lypla1	+	-11726
chr1	4916025	4916592	4916389	9	3	5	1.47738599132197e-10	0.0142125126220435	4.31011982612019e-06	431.011982612019	1.57237401746279e-06	157.237401746279	273.77458086574	1.19862564965895e-07	NM_001290372	Rgs20	-	0	NM_011541	Tcea1	+	-18117
chr1	6215285	6215688	6215485	13	5	2	0	0.0023871755677274	6.22572863772916e-06	622.572863772916	2.62062336243798e-06	262.062336243798	360.510527529118	0	NM_009826	Rb1cc1	+	0	NM_001195732	Alkal1	+	143643
chr1	6281371	6281961	6281636	7	3	4	1.06214022765894e-06	0.0388042055082002	3.3523154203157e-06	335.23154203157	1.57237401746279e-06	157.237401746279	177.994140285292	0.0005138161750131	NM_009826	Rb1cc1	+	-5268	NM_001195732	Alkal1	+	77370
chr1	6286893	6287296	6287093	7	2	2	1.56575991061558e-08	0.005862117808004	3.3523154203157e-06	335.23154203157	1.04824934497519e-06	104.824934497519	230.406607534051	9.86909110661081e-06	NM_009826	Rb1cc1	+	-10790	NM_001195732	Alkal1	+	72035
chr1	7089145	7089548	7089345	25	15	1	0	0.0120200107967474	1.19725550725561e-05	1197.25550725561	7.86187008731393e-06	786.187008731393	411.068498524215	0	NM_183028	Pcmtd1	+	0	NM_001244693	St18	+	-228206
chr1	7089500	7090146	7089943	46	32	8	0	0.0181148211877332	2.20295013335032e-05	2202.95013335032	1.6771989519603e-05	1677.1989519603	525.751181390014	0	NM_183028	Pcmtd1	+	0	NM_001244693	St18	+	-228561
chr1	9638760	9639210	9638960	10	5	3	8.97026897206388e-12	0.0356013376959445	4.78902202902243e-06	478.902202902243	2.62062336243798e-06	262.062336243798	216.839866658445	8.28346837845919e-09	NR_015470	2610203C22Rik	-	-7669	NM_178399	3110035E14Rik	+	-11619
