Chr	Start	End	Center	Experiment Insertions	Background insertions	Reference Insertions	pvalue Reference	pvalue Background	Fraction Experiment	TPH Experiment	Fraction background	TPH background	TPH background subtracted	pvalue_adj Reference	Nearest Refseq1	Gene Name1	Direction1	Distance1	Nearest Refseq2	Gene Name2	Direction2	Distance2
chr1	4784900	4785471	4785220.0	31	17	6	0.0	0.016208152664542	1.4845968289969536e-05	1484.5968289969535	8.91011943228912e-06	891.011943228912	593.5848857680418	0.0	NR_033530	Mrpl15	-	0	NM_008866	Lypla1	+	22422
chr1	4857269	4857866	4857663.0	42	20	4	0.0	0.0004625314554123	2.0113892521894213e-05	2011.389252189421	1.0482493449751904e-05	1048.2493449751903	963.1399072142306	0.0	NM_011541	Tcea1	+	0	NM_001159751	Tcea1	+	462
chr1	4858460	4859513	4858781.0	49	21	11	0.0	1.886540847051421e-05	2.3466207942209914e-05	2346.6207942209912	1.10066181222395e-05	1100.6618122239502	1245.958981997041	0.0	NM_011541	Tcea1	+	0	NM_008866	Lypla1	+	-11726
chr1	4916025	4916592	4916389.0	9	3	5	1.4773859913219667e-10	0.0142125126220435	4.310119826120188e-06	431.0119826120188	1.5723740174627858e-06	157.23740174627858	273.77458086574023	1.1986256496589525e-07	NM_001290372	Rgs20	-	0	NM_011541	Tcea1	+	-18117
chr1	6215285	6215688	6215485.0	13	5	2	0.0	0.0023871755677274	6.225728637729161e-06	622.5728637729161	2.6206233624379764e-06	262.06233624379763	360.51052752911846	0.0	NM_009826	Rb1cc1	+	0	NM_001195732	Alkal1	+	143643
chr1	6281371	6281961	6281636.0	7	3	4	1.0621402276589365e-06	0.0388042055082002	3.352315420315702e-06	335.2315420315702	1.5723740174627858e-06	157.23740174627858	177.99414028529162	0.0005138161750131	NM_009826	Rb1cc1	+	-5268	NM_001195732	Alkal1	+	77370
chr1	6286893	6287296	6287093.0	7	2	2	1.5657599106155832e-08	0.005862117808004	3.352315420315702e-06	335.2315420315702	1.0482493449751903e-06	104.82493449751904	230.40660753405115	9.869091106610808e-06	NM_009826	Rb1cc1	+	-10790	NM_001195732	Alkal1	+	72035
chr1	7089145	7089548	7089345.0	25	15	1	0.0	0.0120200107967474	1.1972555072556078e-05	1197.255507255608	7.86187008731393e-06	786.1870087313929	411.068498524215	0.0	NM_183028	Pcmtd1	+	0	NM_001244693	St18	+	-228206
chr1	7089500	7090146	7089943.0	46	32	8	0.0	0.0181148211877332	2.2029501333503183e-05	2202.9501333503185	1.677198951960305e-05	1677.1989519603048	525.7511813900137	0.0	NM_183028	Pcmtd1	+	0	NM_001244693	St18	+	-228561
chr1	9638760	9639210	9638960.0	10	5	3	8.970268972063877e-12	0.0356013376959445	4.789022029022432e-06	478.9022029022431	2.6206233624379764e-06	262.06233624379763	216.8398666584455	8.283468378459192e-09	NR_015470	2610203C22Rik	-	-7669	NM_178399	3110035E14Rik	+	-11619
chr1	9660955	9661405	9661202.0	20	10	4	0.0	0.0079245269701616	9.578044058044865e-06	957.8044058044862	5.241246724875953e-06	524.1246724875953	433.679733316891	0.0	NM_008651	Mybl1	-	6006	NR_015470	2610203C22Rik	-	-29864
chr1	9942108	9942682	9942417.0	16	8	6	1.1102230246251563e-15	0.0190137937504718	7.66243524643589e-06	766.243524643589	4.192997379900762e-06	419.2997379900762	346.9437866535128	1.486992347436585e-12	NR_024067	Snhg6	-	0	NM_177722	Mcmdc2	+	-1155
chr1	10014629	10015032	10014829.0	5	1	1	2.987890715955288e-07	0.0054352934612392	2.394511014511216e-06	239.4511014511216	5.241246724875953e-07	52.412467248759526	187.03863420236203	0.0001572164068506	NR_110971	Ppp1r42	-	-5494	NM_001277101	Cops5	-	9568
chr1	10877027	10877630	10877367.0	11	4	5	3.3830405143930875e-10	0.0011253011736748	5.267924231924674e-06	526.7924231924675	2.096498689950381e-06	209.6498689950381	317.1425541974294	2.631056263381645e-07	NR_030645	Mir467e	-	-11154	NM_029525	Prex2	+	115835
chr1	12658111	12658720	12658517.0	11	4	6	2.3539947768824728e-11	0.0095402682407025	5.267924231924674e-06	526.7924231924675	2.096498689950381e-06	209.6498689950381	317.1425541974294	2.0789943080430753e-08	NR_045297	Gm17644	+	8843	NM_001198566	Sulf1	+	33710
chr1	12991214	12991735	12991532.0	15	5	6	1.5543122344752194e-15	0.0008411021430626	7.183533043533647e-06	718.3533043533647	2.6206233624379764e-06	262.06233624379763	456.2909681095671	2.055804398534746e-12	NM_172841	Slco5a1	-	-80	NM_001081209	Prdm14	-	121693
