"SYMBOL","peak","annotation","distanceToTSS","peak_log2FC","rna_log2FC","rna_padj"
"Gm10421","chr12-117151147-117151510","Promoter (<=1kb)",0,4.83008029979646,NA,NA
"Bcas3","chr11-85492106-85493219","Promoter (<=1kb)",0,4.38045501794831,0.160529940866486,0.00240128246641095
"Sox2ot","chr3-34559844-34560641","Promoter (<=1kb)",0,4.179871417989,0.736416736016271,8.50698144508627e-103
"Mfsd4b5","chr10-39974650-39975354","Promoter (<=1kb)",0,4.11219889672229,NA,NA
"Lsp1","chr7-142474724-142475224","Promoter (<=1kb)",0,4.06939649249425,0.221465208825417,3.20935253396584e-50
"Wnt10b","chr15-98778573-98779326","Promoter (<=1kb)",-423,4.02650989216495,0.217861258986753,6.11331954354801e-123
"C1qtnf1","chr11-118433313-118433822","Promoter (<=1kb)",-31,3.91535436495218,0.0894454710855755,2.63758963890588e-11
"Rubie","chr14-46577619-46578891","Promoter (1-2kb)",-1772,3.77684882886839,NA,NA
"Gramd1b","chr9-40391473-40392948","Promoter (<=1kb)",0,3.74437176123758,NA,NA
"A930006K02Rik","chr16-91464527-91465449","Promoter (<=1kb)",0,3.60039544017428,NA,NA
"Nalcn","chr14-123626167-123627250","Promoter (<=1kb)",0,3.58467441668655,NA,NA
"Meis2","chr2-116049025-116049334","Promoter (<=1kb)",0,3.5775899882822,1.33534378944121,0
"P2ry12","chr3-59228573-59229889","Promoter (<=1kb)",-992,3.52181690501482,NA,NA
"Nhsl1","chr10-18407220-18407903","Promoter (<=1kb)",0,3.49012326522226,0.319781680023717,1.69074709345551e-26
"Ank2","chr3-126975703-126976147","Promoter (<=1kb)",7,3.44540096918787,0.573601069989269,6.66435112363844e-69
"Tnfsf11","chr14-78306982-78308303","Promoter (<=1kb)",0,3.4396819930468,NA,NA
"Arhgap22","chr14-33250062-33250839","Promoter (<=1kb)",0,3.38978886782614,0.480364914818094,4.85632210934344e-178
"Tspyl5","chr15-33686997-33688125","Promoter (<=1kb)",0,3.37123842254579,NA,NA
"Sorbs3","chr14-70205734-70206910","Promoter (<=1kb)",0,3.35536361493485,0.213747817038766,3.12744290174553e-25
"Smim43","chr3-36532081-36532300","Promoter (<=1kb)",84,3.35425257802276,NA,NA
"Layn","chr9-51075607-51077608","Promoter (<=1kb)",0,3.34517057488137,0.350010796625048,1.01828870426541e-121
"Arhgef3","chr14-27335720-27336265","Promoter (<=1kb)",0,3.33274065312768,NA,NA
"Pkib","chr10-57727479-57728006","Promoter (<=1kb)",0,3.32137458015257,NA,NA
"Shroom1","chr11-53457015-53457853","Promoter (<=1kb)",0,3.31611913199774,NA,NA
"Myo1b","chr1-51821747-51822691","Promoter (1-2kb)",-1201,3.30768887350791,0.670694586736839,6.79111811311162e-251
"Plekhb2","chr1-34851576-34851907","Promoter (<=1kb)",0,3.28884704438413,0.101702674652134,8.34476087864155e-19
"Npepl1","chr2-174109866-174111251","Promoter (<=1kb)",0,3.26957462874376,0.49968749083483,1.60571510248142e-194
"Srebf1","chr11-60210277-60210715","Promoter (<=1kb)",0,3.25933760762015,0.268580802250284,1.05415845607436e-114
"Oma1","chr4-103328989-103329958","Promoter (<=1kb)",81,3.25583360267409,0.102277494472834,2.79281464337489e-05
"D630033O11Rik","chr9-43270801-43271147","Promoter (<=1kb)",0,3.23966442301267,NA,NA
"Tspan8","chr10-115816375-115816840","Promoter (<=1kb)",0,3.22570562881177,NA,NA
"Pvt1","chr15-62216433-62217214","Promoter (1-2kb)",-1009,3.2125156571578,0.2849479118083,8.57943401096483e-10
"Srrm1","chr4-135328899-135329548","Promoter (1-2kb)",-1676,3.16530575799316,0.198666445724955,6.04184644496681e-06
"Mtarc1","chr1-184808396-184809006","Promoter (<=1kb)",0,3.14548473247746,NA,NA
"Slc15a4","chr5-127631807-127633056","Promoter (<=1kb)",0,3.13972462183478,NA,NA
"Syne2","chr12-76084495-76085763","Promoter (1-2kb)",-1997,3.13798807894191,0.274206149887591,8.150318329672e-21
"Fgf11","chr11-69802644-69803039","Promoter (<=1kb)",-787,3.13797132017209,NA,NA
"Nav3","chr10-109832481-109833329","Promoter (<=1kb)",0,3.13156171124024,0.983620752265599,0
"Osr1","chr12-9574170-9574869","Promoter (<=1kb)",0,3.12386955418529,0.118859818690235,1.23733120409739e-28
"Ptprf","chr4-118232165-118232397","Promoter (1-2kb)",-1065,3.11778948398857,0.387902556069534,7.96466389434102e-47
"Tnks","chr8-34890484-34891245","Promoter (<=1kb)",-333,3.09572202117369,0.00697550729560348,1
"Srrm4","chr5-116446433-116446960","Promoter (<=1kb)",0,3.07196955383652,NA,NA
"Adgrl2","chr3-148956716-148957834","Promoter (1-2kb)",-1929,3.07002428973307,0.0304497688381764,1
"E130006D01Rik","chr5-111761587-111762472","Promoter (<=1kb)",0,3.04779188157676,NA,NA
"Babam2","chr5-31596491-31597276","Promoter (<=1kb)",0,3.04548864285549,0.265736110880263,2.07653649204173e-19
"Wnt10a","chr1-74793323-74793568","Promoter (<=1kb)",0,3.02259552758174,NA,NA
"Hmcn1","chr1-150565717-150566544","Promoter (<=1kb)",-113,3.01632021588149,NA,NA
"Nid2","chr14-19803046-19803993","Promoter (1-2kb)",-1243,3.00942976396151,0.641725373805667,4.29297480145747e-134
"Oplah","chr15-76307178-76307512","Promoter (<=1kb)",0,3.00596513060096,NA,NA
"E2f2","chr4-136180011-136180802","Promoter (<=1kb)",0,3.00510307744633,NA,NA
"Nkx2-1","chr12-56534075-56536650","Promoter (<=1kb)",0,3.00398530019165,0.330445491553002,1.76437820173781e-176
"Rbm47","chr5-66174149-66174865","Promoter (1-2kb)",-1031,3.00158978521915,NA,NA
"Cpa4","chr6-30567961-30568564","Promoter (<=1kb)",0,3.00034534170221,NA,NA
"Sorbs1","chr19-40402222-40402868","Promoter (<=1kb)",0,2.99428950689632,-0.011364458214764,1
"Myom3","chr4-135797936-135798339","Promoter (<=1kb)",0,2.99377961827914,NA,NA
"Tbx3","chr5-119680157-119680994","Promoter (<=1kb)",0,2.99202286860344,0.202376428346597,6.3942718526432e-62
"Pi15","chr1-17601282-17601932","Promoter (<=1kb)",0,2.98073375624836,NA,NA
"A930004D18Rik","chr2-18039613-18040075","Promoter (1-2kb)",-1876,2.95846183906523,NA,NA
"Cd2","chr3-101280625-101282182","Promoter (<=1kb)",-236,2.95288504377236,NA,NA
"Pcdh9","chr14-93889136-93891617","Promoter (<=1kb)",0,2.94913459022773,0.626944435515848,5.5149707390357e-164
"Ebpl","chr14-61359916-61361067","Promoter (<=1kb)",0,2.94265547974077,0.292917062452362,2.43649421979065e-94
"Crispld2","chr8-119992283-119992491","Promoter (<=1kb)",0,2.93419182150347,NA,NA
"Hdac11","chr6-91156331-91157204","Promoter (<=1kb)",0,2.93091409208729,NA,NA
"Tbc1d4","chr14-101509317-101511271","Promoter (1-2kb)",-1991,2.92456561429563,0.251610957578625,2.62425295200856e-37
"Osbpl6","chr2-76566729-76567448","Promoter (<=1kb)",-672,2.91892987265738,0.311061717063642,4.08582745840304e-16
"Gpt","chr15-76697750-76698239","Promoter (<=1kb)",0,2.89888395246395,0.0881598922953656,4.70842713801984e-07
"Arhgap15os","chr2-44064582-44065431","Promoter (<=1kb)",0,2.89247543037175,NA,NA
"Necap2","chr4-141076118-141076447","Promoter (1-2kb)",-1061,2.88413178443885,0.0621553962090804,1
"Abca14","chr7-120203821-120204100","Promoter (<=1kb)",0,2.88175976581056,NA,NA
"Rufy3","chr5-88583236-88583653","Promoter (<=1kb)",0,2.87659646588481,0.096246168793694,0.0781271291289399
"Nnat","chr2-157561223-157561513","Promoter (<=1kb)",214,2.86078554094234,NA,NA
"Trim25","chr11-88998968-89000177","Promoter (<=1kb)",0,2.860207798465,NA,NA
"Gm973","chr1-59515963-59516963","Promoter (<=1kb)",0,2.8599406344074,NA,NA
"Micos10","chr4-139110721-139111144","Promoter (<=1kb)",99,2.84571428058425,0.249149108647179,1.21454001887504e-22
