Chr	Start	End	Center	Experiment Insertions	Background insertions	Reference Insertions	pvalue Reference	pvalue Background	Fraction Experiment	TPH Experiment	Fraction background	TPH background	TPH background subtracted	pvalue_adj Reference	Nearest Refseq1	Gene Name1	Direction1	Distance1	Nearest Refseq2	Gene Name2	Direction2	Distance2
chr1	4784900	4785471	4785220	31	17	6	0	0.016208152664542	1.48459682899695e-05	1484.59682899695	8.91011943228912e-06	891.011943228912	593.584885768042	0	NR_033530	Mrpl15	-	0	NM_008866	Lypla1	+	22422
chr1	4916025	4916592	4916389	9	3	5	1.47738599132197e-10	0.0142125126220435	4.31011982612019e-06	431.011982612019	1.57237401746279e-06	157.237401746279	273.77458086574	1.19862564965895e-07	NM_001290372	Rgs20	-	0	NM_011541	Tcea1	+	-18117
chr1	6281371	6281961	6281636	7	3	4	1.06214022765894e-06	0.0388042055082002	3.3523154203157e-06	335.23154203157	1.57237401746279e-06	157.237401746279	177.994140285292	0.0005138161750131	NM_009826	Rb1cc1	+	-5268	NM_001195732	Alkal1	+	77370
chr1	6306234	6306836	6306633	29	18	8	0	0.0110215443126709	1.38881638841651e-05	1388.81638841651	9.43424410477672e-06	943.424410477672	445.391977938834	0	NM_009826	Rb1cc1	+	-30131	NM_001195732	Alkal1	+	52495
chr1	9942108	9942682	9942417	16	8	6	1.11022302462516e-15	0.0190137937504718	7.66243524643589e-06	766.243524643589	4.19299737990076e-06	419.299737990076	346.943786653513	1.48699234743658e-12	NR_024067	Snhg6	-	0	NM_177722	Mcmdc2	+	-1155
chr1	10014629	10015032	10014829	5	1	1	2.98789071595529e-07	0.0054352934612392	2.39451101451122e-06	239.451101451122	5.24124672487595e-07	52.4124672487595	187.038634202362	0.0001572164068506	NR_110971	Ppp1r42	-	-5494	NM_001277101	Cops5	-	9568
chr1	10877027	10877630	10877367	11	4	5	3.38304051439309e-10	0.0011253011736748	5.26792423192467e-06	526.792423192467	2.09649868995038e-06	209.649868995038	317.142554197429	2.63105626338165e-07	NR_030645	Mir467e	-	-11154	NM_029525	Prex2	+	115835
chr1	10898540	10898943	10898740	12	6	4	2.07400763230225e-12	0.0224401821818769	5.74682643482692e-06	574.682643482692	3.14474803492557e-06	314.474803492557	260.207839990135	2.03854380361563e-09	NR_030645	Mir467e	-	-32667	NM_029525	Prex2	+	94522
chr1	10943202	10943827	10943541	40	24	8	0	0.001862875061889	1.91560881160897e-05	1915.60881160897	1.25789921397023e-05	1257.89921397023	657.709597638744	0	NM_029525	Prex2	+	49638	NR_030645	Mir467e	-	-77329
chr1	12619834	12620417	12620214	9	2	5	1.21110477202535e-09	0.000337305843837	4.31011982612019e-06	431.011982612019	1.04824934497519e-06	104.824934497519	326.1870481145	8.83654564451445e-07	NR_045297	Gm17644	+	47146	NM_001198566	Sulf1	+	72013
