Chr	Start	End	Center	Experiment Insertions	Background insertions	Reference Insertions	pvalue Reference	pvalue Background	Fraction Experiment	TPH Experiment	Fraction background	TPH background	TPH background subtracted	pvalue_adj Reference	Nearest Refseq1	Gene Name1	Direction1	Distance1	Nearest Refseq2	Gene Name2	Direction2	Distance2
chr1	4857269	4857866	4857663	22	18	4	0	0.0334484091025319	1.86720917580538e-05	1867.20917580538	1.20049940775363e-05	1200.49940775363	666.709768051757	0	NM_011541	Tcea1	+	0	NM_001159751	Tcea1	+	462
chr1	4858460	4859024	4858781	45	40	7	0	0.0211140256722857	3.81929149596555e-05	3819.29149596555	2.66777646167472e-05	2667.77646167472	1151.51503429083	0	NM_011541	Tcea1	+	0	NM_008866	Lypla1	+	-11726
chr1	4859557	4860097	4859828	12	8	8	3.9190872769268e-14	0.0207092252032901	1.01847773225748e-05	1018.47773225748	5.33555292334945e-06	533.555292334945	484.922439922537	4.74375450995344e-11	NM_011541	Tcea1	+	0	NM_008866	Lypla1	+	-12823
chr1	6215285	6215688	6215485	10	8	2	1.25199850486979e-12	0.0023013919520757	8.48731443547901e-06	848.731443547901	5.33555292334945e-06	533.555292334945	315.176151212956	1.31286821783929e-09	NM_009826	Rb1cc1	+	0	NM_001195732	Alkal1	+	143643
chr1	6274010	6274413	6274210	5	5	1	3.21891899357496e-07	0.0403757296687976	4.24365721773951e-06	424.365721773951	3.3347205770934e-06	333.47205770934	90.8936640646101	0.0001695792705161	NM_009826	Rb1cc1	+	0	NM_001195732	Alkal1	+	84918
chr1	6282928	6283331	6283128	23	33	3	0	0.0317728007013599	1.95208232016017e-05	1952.08232016017	2.20091558088165e-05	2200.91558088165	-248.833260721474	0	NM_009826	Rb1cc1	+	-6825	NM_001195732	Alkal1	+	76000
chr1	6286893	6287296	6287093	12	16	2	1.11022302462516e-15	0.0498116724684384	1.01847773225748e-05	1018.47773225748	1.06711058466989e-05	1067.11058466989	-48.6328524124079	1.5440223146008e-12	NM_009826	Rb1cc1	+	-10790	NM_001195732	Alkal1	+	72035
chr1	6360131	6360756	6360553	19	21	3	0	0.0036660553210677	1.61258974274101e-05	1612.58974274101	1.40058264237923e-05	1400.58264237923	212.007100361782	0	NM_001195732	Alkal1	+	0	NM_009826	Rb1cc1	+	-84028
chr1	6380055	6380519	6380255	7	5	2	1.40217376598528e-08	0.0039928862315986	5.94112010483531e-06	594.112010483531	3.3347205770934e-06	333.47205770934	260.63995277419	9.07222924695383e-06	NM_001195732	Alkal1	+	0	NM_009826	Rb1cc1	+	-103952
chr1	6383122	6383525	6383322	15	16	2	0	0.0058323704228779	1.27309716532185e-05	1273.09716532185	1.06711058466989e-05	1067.11058466989	205.986580651962	0	NM_001195732	Alkal1	+	0	NM_001244693	St18	+	103706
chr1	6623814	6624217	6624014	6	4	1	1.720282249984e-08	0.0059162291046677	5.09238866128741e-06	509.238866128741	2.66777646167472e-06	266.777646167472	242.461219961268	1.10099525598187e-05	NM_001244693	St18	+	0	NR_045189	St18	+	105834
chr1	7089145	7089922	7089345	49	14	5	0	3.44169137633799e-15	4.15878407338472e-05	4158.78407338472	9.33721761586153e-06	933.721761586153	3225.06231179856	0	NM_183028	Pcmtd1	+	0	NM_001244693	St18	+	-228206
chr1	8713430	8713920	8713672	5	2	5	1.28723912640183e-08	0.0057347579168748	4.24365721773951e-06	424.365721773951	1.33388823083736e-06	133.388823083736	290.976898690214	8.37193075794762e-06	NM_001290390	Sntg1	-	0	NM_021511	Rrs1	+	831488
chr1	9238204	9238607	9238404	16	10	2	0	0.0046535239821094	1.35797030967664e-05	1357.97030967664	6.66944115418681e-06	666.944115418681	691.026194257961	0	NM_001290390	Sntg1	-	0	NM_021511	Rrs1	+	306801
chr1	9638760	9639210	9638960	5	2	3	1.22919828671186e-06	0.0053604018046162	4.24365721773951e-06	424.365721773951	1.33388823083736e-06	133.388823083736	290.976898690214	0.0005952711234089	NR_015470	2610203C22Rik	-	-7669	NM_178399	3110035E14Rik	+	-11619
chr1	9661002	9661662	9661350	19	15	6	0	0.0109962651631215	1.61258974274101e-05	1612.58974274101	1.00041617312802e-05	1000.41617312802	612.173569612991	0	NM_008651	Mybl1	-	5749	NR_015470	2610203C22Rik	-	-29911
chr1	9698807	9699334	9699131	5	3	3	1.39739651072723e-06	0.0296819830609923	4.24365721773951e-06	424.365721773951	2.00083234625604e-06	200.083234625604	224.282487148346	0.0006701767972256	NM_008651	Mybl1	-	0	NM_173443	Vcpip1	-	19288
chr1	9700629	9701092	9700889	19	12	3	0	0.0008855337825501	1.61258974274101e-05	1612.58974274101	8.00332938502417e-06	800.332938502417	812.256804238595	0	NM_008651	Mybl1	-	-421	NM_173443	Vcpip1	-	17530
