"Peak","avg_log2FC","p_val","p_val_adj","pct_Male","pct_Female","nearest_gene","distance_to_nearest_gene","Significant","Direction"
"chrY-1009731-1010708",11.8499,0,0,0.452,0,"Eif2s3y",0,"Yes","Male-enriched"
"chrY-1244657-1245956",11.7785,0,0,0.406,0,"Uty",0,"Yes","Male-enriched"
"chrY-897371-898261",11.4803,4.88041945488601e-277,9.81032636304457e-272,0.266,0,"Kdm5d",0,"Yes","Male-enriched"
"chrY-1115322-1115838",8.9159,2.17966364726128e-148,4.38142908390578e-143,0.147,0,"Uty",0,"Yes","Male-enriched"
"chrX-47550207-47551097",6.6548,5.33358941255367e-206,1.07212614217506e-200,0.212,0.003,"Gm14608",34920,"Yes","Male-enriched"
"chr14-23741489-23742187",6.2534,1.24425903660008e-174,2.50113485983128e-169,0.184,0.003,"Kcnma1",0,"Yes","Male-enriched"
"chr6-51076422-51077974",5.5712,0,0,0.357,0.015,"Gm29004",72168,"Yes","Male-enriched"
"chr10-103597280-103598428",5.2294,3.5925551385096e-291,7.22153878612369e-286,0.321,0.013,"Gm26923",14886,"Yes","Male-enriched"
"chr3-130356117-130356760",4.954,1.45126173924249e-85,2.91723927252089e-80,0.102,0.005,"Col25a1",0,"Yes","Male-enriched"
"chr13-58929690-58930534",4.9377,0,0,0.403,0.019,"Ntrk2",0,"Yes","Male-enriched"
"chr14-59447789-59448266",4.8977,9.44903554739786e-96,1.89938843152463e-90,0.11,0.004,"Cab39l",0,"Yes","Male-enriched"
"chr12-117151147-117151510",4.8301,0,0,0.385,0.019,"Ptprn2",0,"Yes","Male-enriched"
"chr11-74505029-74505969",4.7985,0,0,0.386,0.02,"Rap1gap2",0,"Yes","Male-enriched"
"chr11-42715516-42716146",4.7763,4.94241810169916e-147,9.93495232294956e-142,0.172,0.007,"Gabrb2",86487,"Yes","Male-enriched"
"chr13-107994908-107995725",4.7066,1.39530552043323e-300,2.80475943884366e-295,0.347,0.019,"Smim15",50698,"Yes","Male-enriched"
"chr11-25669994-25670426",4.6977,9.62209538364811e-115,1.93417588144864e-109,0.137,0.006,"5730522E02Rik",0,"Yes","Male-enriched"
"chr8-96920099-96920527",4.6943,1.32513708185002e-98,2.66371105371e-93,0.121,0.006,"Gm24132",263879,"Yes","Male-enriched"
"chr3-130310541-130311186",4.6471,1.43288981024194e-170,2.88030912315973e-165,0.203,0.01,"Col25a1",0,"Yes","Male-enriched"
"chr7-66962559-66963181",4.5959,1.85992388761096e-174,3.73870740344229e-169,0.204,0.009,"Adamts17",0,"Yes","Male-enriched"
"chr10-125197621-125198292",4.5636,2.16016527744877e-279,4.34223463081088e-274,0.328,0.018,"Slc16a7",28171,"Yes","Male-enriched"
"chr3-130432463-130433543",4.5056,0,0,0.419,0.03,"Col25a1",0,"Yes","Male-enriched"
"chr16-55741128-55741872",4.4905,1.71883390091231e-282,3.45509677757988e-277,0.34,0.022,"Gm26369",37172,"Yes","Male-enriched"
"chr2-170825723-170826487",4.479,6.05465097902078e-170,1.21706961189688e-164,0.208,0.012,"Dok5",0,"Yes","Male-enriched"
"chr8-92628685-92629317",4.4567,3.43355881143502e-92,6.90193390921798e-87,0.117,0.007,"Irx6",44970,"Yes","Male-enriched"
"chr10-77321610-77322158",4.4485,4.12472524592623e-253,8.29127520584615e-248,0.31,0.02,"Adarb1",0,"Yes","Male-enriched"
"chr2-138361940-138362980",4.4031,0,0,0.613,0.054,"Btbd3",0,"Yes","Male-enriched"
"chr18-73771036-73771764",4.3973,0,0,0.422,0.028,"Me2",0,"Yes","Male-enriched"
"chr8-56422921-56423488",4.3846,6.81190092385051e-94,1.36928745230689e-88,0.118,0.007,"Gm24375",97883,"Yes","Male-enriched"
"chr4-54894271-54894869",4.3838,6.91220315940457e-113,1.38944960588455e-107,0.144,0.009,"Gm12479",39558,"Yes","Male-enriched"
"chr11-85492106-85493219",4.3805,1.03239465482304e-293,2.07525779144599e-288,0.346,0.019,"Bcas3",0,"Yes","Male-enriched"
"chr17-68758027-68759505",4.3638,0,0,0.542,0.041,"L3mbtl4",0,"Yes","Male-enriched"
"chr1-51823595-51824044",4.3634,5.81455942970001e-92,1.16880784920172e-86,0.118,0.007,"Myo1b",0,"Yes","Male-enriched"
"chr9-68777064-68777798",4.3555,1.88283156793615e-141,3.78475504797117e-136,0.174,0.01,"Rora",0,"Yes","Male-enriched"
"chr19-26140014-26140996",4.3366,1.8061636572866e-203,3.63064181405808e-198,0.255,0.017,"Gm25176",119372,"Yes","Male-enriched"
"chr1-151548809-151549536",4.2709,1.56126597878076e-234,3.13836319458635e-229,0.297,0.022,"Gm28181",0,"Yes","Male-enriched"
"chr8-91280534-91281669",4.2357,0,0,0.476,0.037,"Rpgrip1l",0,"Yes","Male-enriched"
"chr13-58924124-58924940",4.218,5.84724006838265e-228,1.17537711510587e-222,0.294,0.023,"Ntrk2",0,"Yes","Male-enriched"
"chr16-23295352-23296134",4.2085,3.95894581939792e-293,7.95803534940454e-288,0.371,0.031,"St6gal1",0,"Yes","Male-enriched"
"chr13-108135670-108136065",4.2006,1.16253323282106e-157,2.33685455262293e-152,0.2,0.013,"Ndufaf2",0,"Yes","Male-enriched"
"chr15-54261852-54262607",4.1907,7.2994821006556e-150,1.46729809498119e-144,0.188,0.011,"Tnfrsf11b",0,"Yes","Male-enriched"
"chr1-30718232-30719113",4.1901,2.6280422751793e-158,5.28273289902893e-153,0.207,0.015,"Gm9898",0,"Yes","Male-enriched"
"chr14-8610117-8610454",4.1805,1.35380726031003e-87,2.72134212623961e-82,0.111,0.006,"4930452B06Rik",0,"Yes","Male-enriched"
"chr3-34559844-34560641",4.1799,0,0,0.438,0.03,"Gm27403",0,"Yes","Male-enriched"
"chr2-170826780-170827279",4.1616,1.68510350011351e-125,3.38729394971818e-120,0.162,0.011,"Dok5",0,"Yes","Male-enriched"
"chr10-20675177-20675937",4.1373,6.08777295473292e-160,1.22372759272268e-154,0.21,0.015,"Pde7b",0,"Yes","Male-enriched"
"chr9-40381573-40382763",4.1349,4.1685628325792e-237,8.37939489228075e-232,0.299,0.021,"Gramd1b",0,"Yes","Male-enriched"
"chr3-34575273-34576497",4.1154,5.21401372755668e-250,1.04808975543108e-244,0.316,0.023,"Gm27294",14490,"Yes","Male-enriched"
"chr10-19463789-19465034",4.1127,0,0,0.506,0.051,"Olig3",105182,"Yes","Male-enriched"
"chr10-39974650-39975354",4.1122,1.14212655962866e-169,2.29583428257195e-164,0.211,0.012,"BC021785",0,"Yes","Male-enriched"
"chr12-51185097-51186292",4.0989,6.20015670742528e-239,1.24631830038639e-233,0.308,0.024,"Gm22088",99293,"Yes","Male-enriched"
"chr14-33312346-33312674",4.0738,6.06642208721978e-115,1.2194357694404e-109,0.153,0.011,"Arhgap22",0,"Yes","Male-enriched"
"chr11-19014684-19014962",4.0706,1.84904356305131e-151,3.71683642783195e-146,0.193,0.012,"Meis1",0,"Yes","Male-enriched"
"chr4-102628426-102629042",4.0701,5.37792977281618e-118,1.08103917535287e-112,0.155,0.011,"Pde4b",21166,"Yes","Male-enriched"
"chr7-142474724-142475224",4.0694,1.68590422034628e-294,3.38890350948686e-289,0.378,0.032,"Lsp1",0,"Yes","Male-enriched"
"chr12-56518039-56518795",4.0615,6.4088437948583e-175,1.28826732657965e-169,0.226,0.016,"Nkx2-1",13162,"Yes","Male-enriched"
"chr14-93543466-93544505",4.0582,4.8252633399829e-106,9.69945485023322e-101,0.139,0.009,"Pcdh9",0,"Yes","Male-enriched"
"chr13-78426355-78428368",4.048,0,0,0.44,0.039,"Gm6317",47220,"Yes","Male-enriched"
"chr14-45962516-45962915",4.0334,2.234407818915e-113,4.4914725331138e-108,0.151,0.011,"Gm15218",0,"Yes","Male-enriched"
"chr14-79273653-79274470",4.0271,4.55020044021644e-174,9.14653991289667e-169,0.231,0.018,"Rgcc",14285,"Yes","Male-enriched"
"chr15-98778573-98779326",4.0265,0,0,0.411,0.041,"Wnt10b",422,"Yes","Male-enriched"
"chr7-73791022-73791394",4.0232,3.31540926022051e-77,6.66443677033966e-72,0.102,0.007,"Gm10619",0,"Yes","Male-enriched"
"chr13-114742313-114742901",4.0217,3.17424674028087e-118,6.38068034250819e-113,0.156,0.011,"4930544M13Rik",44490,"Yes","Male-enriched"
"chr3-34558954-34559467",3.9976,8.00849614360579e-187,1.60981984381077e-181,0.241,0.017,"Gm27403",872,"Yes","Male-enriched"
"chr3-24690173-24690961",3.9882,5.91099760845061e-247,1.18819327326509e-241,0.326,0.028,"Gm24062",27754,"Yes","Male-enriched"
"chr1-163894277-163894568",3.987,4.96195497790713e-116,9.97422417929024e-111,0.148,0.009,"Kifap3",0,"Yes","Male-enriched"
