"SYMBOL","peak","annotation","distanceToTSS","peak_log2FC","rna_log2FC","rna_padj"
"4930591A17Rik","chr2-179412968-179413378","Promoter (1-2kb)",-1558,-7.51466966325394,NA,NA
"Mir2139","chr4-139966697-139968346","Promoter (<=1kb)",0,-5.93910961258808,NA,NA
"Zic4","chr9-91377547-91378632","Promoter (<=1kb)",0,-5.44251427001769,-1.14656418325225,7.59259230474634e-269
"Zic1","chr9-91364517-91366582","Promoter (<=1kb)",0,-5.18427041033753,-1.57002566090096,0
"Dlx1as","chr2-71538744-71539335","Promoter (<=1kb)",-853,-5.02146609441227,NA,NA
"Zfp951","chr5-104858889-104860499","Promoter (<=1kb)",0,-5.00104962438587,NA,NA
"Cdh4","chr2-179441668-179444268","Promoter (<=1kb)",0,-4.94429236934763,-1.25741430561082,2.71883116169778e-260
"4932435O22Rik","chr11-114448392-114449419","Promoter (<=1kb)",0,-4.88762881685362,NA,NA
"C2cd2","chr16-97872091-97873066","Promoter (1-2kb)",-1811,-4.73110950068543,-0.0942196468409249,0.0054438322468045
"Pde2a","chr7-101454482-101455581","Promoter (<=1kb)",-481,-4.72250371011284,-0.373375533487229,1.03315493980961e-72
"Sdk1","chr5-141240348-141242212","Promoter (<=1kb)",0,-4.3650292143822,-1.08737264319114,5.22974933179165e-236
"BC034090","chr1-155243768-155245501","Promoter (<=1kb)",0,-4.34260117570004,-0.221896618881253,5.98679922995692e-40
"Vsx1","chr2-150687828-150689435","Promoter (<=1kb)",0,-4.16718910600538,NA,NA
"B3galt5","chr16-96278529-96279347","Promoter (1-2kb)",-1451,-4.14340353862755,NA,NA
"Dreh","chr17-64764935-64766258","Promoter (<=1kb)",-853,-4.13282314170411,NA,NA
"Arfgap3","chr15-83333257-83334237","Promoter (<=1kb)",0,-4.09219920557415,0.0146005389585541,1
"C1qtnf3","chr15-10951558-10952984","Promoter (<=1kb)",0,-4.05723376314845,NA,NA
"Ldlrad3","chr2-102137788-102138880","Promoter (<=1kb)",0,-4.04844821413312,-0.136593278176455,2.06657752797944e-07
"Col6a5","chr9-105959751-105961226","Promoter (<=1kb)",0,-3.93446800347727,NA,NA
"Hkdc1","chr10-62401111-62402385","Promoter (<=1kb)",-750,-3.93153658161236,NA,NA
"Gm5089","chr14-122405526-122407377","Promoter (<=1kb)",0,-3.88454881430184,-0.28594499268988,4.9864094403434e-51
"Vps8","chr16-21627070-21628537","Promoter (<=1kb)",0,-3.82083321858892,-0.0645218980046903,1
"AU016765","chr17-64554476-64555563","Promoter (<=1kb)",0,-3.72977852396451,NA,NA
"1700092K14Rik","chr11-114198022-114198915","Promoter (<=1kb)",0,-3.71197687864465,NA,NA
"Pla2g2a","chr4-138829795-138830843","Promoter (1-2kb)",-1014,-3.71025676898365,NA,NA
"Vac14","chr8-110643971-110644619","Promoter (<=1kb)",-961,-3.66577311902493,0.0377370409007252,1
"Syt13","chr2-92911956-92913198","Promoter (1-2kb)",-1900,-3.6474088033574,NA,NA
"Fpgs","chr2-32685647-32686194","Promoter (<=1kb)",0,-3.64463988873045,0.0408726710949897,1
"Ceacam5","chr7-17709494-17711440","Promoter (1-2kb)",-1798,-3.63729958886195,NA,NA
"Igfn1","chr1-135982151-135983646","Promoter (<=1kb)",0,-3.63416149940832,NA,NA
"Clec4d","chr6-123259953-123260649","Promoter (1-2kb)",-1462,-3.52763049201494,NA,NA
"Oxct1","chr15-4141380-4142063","Promoter (<=1kb)",-460,-3.48925102311706,-0.547622798428482,1.62337167958365e-84
"Trap1","chr16-4045338-4046533","Promoter (<=1kb)",-640,-3.43745875154106,0.0652114372569602,1
"Ifitm1","chr7-140968451-140969481","Promoter (<=1kb)",411,-3.43627161592784,0.0772704051673317,1
"Megf6","chr4-154236502-154237959","Promoter (<=1kb)",0,-3.42785063131128,NA,NA
"Raet1e","chr10-22165780-22166314","Promoter (<=1kb)",142,-3.41592803115793,-0.369268244195562,1.57182677214788e-69
"Nup214","chr2-32033222-32034000","Promoter (<=1kb)",0,-3.40813452466787,-0.198961231810656,8.93960888375787e-05
"Lrmda","chr14-22309704-22310558","Promoter (<=1kb)",0,-3.38436222231146,NA,NA
"Casp7","chr19-56425209-56426689","Promoter (<=1kb)",0,-3.36751604701097,NA,NA
"Gm31592","chr10-91888151-91888991","Promoter (<=1kb)",0,-3.35361118635648,NA,NA
"Nlgn1","chr3-26333192-26334197","Promoter (<=1kb)",-732,-3.3314572303664,NA,NA
"Kazn","chr4-142159703-142160551","Promoter (<=1kb)",-649,-3.33015268688729,NA,NA
"Otx2","chr14-48675239-48675528","Promoter (1-2kb)",-1420,-3.31699281469994,-0.430388240108318,3.5127960911772e-68
"1700080N15Rik","chr2-4141533-4142852","Promoter (<=1kb)",-392,-3.28284372286652,NA,NA
"Dsg1a","chr18-20309138-20309983","Promoter (<=1kb)",-828,-3.27185837537593,NA,NA
"Kdm2b","chr5-122954704-122955469","Promoter (1-2kb)",-1587,-3.23875168799497,-0.0406787519622128,1
"Gldnos","chr9-54301087-54301840","Promoter (<=1kb)",0,-3.21096511680273,NA,NA
"Acss1","chr2-150639907-150640461","Promoter (1-2kb)",-1792,-3.20778202221661,NA,NA
"Bmp10","chr6-87427058-87428007","Promoter (<=1kb)",-987,-3.19610030584311,NA,NA
"Nup50l","chr6-96165360-96166295","Promoter (<=1kb)",0,-3.19343379232943,NA,NA
"Neto1","chr18-86393742-86396600","Promoter (<=1kb)",0,-3.16825152955749,-0.273754235042616,7.6095864172174e-46
"Gm10804","chr2-93452377-93453140","Promoter (<=1kb)",0,-3.13720344885336,NA,NA
"Slco4a1","chr2-180455725-180457028","Promoter (<=1kb)",0,-3.11410256941842,NA,NA
"Tacr1","chr6-82401042-82403074","Promoter (<=1kb)",0,-3.11128751319059,NA,NA
"Hhipl1","chr12-108303458-108304410","Promoter (1-2kb)",-1860,-3.1084695402745,NA,NA
"Rpn2","chr2-157313759-157315080","Promoter (<=1kb)",0,-3.10346285607793,-0.386940372260583,3.60142002409685e-37
"Bco1","chr8-117093867-117094787","Promoter (1-2kb)",-1067,-3.09995843859085,NA,NA
"Clybl","chr14-122255626-122256801","Promoter (1-2kb)",-1240,-3.07423846063956,-0.158288632561119,1.38722862622732e-05
"Fgfr4","chr13-55154840-55155517","Promoter (<=1kb)",-166,-3.07243414979944,NA,NA
"Psmf1","chr2-151719900-151720810","Promoter (<=1kb)",185,-3.05472732854858,-0.00185562679437384,1
"Dhrs7c","chr11-67797590-67799030","Promoter (<=1kb)",0,-3.04674141787078,NA,NA
"3100003L05Rik","chr7-124708757-124709810","Promoter (<=1kb)",0,-3.03453234479834,NA,NA
"Frzb","chr2-80446427-80448817","Promoter (<=1kb)",0,-3.03128174980765,NA,NA
"Pfkfb4","chr9-108998779-108999592","Promoter (<=1kb)",0,-3.02267124922076,NA,NA
"Kif1a","chr1-93068345-93068971","Promoter (<=1kb)",0,-2.99949597995252,NA,NA
"Shank2","chr7-144175365-144176319","Promoter (<=1kb)",0,-2.97993546723091,NA,NA
"Mdga1","chr17-29890493-29890735","Promoter (<=1kb)",-533,-2.9735506267198,NA,NA
"Tmem62","chr2-120983679-120983988","Promoter (<=1kb)",-382,-2.91584451985869,NA,NA
"Rdh10","chr1-16127593-16128543","Promoter (1-2kb)",-1959,-2.910970708871,-0.208114996130468,6.79462119284697e-17
"Aif1l","chr2-31966860-31967423","Promoter (1-2kb)",-1897,-2.90046252556032,NA,NA
"Bdkrb1","chr12-105601158-105603208","Promoter (<=1kb)",-883,-2.89888019413411,NA,NA
"D030045P18Rik","chr10-45806673-45807865","Promoter (<=1kb)",0,-2.87826306765773,NA,NA
"Casq2","chr3-102125371-102126184","Promoter (<=1kb)",0,-2.86533186603772,NA,NA
"Jakmip2","chr18-43540812-43541631","Promoter (<=1kb)",-201,-2.86355689718002,NA,NA
"Slc35c2","chr2-165276574-165278169","Promoter (<=1kb)",0,-2.85563538502756,-0.149896128763988,2.29737293043904e-06
"Pax6","chr2-105668535-105668962","Promoter (<=1kb)",0,-2.85275527808805,-0.906306215179098,5.65583776379004e-166
"Rigi","chr4-40207466-40208155","Promoter (<=1kb)",388,-2.85254730996982,NA,NA
"Nfasc","chr1-132625661-132626611","Promoter (1-2kb)",-1149,-2.85026304732272,NA,NA
"Defb45","chr2-152601259-152601781","Promoter (1-2kb)",-1860,-2.84720372401592,NA,NA
"Dsg1b","chr18-20374677-20375818","Promoter (<=1kb)",-911,-2.83836319131062,NA,NA
"2410004P03Rik","chr12-17012049-17013105","Promoter (<=1kb)",-322,-2.82941838813355,NA,NA
"Supt4b","chr10-31416121-31417418","Promoter (1-2kb)",-1956,-2.8176925311444,NA,NA
"Mpped2","chr2-106692812-106695895","Promoter (<=1kb)",0,-2.80935971878157,-0.907470616434037,5.04953756299676e-185
"Rcbtb2","chr14-73172052-73173067","Promoter (<=1kb)",-817,-2.80644938351781,0.236929991744568,2.99228594469322e-17
"Gm31369","chr15-80437728-80439044","Promoter (<=1kb)",0,-2.80490309189316,NA,NA
"Gm29682","chr8-104105777-104107594","Promoter (<=1kb)",0,-2.79301571501564,NA,NA
"Gbp10","chr5-105238840-105239895","Promoter (<=1kb)",0,-2.78848427239227,NA,NA
"Caskin1","chr17-24499460-24500089","Promoter (<=1kb)",-337,-2.76946040465555,NA,NA
"Chrm3","chr13-10359584-10361158","Promoter (<=1kb)",0,-2.76441406470217,-0.277349139392855,3.11452449679077e-37
"Ngb","chr12-87104254-87105409","Promoter (1-2kb)",-1715,-2.76368750169122,NA,NA
"Il17ra","chr6-120472707-120473875","Promoter (<=1kb)",0,-2.76050032501844,-0.204078281064864,2.84363724894655e-15
"Cd244a","chr1-171558895-171559240","Promoter (<=1kb)",0,-2.73088722649611,NA,NA
"Elapor1","chr3-108468808-108469913","Promoter (<=1kb)",168,-2.7307891595821,NA,NA
"Itgb6","chr2-60724228-60725002","Promoter (1-2kb)",-1585,-2.72664629256059,NA,NA
"Chn2","chr6-54263833-54264647","Promoter (<=1kb)",-211,-2.71905005774236,NA,NA
"Il7","chr3-7607142-7607606","Promoter (1-2kb)",-1278,-2.71866476679281,NA,NA
"Asph","chr4-9594967-9596687","Promoter (<=1kb)",0,-2.71370003234867,0.310399652381022,8.63744184872681e-34
"1700104L18Rik","chr12-54232250-54234014","Promoter (<=1kb)",0,-2.68982858964085,NA,NA
"Lrp2","chr2-69586825-69587624","Promoter (<=1kb)",-760,-2.65881454833056,-3.0701911606156,0
"Tfpi","chr2-84474128-84475010","Promoter (<=1kb)",0,-2.63864040884904,NA,NA
"Pax3","chr1-78196297-78197441","Promoter (<=1kb)",0,-2.63712122941676,-0.213287920785088,1.27073563538744e-39
"Pla2g5","chr4-138818722-138819648","Promoter (<=1kb)",0,-2.6356476235456,NA,NA
"Slc25a29","chr12-108831889-108832596","Promoter (<=1kb)",-272,-2.61922688451871,NA,NA
"Mir6394","chr7-96303635-96304396","Promoter (1-2kb)",-1271,-2.59870451209199,NA,NA
"Gm21859","chr16-10937631-10938263","Promoter (<=1kb)",101,-2.59564144843589,NA,NA
"Sntg2","chr12-30372280-30373779","Promoter (<=1kb)",0,-2.58314375294613,NA,NA
"Whrn","chr4-63460854-63461407","Promoter (<=1kb)",0,-2.55808561314955,NA,NA
"5330413P13Rik","chr2-131846910-131848313","Promoter (<=1kb)",0,-2.55069000380903,NA,NA
"Itsn1","chr16-91804412-91805332","Promoter (<=1kb)",0,-2.55008438470387,-0.0341868138401892,1
"Fmo1","chr1-162831642-162832793","Promoter (1-2kb)",-1169,-2.54057337745243,NA,NA
"Slc6a9","chr4-117846814-117847563","Promoter (1-2kb)",-1630,-2.53966355393154,0.0550236826103844,1
"Mir344i","chr7-62084685-62085734","Promoter (<=1kb)",0,-2.53283886420995,NA,NA
"Dlgap2","chr8-14382372-14383253","Promoter (<=1kb)",376,-2.5328037380025,NA,NA
"Gm10636","chr3-146379620-146380611","Promoter (<=1kb)",-676,-2.5318438596805,NA,NA
"Rbp2","chr9-98489733-98490526","Promoter (<=1kb)",-11,-2.52811145841201,NA,NA
"Wdr4","chr17-31503586-31505331","Promoter (<=1kb)",-7,-2.52199252628964,-0.0295706982076426,1
"Svil","chr18-5063021-5063598","Promoter (<=1kb)",-874,-2.52049011437733,-0.356295989024866,3.05174632746202e-26
"Tiam2","chr17-3490105-3490766","Promoter (<=1kb)",0,-2.5193013640947,0.14694442737308,1
"Pcdhga3","chr18-37674079-37675070","Promoter (<=1kb)",0,-2.50043644066687,NA,NA
"Tmem163","chr1-127676692-127678387","Promoter (<=1kb)",0,-2.49755050319577,-0.482886829899491,1.88022282638629e-92
"Tiam1","chr16-89920072-89921000","Promoter (1-2kb)",-1087,-2.48666765398873,-0.164903300850833,1.91593223015437e-13
"C230072F16Rik","chr17-80896183-80896908","Promoter (<=1kb)",0,-2.48479264797893,NA,NA
"Slc18b1","chr10-23804420-23805141","Promoter (<=1kb)",-835,-2.47829336568766,0.0476038292550118,1
"Arhgap8","chr15-84769222-84770217","Promoter (<=1kb)",0,-2.47336168105373,NA,NA
"Snx20","chr8-88637162-88637913","Promoter (1-2kb)",-1034,-2.47314245081418,NA,NA
"Stom","chr2-35320372-35320928","Promoter (<=1kb)",0,-2.46754107772986,0.0234267430629707,1
"1700034K08Rik","chr9-92991449-92992123","Promoter (<=1kb)",-716,-2.46050876397166,NA,NA
"Slc25a28","chr19-43668758-43669642","Promoter (1-2kb)",-1615,-2.45608005843845,-0.118835948390058,0.000955830418820168
"Gm12532","chr3-37182345-37183494","Promoter (<=1kb)",0,-2.4549703129198,NA,NA
"Trim44","chr2-102407055-102408167","Promoter (<=1kb)",0,-2.44924164855861,-0.404970274880885,4.20537540369054e-36
"Cyp4b1","chr4-115648367-115650008","Promoter (<=1kb)",-644,-2.44782071226037,NA,NA
"Gm14092","chr2-145556671-145557836","Promoter (1-2kb)",-1689,-2.44473065261072,NA,NA
"Atp1b1","chr1-164454802-164455059","Promoter (1-2kb)",-1025,-2.44202177484805,-1.59644062771727,0
"AI847159","chr2-129182463-129182737","Promoter (1-2kb)",-1796,-2.43923768280626,NA,NA
"Trdn","chr10-33195315-33196517","Promoter (<=1kb)",0,-2.43727382142178,NA,NA
"Mrpl58","chr11-115409406-115409788","Promoter (<=1kb)",-73,-2.43461301140454,0.180899766834304,4.05537157317136e-10
"Mir350","chr1-176774319-176775198","Promoter (1-2kb)",-1896,-2.4251227851382,NA,NA
"Popdc2","chr16-38368168-38369264","Promoter (<=1kb)",0,-2.42479787812446,NA,NA
"Hipk2","chr6-38839156-38839467","Promoter (1-2kb)",-1845,-2.42263714701569,-0.648622623690888,8.02935217938733e-83
"Rin3","chr12-102280903-102281668","Promoter (1-2kb)",-1380,-2.42217589588366,-0.20968394317083,5.78705197051242e-27
"Lrrn4","chr2-132880490-132881647","Promoter (<=1kb)",0,-2.4168061526727,NA,NA
"Tpd52l2","chr2-181498578-181498988","Promoter (<=1kb)",-857,-2.41176735900392,-0.248149485963173,5.27699254764158e-14
"Lrrc38","chr4-143349279-143350877","Promoter (<=1kb)",0,-2.409442809438,NA,NA
"Sema3d","chr5-12575199-12576234","Promoter (<=1kb)",0,-2.40867100633908,NA,NA
"Tbc1d1","chr5-64155926-64156207","Promoter (<=1kb)",-98,-2.4009977136469,-0.0835497067214549,1
"Bmp2","chr2-133551857-133553367","Promoter (<=1kb)",0,-2.39678788919046,-0.151542695800106,1.69959117888022e-05
"Itgb3","chr11-104637863-104638389","Promoter (<=1kb)",474,-2.3918250416203,0.088800560969045,0.787201965919569
"Msantd2","chr9-37517135-37517932","Promoter (<=1kb)",26,-2.38734148556565,-0.0828647396612208,1
"Cnn1","chr9-22099905-22101133","Promoter (<=1kb)",0,-2.38605759928772,-2.49493022256794,0
"Maea","chr5-33362006-33362499","Promoter (<=1kb)",-72,-2.38178441021763,-0.104967553715805,1
"Scn5a","chr9-119561500-119562661","Promoter (<=1kb)",17,-2.3811437299556,-0.577352790743973,1.84594081023793e-106
"Banp","chr8-121989622-121991488","Promoter (<=1kb)",0,-2.37993044555147,-0.0137247313574753,1
"St8sia4","chr1-95666744-95668706","Promoter (<=1kb)",0,-2.35668716204652,NA,NA
"Plekha7","chr7-116184158-116185044","Promoter (<=1kb)",0,-2.34708017062362,-0.0587130776146264,0.0611992759076134
"Oas1e","chr5-120795212-120796168","Promoter (<=1kb)",0,-2.34511644836215,NA,NA
"Cimip3","chr17-47439357-47441196","Promoter (1-2kb)",-1981,-2.33438650349058,NA,NA
"Krbox5","chr13-67830533-67831480","Promoter (<=1kb)",0,-2.33122272368529,NA,NA
"Chd2","chr7-73446944-73447469","Promoter (<=1kb)",0,-2.32995362926989,-0.040538737272974,1
"Gbp7","chr3-142528032-142528444","Promoter (1-2kb)",-1898,-2.32727591913057,NA,NA
"Kcnt1","chr2-25877331-25879577","Promoter (<=1kb)",0,-2.32613642436911,NA,NA
"2700069I18Rik","chr3-5220647-5221214","Promoter (<=1kb)",0,-2.32036688671503,NA,NA
"Usp10","chr8-119952347-119953448","Promoter (<=1kb)",0,-2.32034188420352,-0.061269258571129,1
"Zfp523","chr17-28184678-28185569","Promoter (<=1kb)",-618,-2.31626909386032,NA,NA
"Scube2","chr7-109807404-109808477","Promoter (<=1kb)",0,-2.31352050919425,NA,NA
"Skic3","chr13-76122718-76123545","Promoter (1-2kb)",-1091,-2.31309546916765,NA,NA
"Stra6l","chr4-45849038-45849792","Promoter (<=1kb)",41,-2.30412217294886,NA,NA
"Rln1","chr19-29334064-29334833","Promoter (<=1kb)",0,-2.30339120452858,NA,NA
"Mrgbp","chr2-180580911-180581652","Promoter (<=1kb)",0,-2.30312955650951,-0.0297181245708099,1
"Eya1","chr1-14309382-14310409","Promoter (<=1kb)",0,-2.29710950871157,-0.558551163845752,2.21751984644251e-103
"P4ha2","chr11-54106490-54107604","Promoter (<=1kb)",0,-2.29519410471343,0.0815133940427845,2.51527742448441e-05
"Tex2","chr11-106568057-106569347","Promoter (<=1kb)",-947,-2.29482772033088,NA,NA
"Wrnip1","chr13-32807581-32807874","Promoter (<=1kb)",435,-2.29430383447176,0.0100299378991683,1
"Foxi2","chr7-135408399-135408848","Promoter (1-2kb)",-1460,-2.29279003006171,NA,NA
"Scmh1","chr4-120461528-120462563","Promoter (<=1kb)",0,-2.28967474723272,0.0315884219530037,1
"Spo11","chr2-172986168-172987132","Promoter (<=1kb)",291,-2.2862786708225,NA,NA
"Lemd2","chr17-27194126-27195026","Promoter (<=1kb)",-646,-2.28297960755064,-0.124713325136922,1
"Glp2r","chr11-67757044-67758030","Promoter (<=1kb)",0,-2.28279036976962,NA,NA
"Emsy","chr7-98601320-98602082","Promoter (<=1kb)",251,-2.27994187750023,0.010186202090521,1
"Efemp2","chr19-5471895-5472121","Promoter (1-2kb)",-1833,-2.27832718427481,-0.107838533947954,1
"1110059E24Rik","chr19-21603855-21604235","Promoter (<=1kb)",84,-2.27782139753425,-0.00399104273348189,1
"Itsn2","chr12-4631991-4633322","Promoter (1-2kb)",-1454,-2.273167503612,-0.0778826263676523,1
"Poln","chr5-34105279-34106086","Promoter (<=1kb)",0,-2.26945441449072,NA,NA
"Lifr","chr15-7089856-7090673","Promoter (<=1kb)",0,-2.26390474707495,-0.284939982285177,9.32747350131019e-52
"Fanca","chr8-123314485-123314979","Promoter (1-2kb)",-1123,-2.25746435812942,0.00970342502345783,1
"Prkacb","chr3-146764822-146765356","Promoter (<=1kb)",-252,-2.25563814542776,-0.0715037863871053,1
"Crygf","chr1-65925134-65925902","Promoter (<=1kb)",-618,-2.24450497345001,NA,NA
"Shfl","chr9-20865994-20867249","Promoter (1-2kb)",-1393,-2.23564884909475,NA,NA
"Sptlc2","chr12-87327395-87328320","Promoter (<=1kb)",293,-2.23551542722391,0.145178919873577,0.000491684934882945
"Grin2b","chr6-136172086-136173843","Promoter (<=1kb)",0,-2.22629354527446,-0.358618568421202,4.6867937356836e-48
"Sema4d","chr13-51776753-51778157","Promoter (<=1kb)",0,-2.22111948719831,NA,NA
"Kcnj13","chr1-87394434-87394953","Promoter (<=1kb)",0,-2.2202214759879,NA,NA
"D830026I12Rik","chr6-17195476-17196048","Promoter (1-2kb)",-1703,-2.21529899311482,NA,NA
"A330093E20Rik","chr18-45898118-45899325","Promoter (1-2kb)",-1609,-2.2124394526033,NA,NA
"Agpat4","chr17-12133120-12135243","Promoter (<=1kb)",0,-2.21097838932402,-0.222938699501718,2.45745273993981e-09
"Cln8","chr8-14879664-14880636","Promoter (<=1kb)",-699,-2.21032623822157,NA,NA
"A730020M07Rik","chr3-121643298-121643528","Promoter (<=1kb)",0,-2.20745741180903,NA,NA
"Sp5","chr2-70473970-70475748","Promoter (<=1kb)",0,-2.20168262968976,NA,NA
"Ildr2","chr1-166253746-166256100","Promoter (<=1kb)",0,-2.1987421572049,-0.400010738168967,7.20433419670469e-79
"Spns3","chr11-72503340-72503967","Promoter (<=1kb)",-897,-2.19459391143724,NA,NA
"Ttpal","chr2-163612012-163612539","Promoter (<=1kb)",492,-2.17708829355003,NA,NA
"Mir344g","chr7-61981878-61982626","Promoter (<=1kb)",0,-2.17510865739835,NA,NA
"Ulk1","chr5-110797607-110798071","Promoter (1-2kb)",-1773,-2.17395818392384,NA,NA
"Mmp10","chr9-7501172-7502578","Promoter (<=1kb)",0,-2.15679482314015,NA,NA
"Ankfy1","chr11-72763989-72764940","Promoter (<=1kb)",0,-2.14831544182554,0.0286798906834499,1
"4933427D14Rik","chr11-72176498-72177304","Promoter (1-2kb)",-1260,-2.14638591819195,NA,NA
"Atpaf1","chr4-115799545-115800372","Promoter (<=1kb)",-12,-2.14555654345713,0.0955267217473363,0.000905670200427845
"Slc37a1","chr17-31325657-31327607","Promoter (<=1kb)",30,-2.13940248164918,NA,NA
"Lman1","chr18-65997794-65998527","Promoter (<=1kb)",38,-2.13221105600918,-0.659100744364019,1.50818321616569e-114
"Stk4","chr2-164108226-164108977","Promoter (1-2kb)",-1224,-2.12871495653295,-0.263660470851054,7.37398829358382e-17
"Eef1a2","chr2-181157757-181158323","Promoter (<=1kb)",-743,-2.12833446645739,NA,NA
