Chromosome	Start	End	Center	Experiment Insertions	Background insertions	Reference Insertions	pvalue Reference	pvalue Background	Fraction Experiment	TPH Experiment	Fraction background	TPH background	TPH background subtracted	pvalue_adj Reference	Nearest Refseq1	Gene Name1	Direction1	Distance1	Nearest Refseq2	Gene Name2	Direction2	Distance2
chr1	4857269	4857866	4857663.0	42	20	4	0.0	0.0004625314554123	2.0113892521894213e-05	2011.389252189421	1.0482493449751904e-05	1048.2493449751903	963.1399072142306	0.0	NM_011541	Tcea1	+	0	NM_001159751	Tcea1	+	462
chr1	4858460	4859024	4858781.0	49	21	11	0.0	1.886540847051421e-05	2.3466207942209914e-05	2346.6207942209912	1.10066181222395e-05	1100.6618122239502	1245.958981997041	0.0	NM_011541	Tcea1	+	0	NM_008866	Lypla1	+	-11726
chr1	6215285	6215688	6215485.0	13	5	2	0.0	0.0023871755677274	6.225728637729161e-06	622.5728637729161	2.6206233624379764e-06	262.06233624379763	360.51052752911846	0.0	NM_009826	Rb1cc1	+	0	NM_001195732	Alkal1	+	143643
chr1	6286893	6287296	6287093.0	7	2	2	1.5657599106155832e-08	0.005862117808004	3.352315420315702e-06	335.2315420315702	1.0482493449751903e-06	104.82493449751904	230.40660753405115	9.869091106610808e-06	NM_009826	Rb1cc1	+	-10790	NM_001195732	Alkal1	+	72035
chr1	7089145	7089548	7089345.0	25	15	1	0.0	0.0120200107967474	1.1972555072556078e-05	1197.255507255608	7.86187008731393e-06	786.1870087313929	411.068498524215	0.0	NM_183028	Pcmtd1	+	0	NM_001244693	St18	+	-228206
chr1	7089500	7089922	7089943.0	46	32	8	0.0	0.0181148211877332	2.2029501333503183e-05	2202.9501333503185	1.677198951960305e-05	1677.1989519603048	525.7511813900137	0.0	NM_183028	Pcmtd1	+	0	NM_001244693	St18	+	-228561
chr1	9638760	9639210	9638960.0	10	5	3	8.970268972063877e-12	0.0356013376959445	4.789022029022432e-06	478.9022029022431	2.6206233624379764e-06	262.06233624379763	216.8398666584455	8.283468378459192e-09	NR_015470	2610203C22Rik	-	-7669	NM_178399	3110035E14Rik	+	-11619
chr1	9661002	9661405	9661202.0	20	10	4	0.0	0.0079245269701616	9.578044058044865e-06	957.8044058044862	5.241246724875953e-06	524.1246724875953	433.679733316891	0.0	NM_008651	Mybl1	-	6006	NR_015470	2610203C22Rik	-	-29864
chr1	12991214	12991735	12991532.0	15	5	6	1.5543122344752194e-15	0.0008411021430626	7.183533043533647e-06	718.3533043533647	2.6206233624379764e-06	262.06233624379763	456.2909681095671	2.055804398534746e-12	NM_172841	Slco5a1	-	-80	NM_001081209	Prdm14	-	121693
chr1	15805938	15806341	15806138.0	10	4	2	3.3306690738754696e-15	0.0095402682407025	4.789022029022432e-06	478.9022029022431	2.096498689950381e-06	209.6498689950381	269.252333907205	4.286956213983258e-12	NM_001286628	Terf1	+	0	NM_001033288	Sbspon	-	47521
chr1	16114454	16114857	16114654.0	20	6	5	0.0	2.194605601746336e-05	9.578044058044865e-06	957.8044058044862	3.144748034925572e-06	314.4748034925572	643.3296023119291	0.0	NM_133832	Rdh10	+	0	NM_011291	Rpl7	-	-10022
chr1	16661485	16661986	16661685.0	53	39	4	0.0	0.0384146123011278	2.5381816753818884e-05	2538.1816753818885	2.0440862227016216e-05	2044.0862227016216	494.0954526802668	0.0	NR_037998	D030040B21Rik	+	0	NM_027415	Tmem70	+	3205
chr1	16662338	16662978	16662699.0	17	7	7	0.0	0.0011126600449447	8.141337449338133e-06	814.1337449338133	3.668872707413167e-06	366.8872707413167	447.24647419249663	0.0	NR_037998	D030040B21Rik	+	-61	NM_027415	Tmem70	+	2213
chr1	23256594	23256997	23256794.0	9	2	1	3.0409008644483043e-13	0.000337305843837	4.310119826120188e-06	431.0119826120188	1.0482493449751903e-06	104.82493449751904	326.18704811449976	3.2510274681864387e-10	NR_029533	Mir30a	+	15272	NR_029717	Mir30c-2	+	34704
chr1	23264345	23264748	23264399.0	13	3	6	1.0236478331648868e-11	9.665392903235316e-05	6.225728637729161e-06	622.5728637729161	1.5723740174627858e-06	157.23740174627858	465.3354620266375	9.399175002051052e-09	NR_029533	Mir30a	+	7521	NR_029717	Mir30c-2	+	26953
chr1	30872811	30873243	30873040.0	15	7	2	0.0	0.0064629435501885	7.183533043533647e-06	718.3533043533647	3.668872707413167e-06	366.8872707413167	351.466033612048	0.0	NM_001081080	Phf3	-	-9556	NM_011200	Ptp4a1	-	67060
chr1	30947173	30947576	30947373.0	10	4	4	9.529710354172494e-12	0.0095402682407025	4.789022029022432e-06	478.9022029022431	2.096498689950381e-06	209.6498689950381	269.252333907205	8.782414663047455e-09	NM_011200	Ptp4a1	-	0	NR_136907	Gm29669	-	71612
chr1	34073774	34074177	34073974.0	9	2	2	2.4705502643662672e-08	0.000337305843837	4.310119826120188e-06	431.0119826120188	1.0482493449751903e-06	104.82493449751904	326.18704811449976	1.5159334938525244e-05	NM_001276764	Dst	+	0	NR_105861	Mir6896	+	43182
chr1	36073313	36073716	36073513.0	20	0	1	0.0	0.0	9.578044058044865e-06	957.8044058044862	0.0	0.0	957.8044058044862	0.0	NM_015818	Hs6st1	+	0	NM_198899	Uggt1	-	66312
chr1	36469697	36470100	36469897.0	16	6	2	0.0	0.0100115104807754	7.66243524643589e-06	766.243524643589	3.144748034925572e-06	314.4748034925572	451.7687211510319	0.0	NM_033570	Cnnm4	+	1406	NM_001310517	Lman2l	-	-24427
chr1	37696259	37696662	37696459.0	6	2	1	4.529665309505049e-09	0.0204490800896333	2.8734132174134587e-06	287.3413217413459	1.0482493449751903e-06	104.82493449751904	182.51638724382684	3.056840057299053e-06	NM_028096	2010300C02Rik	-	0	NM_207228	Tsga10	-	57910
chr1	37709714	37710117	37709914.0	10	2	2	1.6109336087311021e-13	0.000337305843837	4.789022029022432e-06	478.9022029022431	1.0482493449751903e-06	104.82493449751904	374.07726840472407	1.7692790386049054e-10	NM_028096	2010300C02Rik	-	0	NM_207228	Tsga10	-	44455
chr1	37872080	37872483	37872280.0	16	6	3	0.0	0.0041795952979509	7.66243524643589e-06	766.243524643589	3.144748034925572e-06	314.4748034925572	451.7687211510319	0.0	NM_001037918	Lipt1	+	0	NM_026913	Mitd1	-	6105
chr1	38972809	38973212	38973009.0	54	22	6	0.0	2.6078883927360685e-05	2.586071895672113e-05	2586.071895672113	1.1530742794727095e-05	1153.0742794727096	1432.9976161994034	0.0	NM_026850	Pdcl3	+	14602	NM_001011684	Nms	+	-22008
chr1	39555854	39556552	39556181.0	74	27	6	0.0	3.7185912482584637e-07	3.543876301476599e-05	3543.876301476599	1.4151366157165071e-05	1415.136615716507	2128.739685760092	0.0	NM_001033135	Rnf149	-	0	NR_028555	Snord89	-	-7015
chr1	39576130	39576533	39576097.0	11	4	4	1.2404922644648764e-09	0.0244917522880785	5.267924231924674e-06	526.7924231924675	2.096498689950381e-06	209.6498689950381	317.1425541974294	9.027058276681223e-07	NM_001033135	Rnf149	-	0	NR_028555	Snord89	-	-27058
chr1	40235751	40236214	40236011.0	21	9	7	0.0	0.0122421334164314	1.0056946260947106e-05	1005.6946260947104	4.717122052388358e-06	471.7122052388357	533.9824208558748	0.0	NM_008362	Il1r1	+	0	NM_001123382	Il1r1	+	30372
chr1	40855143	40855675	40855352.5	27	16	4	0.0	0.0140644569735579	1.2930359478360565e-05	1293.0359478360565	8.385994759801524e-06	838.5994759801524	454.4364718559041	0.0	NM_001081198	Tmem182	+	0	NM_172499	Mfsd9	-	-64487
chr1	42693988	42694624	42694421.0	29	9	3	0.0	4.934312958226883e-10	1.3888163884165051e-05	1388.816388416505	4.717122052388358e-06	471.7122052388357	917.1041831776694	0.0	NR_027826	Pantr1	-	0	NM_008900	Pou3f3	+	2522
chr1	42703679	42704082	42703879.0	30	26	1	0.0	0.0305500308414258	1.4367066087067296e-05	1436.7066087067294	1.3627241484677478e-05	1362.7241484677477	73.98246023898173	0.0	NR_027891	2900092D14Rik	+	-504	NR_110495	Pantr2	-	2981
chr1	42882151	42882705	42882490.0	25	21	6	5.551115123125784e-16	0.0454708264073339	1.1972555072556078e-05	1197.255507255608	1.10066181222395e-05	1100.6618122239502	96.59369503165772	7.629691341174994e-13	NM_023514	Mrps9	+	0	NM_053107	Gpr45	+	70167
chr1	43099306	43099709	43099506.0	19	12	6	1.5226175875682202e-10	0.0053793364332827	9.09914185514262e-06	909.914185514262	6.289496069851143e-06	628.9496069851143	280.9645785291476	1.2339813383142121e-07	NM_133818	AI597479	+	0	NM_001013025	Tgfbrap1	-	-685
chr1	43827022	43827425	43827222.0	6	0	1	1.1016028311772176e-08	1.2748987421318247e-09	2.8734132174134587e-06	287.3413217413459	0.0	0.0	287.3413217413459	7.079528839967921e-06	NM_026430	Uxs1	-	0	NM_024283	1500015O10Rik	+	-84459
chr1	44101185	44101677	44101406.0	21	10	10	1.1102230246251563e-16	0.0017844514420392	1.0056946260947106e-05	1005.6946260947104	5.241246724875953e-06	524.1246724875953	481.5699536071153	1.597672112132178e-13	NM_029368	Tex30	-	0	NM_023645	Kdelc1	-	4869
