Chr	Start	End	Center	Experiment Insertions	Background insertions	Reference Insertions	pvalue Reference	pvalue Background	Fraction Experiment	TPH Experiment	Fraction background	TPH background	TPH background subtracted	pvalue_adj Reference	Nearest Refseq1	Gene Name1	Direction1	Distance1	Nearest Refseq2	Gene Name2	Direction2	Distance2
chr1	4857269	4857866	4857663.0	22	18	4	0.0	0.0334484091025319	1.8672091758053822e-05	1867.2091758053823	1.2004994077536256e-05	1200.4994077536255	666.709768051757	0.0	NM_011541	Tcea1	+	0	NM_001159751	Tcea1	+	462
chr1	4858460	4859024	4858781.0	45	40	7	0.0	0.0211140256722857	3.819291495965555e-05	3819.291495965555	2.6677764616747232e-05	2667.776461674724	1151.5150342908314	0.0	NM_011541	Tcea1	+	0	NM_008866	Lypla1	+	-11726
chr1	4859557	4860097	4859828.0	12	8	8	3.9190872769268026e-14	0.0207092252032901	1.0184777322574812e-05	1018.4777322574812	5.335552923349447e-06	533.5552923349446	484.9224399225367	4.743754509953439e-11	NM_011541	Tcea1	+	0	NM_008866	Lypla1	+	-12823
chr1	6215285	6215688	6215485.0	10	8	2	1.251998504869789e-12	0.0023013919520757	8.48731443547901e-06	848.7314435479011	5.335552923349447e-06	533.5552923349446	315.1761512129565	1.3128682178392907e-09	NM_009826	Rb1cc1	+	0	NM_001195732	Alkal1	+	143643
chr1	6274010	6274413	6274210.0	5	5	1	3.21891899357496e-07	0.0403757296687976	4.243657217739505e-06	424.36572177395055	3.334720577093404e-06	333.47205770934045	90.8936640646101	0.0001695792705161	NM_009826	Rb1cc1	+	0	NM_001195732	Alkal1	+	84918
chr1	6282928	6283331	6283128.0	23	33	3	0.0	0.0317728007013599	1.9520823201601726e-05	1952.082320160173	2.2009155808816467e-05	2200.9155808816467	-248.8332607214741	0.0	NM_009826	Rb1cc1	+	-6825	NM_001195732	Alkal1	+	76000
chr1	6286893	6287296	6287093.0	12	16	2	1.1102230246251563e-15	0.0498116724684384	1.0184777322574812e-05	1018.4777322574812	1.0671105846698892e-05	1067.1105846698892	-48.63285241240794	1.544022314600804e-12	NM_009826	Rb1cc1	+	-10790	NM_001195732	Alkal1	+	72035
chr1	6305286	6305876	6305637.0	31	37	11	0.0	0.0013216741593473	2.631067474998493e-05	2631.0674749984937	2.467693227049119e-05	2467.6932270491197	163.37424794937442	0.0	NM_009826	Rb1cc1	+	-29183	NM_001195732	Alkal1	+	53455
chr1	6312492	6312969	6312766.0	12	16	2	9.992007221626409e-16	0.0498301268580758	1.0184777322574812e-05	1018.4777322574812	1.0671105846698892e-05	1067.1105846698892	-48.63285241240794	1.3945578194767565e-12	NM_009826	Rb1cc1	+	-36389	NM_001195732	Alkal1	+	46362
chr1	6322525	6322928	6322725.0	10	9	4	3.4967595485824177e-10	0.0053710682685214	8.48731443547901e-06	848.7314435479011	6.002497038768128e-06	600.2497038768128	248.48173967108835	2.81489041281744e-07	NM_001195732	Alkal1	+	36403	NM_009826	Rb1cc1	+	-46422
chr1	6323686	6324160	6323934.0	11	10	6	1.1368765928665423e-09	0.0042137113290809	9.336045879026911e-06	933.6045879026912	6.669441154186808e-06	666.9441154186809	266.6604724840104	8.547485576939093e-07	NM_001195732	Alkal1	+	35171	NM_009826	Rb1cc1	+	-47583
chr1	6360131	6360756	6360553.0	19	21	3	0.0	0.0036660553210677	1.612589742741012e-05	1612.589742741012	1.4005826423792298e-05	1400.5826423792298	212.00710036178225	0.0	NM_001195732	Alkal1	+	0	NM_009826	Rb1cc1	+	-84028
chr1	6380055	6380519	6380255.0	7	5	2	1.4021737659852818e-08	0.0039928862315986	5.941120104835308e-06	594.1120104835308	3.334720577093404e-06	333.47205770934045	260.6399527741903	9.072229246953832e-06	NM_001195732	Alkal1	+	0	NM_009826	Rb1cc1	+	-103952
chr1	6383122	6383525	6383322.0	15	16	2	0.0	0.0058323704228779	1.2730971653218515e-05	1273.0971653218517	1.0671105846698892e-05	1067.1105846698892	205.9865806519624	0.0	NM_001195732	Alkal1	+	0	NM_001244693	St18	+	103706
chr1	6623814	6624217	6624014.0	6	4	1	1.7202822499839954e-08	0.0059162291046677	5.092388661287407e-06	509.2388661287407	2.6677764616747237e-06	266.7776461674723	242.46121996126837	1.1009952559818717e-05	NM_001244693	St18	+	0	NR_045189	St18	+	105834
chr1	7089145	7089922	7089345.0	49	14	5	0.0	3.4416913763379853e-15	4.158784073384716e-05	4158.784073384715	9.337217615861533e-06	933.7217615861532	3225.062311798562	0.0	NM_183028	Pcmtd1	+	0	NM_001244693	St18	+	-228206
chr1	8713430	8713920	8713672.0	5	2	5	1.287239126401829e-08	0.0057347579168748	4.243657217739505e-06	424.36572177395055	1.3338882308373617e-06	133.38882308373616	290.9768986902144	8.371930757947625e-06	NM_001290390	Sntg1	-	0	NM_021511	Rrs1	+	831488
chr1	9238204	9238607	9238404.0	16	10	2	0.0	0.0046535239821094	1.3579703096766416e-05	1357.9703096766418	6.669441154186808e-06	666.9441154186809	691.0261942579609	0.0	NM_001290390	Sntg1	-	0	NM_021511	Rrs1	+	306801
chr1	9638760	9639210	9638960.0	5	2	3	1.2291982867118634e-06	0.0053604018046162	4.243657217739505e-06	424.36572177395055	1.3338882308373617e-06	133.38882308373616	290.9768986902144	0.0005952711234089	NR_015470	2610203C22Rik	-	-7669	NM_178399	3110035E14Rik	+	-11619
chr1	9661002	9661662	9661350.0	19	15	6	0.0	0.0109962651631215	1.612589742741012e-05	1612.589742741012	1.0004161731280211e-05	1000.4161731280212	612.1735696129908	0.0	NM_008651	Mybl1	-	5749	NR_015470	2610203C22Rik	-	-29911
chr1	9698807	9699334	9699131.0	5	3	3	1.3973965107272337e-06	0.0296819830609923	4.243657217739505e-06	424.36572177395055	2.0008323462560426e-06	200.08323462560423	224.2824871483463	0.0006701767972256	NM_008651	Mybl1	-	0	NM_173443	Vcpip1	-	19288
chr1	9700629	9701092	9700889.0	19	12	3	0.0	0.0008855337825501	1.612589742741012e-05	1612.589742741012	8.00332938502417e-06	800.332938502417	812.256804238595	0.0	NM_008651	Mybl1	-	-421	NM_173443	Vcpip1	-	17530
chr1	9745252	9745808	9745605.0	6	3	5	6.203269168336689e-07	0.0087767807090359	5.092388661287407e-06	509.2388661287407	2.0008323462560426e-06	200.08323462560423	309.1556315031364	0.0003136399926722	NM_173443	Vcpip1	-	0	NR_040462	1700034P13Rik	+	1840
chr1	9746802	9747205	9747002.0	7	4	1	1.7008394692652473e-11	0.0116999099433117	5.941120104835308e-06	594.1120104835308	2.6677764616747237e-06	266.7776461674723	327.33436431605844	1.5898072925436922e-08	NM_173443	Vcpip1	-	0	NR_040462	1700034P13Rik	+	443
