Chr	Start	End	Center	Experiment Insertions	Background insertions	Reference Insertions	pvalue Reference	pvalue Background	Fraction Experiment	TPH Experiment	Fraction background	TPH background	TPH background subtracted	pvalue_adj Reference	Nearest Refseq1	Gene Name1	Direction1	Distance1	Nearest Refseq2	Gene Name2	Direction2	Distance2
chr1	4859557	4860097	4859828	12	8	8	3.9190872769268e-14	0.0207092252032901	1.01847773225748e-05	1018.47773225748	5.33555292334945e-06	533.555292334945	484.922439922537	4.74375450995344e-11	NM_011541	Tcea1	+	0	NM_008866	Lypla1	+	-12823
chr1	6274010	6274413	6274210	5	5	1	3.21891899357496e-07	0.0403757296687976	4.24365721773951e-06	424.365721773951	3.3347205770934e-06	333.47205770934	90.8936640646101	0.0001695792705161	NM_009826	Rb1cc1	+	0	NM_001195732	Alkal1	+	84918
chr1	6282928	6283331	6283128	23	33	3	0	0.0317728007013599	1.95208232016017e-05	1952.08232016017	2.20091558088165e-05	2200.91558088165	-248.833260721474	0	NM_009826	Rb1cc1	+	-6825	NM_001195732	Alkal1	+	76000
chr1	6312492	6312969	6312766	12	16	2	9.99200722162641e-16	0.0498301268580758	1.01847773225748e-05	1018.47773225748	1.06711058466989e-05	1067.11058466989	-48.6328524124079	1.39455781947676e-12	NM_009826	Rb1cc1	+	-36389	NM_001195732	Alkal1	+	46362
chr1	6322525	6322928	6322725	10	9	4	3.49675954858242e-10	0.0053710682685214	8.48731443547901e-06	848.731443547901	6.00249703876813e-06	600.249703876813	248.481739671088	2.81489041281744e-07	NM_001195732	Alkal1	+	36403	NM_009826	Rb1cc1	+	-46422
chr1	6323686	6324160	6323934	11	10	6	1.13687659286654e-09	0.0042137113290809	9.33604587902691e-06	933.604587902691	6.66944115418681e-06	666.944115418681	266.66047248401	8.54748557693909e-07	NM_001195732	Alkal1	+	35171	NM_009826	Rb1cc1	+	-47583
chr1	6360131	6360756	6360553	19	21	3	0	0.0036660553210677	1.61258974274101e-05	1612.58974274101	1.40058264237923e-05	1400.58264237923	212.007100361782	0	NM_001195732	Alkal1	+	0	NM_009826	Rb1cc1	+	-84028
chr1	6380055	6380519	6380255	7	5	2	1.40217376598528e-08	0.0039928862315986	5.94112010483531e-06	594.112010483531	3.3347205770934e-06	333.47205770934	260.63995277419	9.07222924695383e-06	NM_001195732	Alkal1	+	0	NM_009826	Rb1cc1	+	-103952
chr1	6383122	6383525	6383322	15	16	2	0	0.0058323704228779	1.27309716532185e-05	1273.09716532185	1.06711058466989e-05	1067.11058466989	205.986580651962	0	NM_001195732	Alkal1	+	0	NM_001244693	St18	+	103706
chr1	6623814	6624217	6624014	6	4	1	1.720282249984e-08	0.0059162291046677	5.09238866128741e-06	509.238866128741	2.66777646167472e-06	266.777646167472	242.461219961268	1.10099525598187e-05	NM_001244693	St18	+	0	NR_045189	St18	+	105834
chr1	8713430	8713920	8713672	5	2	5	1.28723912640183e-08	0.0057347579168748	4.24365721773951e-06	424.365721773951	1.33388823083736e-06	133.388823083736	290.976898690214	8.37193075794762e-06	NM_001290390	Sntg1	-	0	NM_021511	Rrs1	+	831488
chr1	9238204	9238607	9238404	16	10	2	0	0.0046535239821094	1.35797030967664e-05	1357.97030967664	6.66944115418681e-06	666.944115418681	691.026194257961	0	NM_001290390	Sntg1	-	0	NM_021511	Rrs1	+	306801
chr1	9698807	9699334	9699131	5	3	3	1.39739651072723e-06	0.0296819830609923	4.24365721773951e-06	424.365721773951	2.00083234625604e-06	200.083234625604	224.282487148346	0.0006701767972256	NM_008651	Mybl1	-	0	NM_173443	Vcpip1	-	19288
chr1	9700629	9701092	9700889	19	12	3	0	0.0008855337825501	1.61258974274101e-05	1612.58974274101	8.00332938502417e-06	800.332938502417	812.256804238595	0	NM_008651	Mybl1	-	-421	NM_173443	Vcpip1	-	17530
chr1	9745252	9745808	9745605	6	3	5	6.20326916833669e-07	0.0087767807090359	5.09238866128741e-06	509.238866128741	2.00083234625604e-06	200.083234625604	309.155631503136	0.0003136399926722	NM_173443	Vcpip1	-	0	NR_040462	1700034P13Rik	+	1840
chr1	9746802	9747205	9747002	7	4	1	1.70083946926525e-11	0.0116999099433117	5.94112010483531e-06	594.112010483531	2.66777646167472e-06	266.777646167472	327.334364316058	1.58980729254369e-08	NM_173443	Vcpip1	-	0	NR_040462	1700034P13Rik	+	443
chr1	10038548	10039174	10038787	22	20	8	0	0.0193483601865669	1.86720917580538e-05	1867.20917580538	1.33388823083736e-05	1333.88823083736	533.320944968021	0	NM_026493	Cspp1	+	0	NM_001277101	Cops5	-	-390
chr1	10872075	10872562	10872359	21	21	3	0	0.0065040104697848	1.78233603145059e-05	1782.33603145059	1.40058264237923e-05	1400.58264237923	381.753389071363	0	NR_030645	Mir467e	-	-6202	NM_029525	Prex2	+	120903
chr1	10955048	10955451	10955248	5	0	1	1.89572808562133e-08	1.27489874213182e-09	4.24365721773951e-06	424.365721773951	0	0	424.365721773951	1.20640199555742e-05	NM_029525	Prex2	+	38014	NR_030645	Mir467e	-	-89175
